? ,English ,Hebrew ,Romanized Hebrew ,EU,,Arabic ,Romanized Arabic ,Tarifiyt Berber ,,Hebrew ,Romanized Hebrew ,Syriac ,Romanized Syriac ,Romanized Akkadian ,Ge'ez ,Romanized Ge'ez ,Maltese ,Romanized Coptic ,Tarifiyt Berber ,Hausa ,Oromo (Wallagga) ,Somali
23,two ,"?????, ????? ","š'nayim m, š'tayim f ",svein,+,"??????, ??????, ???????, ??????? ","?i?n?n, ?i?náyn m, ?i?nat?n, ?i?natáyn f ",?nay?n (< Ar.) ,Tweien > Ar,"?????, ????? ","š'nayim m, š'tayim f ","????? m, ?????? f ","trén m, tartén f ","šin? m, šitt? f ",???? ,k?l?etu ,tnejn ,?snau ,?nay?n (< Ar.) ,bíyú ,lama ,laba
24,three ,"?????, ???? ","š'lóšâ m, šâlóš f ",thres,++,"??????, ????? ","?al??a m, ?al?? f ",??a?a (< Ar.) ,Dritte > Ar!,"?????, ???? ","š'lóšâ m, šâlóš f ","????? m, ???? f ","tl??? m, tl?? f ","šal?š m, šal?šat f ",???? ,?alastu ,tlieta ,šomt ,??a?a (< Ar.) ,úkù ,sadii ,saddex
25,four ,"??????, ????? ","?arbâ?â m, ?arba? f ",fourba,+,"??????, ????? ","?árba?a m, ?árba? f ",???a (< Ar.) ,,"??????, ????? ","?arbâ?â m, ?arba? f ","?????? m, ????? f ","?arb?? m, ?arba? f ","erbe m, erbet f ",????? ,?arba?tu ,erbg?a ,?ftou ,???a (< Ar.) ,hú?ú ,afur ,afar
26,five ,"?????, ???? ","?amiššâ m, ?âméš f ",phams pent,+-,"?????, ???? ","xámsa m, xams f ",x?msa (< Ar.) ,,"?????, ???? ","?amiššâ m, ?âméš f ","????? m, ???? f ","?amš? m, ?ammeš f ","xamiš m, xamšat f ",???? ,?amastu ,?amsa ,?tiou ,x?msa (< Ar.) ,bìyár? ,šan ,shan
27,big ,????? ,gâðól ,gatall gadar great,++,????? ,kab?r ,am?qqr’an ,macro,????? ,gâðól ,"????, ?????? ","rabb?, kabb?r? ",rabûm ,??? ,?abiyy ,kbir ,noc ,am?qqr’an ,bàbbá ,,wayn
28,long ,??????? ,âróx ,arc?,,????? ,?aw?l ,aziyr? ,,??????? ,âróx ,?????? ,?arr?x? ,,??? ,naww?? ,twil ,šoi ,aziyr? ,mài tsáwóo ,,dheer
29,wide ,???? ,râ?âv ,reach?,,"????, ????? ","ra?b, w?si? ",,,???? ,râ?âv ,"??????, ????? ","rw?x?, pa?y? ",,??? ,r??ub ,wiesa' ,,,,"bal'aa, booccoo ",ballaadhan
30,thick ,??? ,?âv ,heavy?,,????? ,sam?k ,,,??? ,?âv ,?????? ,?v??? ,,??? ,gazuf ,o?xon ,,,,,balaadhan
31,heavy ,???? ,kâvéð ,heavyd,++,????? ,?aq?l ,?q?? (< Ar.) ,dicker,???? ,kâvéð ,"??????, ?????? ","n??l?, yaqqur? ",kabtu ,??? ,kabud ,tqil ,horš ,?q?? (< Ar.) ,mài náuyíi ,,culus
32,small ,???? ,qâ?ân ,"cute, cut",++,????? ,?a??r ,,,???? ,qâ?ân ,?????? ,z??r? ,?exru ,??? ,n??us ,?g?ir ,,,k'arami ,,yar
33,short ,???? ,qâ?âr ,kurz,++,????? ,qa??r ,,,???? ,qâ?âr ,????? ,kary? ,karû ,??? ,???ur ,qasir ,,,guntu ,,gaaban
34,narrow ,??? ,?âr ,s’hair,<<,???? ,?áyyiq ,,,??? ,?âr ,????? ,??q? ,qatnu ,??? ,?abib ,dejjaq ,,,siriri ,,ciriiri
35,thin ,??? ,daq ,dünnq,,????? ,raq?q ,,,??? ,daq ,"??????, ?????? ","raqq?q?, ?l??? ",qatnu ,???/??? ,qa?in/daqiq ,rqiq ,,,,,dhuuban
36,woman ,???? ,?iššâ ,Ische,++,?????? ,?imrá?a ,"?am??’?, ?am?t’t’u? ",,???? ,?iššâ ,?????? ,?att??? ,sinništu ,???? ,b???sit ,mara ,te-shime (hiome) ,"?am??’?, ?am?t’t’u? ",màcè ,,dumar
37,man (adult male) ,???? ,?iš ,HIS,+,???? ,rájul ,?yaz ,,???? ,?iš ,????? ,gavr? ,zikaru ,??? ,b???si ,ra?el ,p-hoout ,?yaz ,námíjì ,,rag
38,man (human being) ,"????, ????? ","?âðâm, ??n?š ",Adam Ernyst <<,++,?????? ,?ins?n ,?na??m (< Ar.) ,,"????, ????? ","?âðâm, ??n?š ",????? ,??n?š? ,aw?lu ,???/???? ,sab??/sab??wi ,bniedem ,p-r?me ,?na??m (< Ar.) ,mùtûm ,nama ,nin
39,child ,???? ,yeleð ,chyld,++,???? ,walad ,"a??nžia, ???z’z’ ",,???? ,yeleð ,?????? ,yalluð? ,"?exru, m?ru ","???/???, ??? ","????n/wald (m.), walatt (f.) ",tifel ,p-š?re ,"a??nžia, ???z’z’ ","?áa, 'yáa ",,cunug
40,wife ,???? ,?iššâ ,Ische,,????? ,záwja ,?am??’? ,,???? ,?iššâ ,?????? ,?att?? ,aššatu ,???? ,b???sit ,mara ,te-shime (hiome) ,?am??’? ,màatáa ,,xaas
41,husband ,???? ,ba?al ,Bulle Boss Band?,,???? ,ba?l ,?yaz ,,???? ,ba?al ,????? ,ba?l? ,mutu ,??/??? ,m?t/ba??l ,?ew? ,"p-hai, p-hoout ",?yaz ,míjìi ,,nin
42,mother ,??? ,?ém ,eMMa,,??? ,?umm ,y?mma (< Ar.?) ,femme,??? ,?ém ,???? ,?emm? ,ummu ,?? ,??mm ,omm ,t-maau ,y?mma (< Ar.?) ,úwáa ,,hooyo
43,father ,??? ,?âv ,aPha vata,,??? ,?ab ,?a?a (< Ar.?) ,baba,??? ,?âv ,???? ,?av? ,abu ,?? ,?ab ,missier ,p-ei?t (eiote) ,?a?a (< Ar.?) ,ùbáa ,,aabbe
44,animal ,???? ,?ayyâ ,,,?????? ,?ayaw?n ,l?ayawan (< Ar.) ,,???? ,?ayyâ ,?????? ,?ayyu?? ,,??? ,?arwe ,annimal ,p-t?vn? (t?vnooue) ,l?ayawan (< Ar.) ,dábbàa (< Ar.?) ,,bahal
45,fish ,??? ,dâ? ,Dorsch,+-,????? ,sámaka ,as??m ,,??? ,dâ? ,????? ,n?n? ,n?nu ,?? ,???? ,?uta ,p-t?vt ,as??m ,kíifíi ,qurt'ummii ,"kalluun, mallaay"
46,bird ,"?????, ???? ","?ippór, ?óf ",siBird avi,+<,"????, ?????? ","?ayr, ?a?f?r ",až?’i?’ ,,"?????, ???? ","?ippór, ?óf ","?????, ????? ","?ayr?, ?efr? ",i???ru ,?? ,?of ,g?asfur ,p-hal?t (halate) ,až?’i?’ ,tsúntsúu ,c'irrii ,shimbir
47,dog ,???? ,kelev ,Kläff,++,???? ,kalb ,"ay?i, aqzin, ah?gg? ",a’chien dogge!!,???? ,kelev ,????? ,kalb? ,kalbu ,??? ,kalb ,kelb ,pe (o)uhor (ouhoor) ,"ay?i, aqzin, ah?gg? ",kàrée ,saree ,ey
48,louse ,???? ,kinnâ ,gon:krumm,+<,????? ,qámla ,"?išš?š? (head), inf? (body) ",,???? ,kinnâ ,????? ,qalm? ,uplu ,??? ,q??m?l ,,,"?išš?š? (head), inf? (body) ","kwàlkwátàa (head), kwàr?kwátàa (body) ","c'inii, injiraan, injijii ",injir
49,snake ,???? ,nâ?âš ,(s)nakes,++,???? ,?anaš ,"fi??’, ?a??fsa ",python! Vs (s)nakas,???? ,nâ?âš ,????? ,?ewy? ,??ru ,??? ???/??? ,?arwe m?dr/taman ,serp ,t-hof (hvoui) ,"fi??’, ?a??fsa ",mácìijíi ,"mar'ataa, bofa, šaawwisa ",mas
50,worm ,?????? ,tóla?at ,<> ? d?n ?,,????? ,d?da ,a?an n tmua? ,,?????? ,tóla?at ,?????? ,tawl?? ,,?? ,???e ,dudu ,p-f?nt ,a?an n tmua? ,tsúutsàa ,,dixiri
51,tree ,??? ,?é? ,Esche,++,????? ,šájara ,ss?žž?? (< Ar.) ,vs Esche! <<,??? ,?é? ,?????? ,?ilân? ,i?u ,?? ,??? ,si?ra ,p-š?n ,ss?žž?? (< Ar.) ,ítàacée ,muka ,geed
52,forest ,???? ,ya?ar ,Yewarba,,????? ,??ba ,??a??? (< Ar.) ,arbos,???? ,ya?ar ,???? ,??v? ,,?? ,?om ,,,??a??? (< Ar.) ,dáajìi ,"baqqoo, daggala ",deegaan
53,stick ,???? ,maqqél ,Machete,++,???? ,?a?? ,,,???? ,maqqél ,????? ,qays? ,,????/???? ,qastam/maqr?? ,,,,Sanada ,,qori
54,fruit ,???? ,p'ri ,frui.t,++,?????? ,f?kiha ,?xu?’?? (< Ar.) ,frxudt,???? ,p'ri ,????? ,pér? ,,?? ,f?ré ,frott ,pe (o)utah ,?xu?’?? (< Ar.) ,’yár? ítàacée ,ija ,miro
55,seed ,???? ,zera? ,Säher Saat zero ø? Germ,,????? ,zar?a ,???bb (< Ar.) ,,???? ,zera? ,????? ,zar?? ,z?ru ,???/??? ,zar?/b?zr ,?errieg?a ,"evra, croc ",???bb (< Ar.) ,írìi (< Kanuri?) ,"garii, saññii ",
56,leaf ,???? ,?âle ,a’leaf,,????? ,wáraqa ,?if?š? ,Leavest @ ast,???? ,?âle ,????? ,?arp? ,,??? ,q?a?l ,werqa ,c?ve ,?if?š? ,gányée ,baala ,baal
57,root ,???? ,šóreš ,so’rooth wurz,,???? ,jaðr ,az’w? ,wurzel,???? ,šóreš ,????? ,šerš? ,šuršu ,??? ,??rw ,g?erq ,noune ,az’w? ,"sâiwáa, jíijíyàa ",,xidid
58,bark ,????? ,q'lippâ ,Klippe?,<<,???? ,qilf ,,,????? ,q'lippâ ,?????? ,ql?ft? ,,???? ,q?r?ft ,qoxra ,,,,,qolof
59,flower ,???? ,perah ,>flower,++,????? ,záhra ,?an?wwaš? ,,???? ,perah ,????? ,habb?v? ,,?? ,??gé ,fjur ,pe-hr?re ,?an?wwaš? ,fùrée ,daraaraa ,ubax
60,grass ,???? ,deše? ,desert shair?,,????? ,?aš?š ,arr?i? (< Ar.) ,,???? ,deše? ,???? ,gill? ,d?šu ,??? ,????r ,?axix ,p-sim ,arr?i? (< Ar.) ,cìyáawàa ,marga ,caws
61,rope ,???? ,?evel ,<> Hebel?,,???? ,?abl ,"i??i, ?amria?, as?un ",as?un!!,???? ,?evel ,????? ,?avl? ,eblu ,??? ,?abl ,?abel ,nouh ,"i??i, ?amria?, as?un ",ígíyàa ,,xarig
