No ,English , ,,Aymara ,Kunza ,Southern Quechua runa simi,PIE / PERU,,,"Wichí languages (Guisnay, Nocten and Vejoz) ",Rapa Nui (Austronesian),Spanish,Mapudungun ,Paraguayan Guaraní avañe'?,,
34,narrow ,cul’cui!,~?? ,k'ullk'u ,[[]] ,"chutu, kuru","Cut, cute, short",++,,"ilupenche, niktsajahu ","rikiriki, vakavaka ","estrecho, angosto","pichirume, pichirupa ",mitã'i,??Maisen ,
35,thin ,schlank? Tisin++,~?-,"juchusa, sillp'a, tisi ",[[]] ,k'ichki,^^,,,ilupen ,ra'i ,"delgado, flaco","pichirume, pichirupa ",tembireko,d’hombre?,
36,woman * ,wa’min!,??!?,"warmi, tawaqu (young woman) ",lickau ,ñañu,n’eng!,++,,atsinha ,vi'e ,mujer,"domo (che), üllcha domo (young woman) ",ména,man,
37,man (adult male) ,wandro!! vain™ Sascha?,??!?,"chacha, wayna (young man) ",sima ,warmi,~,++,,hin'u ,tangata ,hombre,wentru ,sy,sie,
38,man * (human being) ,Tongatha : gath.tan! Jaqi?,,jaqi ,? ,qhari,Kherrl!,+++,,,tangata ,hombre,"che, wentru ","ru, túva","er, atav",
39,child ,pico wandro!! ;),??!?,"lala (boy), lulu (girl) ",(p)pauna ,runa,rénmín ?? ,++,,ha’no’fwaj ,"poki tamaaroa/poki tane (boy), poki tamahahine/poki vahine (girl) ","niño, niña","pichi wentru (boy), pichi domo (girl) ","mymba, tymba",,
40,wife ,wa’min!,??!?,warmi ,? ,irqi,,,,toch’efwa atsinha ,vi'e ,"esposa, mujer","kure, ñadu (brother's), fillka (older brother's), ümwe (younger brother's), püñmo (son's, daughter-in-law) ",pira,,
41,husband ,,,"chacha, jaynu ",sima ,warmi,~ woman,+ ,,toch’efwa hin’u ,kenu ,"esposo, marido","füta, ngillañ (sister's), kurum (older sister's), ngillañwentru (younger sister's), chedkuy (daughter's, son-in-law) ",guyra,,
42,mother ,mama,??,"tayka, mama ",? ,qusa,qhusband,+ ,,toku ,"nua (archaic), matu'a vahine/matu'a poreko ",madre,"ñuke, chuchu (mother's), kuku (father's), llalla (wife's) ",jagua,jag?ur ?,
43,father ,tata,??,"awki, tata ",tickan ,mama,mama,++,,tofwcha ,"koro (archaic), matu'a tane/matu'a tamaaroa ",padre,"chao, cheche (mother's), ?aku (father's), chedkuy (wife's) ",,,
44,animal ,warqa! ?~? ?ayaw?n !!,??!?,"uywa (domestic), warqa (wild) ",[[]] ,"tayta, yaya",daddy,++,,tshowet ,"ika, manu ",animal,kulliñ ,mbói,,
45,fish* ,"kaul@Uralic,DE!",??!?,"challwa, chawlla ",ckacktchi ,uywa,?ayaw?n  ??????  gyanwar@pers,+++,,w’ahat ,ika ,"pez, pescado",challwa ,taso,,
46,bird* ,"Musi! Tchir(p)!!! <> much, many!!",~?? ,ja.mach'i ,la(a)tchir ,challwa,,,,afwenche ,manu ,"ave, pájaro",üñüm ,yvyra,,
47,dog* ,hun’,~?? -,"anu, anuqara ",lockma ,lluta,Flute <> Leute?,<<,,asinoj ,paihenga ,Perro <> bello!?,trewa ,ka'aguy,,
48,louse* ,laupsa,~?? -,lap'a ,"hebir, horckan ",allqu,al g?u ?   ,+?,,lha’ ,kutu ,piojo,tün ,pokoka,poke,
49,snake ,ka’ar!  Cnatter!,~? !!!!?,"katari, asiru ",[[]] ,usa,lausa,++!-,,afwotsaj ,? ,"serpiente, culebra","filu, vilu ",yva,,
50,worm ,lauqse,~?? -,laq'u ,? ,"mach'aqway, katari, amaru",,,,"iwus, fwinayhay ",o'i o'i ,gusano,piru ,ta'?i,,
51,tree* ,mu,~?,quqa ,? ,kuru,Krumm kwurm™,++,,hal'o ,miro ,árbol,"mamüll, mamill, aliwe? (native tree) ",togue,,
52,forest ,mu,~?,? ,[[]] ,sacha,s’Esche <> Saxen!?,+<<,,tayhi ,? ,bosque,lemu ,tapo,,
53,stick ,la’acha : ast! <> leash? –,,lawa ,? ,sachakuna,^^,,,lhacha (branch) ,"kohoa, miro ",palo,mamüll ,,,
54,fruit ,,,achu ,? ,kaspi,,,,lha ,kai ,fruta,fü?mamüll ,yvoty,,
55,seed* ,1.thaed karun:Kern,~??? ½ ??!?,"ja.tha, muju ",? ,ruru,fruru,,,tokoslhu’ ,karu ,semilla,"fü?, fün ","ka'a, ñana",,
56,leaf* ,lleapqe lawul leaf <> raupá!!,~?? ??!,llaqa ,ckatta ,muhu,,,,lawule ,"rau, raupá ",hoja,tapül ,sã,seil,
57,root* ,??rw@semit,??,saphi ,ckapar ,laqi,~,,,lafwettsi ,aka ,raíz,folil ,pire,peal  ? pí,
58,bark* (from tree) ,"kiri~kar,cortez",??,? ,tchacktchastur ,sapi,Sap <> saft,,,,kiri ,corteza,trolüf ,so'o,corne,
59,flower ,<< 5? O?,,panqara ,"putchur, tticka ",qara,kara@slavic ??? q?r?ft@Sem,+++,,lhawu ,"pua, tiare (Tahitian) ",flor,rayen ,tuguy,,
60,grass ,"<>cut, chop",~??? ½ ,chhuxlla ,ckautcha ,wayta,~ vlayta flower/blühte,++?,,hep ,mouku ,"hierba, pasto",kachu ,kangue,,
61,rope ,Tau! >>,~??? ½ ,phala ,misckar ,qura,qurass grass,,,niyokw ,taura ,cuerda,zef ,ñandy,,
62,skin* ,1.nchi~skin,~??? ½ ,janchi ,ckati ,waska,?????,-<,,tot’oj ,kiri ,piel,Trawa ~~ derma,tupi'a,,
63,meat ,Chicarne –,~??? ½ ,"ay.cha, chichi ",? ,qara,carne ????,,,t’isan ,kiko ,carne,ilo ,jepoka,poke^^,
64,blood* ,bilaod!,~??? ½ ,wila ,laari ,aycha,Fleischa,,,w’uyis ,toto ,sangre,mollfüñ ,tuguái,~,
65,bone* ,<<,,ch'akha ,? ,yawar,? ? ? ?,!!! <<,,lhile ,ivi ,hueso,foro ,tague,tag,
66,fat* (n.) ,,,lik'i ,? ,tullu,Teil?,--,,tulupe’ (Spanish) ,nako ,grasa,yiwiñ ,áva,avhaar,
67,egg* ,huhnvo!!!! huevo <>,~??,"k'anwa, k'awna ",ckauti ,wira,,--,,lhech’e ,mamari ,huevo,kuram ,akã,a’kop,
68,horn* ,<< ???  ,,waxra ,backra ,runtu,rund;) arrautza@bask--,+-?,,toch’e ,? ,cuerno,müta  ? ,nambi,,
