 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
112	to hunt (transitive) 	వేటాడు (vēṭāḍu) 	vita.jagt.un		வேட்டையாடு (veettaiyaadu) 	നായാട് (/n̪aːjaːʈɨ̆/), വേട്ടയാട് (/ʋeːʈʈajaːʈɨ̆/) 	ಬೇಟೆಯಾಡು				
113	to hit 	కొట్టు (koṭṭu) 	cut>hit		அடி (adi), தாக்கு (thaaku) 	തല്ല് (/t̪allɨ̆/), അടിക്ക് (/aʈikkɨ̆/), അടി (/aʈi/), തട്ട് (/t̪aʈʈɨ̆/), കൊട്ട് (/koʈʈɨ̆/) 	ಹೊಡೆ				
114	to cut 	కోయు (kōyu) 	koy+vet = cut		வெட்டு (veṭṭu),அரி (/aɾi/) (chop),முறி (/muri/),கொய் (/koi//) (for harvesting) 	മുറിക്ക് (/murikkɨ̆/), വെട്ട് (/ʋeʈʈɨ̆/), കോത് (/koːt̪ɨ̆/) (lop off), കൊയ്യുക (/kojjuka/) (for harvesting), ചെത്ത് (/t͡ʃet̪t̪ɨ̆/) (trim or slice off), പൂള് (/puːlɨ̆/) (slice), അരി (/aɾi/) (chop) 	ಕತ್ತರಿಸು				
115	to split 	చీల్చు (cīlcu) 	s’pilat		பிள (pila) 	പിളർക്ക് (/piɭaɾkkɨ̆/), പൂള് (/puːlɨ̆/) (slice) 	ಸೀಳು				
116	to stab (or stick) 	పొడుచు (poḍucu), కుచ్చు /kuɕːu/ 			குத்து(kuthu) 	കുത്ത് (/kut̪t̪ɨ̆/) 	ಇರಿ				
117	to scratch (an itch) 	గీరు (gīru) 	kara=kralle		சொரி (sori) 	ചൊറിയ് (/t͡ʃorijɨ̆/), മാന്ത് (/maːn̪t̪ɨ̆/) 	ಕೆರೆ				
118	to dig 	తవ్వు (tavvu) 			தோண்டு (thondu) 	കുഴിക്ക് (/kuɻikkɨ̆/), തോണ്ട് (/t̪oːnʈɨ̆/), മാന്ത് (/maːn̪t̪ɨ̆/) 	ತೋಡು				
119	to swim 	ఈదు (īdu) 	water vs ter < iter < water 🗸?		நீந்து (neenthu) 	നീന്ത് (/n̪iːn̪t̪ɨ̆/) 	ಈಜು				
120	to fly 	ఎగురు (eguru) (intransitive), ఎగరవేయు (egaravēyu) (transitive) 	பற (paṟa) > fly		பற (paṟa) 	പറക്ക് (/parakkɨ̆/) 	ಹಾರು				
121	to walk 	నడుచు (naḍucu) 			நட (nada) 	നടക്ക് (/n̪aʈakkɨ̆/), നട (/n̪aʈa/) 	ನಡೆ				
122	to come 	వచ్చు (vaccu) 	va!	🗸	வா (vā) 	വരുക (/ʋaɾuka/), വാ (/ʋaː/) 	ಬಾ				
123	to lie (as on one's side) 	పడుకొను (paḍukonu) 			கிட (kida),படு(/padu/), 	കിടക്ക് (/kiʈakkɨ̆/), കിട (/kiʈa/), ചായ് (/t͡ʃaːjɨ̆/) (repose; from lean to a side), ചരിയ് (/t͡ʃaɾijɨ̆/) (repose; from lean to a side) 	ಪಡು				
124	to sit 	కూర్చొను (kūrconu) 	Kur.knie	!!<<<+	உட்கார் (uṭkār),இரு (/iru/) 	ഇരിക്ക് (/iɾikkɨ̆/), ഇരി (/iɾi/) 	ಕೂರು				
125	to stand 	నిలుచొను (niluconu), నిలబడు (nilabaḍu) 	NOT knie	!!<<<+	நில் (nil) 	നിൽക്ക് (/n̪ilkkɨ̆/), നിക്ക് (/n̪ikkɨ̆/) 	ನಿಲ್ಲು				
126	to turn (change direction) 	తిప్పు (tippu) (transitive), తిరుగు (tirugu) (intransitive) 	tip, turu.gu		திரும்பு (thirumbu), மடங்கு(/madangu/ 	തിരി (/t̪iɾi/) 	ತಿರುಗು)				
127	to fall (as in drop) 	పడు (paḍu) 	patsch,		விழு (vizhu) 	വീഴ് (/ʋiːɻɨ̆/) 	ಬೀಳು				
128	to give 	ఇచ్చు (iccu) 			தா (thā), கொடு(/kodu/),நல்கு(/nalku/)(other than Things), ஈ(/e/)(Donate) 	താ (/t̪aː/), തരുക (/t̪aɾuka/), കൊട് (/koʈɨ̆/), നൽക് (/n̪alkɨ̆/) 	ಕೊಡು				
129	to hold (in one's hand) 	పట్టుకొను (pattukonu) 			கொள் (koḷ), பிடி (pidi) 	പിടി (/piʈi/), പിടിക്ക് (/piʈikkɨ̆/) 	ಹಿಡಿ				
130	to squeeze 	పిసుకు (pisuku) 			கசக்கு (kasakku), பிழி(/piɻi/) 	ഞെക്ക് (/ɲekkɨ̆/), ഞെരുക്ക് (/ɲeɾukkɨ̆/), പിഴി (/piɻi/) 	ಹಿಚುಕು				
131	to rub 	రుద్దు (ruddu) 	Rub ~ rud	~	தேய் (thei),உரை(/urai/) 	ഉരയ്ക്ക് (/uɾajkkɨ̆/), തൂക്ക് (/t̪uːkkɨ̆/), തലോട് (/t̪aloːt̪ɨ̆/), തേയ്ക്ക് (/t̪eːjkkɨ̆/) 	ಉಜ್ಜು				
132	to wash 	కడుగు (kaḍugu) 			கழுவு (kaḻuvu) 	കഴുക് (/kaɻukɨ̆/) 	ತೊಳೆ, ಒಗೆ, ಕುಸುಬು				
133	to wipe 	తుడుచు (tuḍucu) 			துடை (thudai) 	തുടയ്ക്ക് (/t̪uʈajkkɨ̆/), തൂക്ക് (/t̪uːkkɨ̆/) 	ಒರೆಸು				
134	to pull 	లాగు (lāgu) 	pull a leg		இழு (izhu) 	വലിക്ക് (/ʋalikkɨ̆/) 	ಎಳಿ				
135	to push 	నెట్టు (neṭṭu), తోయు (tōyu) 			தள்ளு (thallu) 	തള്ള് (/t̪aɭɭɨ̆/), തെള്ള് (/t̪eɭɭɨ̆/) 	ನೂಕು				
136	to throw 	విసురు (visuru) 			வீசு (visu),எறி(/eri) 	എറിയ് (/erijɨ̆/) 	ಎಸಿ)				
137	to tie 	కట్టు (kaṭṭu) 	Kutte		கட்டு (kaṭṭu) 	കെട്ട് (/keʈʈɨ̆/) 	ಕಟ್ಟು (kaṭṭu)				
138	to sew 	కుట్టు (kuṭṭu) 	Kutte		தை (tai) 	തൈക്ക് (/t̪aɪkkɨ̆/), തയിക്ക് (/t̪ajikkɨ̆/), തുന്ന് (/t̪unnɨ̆/) 	ಹೊಲಿ				
139	to count 	లెక్కించు (lekkincu) 			எண் (eṇ) 	എണ്ണ് (/eɳɳɨ̆/) 	ಎಣಿಸು				
140	to say 	చెప్పు (ceppu) 	<<		சொல் (sol),மொழி (/moli/) 	പറയ്‌ (/parajɨ̆/), ചൊല്ല് (/t͡ʃollɨ̆/) മൊഴിക്ക് (/moɻikkɨ̆/) 	ಹೇಳು				
141	to sing 	పాడు (pāḍu) 			பாடு (pādu) 	പാട് (/paːʈɨ̆/) 	ಹಾಡು				
142	to play 	ఆడు (āḍu) 			விளையாடு (vilaiyādu) 	കളി (/kaɭi/), കളിക്ക് (/kaɭikkɨ̆/), ആട് (/aːʈɨ̆/) 	ಆಡು				
143	to float 	తేలు (tēlu) 	ter@hind	🗸	மித (mitha) 	പൊങ്ങ് (/poŋŋɨ̆/), പൊന്ത് (/pon̪t̪ɨ̆/) 	ತೇಲು				
144	to flow 	పారు (pāru) 	<<		ஒழுகு (ozhugu),பாய்(/paai/) 	ഒഴുക് (/oɻukɨ̆/), ഒലിക്ക് (/olikkɨ̆/) 	ಹರಿ				
145	to freeze 	గడ్డకట్టు (gaḍḍakaṭṭu) 			உறை (uRai) 	ഉറയ്ക്ക് (/urajkkɨ̆/), കട്ടയാക് (/kaʈʈajaːkɨ̆/) 	ಹೆಪ್ಪುಗಟ್ಟು				
146	to swell 	వాచు (vācu) 			வீங்கு (veengu) 	വീർക്ക് (/ʋiːɾkkɨ̆/) 	ಊದು				
147	sun 	సూర్యుడు (sūryuḍu), పొద్దు (poddu) 	సూర్యుడు (sūryuḍu), nay.RA, ?	🗸 ++ - ?	ஞாயிறு (ñāyiṟu) 	ഞായർ (/ɲaːjaɾ/) 	ಹೊತ್ತು				
148	moon 	చంద్రుడు (caMdruḍu), చందమామ (caMdamāma), నెలవేల్పు (nelavēlpu) 	camdra vs sundra	🗸🗸	நிலா (/nilā/),திங்கள்(/thingal/)மதி (/mathi/) 	തിങ്കൾ (/t̪iŋkaɭ/), നിലാവ് (/n̪ilaːʋɨ̆/) 	ತಿಂಗಳು				
149	star 	నక్షత్రం (nakṣatraM), తార (tāra), చుక్క (cukka) 	(s)tara	🗸🗸	விண்மீன் (viṇmīṉ), (natchatram) 	താരം (/t̪aːɾam/) 	ಅರಿಲು, ಚುಕ್ಕೆ				
150	water 	నీరు (nīru) 	naur	🗸🗸	நீர் (nīr) 	വെള്ളം (/ʋeɭɭam/), നീർ (/n̪iːɾ/) 	ನೀರು				
151	to rain 	కురియు (kuriyu), వర్షించు (varṣiMcu) 	kurain!!	<<<	மழை பொழி (/mazhaipozhi/), மாரி(/Maari/) 	പെയ്യുക (/pejjuka/), പൊഴി (/poɻi/) 	ಮಳೆಸುರಿ				
152	river 	నది (nadi) 	nauti	🗸🗸	ஆறு (āṟu) 	പുഴ (/puɻa/), ആറ് (/aːrɨ̆/) 	ಹೊಳೆ				
153	lake 	సరస్సు (sarassu) 	sea, earl?		ஏரி (eri) 	കായൽ (/kaːjal/) 	ಕೆರೆ)				
154	sea (as in ocean) 	సముద్రం (samudraM) కడలి (kaḍali) 			கடல் (kadal) 	കടൽ (/kaʈal/) 	ಕಡಲು				
155	salt 	ఉప్పు (uppu) 			உப்பு (uppu) 	ഉപ്പ് (/uppɨ̆/) 	ಉಪ್ಪು (uppu)				
156	stone 	రాయి (rāyi) 			கல் (kal) 	കല്ല് (/kallɨ̆/), കൽ (/kal/) 	ಕಲ್ಲು				
157	sand 	ఇసుక (isuka) 			மணல் (manal) 	മണൽ (/maɳal/), പൂഴി (/puːɻi/) 	ಮರಳು, ಉಸುಕು				
158	dust 	దుమ్ము (dummu) 	dunst@Hind	🗸	புழுதி (puzhudhi), தூசு (thoosu) 	പൊടി (/poʈi/), കാരം (/kaːɾam/) 	ದುಂಬು				
159	earth (as in soil) 	మన్ను (mannu), మట్టి (maṭṭi), నేల (nēla) 	Mud = Mutter-Erde	🗸🗸	மண் (maṇ=sand) ,நிலம்(/nilam/) 	മണ്ണ് (/maɳɳɨ̆/), മണ്‍ (/maɳ/) നിലം (/n̪ilam/) 	ನೆಲ				
160	cloud 	మబ్బు (mabbu) 			முகில் (/Mugil/), மேகம் (mēgam) 	മേഘം (megham) 	ಮೋಡ				
161	fog 	పొగమంచు (pogamancu) 			பனி (pani) 	മഞ്ഞ്‌ (/maɲɲɨ̆/) പനി- (/pani-/) 	ಕಪ್ಪೆ				
162	sky 	నింగి (ningi), ఆకాశం(ākāśaM] 			வானம் (vaanam),விண்(/vin/) 	വാനം (/ʋaːnam/), മാനം (/maːnam/), വിണ്ണ് (/ʋiɳɳɨ̆/) 	ಮುಗಿಲು				
163	wind (as in breeze) 	గాలి (gāli) 	gale	🗸	காற்று (kāṟṟu) 	കാറ്റ് (/kaːrrɨ̆/) 	ಗಾಳಿ)				
164	snow 	మంచు (mancu) 			பனி (pani) 	മഞ്ഞ്‌ (/maɲɲɨ̆/) (from mist/fog) പനി- (/pani-/) 	ಮಂಜು				
165	ice 	గడ్డమంచు (gaḍḍamancu) 			பனிக்கட்டி (panikkatti) 	മഞ്ഞുകട്ട (/maɲɲukaʈʈa/) (from mist+solid) 	ಮಂಜುಗಡ್ಡೆ				
166	smoke 	పొగ (poga) 			புகை (pukai) 	പുക (/puka/) 	ಹೊಗೆ (hoge)				
167	fire 	మంట (maNța), నిప్పు (nippu) 			தீ (thee),நெருப்பு(/neruppu/) 	തീ (/t̪iː/) 	ಬೆಂಕಿ				
168	ash 	బూడిద (būḍida) 			சாம்பல் (saambal) 	ചാമ്പൽ (/t͡ʃaːmpal/), ചാരം (/t͡ʃaːɾam/), കാരം (/kaːɾam/), കരി (/kaɾi/) 	ಬುಗ್ಗಿ				
169	to burn (intransitive) 	కాలు (kālu), మండు (maNḍu) 			எரி (eri) 	എരിയ് (/eɾijɨ̆/), കത്ത് (/kat̪t̪ɨ̆/) (also ignite), കരിയ് (/kaɾijɨ̆/), കാളുക (/kaːɭuka/) 	ಸುಡು				
170	road 	బాట (bāṭa) 	<		சாலை (chaalai/saalai) வழி(/ʋaɻi/)(Route),தடம்(/thadam/) 	വഴി 	ಹಾದಿ				
171	mountain 	కొండ (koNḍa) 	Konda… !?		மலை (malai), குன்று(/kundru/)(Small hill) 	മല (/mala/), കൊടുമുടി (/koʈumuʈi/) (peak) 	ಬೆಟ್ಟ				
172	red 	ఎర్ర (erra) 	a’red vs lal	! 	சிவப்பு (civappu) சென்(/chen/) 	ചുവപ്പ് (/t͡ʃuʋappɨ̆/), ചെൻ- (/t͡ʃen-/) 	ಕೆಂಪು				
173	green 	పచ్చ (pacca) 			பச்சை (pachai),பசு(/pasu/) 	പച്ച (/pat͡ʃt͡ʃa/) 	ಹಸುರು				
174	yellow 	పసుపు (pasupu) 			மஞ்சள் (manjal) 	മഞ്ഞ (/maɲɲa/) 	ಹಳದಿ				
175	white 	తెల్ల (tella) 	-- 		வெள்ளை (vellai),வெண்(/ʋeɳ/) 	വെള്ള (/ʋeɭɭa/), വെളുപ്പ് (/ʋeɭuppɨ̆/), വെണ്‍- (/ʋeɳ-/) 	ಬಿಳಿ				
176	black 	నల్ల (nalla), కర్రి (karri) 	nil, kara>char	🗸🗸	கருப்பு (karuppu),கார்(/kaar-/),கரு(/karu/) 	കറുപ്പ്‌ (/karuppɨ̆/), കരിം- (/kaɾim-/) 	ಕರಿ				
177	night 	రేయి (rēyi), రాత్రి (rātri), మాపు (māpu) 	<<<<		இரவு (iravu),அல் (/al/) 	രാവ് (/ɾaːʋɨ̆/) 	ಇರುಳು (iruḷu)				
178	day (daytime) 	పగలు (pagalu) 			பகல் (pagal) 	പകൽ (/pakal/) 	ಹಗಲು (hagalu)				
179	year 	యేడు (yēḍu), యేడాది (yēḍādi), సంవత్సరం (saMvatsaraM) 	~? ஆண்டு (āndu) ~ anno ?		ஆண்டு (āndu) 	കൊല്ലം (/kollam/), ആണ്ട് (/aːɳʈɨ̆/) 	ಏಡು (ēḍu)				
180	warm (as in weather) 	వెచ్చని (veccani) 			வெதுவெதுப்பு (vedhuvedhuppu) 	ചൂട് (/t͡ʃuːʈɨ̆/) 	ಬೆಚ್ಚ (becca)				
181	cold (as in weather) 	చల్లని (callani) 	ಕುಳಿರು (kuḷir)  Cold < Kur	🗸🗸	குளிர்ச்சி (kuLirchi),தண்(/than/) 	തണുപ്പ്‌ (/t̪aɳuppɨ̆/), കുളിരുള്ള (/kuɭiɾuɭɭa/) 	ಕುಳಿರು (kuḷir)				
182	full 	నిండు (niNḍu) 			முழு,நிறை(/nirai/) 	നിറഞ്ഞ (/n̪iraɲɲa/) 	ತುಂಬು (tuṃbu)				
183	new 	కొత్త (kotta) 	kadesh	🗸?!	புது (puthu), 	പുതിയ (/put̪ija/), പുത്തൻ (/put̪t̪an/), പുതു- (/put̪u-/) 	ಹೊಸ (hosa)				
184	old 	పాత (pāta) 	pura?		பழைய (pazhaiya),பண்டை(/pandai/) 	പഴയ (/paɻaja/), പണ്ടത്തെ (/paɳʈat̪t̪e/), പഴൻ- (/paɻan-/) 	ಹಳೆ (haḷe)				
185	good 	మంచి (manci) 	much?		நல்ல (nalla) 	നല്ല (/n̪alla/) 	ಒಳ್ಳೆ (oḷḷe), ನಲ್ (nal))				
186	bad 	చెడ్డ (ceḍḍa) 			கெட்ட (ketta) 	കേട് (/keːʈɨ̆/), പന്ന (/panna/) 	ಕೆಟ್ಟ (ketta)				
187	rotten (as, a log) 	కుళ్ళిన (kuḷḷina), చెడిన (ceḍina) 	/		அழுகிய (azhugiya) 	അഴുകിയ (/aɻukija/), ചീഞ്ഞ (/t͡ʃiːɲɲa/), അളിഞ്ഞ (/aɭiɲɲa/) 	ಕೊಳೆತ (koḷeta)				
188	dirty 	మురికైన (murikaina) 			அழுக்கான (azhukkāna) 	അഴുക്ക് (/aɻukkɨ̆/), ചീത്ത (/t͡ʃiːt̪t̪a/) 	ಕೊಳಕು (koḷaku)				
189	straight 	నేరు (nēru) 			நேர் (nēr) 	നേരെ (/n̪eːɾe/), നേർ- (/n̪eːɾ-/) 	ನೇರ (nera)				
190	round 	గుండ్రని (guNḍrani) 			வட்டம் (/vattam/)(Circle), உருண்ட(/Urundai/) 	വട്ടത്തിലുള്ള (/ʋaʈʈat̪t̪iluɭɭa/), ഉരുണ്ട (/uɾuɳʈa/), വട്ടി- (/ʋaʈʈi-/) 	ಗುಂಡು (gunDu)				
191	sharp (as a knife) 	పదునైన (padunaina) 			கூர்மை (koormai) 	കൂർത്ത (/kuːɾt̪t̪a/) 	ಹರಿತ (harita)				
192	dull (as a knife) 	మొండి (mōNḍi), మొద్దైన (moddaina) 			மழுங்கிய (mazhungiya) 	[[]] () 	ಮೊಂಡ (mONDa)				
193	smooth 	నున్నని (nunnani) 			வழுவழுப்பு (vazhuvazhuppu) 	മിനുസ്സമുള്ള (/minus̪s̪amuɭɭa/) 	ನುಣ್ಣಗೆ (nuNNaneya)				
194	wet 	తడి (taḍi) 			ஈரமான (eeramāna),நனைந்த(/nanaintha/) 	നനഞ്ഞ (/n̪anaɲɲa/), ഈർപ്പമുള്ള (/iːɾppamuɭɭa/), ഈറൻ (/iːran/) 	ಒದ್ದೆ (odde)				
195	dry (adjective) 	పొడి (poḍi), ఎండు (ēMḍu) 			உலர்ந்த (ularntha) 	ഉണങ്ങിയ (/uɳaŋŋija/), ഉണക്ക- (/uɳakka-/) 	ಒಣ (oNa)				
196	right (correct) 	సరైన (saraina) 			சரி (sari) 	ശരി (/ɕaɾi/) 	ಸರಿ (sari)				
197	near 	దగ్గర (daggara) 			அருகில் (Arugil), கிட்ட (kiTTa) 	അടുത്ത് (/aʈut̪t̪ɨ̆/), അരികെ (/aɾike/) 	ಹತ್ತಿರ (hattira)				
198	far 	దూరం (dūraM) 			தொலைவு (tholaivu) 	അകലെ (/akale/) 	ದೂರ (dUra), ಗೆಂಟು (geṃṭu)				
199	right (side) 	కుడి (kuḍi) 			வலது (valathu) 	വലത് (/ʋalat̪ɨ̆/) 	ಬಲ (bala)				
200	left (side) 	ఎడమ (eḍama) 			இடது (idathu) 	ഇടത് (/iʈat̪ɨ̆/) 	ಎಡ (EDa)				
201	at 	-వద్ద (-vadda) (location), -వైపు (-vaipu) (direction) 			-இல் (-il) 	-ഇൽ (/-il/), -ഇൽ വെച്ച് (/-il ʋet͡ʃt͡ʃɨ̆/) 	-ಅಲ್ಲಿ (-alli)				
202	in 	-లో (-lō) 	al	SEM	-இல் (-il) 	-ഇൽ (/-il/) 	ಒಳಗೆ (oḷage)				
203	with (accompanying) 	-తో (-tō) 	to, dan<>con	! 	-உடன் (-udan), -ஓடு (-ODu) 	-ന്റെ കൂടെ (/-n̪re kuːʈe/), -ന്റെ ഒപ്പം (/-nre oppam/), -ന് ഒപ്പം (/-nɨ̆ oppam/), -ഓട് കൂടെ (/-oːʈɨ̆ kuːʈe/) 	ಜೊತೆ (jote)				
204	and 	మరియు (mariyu) 	more		-உம் (-um), மற்றும் (matrum), மேலும்(melum) 	-ഉം (/-um/) 	ಮತ್ತು (mattu)				
205	if 	-ఇతే (-itē) 	i’car il<ir		[[]] (-al / endral) 	-ആൽ (/aːl/), -എങ്കിൽ (/eŋkil/)					
206	because 	-వల్ల (-valla), ఎందుకంటే (endukaNṭē) 	weil	! 	ஏனென்றால் (Enendrāl) (endral) 	എന്തുകൊണ്ടന്നാൽ (/en̪t̪ukoɳʈen̪n̪aːl/), -ത് കൊണ്ടാ (/t̪ɨ̆ koɳʈaː/) 	ಯಾಕೆಂದರೆ (Ekendare)				
207	name 	పేరు (pēru)  	*pic-ar pick?		பெயர் (peyar) 	പേര് (pērŭ), പേർ (pēr) 	ಹೆಸರು (hesaru)				
