 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
17	all 	అందరు (andaru) (humans), అన్నీ (annī) (countable nouns), మొత్తము (mottamu) (uncountable nouns) 	andro! Any! 1Y		எல்லாம் (ellām), முழு (/muɻu/)(Whole) 	എല്ലാം (/ellaːm/), എല്ലാ (/ellaː/), മുഴുവൻ (/muɻuʋan/), മൊത്തം (/mot̪t̪am/) 	ಎಲ್ಲ (ella)				
18	many 	చాలా (cālā) 	quel, all, …		பல (pala) 	ഒത്തിരി (ottiri) (a lot), ഏറെ (ēṟe), പല (pala) (various) 	ಹಲ (hala)				
19	some 	కొందరు (kondaru) (humans), కొన్ని (konni) (countable nouns), కొంత (konta) (uncountable nouns) 	count andro con some		சில (cila) 	ചില (/t͡ʃila/) 	ಕೆಲ (kela)				
20	few 	కొన్ని (konni) 	≠ kein 00		கொஞ்சம் (koñcam) 	കുറച്ച് (/kurat͡ʃt͡ʃɨ̆/), ഇത്തിരി (/it̪t̪iɾi/) 	ಕೊಂಚ (kelavu)				
21	other 	వేరే (vērē) ఇతర (itara) 	othera		மற்ற (maṟṟa) 	മറ്റ് (/marrɨ̆/), ഇതര (/it̪aɾa/) 	ಬೇರೆ (bērē)				
22	one 	ఒకటి (okaṭi) 			ஒன்று (oṉṟu), ஒரு(/oɾu/)(a thing)(Single), முதல்(/Mudhal/)(First) 	ഒന്ന് (/on̪n̪ɨ̆/), ഒരു (/oɾu/) 	ಒಂದು (ondu)				
23	two 	రెండు (reṇḍu) 			இரண்டு (iraṇṭu), இரு (/iɾu-/)(Double) 	രണ്ട് (/ɾaɳʈɨ̆/), ഇരു- (/iɾu-/) 	ಎರಡು (eraDu)				
24	three 	మూడు (mūḍu) 			மூன்று (mūṉṟu), மு (/mu-/)(Trible) 	മൂന്ന് (/muːn̪n̪ɨ̆/), മു- (/mu-/) 	ಮೂರು (mooru)				
25	four 	నాలుగు (nālugu) 			நான்கு (nāṉku), நால் (/n̪aːl-/) (Quadruple) 	നാല് (/n̪aːlɨ̆/), നാൽ- (/n̪aːl-/) 	ನಾಲ್ಕು (nālku)				
26	five 	ఐదు (aidu) 			ஐந்து (aintu),ஐ (/ai/) (Quintuple) 	അഞ്ച് (/aɲt͡ʃɨ̆/), അൻ- (/an-/) 	ಐದು (aidu)				
27	big 	పెద్ద (pedda) 	budda baga <> god		பெரிய (periya) 	വലിയ (/ʋalija/), പെരും- (/peɾum-/) 	ದೊಡ್ಡ (doDDa)				
28	long 	పొడవైన (poḍavaina) 			நீண்ட (/n̪iːɳʈa/)( 	നീണ്ട (/n̪iːɳʈa/) 	ನಿಡು (niḍu)				
29	wide 	వెడల్పైన (veḍalpaina) 			அகலமான (akalamāṉa) 	വീതിയുള്ള (/ʋiːt̪ijuɭɭa/), വണ്ണമുള്ള (/ʋaɳɳamuɭɭa/) 	ಅಗಲ (agala)				
30	thick 	మందమైన (mandamaina), చిక్కని (cikkani) 			தடித்த (thaditha) 	കട്ടിയുള്ള (/kaʈʈijuɭɭa/), തടിച്ച (/t̪aʈit͡ʃt͡ʃa/) 	ದಪ್ಪ (dappa)				
31	heavy 	బరువైన (baruvaina) 			கனம் (kaNam) 	കനത്ത (/kanat̪t̪a/), കനമുള്ള (/kanamuɭɭa/) 	ತೂಕ (tūka)				
32	small 	చిన్న (cinna) 	cleinna cucuc	🗸?	சிறு (/ciru/), சின்ன (ciṉṉa),குட்டி (/Kutti/) (miniature) 	ചെറിയ (/t͡ʃerija/), കൊച്ചു (/kot͡ʃt͡ʃu/), കുഞ്ഞു (/kuɲɲu/) 	ಸಣ್ಣ (saNNa), ಚಿಕ್ಕ (chikka)				
33	short 	పొట్టి (poṭṭi) 	petit	🗸	குறு (/kuru/), குட்டை (kuttai), குள்ள(/kuɭɭa/)(Dwarf) 	കുറു (/kuru/), കുള്ളൻ (/kuɭɭan/) 	ಗಿಡ್ಡ (giDDa), ಕುಳ್ಳ (kuLLa)				
34	narrow 	ఇరుకైన (irukaina), సన్నని (sannani) 	thinna.ny		குறுகிய (kurugiya) 	ഇടുങ്ങിയ (/iʈuŋŋija/) 	ಸಪುರ (sapura)				
35	thin 	సన్నని (sannani), పలుచని (palucani) 	thinna.ny	🗸	மெல்லிய (Melliya) 	നേർത്ത (/n̪eːɾt̪t̪a/), മെലിഞ്ഞ (/meliɲɲa/) 	ತೆಳು (teLu)				
36	woman 	ఆడది (āḍadi), స్త్రీ (strī), మహిళ (mahiḷa) 			பெண் (peṇ) 	പെണ്ണു് (/peɳɳɨ̆/), പെണ്‍- (/peɳ-/) 	ಹೆಂಗಸು, ಹೆಣ್ಣು (hengasu) 	ಪೊಣ್ಜವು poṇjavu, ಎಮ್ಮಳು emmaḷu 	ఆర్ ār, వెయ్లెు veylo, వోతాఢ్ vōtāṛ 	ఆణ్డు āṇḍu, మాఈ māī 	مائى‎ (māī)
37	man (adult male) 	మగవాడు (magavāḍu), పురుషుడు (puruṣuḍu) 			ஆண் (āṇ) 	ആണ് (/aːɳɨ̆/), ആണ്‍- (/aːɳ-/) 	ಗಂಡಸು, ಆಳು (gaNDasu)				
38	man (human being) 	మనిషి (maniṣi) 	మనిషి (maniṣi) !!!	🗸!!?	மனிதன் (maṉitaṉ), ஆள் (/-aːɭ/) 	ആള് (/aːɭɨ̆/), -ആൾ (/-aːɭ/) 	ಮಂದಿ (maṃdi)				
39	child (a youth) 	పిల్ల (pilla) (female), పిల్లవాడు (pillavāḍu) (male) 	fille, fils!!	🗸	குழந்தை (kuḻantai), பிள்ளை (pillai) 	കുട്ടി (/kuʈʈi/), കുഞ്ഞ് (/kuɲɲɨ̆/), പിള്ള (/piɭɭa/), കിടാവ് (/kiʈaːʋɨ̆/) 	ಮಗು (magu), ಕೂಸು (koosu) maxa)				
40	wife 	పెళ్ళాం (peḷḷāṃ), భార్య (bhārya), ఆలి (āli) 			மனைவி (maṉaivi) 	കെട്ടിയവൾ (/keʈʈijaʋaɭ/), മണവാട്ടി (/maɳaʋaːʈʈi/) (bride) 	ಹೆಂಡತಿ (heNDati), ಮಡದಿ (maḍadi)				
