 No. 	English 	Aryan	Lithuanian 	Latvian 	Latgalian 	Samogitian 	Old Prussian
80	foot 	pheda	pėda 	pēda 	pāds 	- 	pēdā
81	leg 		koja 	kāja 	kuoja 	staibis 	aulinis
82	knee 	Kehle! @<<	kelis, kelienis, klupstis 	celis 	ceļs 	- 	klupstis
83	hand 	rank, reich<<<!	ranka 	roka 	rūka 	ronka 	rānkā
84	wing 	Spann <>	sparnas 	spārns 	spuorns 	- 	skreīlīs
85	belly 	fat fetter veders;)	pilvas, viduriai 	vēders 	vādars 	- 	wēdērs
86	guts 		viduriai, žarnos 	iekšas, zarnas 	vydspuse, vydi 	- 	tulawārtis
87	neck 	Gockle <> Gurgle	kaklas 	kakls 	koklys, reikle 	- 	winzus
88	back 	<<	nugara 	mugura 	mugora 	- 	ritiznan
89	breast 		krūtis, papas 	krūts 	kryuts 	- 	kreklan
90	heart 	sheartdis	širdis 	sirds 	sirds 	šėrdis 	sēris
91	liver 		kepenys, jeknos, jaknos 	aknas 	oknys 	- 	jakna
92	to drink 		gerti 	dzert 	dzert, teļst 	- 	pōtwēi
93	to eat 	ēstwen	valgyti, ėsti 	ēst 	ēst 	jiestė 	ēstwen
94	to bite 	Kost ++	kąsti 	kost 	kūst 	- 	aukanstun
95	to suck 	sulk schluck	čiulpti, žįsti 	sūkt 	suļkt 	solptė 	dītun, dastun
96	to spit 	spiit	spjauti 	spļaut 	- 	- 	Wemtweī : vomit
97	to vomit 	vomiti	vemti, riaugėti 	vemt 	vemt 	vemtė 	Sjaūtweī : spit
98	to blow (as wind) 	Pusten <3	pūsti 	pūst 	pyust 	- 	dumtwei
99	to breathe 		kvėpuoti, alsuoti 	elpot 	dvašuot, pyustīs 	- 	dwestwei
100	to laugh 	joke, smit™ smunzel	juoktis 	smieties 	smītīs, krēkt, kecinēt 	- 	smeītun si
101	to see 	Moyti!!! 𓈖𓍇𓏌𓁹 <<<<>>	matyti, regėti, išvysti 	redzēt, manīt 	redzēt 	matītė, iveizietė, primatītė 	wīdātun
102	to hear 	kirditin 𓇥𓂋 gDm !	girdėti, klausytis 	dzirdēt 	dzierdēt, izdzierst 	- 	kīrdītun, klausītun
103	to know (a fact) 	zgnosti, 	žinoti, išmanyti 	zināt 	zynuot 	žėnoutė 	Waīstun <3
104	to think 		galvoti, mąstyti 	domāt 	guoduot, dūmuot 	mėslītė 	pamēritwei, mēritwei
105	to smell 		uosti, uostyti, smirdėti, kvepėti 	ost, saost 	ūst, smuorduot 	- 	wōstun, smīrdītwei
106	to fear 		bijoti 	baidīties, bīties 	beitīs, beisteitīs 	- 	bijāsnan
107	to sleep 	snorsti, kusch, <<>>	miegoti, snausti 	gulēt, dusēt, čučēt 	gulēt 	mėiguotė 	gulētun
108	to live 	Gyventi <<<	gyventi, gyvuoti 	dzīvot 	dzeivuot 	- 	gijwans
109	to die 	mėrtė	mirti, dvėsti, žūti 	mirt 	miert, paguļt 	mėrtė, mėrtė žemien 	aulaut
110	to kill 	galin: killen.tun :) zu.dieth	žudyti, galabyti, užmušti 	galināt, nonāvēt 	nūsist, nuoveit, nūnuoveit 	zurduotė 	galīntun
111	to fight 	qwarrty?	kovoti, kautis, muštis 	cīnīties 	ceikstētīs, veiktīs, atsaturēt 	- 	wālint
112	to hunt 	𓈖𓍇𓏌𓁹  mnetz, mvidio	medžioti 	medīt 	medeit 	- 	medjānē
113	to hit 		smogti, mušti, duoti, trenkti, kirsti, plekštelėti, liuobti, kulti 	sist, sadot 	sist, laubt 	- 	Bruktēt <> brech
114	to cut 	Cirpt >> cept !!!	pjauti, kirpti, kirsti, riekti (bread), kirpti 	griezti, cirpt 	grīzt 	- 	wartint
115	to split 	skelt™ spilt~spadalit!?<	skelti, padalinti <> spliter	sadalīt, šķelt 	padaleit, sadaleit 	- 	spīltun
116	to stab (or stick) 	durt<>dolch?	durti, smeigti, besti 	durt 	dūrt, dūrsteit 	- 	bādīnt
117	to scratch (an itch) 	~ 	drėksti,, draskyti, brėžti, brozdinti, zulinti, kasyti, krapštyti 	skrāpēt 	- 	- 	kīrptun, glāubtun, grāmbintun
118	to dig 	<<	kasti, rausti, rakinėti 	rakt 	rakt, best 	- 	kaptun
119	to swim 		plaukti 	peldēt 	maut 	- 	plūtwei
120	to fly 	!?	skristi, lėkti, skrieti, skraidyti 	lidot 	skraideit, laistīs 	liektė 	skrāistwei, skrītwei, langītwei
121	to walk 	geiht, tzingeln?	eiti, žengti, vaikščioti 	iet 	īt 	ėitė 	eit, zengt
122	to come 	<<	ateiti, atvykti 	nākt 	atīt, īt 	- 	perēitwei
123	to lie (as in a bed) 	Guilty;) >>	gulti (action), gulėti "(state)" 	gulties (action), gulēt "(state)" 	guļtīs (action), gulēt "(state)" 	- 	mēntitun (action), lānzītwei "(state)"
124	to sit 	sedate, sitz, cessti	sėsti (action), sėdėti "(state)" 	sēsties (action), sēdēt "(state)" 	sēdēt "(state)" 	- 	sīstwei (action), sīndītwei "(state)"
125	to stand 	~ 	stoti (action), stovėti "(state)" 	stāties, stāt (action), stāvēt "(state)" 	stuotīs, stuot (action) 	- 	stātwei (action), stalītwei "(state)"
126	to turn (intransitive) 	<<	apsisukti, krypti, kreipti, gręžtis, verstis 	apgriezties 	apsagrīzt 	- 	līnkis, wartīntun, grānztun
127	to fall 	𓐍 𓂋 𓀒	kristi, pulti, virsti, griūti 	krist, kristies 	krist 	kristė, kristė žemien 	krūtwei, wīrstwei, grustwei
128	to give 		duoti, teikti 	dot 	dūt 	doutė 	dātwei
129	to hold 		laikyti, turėti 	turēt 	turēt 	torietė 	lāikāitē
130	to squeeze 		spausti, slėgti, mygti 	spiest, žmiegt 	mīgt, spīst 	- 	glabtun, gnestun, niettrepewīngis
131	to rub 		trinti 	berzt, trīt 	treit, bruozuot 	- 	tirtun
132	to wash 		plauti, skalbti, mazgoti 	mazgāt 	mozguot 	plautė 	aumūtun, mūtun
133	to wipe 		šluoti, valyti 	slaucīt 	slauceit 	- 	klekstātun, skistīntun
134	to pull 		traukti, tempti, vilkti 	vilkt, raut 	viļkt 	- 	tēnstun, wīlktun
135	to push 		stumti, grūsti 	stumt, grūst 	stoßen 	- 	brjaūtun, pistun
136	to throw 		mesti, sviesti 	mest, sviest 	svīst 	laistė 	mestun
137	to tie 		rišti, sieti 	siet 	sīt 	- 	ristun, sēitun
138	to sew 		siūti 	šūt 	šyut 	- 	šūtun
139	to count 		skaičiuoti, skaityti 	skaitīt 	skaiteit 	skaitlioutė 	gīrbautun, skaitātun
140	to say 		sakyti, byloti, tarti, teikti 	teikt, sacīt 	saceit, runuot 	- 	gērdautun, waitjātwei, tarītun
141	to sing 		dainuoti, giedoti 	dziedāt 	dzīduot 	dainioutė 	gremtun
142	to play 		žaisti 	spēlēt 	kaitavuot 	- 	spīlitun
143	to float 		plūduriuoti 	peldēt, pludināt 	mauduot 	- 	plaudīntun
144	to flow 		tekėti, bėgti, srūti, plūsti 	tecēt 	tecēt, skrīt 	- 	tektwei, bēgtwei
145	to freeze 		šalti 	salt 	saļt 	šaltė 	saltwei
146	to swell 		tinti, brinkti, pursti, tvinkti, pūstis 	uztūkt, piebriest 	satyukšt 	porptė 	belztwei, pabelztwei
147	sun 		saulė 	saule 	saule 	saulė 	saūlē
148	moon 		mėnulis, mėnuo, mėnesis 	mēness 	mienesnīks 	mienolis 	mēniks
149	star 		žvaigždė 	zvaigzne 	zvaigzne 	žvaizdė 	lāuksnā
150	water 		vanduo 	ūdens 	iudiņs 	ondou 	wundan
151	rain 		lietus 	lietus 	leits 	lītos 	aglō
152	river 		upė 	upe 	upe 	- 	ape
153	lake 		ežeras 	ezers 	azars 	ežers 	assaran
154	sea 		jūra, marios 	jūra 	jiura 	jūra 	jūrjāi
155	salt 		druska 	sāls 	suoļs 	droska 	sālis
156	stone 		akmuo, kūlis 	akmens 	akmiņs 	kūlis 	stabs
157	sand 		smėlis, žvirgždas, smiltys 	smiltis 	smiļkts 	smėltės 	zigzdā, zwīrkstan
158	dust 		dulkės 	putekļi 	puteklis 	- 	pūslē
159	earth 		žemė 	zeme 	zeme 	žemė 	zemē
160	cloud 		debesis 	mākonis 	muokuļs 	drankis 	wupyan
161	fog 		rūkas, migla, ūkas 	migla 	mygla 	megla 	migla
162	sky 		dangus 	debess, debesis 	dabasi 	dongos 	dāngus
163	wind 		vėjas, vėtra 	vējš 	viejs 	vies, viesos 	wētra
164	snow 		sniegas 	sniegs 	snīgs 	sneigs 	snāigs
165	ice 		ledas 	ledus 	lads 	leds 	leds
166	smoke 		dūmai 	dūmi 	dyumi 	- 	dūms
167	fire 		ugnis 	uguns 	guņs 	ognes 	pannō
168	ash 		pelenai 	pelni 	palni 	- 	pelanē
169	to burn 		degti 	degt 	degt 	- 	degtwei
170	road 		kelias 	ceļš 	ceļš 	- 	pints
171	mountain 		kalnas 	kalns 	kolns 	kalns 	grabis
172	red 		raudonas 	sarkans, ruds (hair) 	sorkons, raudons 	rauduons 	wārmis
173	green 		žalias 	zaļš 	zaļs 	- 	zaljan
174	yellow 		geltonas 	dzeltens 	dzaltons, voskons (poet.) 	geltuons 	gēltāinan
175	white 		baltas 	balts 	bolts, boltons 	balts 	gaīls
176	black 		juodas 	melns 	malns 	juods 	kīrsnan
177	night 		naktis 	nakts 	nakts 	- 	naktis
178	day (daytime) 		diena 	diena 	dīna 	dīna 	deinan
179	year 		metas 	gads 	gods 	metā 	meta, metan
180	warm 		šiltas 	silts 	sylts 	- 	tappis
181	cold 		šaltas 	auksts, salts 	solts 	šalts 	saltan
182	full 		pilnas, kupinas 	pilns 	pylns 	- 	pilnan
183	new 		naujas, jaunas 	jauns 	jauns 	- 	nāuns, mālds
184	old 		senas, senovinis 	vecs, sens 	vacs, senejais 	sens 	wārs
185	good 		geras, labas 	labs 	lobs 	gerā 	labs
186	bad 		blogas, netikęs, prastas, vargingas, nelabas, negeras 	slikts, ļauns 	nalobs 	bluogs 	wārgs, pawārgewingisks
187	rotten 		supuvęs, sutrūnijęs 	sapuvis 	- 	- 	puwwuns
188	dirty 		nešvarus, purvinas, netyras 	netīrs 	nateirs 	- 	mēlins
189	straight 		tiesiai 	taisns, tiešs 	taysnis 	statē 	entìkriskai
190	round 		apskritas, apvalus 	apaļš 	opols 	ožvės 	skrits, ebskrits
191	sharp (as a knife) 		aštrus 	ass 	oss 	- 	astars
192	dull (as a knife) 		bukas, atšipęs, neaštrus 	truls 	neoss 	- 	kams
193	smooth 		glotnus, nugludintas, švelnus, lygus, nešiurkšus 	gluds 	gluds, leidzons 	- 	līgus, izlīgintun
194	wet 		šlapias, drėgnas 	mitrs, slapjš 	volgons, slapnis 	- 	mārks
195	dry 		sausas 	sauss 	sauss 	- 	sāuss
196	correct 		teisingas, tikras 	pareizs, taisnīgs 	pareizs, taisneigs 	- 	tikkars, tikrōmisks, arwiskai
197	near 		arti, šalia, netoli 	tuvs 	tyvs tiveims 	šalėp 	taūwu, pagār, taūws
198	far 		tolus, tolimas, atokus, atstus 	tāls 	toleims 	tuolėi 	tāli, tāls, etāliskan
199	right (side) 		dešinė 	labais, pa labi 	lobais, pa lobai 	- 	tikrā
200	left (side) 		kairė 	kreisā puse 	kairais, kairuo puse 	- 	kāirā
201	at 		į, prie, pas, ties, ant 	pie 	pi 	i 	prēi
202	in 		į, in 	iekš 	vyd 	i 	
203	with 		su, są, san 	ar 	ar 	- 	sa, san
204	and 		ir, bei 	un 	i 	- 	be
205	if 		jei, jeigu, kad 	ja 	ka, kod 	- 	ik, ikkai
206	because 		nes, kad, kadangi, todėl 	tāpēc (ka), jo 	kam, partū ka, deļtuo ka 	todėl, dėl to 	begi, paggan, kaddan gi, stesse paggan
207	name 		vardas, pavadinimas 	vārds 	vuords 	- 	wīrdan, ēmens, ēmen, wirdan
