No. 	English 	Zazaki dımli Iranian@Turkey	VERY INTERSTING PIE	
134	to pull 	anten	Ante anziehn	
135	to push 	cıkuwen	𓋴 𓍿 𓊪 𓂻  drück 𓅱 𓇋 𓆛 𓈖 𓂢 𓂻 	<<
136	to throw 	çekerden	𓋴 𓐍 𓀒 checker?	
137	to tie 	gıredayen	girdeln 𓍿 𓊃 𓋭 cordeln 𓋭 𓊃 𓏲 𓂡 	++
138	to sew 	ronayen	𓂋 𓈖 𓊪 𓅱 𓆶 𓏝 renew <> Reihen (rows) ?	<<
139	to count 	amoren	𒆪𒄯𒊒 ku-mur-ru +more  𒈪𒉡 miʳnu	
140	to say 	vaten	worden uttern	
141	to sing 	deyr vaten	Tier worden?? ^^	<<
142	to play 	kay keden	gay gamekaden	
143	to float 	vaydeyen	Vayd ~ float	
144	to flow 	rodayen	roawd @ rod = river	rudern
145	to freeze 	cemdiyayen (intransitive), cemdınayen (transitive)		
146	to swell 	masayen	much	
147	sun 	tici	ticin <> 𓅭𓇳 dziecię τέκνον 	<<!?
148	moon 	aşmi	aşmoin @ azmin !	<<
149	star 	ıstare	ıstare	
150	water 	aw	agwa awter < ab 	
151	rain 	yağer	yue! yağ@Turk Wässer	
152	river 	ro	rod rover	
153	lake 	dol	Tal	
154	sea 	derya	Tal 3 	
155	salt 	sol	sol™	
156	stone 	si	shi 石 𓊌	!!
157	sand 	kum	cumd, Krume?	
158	dust 	toz	dozt	++
159	earth 	erd	Erde	++
160	cloud 	hor, hewr	qur cover	!!
161	fog 	mıc	mist	
162	sky 	azmin	𓋴 𓏠 𓈖 𓏌 𓍖 𓏥 Šaman asman	<<
163	wind 	rızgar, va	vã, rise-qur? <> free	
164	snow 	vor, vewr	frost	
165	ice 	cemed	cement;)	
166	smoke 	dun	dunst	
167	fire 	koz, adır	kheiz, indra, tyr	
168	ash 	wel	wolke?	
169	to burn 	veşnayen	vesuv?	
170	road 	ray	rayd	
171	mountain 	kol	kor	
172	red 	sur	cir	
173	green 	kho	kḫön	
174	yellow 	zerd	zart zöld geld	
175	white 	sıpe	𓋴 𓈙 𓊪 𓇶 silber sshipe=šıpe	
176	black 	tarı, siyah	swad, kari	~-
177	night 	şew	𓋴 𓃀 𓇼 𓏤  شب ‎šab	
178	day 	roc	rays, raj	
179	year 	serr	serene selene sa.lun syear	
180	warm 	germ	gwarm®	
181	cold 	serd	kyro?	
182	full 	pır	pill	
183	new 	newe	newe	
184	old 	kehan	geron	
185	good 	rınd, weş	rein.de, besser	<<<
186	bad 	aar	arse, raw	
187	rotten 	puç	bad puss	
188	dirty 	pis,	piss;)	
189	straight 	duz	direc?	
190	round 	kılor, klıorek	circle	
191	sharp (as a knife) 	nu		?
192	dull (as a knife) 	kor	"kör kirkiran@Kush kιr@Altai ⲭⲏⲗ <> kújú kúnú kachi кунд kund kütek küt 𓅪𓅪 	קֵהֶה‎ qêhe	ܩܗܝܐ‎ qah "	<<
193	smooth 	pak	ᵇweich? wāc weak	
194	wet 	hi	√heb	
195	dry 	wışk	≠wash	
196	correct 	raşt	right	
197	near 	nezdı	nearz.de	
198	far 	duri	dura	
199	right 	raşt	right	
200	left 	çep	𓎼 𓄿 𓃀 𓂢 𒆏 KAB, GAB2, GUB3  	
201	at 	-de, -a, -e,	a, à, at, de	
202	in 	-de, miyande	^^, among, 𓅓!!	
203	with 	ya, ya piya	ye, y	
204	and 	u	u, y	
205	if 	nara, eger ... ise, -se	𓇋𓂋 !	
206	because 	çünkü	Cause <<	
207	name 	ad, isim 	had>heiß, ism™, sein	
