No. ,English ,Mongolian монгол хэл (mongol hel),NOT much PIE vocab,,,,,
112,to hunt ,агнах (agnah),jagen.ah,,,,,
113,to hit ,цохих (tsohih),chop.ih,,,,,
114,to cut ,хэрчих (herčih)  огтлох (ogtloh),herk!™ : 𓋾 ocut.ler,<<<,,,,
115,to split ,хагарах (hagarah),hacker ^^,^^ ++,,,,
116,to stab ,хатгах (hatgah),hack,,,,,
117,to scratch ,маажих (maažih),<> mesh?,,,,,
118,to dig ,ухах (uhah),<> hau?,,,,,
119,to swim ,сэлэх (seleh),suhle -eh,,,,,
120,to fly ,нисэх (niseh),鸟 niǎos.eh,,,,,
121,to walk ,алхах (alhah),waleg ^^,,,,,
122,to come ,ирэх (ireh),ir!,,,,,
123,to lie (as in a bed) ,хэвтэх (hevteh),hin.tu,,,,,
124,to sit ,суух (suuh),su’,,,,,
125,to stand ,зогсох (zogsoh),Z-s,,,,,
126,to turn (intransitive) ,эргэх (ergeh),<> gyr,,,,,
127,to fall ,унах (unah),hin.ah,,,,,
128,to give ,өгөх (ögöh),ögive,,,,,
129,to hold ,барих (barih),bare™,,,,,
130,to squeeze ,шахах (šahah),~,,,,,
131,to rub ,,,,,,,
132,to wash ,угаах (ugaah),aqua.ah,,,,,
133,to wipe ,,,,,,,
134,to pull ,,,,,,,
135,to push ,,,,,,,
136,to throw ,,,,,,,
137,to tie ,,,,,,,
138,to sew ,оёх (ojoh)  хадах (hadah),,,,,,
139,to count ,тоолох (tooloh),tell™ ,<++,,,,
140,to say ,хэлэх (heleh),tell.eh,,,,,
141,to sing ,дуулах (duulah),dudel,,,,,
142,to play ,тоглох (togloh),,<<,,,,
143,to float ,,,,,,,
144,to flow ,,,,,,,
145,to freeze ,,,,,,,
146,to swell ,,,,,,,
147,sun ,нар (nar),,,,,,
148,moon ,сар (sar),,,,,,
149,star ,од (od),ast.er,,,,,
150,water ,ус (us),us.er,,,,,
151,rain ,бороо (boroo),borain,,,,,
152,river ,гол (gol)  мөрөн (mörön),morain,<<,,,,
153,lake ,нуур (nuur),noir,--,,,,
154,sea ,далай (dalaj),,,,,,
155,salt ,давс (davs),,,,,,
156,stone ,чулуу (čuluu),,,,,,
157,sand ,элс (els),,,,,,
158,dust ,,,,,,,
159,earth ,дэлхий (delhij),delhi? < terrain,,,,,
160,cloud ,үүл (üül),wülke,,,,,
161,fog ,манан (manan)  будан (budan),,,,,,
162,sky ,тэнгэр (tenger)  огторгуй (ogtorguj),tiān.ger,<<,,,,
163,wind ,салхи (salhi),<> sail,,,,,
164,snow ,цас (tsas),,,,,,
165,ice ,мөс (mös),smö snow,,,,,
166,smoke ,утаа (utaa),,,,,,
167,fire ,гал (gal),,---,,,,
168,ash ,үнс (üns)  нурам (nuram),,,,,,
169,to burn ,шатаах (šataah),satan @ Scheit,,,,,
170,road ,зам (zam),sym…? tram? 站 zhàn,,,,,
171,mountain ,уул (uul),ur,,,,,
172,red ,улаан (ulaan),¬lan lilan (-an suffix),,,,,
173,green ,ногоон (nogoon),1.green,,,,,
174,yellow ,шар (šar),sari zerd hh.šá-ir-nu-ya,,< ṣafra,,,
175,white ,цагаан (tsagaan),,--,,,,
176,black ,хар (har),kar,++,,,,
177,night ,шөнө (šönö),somna,,,,,
178,day ,өдөр (ödör),,,,,,
179,year ,жил (žil),Ziel? Teil?,,,,,
180,warm ,дулаан (dulaan),,,,,,
181,cold ,хүйтэн (hüjten),,,,,,
182,full ,,,,,,,
183,new ,шин (šin),xin,,,,,
184,old ,настай (nastaj) (people)  хуучин (huučin) (things),nasty,--,,,,
185,good ,сайн (sajn),sane,,,,,
186,bad ,муу (muu),,,,,,
187,rotten ,,,,,,,
188,dirty ,бохир (bohir),,,,,,
189,straight ,шулуун (šuluun),as.line <> Seil,,,,,
190,round ,дугуй (duguj),,,,,,
191,sharp (as a knife) ,,,,,,,
192,dull (as a knife) ,,,,,,,
193,smooth ,,,,,,,
194,wet ,,,,,,,
195,dry ,,,,,,,
196,correct ,,,,,,,
197,near ,,,,,,,
198,far ,хол (hol),,,,,,
199,right ,,,,,,,
200,left ,зүүн (züün),,,,,,
201,at ,,,,,,,
202,in ,,,,,,,
203,with ,,,,,,,
204,and ,ба (ba),ve,,,,,
205,if ,,,,,,,
206,because ,,,,,,,
207,name ,нэр (ner),𓂋𓈖,,,,,
