English 	Farsi/Persian 			Bengali 	Hindi 	Romani 	IE		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki	
24	three 	the3	🗸	तीन tīn 	سه se 	তিন tin 	tri	🗸🗸	trin 	се 	sê 	سه se 	ਤਿੰਨ 	تین tīn 	तिन 	hri, Hirê	
25	four 	cvhart	🗸	चार chār 	چهار chahår 	চার car 	qtar	🗸	shtar 	чаҳор 	çwar 	چار char 	ਚਾਰ 	چار chār 	चार 	çehar, çahar	
26	five 	pentj	🗸	पाँच pā̃c 	پنج panj 	পাঁচ pãc 	panj	🗸🗸	panzh 	панҷ 	pênc 	پنج panj 	ਪੰਜ 	پانچ pā̃c 	पाँच 	ponc, panc, phonç	
27	big 	Bary / Berg! Bezerk:)	🗸	बड़ा baṛā 	بزرگ bozorg 	বড় bôṛo 	Bary Berg!	🗸	baro 	бузург 	gewre 	گَت gat 	ਵੱਡਾ 	بڑا baṛā 	ठुलो 	gırd, pil	
28	long 	bo’lanɠ’ba	🗸	लम्बा lambā 	بلند boland 	লম্বা lômba 	lamda/longo	🗸🗸	lungo 	дароз 	drêj 	بِلِند belend 	ਲੰਮਾ 	لمبا lambā 	लामो 	derg	
29	wide 	𓀠 great quer pane ^	🗸	चौड़ा chauṛā 	پهن pahn 	চওরা côora 	plane	🗸	bulyho 	васеъ 	pan 	پَن pan 	ਮੋਕਲਾ, ਚੌੜਾ 	چوڑا chauṛā 	फराकिलो,चौडा 	hera	
30	thick 	Gāṛhā ^ mutja mutch great	🗸 ?	गाढ़ा gāṛhā 	کلفت koloft 	মোটা moṭa 		~	thulo 	ғафс 	estûr 	کالفت kaleft 	ਮੋਟਾ, ਗਾੜ੍ਹਾ 	گاڑھا gāṛhā 	मोटो 	dik	
31	heavy 	bary	🗸	भारी bhārī 	سنگین sangin 	ভারী bhari 	baryo	🗸🗸	pharo 	вазнин 	qurs 	سنگین sangin 	ਭਾਰਾ, ਬੋਝਲ 	بھاری bhārī 	गह्रौं,भारी 	hedi	
32	small 	cute	🗸	छोटा choṭā 	کوچک kuchak 	ছোট choṭo 	picino	🗸?	cino 	хурд 	biçûk 	پچوک pechuk 	ਛੋਟਾ 	چھوٹا choṭā 	सानो 	qıtek	
33	short 	cut, skort, kurtx	🗸	संक्षिप्त sankshipt 	کوتاه kutåh 	বেঠে beṭhe 	Short, kurtx	🗸🗸	skurto 	кӯтоҳ 	kurt 	کال kal 	ਮਧਰਾ 	مختصر mukhtsar 	छोटो 	kılm	
34	narrow 	d’Eng	🗸	तंग tang 	تنگ tang 	চিপা cipa 	d’eng	🗸!	tang 	танг 	tesk, teng 	تنگ tang 	ਭੀੜਾ, ਤੰਗ 	تنگ tang 	साँघुरो 	nık	
35	thin 	Platz¬ !	🗸!	पतला patlā 	نازک nåzok 	পাতলা patla 	thino ~ sano	🗸🗸	sano 	нозук 	nasik 	نازک nazek 	ਪਤਲਾ 	پتلا patlā 	पातलो,दुब्लो 	tenik	
36	woman 	@lat? ?	??	औरत aurat 	زن zan 	মহিলা mohila 	joli;)	??	zhulyi 	зан 	jin 	زن zan 	ਜ਼ਨਾਨੀ/ਇਸਤਰੀ 	عورت aurat 	महिला,स्त्री, आइमाई 	cênık, cên	
37	man 	Marder™ admir.al Mr.d.	~🗸?	आदमी/मर्द ādmī/mard 	مرد mard 	পুরুষ purush 	Mr.	🗸	mursh 	мард 	pyaw 	مردی mardi 	ਬੰਦਾ, ਆਦਮੀ 	آدمی/مرد ādmī/mard 	पुरुष 	camerd, cuwamerd	
38	person 	Manusch!	🗸	मनुष्य/इंसान manuṣya/insān 	نفر/کس/انسان ensån/kas/nafar 	মানুষ/লোক manush/lok 		🗸🗸	manush 	нафар 	kes 	آدِم adem 	ਬੰਦਾ, ਮਨੁੱਖ, ਇਨਸਾਨ 	شخص shaks 	व्यक्ति 	ten	
