English 	Farsi/Persian 			Bengali 	Hindi 	Romani 	IE		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki	
110	kill 		🗸	मारना mārnā 	کشتن koshtan 	মারা/মেরে ফেলা mara/mere phêla 	murder	🗸🗸	mudarel 	куштан 	kuştin 	بکاشتن bakashten 	ਮਾਰਨਾ 	مارنا mārnā 	मार्नु 	kıştene	
111	fight 	jaguar jungle larn~warren?	🗸 ™…?	झगड़ना/लड़ना jhagaṛnā/laṛnā 	جنگیدن jangidan 	লড়া lôṛa 	mars!! qvarrel	🗸🗸	marel 	ҷангидан 	şerr kirdin 	بجنگستن bajengesten 	ਲੜਨਾ 	لڑنا/جھگڑنا jhagaṛnā/laṛnā 	झगडा गर्नु 	pero dayene	
112	hunt 	Shirkan chechel carne	🗸!	शिकार करना shikār karnā 	شکار کردن shekâr kardan 	সীকার করা/মৃগয়া করা shikar kôra/mrigoea kôra 	^^	🗸	mudarel 	шикор кардан 	raw kirdin 	اشکار هاکردن eshkar hakerden 	ਟੋਲਣਾ/ਸ਼ਿਕਾਰ ਕਰਨਾ 	شکار کرنا shikār karnā 	शिकार गर्नु 	sayuyane	
113	hit 		🗸<	मारना mārnā 	زدن zadan 	মারা mara 			chalavel 	задан 	lêdan 	بزوئن bazuen 	ਜੜਨਾ 	مارنا mārnā 	हान्नु, हिर्काउनु 	-	
114	cut 		🗸	काटना kāṭnā 	بریدن boridan 	কাটা kaṭa 	schneid.en	🗸	shinel 	буридан 	birrîn 	بَوری‌ین bavriyen 	ਕੱਟਣਾ 	کاٹنا kāṭnā 	काट्नु 	-cıra kerdene	
115	split 	Tear < turn	🗸	तोड़ना toṛna 	شکافتن shekâftan 	ভাগ bhag 	para™	🗸	pharravel 	ҷудо кардан 	jya kirdinewe ਪਾੜਨਾ 	توڑنا toṛna 	च्यात्नु, छुट्याउनु 	-bırnayış			
116	stab 	butcher, zad<cut	🗸	भोंकना bhõknā 	زخم زدن zakhm zadan 	ছোরা মারা chora mara(v) 	push	🗸	pusavel 	захм задан 	xencer lêdan ਖੋਭਣਾ 	گھونپنا ghõknā 	घोप्नु 	-kardi kerdene			
117	scratch 	!	🗸	खरोंचना kharõchnā 	خراشیدن kharâshidan 	খামচানো khamcano (v) 		~	xarundel 	харошидан 	rûşandin ਘਰੂੰਡਣਾ/ਖੁਰਚਣਾ 	کھروچنا kharõchnā 	कोर्नु 	-çızgi eştene			
118	dig 	khora!	! 	खोदना khodnā 	حفر کردن hafr kardan 	খোঁড়া khõṛa 	Hühner;)	🗸?	hunavel 	ҳафр задан 	kollîn 	بکندسن bakendesen 	ਪੁੱਟਣਾ/ਗੋਡਨਾ 	کھودنا khodnā 	खन्नु 	-dik kerdene	
119	swim 	shui.na shui.turn s’watern	🗸!™	तैरना tairnā 	شنا کردن šenâ kardan 	সাঁতরানো shãtrano 			plemel 	шино кардан 	mele kirdin 	هولی هاکردن huli hakerden 	ਤੈਰਨਾ 	تیرنا tairnā 	पौडिनु 	-asnaw kerdene	
120	fly (v.) 	Hoch hora!!	🗸<<	उड़ना uṛna 	پریدن paridan 	ওড়া oṛa 		<<!	ural 	паридан 	firrîn 	بپرستن baperesten 	ਉੱਡਣਾ 	اڑنا uṛna 	उड्नु 	-fılayene	
121	walk 	√gorah! Giraf! Hatarate	🗸! …-	चलना/टहलना calnā/ṭahalnā 	راه رفتن râh raftan 	হাঁটা hãta 	vire faire!	🗸🗸 <!	phirel 	роҳ рафтан 	royîştin 	را بوردن ra burden 	ਤੁਰਨਾ 	چلنا/ٹہلنا calnā/ṭahalnā 	हिड्नु 	-aver şiyayene	
122	come 	an- ‘ome	<🗸	आना ānā 	آمدن âmadan 	আসা asha 		<	avel 	омадан 	hatin 	بموئن bemuen 	ਆਉਣਾ/ਅੱਪੜਨਾ 	آنا ānā 	आउनु 	-ameyene	
123	lie 	LET	🗸	लेटना leṭnā 	خوابيدن/دراز کشيدن khâbidan/derâz kishidan 	শোয়া shoa 			pashlyol 	хобидан/дароз кашидан 	rakişan 	له بوردن le burden 	ਪੈਣਾ 	لیٹنا leṭnā 	पल्टनु, सुत्नु 	-zur kerdene	
124	sit 	betten! Hne¬stand	~🗸 <	बैठना baiṭhna 	نشستن neshastan 	বসা bôsha 			beshel 	нишастан 	daniştin 	هنیشتن henishten 	ਬਹਿਣਾ 	بیٹھنا baiṭhna 	बस्नु 	-roniştene	
125	stand 	khara, dara, ishosta.dan	™™	खड़ा होना khaṛa hona 	istådan/på shodan 	দাঁড়ানো dãṛano 			tordyol 	истодан 	bêstan 	هرستائن herestaen 	ਖੜ੍ਹਨਾ 	کھڑاہونا khaṛa hona 	उभिनु, उठ्नु 	-vindene	
126	turn 	gharat™	🗸! 	मुड़ना muṛnā 	gardidan 	ঘোরা ghora 			boldel 	гардидан 	[[]] 	بگردستن bagerdesen 	ਮੁੜਨਾ/ਮੋੜਨਾ, ਘੁੰਮਣਾ/ਘੁਮਾਉਣਾ 	مڑنا muṛnā 	फर्कनु 	-tadayene	
127	fall 	gir™	🗸!	गिरना girnā 	oftådan 	পড়া pôṛa 	purzel per~fall	🗸	perel 	афтидан 	kewtin 	دکتن daketen 	ਡਿੱਗਣਾ 	گرنا girnā 	खस्नु 	-finiyayene	
128	give 	don	🗸	देना denā 	dådan 	দেত্তয়া dêoa 	dar don	🗸	del 	додан 	dan 	هدائن hedaen 	ਦੇਣਾ 	دینا denā 	दिनु 	-dayene	
129	hold 	pack! Dura!	🗸	पकड़ना pakaṛnā 	negah dashtan 	ধরা dhôra 		~	xutyilel 	нигоҳ доштан 	ragirtin 	نگه داشتن negah dashtan 	ਫੜਨਾ 	رکھنا rakhnā 	समात्नु,रोक्नु 	-tepiştene	
130	squeeze 	qfesh~quetsch	~-	निचोड़ना nichoṛna 	feshordan 	চেপ chep- 			kikidel 	фишурдан 	guşîn ਨਚੋੜਨਾ/ਫਿਹਣਾ 	نچوڑنا nichoṛna 	निचोर्नु 	-sıxkerdene			
131	rub 	scheuer.tun rag~rub	~-	रगड़ना/मलना ragaṛnā/malnā 	sudan 	ঘষা ghosha 			morel 	молидан 	mallîn ਮਲ਼ਨਾ/ਰਗੜਨਾ/ਮਾਂਜਣਾ 	رگڑنا/ملنا ragaṛnā/malnā 	माड्नु 	-sudene			
132	wash 	shuin d’wanna DONAU!	™¡!	धोना dhonā 	shostan 	ধোয়া dhoa 			thovel 	шустан 	shordin 	بشستن bashesten 	ਧੋਣਾ 	دھونا dhonā 	धुनु 	-şutene	
133	wipe 	wischen	~🗸	पोंछना põchnā 	zedudan 	মোছা mocha 	koscher	<	khosel 	пок кардан 	sirrînewe ਹੂੰਝਣਾ 	پونچھنا põchnā 	पुछ्नु 	-esterıtene			
134	pull 	tan<zang,cziehen,quinch	~🗸	खींचना khiinchna 	keshidan 	টানা ṭana 	Kordel!?	<	cirdel 	кашидан 	kêşan 	دَکشی‌ین dakshiyen 	ਖਿੱਚਣਾ 	کھینچنا khiinchna 	तान्नु 	-onciyene	
135	push 	drücken, phueshar≠fetch	~🗸	धक्का देना dhakkā denā 	feshar dådan 	ঠেলা ṭhêla 	puzhd	🗸	pizdel 	фишор додан 	guşar dan 	فشار هدائن feshar hedaen 	ਧੱਕਣਾ 	دھکا دینا dhakkā denā 	धकेल्नु 	-pişar dayene	
136	throw 	√fly? Werƒen < part	~?	फेंकना phẽknā 	part kardan 	ফেলা phêla 	shuttle?	🗸!?	shudel 	андохтан 	hawîştin 	کپّل هاکردن kappel hakerden 	ਸੁੱਟਣਾ 	پھینکنا phẽknā 	फाल्नु, फ्याँक्नु 	-eştene	
137	tie 	band, cordan	🗸!	बाँधना bãndhnā 	gereh zadan 	বাঁধা bãdha 			phandel 	гиреҳ задан 	grê dan ਬੰਨ੍ਹਣਾ 	باندھنا bãndhnā 	gırey kerdene				
138	sew 	sinew!	🗸	सीना sīnā 	dukhtan 	টাঁকা ṭanka 		🗸🗸	suvel 	дӯхтан 	dûrîn 	بَدوتِن baduten 	ਸਿਊਂਣਾ 	سینا sīnā 	सिउनु 	suvetene	
139	count 	gon~coun.tan	~🗸	गिनना ginnā 	shomardan 	গোনা gona 		~<🗸	ginavel 	шумурдан 	bijardin 	بشمارستن beshmaresten 	ਗਿਣਨਾ 	گننا ginnā 	गन्नु 	amortene	
140	say 	cbull.tana  부르다	™ 🗸!!	कहना/बोलना kêhnā/bolnā 	goftan 	বলা bôla 	Phon <> pheme	🗸🗸	phenel 	гуфтан 	witin 	بائوتن bauten 	ਆਖਣਾ/ਕਹਿਣਾ 	کہنا/بولنا kêhnā/bolnā 	भन्नु 	vatene	
141	sing 	chan.tan	🗸	गाना gānā 	khåndan 	গাওয়া gaoa 		<3	gilyabel 	хондан 	goranî witin 	ریکن riken 	ਗਾਉਣਾ 	گانا gānā 	गाउनु 	kılam vatene	
142	play 	Querrel > geil? Bazz?	<+?	खेलना khelna 	båzi kardan 	খেলা khêla 	cpel	~-	khelel 	бозӣ кардан 	kaye kirdin 	کا هاکردن ka hakerden 	ਖੇਡਣਾ 	کھیلنا khelna 	खेल्नु 	kay kerdene	
143	float 	bvasser BUT: water ← 	🗸	बहाव bahāv 	ایستادن 	ভাসা bhasha 			urnel 	истодан 	bêstan 	هرستائن herestaen 	ਤਾਰਨਾ/ਠੇਲ੍ਹਣਾ 	بہاؤ bahāo 	[[]] 	asnaw kerdene	
144	flow 	bach	~🗸	बहना bêhnā 	[[]] 	বহা bôha 			shordyol 	шӯридан 	[[]] ਵਗਣਾ 	بہنا bêhnā 	बग्नु 	şiyayene			
145	freeze 	jom?	®	जमना jamnā 	yakh zadan 	জমা jôma 			pahosajvel 	ях шудан 	bestin ਜੰਮਣਾ 	جمنا jamnā 	जम्नु 	cemed biyayene			
146	swell 	pulse pop	™	फूलना/सूजना phūlnā/sūjnā 	[[]] 	ফাঁপা phãpa 		🗸	shulyol 	бод кардан 	masîn ਸੁੱਜਣਾ/ਫੁੱਲਣਾ 	پھولنا/سوجھنا phūlnā/sūjhnā 	सुन्निनु, फुल्नु 	hera biyayene			
147	sun 	Suray™ ++	🗸🗸™	सूरज sūraj 	khorshid 	সূর্য shurjo 	Komet? 𓋉  𓆎𓏏𓊖	!!	kham 	офтоб 	xwer 	خورشید khorshid 	ਸੂਰਜ 	سورج sūraj 	सुर्य 	roc, roz	
148	moon 	chandlun!	🗸 / ™	चांद chãd 	måh 	চাঁদ cãd 	shine@	~<🗸	shon 	моҳ 	mang 	ماه/مونک mah/munek 	ਚੰਨ 	چاند chãd 	चन्द्र, चन्द्रमा 	aşme, menge	
149	star 	(s)tara!	🗸	तारा/सितारा tārā/sitārā 	setåre 	তারা tara 		~<🗸	cherhaj 	ситора 	estêre 	اساره esare 	ਤਾਰਾ 	تارا/ستارہ tārā/sitārā 	तारा 	astar	
150	water 	PANI™ AB™	🗸 ®?	पानी pānī 	åb 	পানি/জল pani/jôl 	phadjr	~<🗸	paji 	об 	aw 	ئو o 	ਪਾਣੀ 	پانی pānī 	पानी 	ou	
151	rain 	ba’rain, berieseln!	🗸 ++<	बारिश/ bāriś 	bårån 	বৃষ্টি brishti 			brishind 	борон 	baran 	وارش varesh 	ਮੀਂਹ 	بارش/ bāriś 	वर्षा 	şili, varıt	
152	river 	nauti™ route!!	🗸 ++<	नदी nadī 	rudkhåne 	নদী nodi 			len 	дарё 	rûbar 	روخنه/درکا rokhene/derka 	ਦਰਿਆ 	ندی nadī 	नदी 	çay, ro	
153	lake 	Kuhle>jhil, dar.Lache, Pfüzer	??	झील jhīl 	daryåche 	পুকুর pukur 	big water		baro paji 	кӯл 	zeryaçe 	دریامونا deryamuna 	ਝੀਲ 	جھیل jhīl 	ताल 	gol	
154	sea 	sea.meander ™ shui.madr	🗸™™<<	समंदर samandar 	daryå 	সমুদ্র shomudro 	Maria™	🗸🗸	marja baro paji 	баҳр 	zerya 	دریا derya 	ਸਮੁੰਦਰ 	سمندر samandar 	समुन्द्र 	dengız	
155	salt 	nun~natron≠namak	®	नमक namak 	نمک namak 	নুন/লবন nun/lôbon 	@len		lon 	намак 	xwê 	نمک nemek 	ਲੂਣ 	نمک namak 	नुन 	sol	
156	stone 	pethra	🗸!	पत्थर patthar 	سنگ sang 	পাথর pathor 	Pure barren!!	🗸🗸	barr 	санг 	berd 	سنگ/کالوم sang/kalum 	ਪੱਥਰ 	پتھر patthar 	ढुंगा 	kerre, salıke	
157	sand 	maursan’ rot blow!	~🗸 <	रेत]/बालू ret/bālū 	måse 	বালি bali 			kishaj 	рег 	xîz 	ماسه mase 	ਰੇਤਾ 	ریت]/ریگ ret/reg 	बालुवा		
158	dust 	dulst	~	धूल/ख़ाक dhūl/xāk 	gard o khåk 	ধুলো dhulo 			praho 	чанг 	toz ਧੂੜ 	دھول/خاک dhūl/xāk 	धुलो 	dos			
159	earth 	marti, ZaMünDa <> Ma’ter!!	<<<<	भूमि/ज़मीन bhūmi/zamīn 	zamin 	মাটি mati 	ZaMan<>Sky	<<?	phuv 	замин 	zewî 	بنه bene 	ਧਰਤੀ 	ارض/زمین arz/zamīn 	पृथ्वी,जमिन 	erd	
160	cloud 			बादल bādal 	abr 	মেঘ megh 	noir ne@Korean		noro 	абр 	hewr 	میاه miyah 	ਬੱਦਲ 	بادل bādal 	बादल 	hun	
161	fog 	ne@korean  Kura:cloud++	🗸!!	कोहरा kohrā 	meh 	কুয়াশা kuasha 			muglya 	тира 	mij 	میاه miyah 	ਧੁੰਧ 	کہرا kohrā 	कुहिरो 	düman	
162	sky 	wĀsamān <> Asha, Shamash!	<<<<	आसमान āsamān 	åsemån 	আকাশ akash 	Shary aShar!!	🗸<	cheri 	осмон 	asmam 	آسمون asemun 	ਅਸਮਾਨ 	آسمان āsamān 	आकास 	asmen	
163	wind 	havan, havarie, båd boot võd	~	हवा havā 	båd 	বাতাস batash 		<<	balval 	шамол 	ba 	وا va 	ਹਵਾ 	ہوا havā 	हावा 	vad	
164	snow 	بەفرbefr‎ beifair 白发	™🗸🗸!!	बर्फ़ barf 	barf 	বরফ bôrof 			jiv 	барф 	befr 	ورف varf 	ਬਰਫ਼ 	پرف barf 	हिउँ 	vowr	
165	ice 	冰,bīng 白 báing 皑	^^	बर्फ़ barf 	yakh 	বরফ bôrof 			paho 	ях 	seholl 	یخ yakh 	ਬਰਫ਼ 	پرف barf 	बरफ 	cemed	
166	smoke 	Dust d’huǒ 火  	🗸🗸🗸!!	धुंआ dhũā 	dud 	ধুঁয়ো dhũo 			thuv 	дуд 	dûkall 	دی di 	ਧੂੰਆਂ 	دھنواں dhũvā 	धुँवा 	düman	
167	fire 	Ignite <> ash!	🗸 -	आग/अग्नि āg/agni 	åtash, âzar 	আগুন agun 			jag 	оташ 	awir 	تش tash 	ਅੱਗ 	آگ/آتش āg/åtish 	आगो 	adfır	
168	ash 	Charco.al	< 	राख rākh 	khåkestar 	ছাই chai 		🗸🗸	ushara 	хокистар 	xollemêş 	کلین kelin 	ਸੁਆਹ 	راکھ rākh 	खरानी 	eş	
169	burn 	পোরা pora	🗸 …?	जलना jalanā (intr) जलाना jalānā (tr) 	sukhtan (intr) suzåndan (tr) 	পোরা/জলা pora/jôla (intr) পোরানো/জালানো porano/jalano (tr) 	phyrborn	🗸<	phabol 	сӯхтан 	sûtan 	بسوتن basuten 	ਸੜਨਾ/ਸਾੜਨਾ, ਮੱਚਣਾ/ਮਚਾਉਣਾ 	جلنا jalanā (intr) جلانا jalānā (tr) 	बाल्नु,जल्नु 	veşnayene, burnayene	
170	road 	rāstā/rāh 	🗸!	सड़क/मार्ग/रास्ता/राह saṛak/mārg/rāstā/rāh 	råh/råh/khiåbån 	রাস্তা/পথ rasta/pôth 		🗸🗸	drom 	роҳ 	rê 	را ra 	ਸੜਕਰਾਹ 	سڑک/راستہ/راہ saṛak/rāstā/rāh 	सडक 	rahe	
171	mountain 	pahāṛg! Berg! Kuh®	🗸!	पहाड़ pahāṛ 	kuh 	পাহাড় pahaṛ 	plateau??	???	plaj 	кӯҳ 	[[]] 	سی si 	ਪਹਾੜ 	پہاڑ pahāṛ 	हिमाल 	koh	
172	red 	lila, kirmes! > cer,sor	🗸🗸🗸	लाल lāl 	ghermez, sorkh 	লাল lal 		~-	lolo 	сурх 	sûr 	سِرخ serkh 	ਰੱਤਾ/ਸੁਰਖ਼/ਲਾਲ 	لال lāl 	रातो 	sur	
173	green 	Shara ~ cholor @SEM	~	हरा harā 	sabz 	সবুজ shobuj 	Selen = moon!		zeleno 	сабз 	sewz 	سبز sabz 	ਹਰਾ 	ہرا harā 	हरियो 	aşıl	
174	yellow 	pyellawd, zard@SEM	<<!	पीला pīlā 	zard 	হলুদ holud 	gelb	🗸🗸	galbeno 	зард 	zerd 	زرد zard 	ਪੀਲ਼ਾ 	پیلا pīlā 	पहेंलो 	ziyerd	
175	white 	s’white	🗸	सफ़ेद safed 	sefid 	সাদা shada 			parno 	сафед 	spî 	اسپه espe 	ਚਿੱਟਾ 	سفید safed 	सेतो 	sepi	
176	black 	kala color™	🗸	काला kālā 	siåh 	কালো kalo 		🗸🗸	kalo 	сиёҳ 	reş 	سیو siyu 	ਕਾਲ਼ਾ 	کالا kālā 	कालो 	siya	
177	night 		<<<<	रात rāt 	shab 	রাত্র/রাত ratro/rat 			ratyi 	шаб 	şew 	شو sho 	ਰਾਤ 	رات rāt 	रात 	şan	
178	day 	dayn	🗸	दिन din 	ruz 	দিন din 		🗸🗸	dyes 	рӯз 	roj 	روز ruj 	ਦਿਹਾੜਾ/ਦਿਨ 	دن din 	दिन 	ruec	
179	year 	thal=moon	🗸 <?	साल/बरस sāl/baras 	sål 	বছর bôchor 		<<	bersh 	сол 	sal 	سال sal 	ਵਰ੍ਹਾ/ਸਾਲ 	سال/برس sāl/baras 	बर्ष, साल 	serre	
180	warm 	gwarm charm QED	🗸	गर्म garm 	garm 	গরম gôrom 	Hot / therm	🗸~-	tato 	гарм 	germ 	گرم garm 	ਨਿੱਘਾ 	گرم garm 	तातो, न्यानो 	germ	
181	cold 		??	ठंडा ṭhanḍā 	sard 	ঠাণ্ডা ṭhanḍa 	schauder≠chaud	🗸~-	shudro 	сард 	sard 	سرد sard 	ਠੰਢਾ 	ٹھنڈا ṭhanḍā 	चिसो, ठण्डा 	serd	
182	full 	pure pour poly full!	🗸 <<<	पूरा pūrā 	por 	ভরা bhôra 		~	pherdo 	пур 	pirr 	پر per 	ਪੂਰਾ 	پورا pūrā 	भरी, पूर्ण 	pur	
183	new 		🗸	नया nayā 	now 	নতুন notun 		🗸🗸	nyevo 	нав 	nwê 	نو no 	ਨਵਾਂ 	نیا nayā 	नयाँ 	newe	
184	old 	full-anno(year)	🗸!	पुराना purānā 	kohne 	পুরানো purano 	gheron.to	🗸🗸- ½  	phurano 	кӯҳна 	kone 	قدیمی ghadimi 	ਪੁਰਾਣਾ 	پرانا purānā 	पुरानो, बुढो 	kıhan	
185	good 	ACHA, agade, ghubt	🗸 <<<	अच्छा acchā 	khub 	ভালো bhalo 		<<<	lasho 	хуб 	baş 	خار khar 	ਚੰਗਾ/ਵਧੀਆ 	اچھا achchhā 	रामो, असल 	hewl	
186	bad 	bad;) full:foul!  Scrab	🗸	ख़राब/बुरा xarāb/burā 	bad 	খারাপ kharap 	scrab	<<<	nasul 	бад 	xirap 	بد bad 	ਮਾੜਾ/ਬੁਰਾ 	خراب/برا xarāb/burā 	नराम्रो, खराब 	pis	
187	rotten 			सड़ा saṛā 	puside 	পচা pôca 	carne	🗸<	kerno 	пӯсида 	rizîw 	بپیسّه bapisse 	ਬੁੱਸਿਆ/ਗਲਿਆ/ਸੜਿਆ 	سڑا saṛā 	कुहिएको, सडेगलेको		
188	dirty 	mal, mole, char	🗸	मैला/गन्दा mailā/gandā 	cherkin 	ময়লা môela 	mal, mole, melano	🗸🗸	melalo 	чиркин 	pîs 	لَچِر lacher 	ਮਲੀਨ।ਮੈਲਾ 	میلا/گندہ mailā/gandā 	मैलो, फोहर 	pis	
189	straight 	Råst & order,	~🗸	सीधा sīdhā 	råst 	সোজা shoja 	vorta™ order!	🗸🗸	vorta 	рост 	rast 	راست rast 	ਸਿੱਧਾ 	سیدھا sīdhā 	सिधा 	raşt	
190	round 	gerd™	🗸	गोल gōl 	gerd 	গোল gol 		<<	oblo 	гирд 	gird, xirr 	گرد gerd 	ਗੋਲ 	گول gōl 	गोलो		
191	sharp 			तीखा tīkhā 	tiz 	চোক্ষা cokkha 	cutty?		kucime 	тез 	têj, tîj 	تِج tej 	ਤਿੱਖਾ 	تیکھا tīkhā 	तिखो		
192	dull 			कुंद kũnd 	kond 	ভোঁতা bhōm̐ta 			bikucime 	кунд 	kul 	مس مسی mes-mesi 	ਖੁੰਢਾ 	بے حرکت be-harkat 	[[]]		
193	smooth 			[[[चिकना]] ciknā 	ھموار hamvår 	মসৃণ masr̥ṇa 	S-m-t.al	🗸!	samtalo 	ҳамвор 	saf 	ساف saf 	ਕੂਲਾ/ਮੁਲਾਇਮ 	ہموار hamvår 	नरम, चिल्लो		
194	wet 	woda	~🗸	गीला/ओदा gīlā/ōdā 	tar 	ভেজা bheja 	≠kindle!?		kindyilo 	тар 	terr 	تار tar 	ਗਿੱਲਾ 	گیلا/تر gīlā/tar 	भिजेको, चिसो		
195	dry 	secco	🗸	सूखा sūkhā 	خشک khoshk 	শুকনা shukna 	secco	🗸	shuko 	хушк 	wişk 	خاشک khashk 	ਸੁੱਕਾ 	سوکھا/خشک sūkhā/khushk 	सुख्खा, सुकेको		
196	correct 	tick!! 𓏴	🗸🗸 <> 𓏴	ठीक ṭhīk 	درست dorost 	ঠিক ṭhik 	drust trust druid dright!!	🗸🗸<<	uchito 	дуруст 	drust 	درست derest 	ਸਹੀ/ਠੀਕ 	درست/ٹھیک dorost/ṭhīk 	ठिक, सही		
197	near 	nahrzdik?		क़रीब/नज़दीक/के पास qarīb/nazdīk/ke pās 	nazdic 	কাছে kache 	prês	🗸	pashe 	наздик 	nizîk 	نزیک nazzik 	ਨੇੜੇ/ਕੋਲ਼ 	قریب/نزدیک/کے پاس qarīb/nazdīk/ke pās 	नजिक		
198	far 	Duro : long	🗸	दूर dūr 	dur 	দূর dur 		🗸🗸	dur 	дур 	dûr 	دیر dir 	ਦੂਰ 	دور dūr 	टाढा		
199	right 	Råst  🗸  dāyāṅ 𓂧𓂝 𓂞?	🗸 <<<	दायाँ dāyāṅ 	råst 	ডান dan 	Rast 🗸		chacho 	рост 	rast 	راست rast 	ਸੱਜਾ 	دایاں dāyāṅ 	दायाँ dāyāṅ		
200	left 	bei:north-east	🗸	बायाँ bāyāṅ 	chap 	বাঁ bã 			stungo 	чап 	çep 	چپ chap 	ਖੱਬਾ 	بایاں bāyāṅ 	बायाँ bāyāṅ 	çewt	
201	at 	per, para, im, am, me(mit)	🗸	पर/में par/mẽ 	dar 	-এ -e 	À dar! Dort	🗸	kaj 	дар 	le 	دله dele 	ਵਿਖੇ/ਤੇ 	پر/میں par/mẽ 	मा		
202	in 	im, me, ante!	🗸	में/के अन्दर mẽ/ke anḍar 	[[]] 	-এ -e 	Anter, into	🗸	ando 	дар 	de, le 	دله dele 	ਵਿੱਚ 	میں/کے اندر mẽ/ke anḍar 	भित्र, मा 	id	
203	with 	que	🗸	से/के साथ/के पास/के संग se/ke sāth/ke pās/ke sang 	bå 	-র সাথে/সঙ্গে -r shathe/shôngge 	com	🗸	-ca 	бо 	legell 	جه je 	ਨਾਲ਼ 	سے/کے ساتھ/کے پاس/مع se/ke sāth/ke pās/ma' 	सँग 	ebe	
204	and 	or;)	🗸	और aur 	va 	আর/ও/এবং ar/o/ebong 			thaj 	ва 	و o 	u 	ਅਤੇ 	اور aur 	र, तथा 	u	
205	if 	𓇋 𓂋 !!!	🗸 <<<+	अगर agar 	agar 	যদি jodi 	sei 	🗸-	te 	агар 	eger 	اگه age 	ਜੇ 	اگر agar 	यदि 	eke	
206	because 	Car / ?	🗸	क्योंकि kyõnki 	zirå 	কারণ karon 	car	🗸	ke 	зеро 	چون chon 	çun ke 	ਕਿਉਂਕਿ 	کیونکہ kyõnke 	किनभने, किनकी		
207	name 	नाम nām 	🗸	नाम nām 	nåm, esm 	নাম nam 	anaume	🗸~<	anav 	ном 	naw 	نوم num 	ਨਾਂ 	نام nām 	नाम nām 	name	
