№ 	English 	NOT PIE except pronouns!	K'iche' 	Q'eqchi' 	Tzotzil 	Mam 	Yucatec 	Huastec 	Lang7 	Lang8
80	foot 		aqan 	oq 	7okol 		óok 			
81	leg 		a' 	a’ 	7akanil 		óok, u muuk óok 			
82	knee 		ch'ek 	aq 	k’uhav 	ch’ek 				
83	hand 	kapha gabel:give ++++	q'ab' 	uq’m 	k’abal 	q’ab’ 	k'ab 			
84	wing 		xik' 	xik’ 	shik’ 		xiik' 			
85	belly 		pam, jupulik 	sa’ 	tzukut 	k’u’j 	nak 			
86	guts 		ixk'ol 	k'amk'ot, sooyom 	bikil, tzo7 					
87	neck 	Kehle@Tocharian,Peru	qul 	kux, ja’aj 	bikil, tzo7 		kaal 			
88	back 		ij, pak'alik 	ix 	patil 	xyop 	naach 			
89	breast 	tu[t]	tu', tz'um 	tu’ 	chu7il 		iim 			
90	heart 	choor[t]	k'u'x 	ch'ool 	7o7onil 	ánm 	puksi'ikal 			
91	liver 		seseb' 	ch'och' 	sekub 		taaman 			
92	to drink 		qumunik 	uk'ak 	7uch’ 	k’an 	uk'ik 			
93	to eat 		wa'im 	tzakank, wa'ok, tiwok 	7ochan, lahes, ti7 	waa’n 	hanal 			
94	to bite 			qachok 	tzak, ti7 					
95	to suck 			tz'ub'uk 	tz’utz’ 					
96	to spit 			chuub'ak, chuub'ank 	tubah 					
97	to vomit 	kotz--		xa'wak 	shen 		xeej 			
98	to blow (as wind) 			apuunk 						
99	to breathe 	;)		musiq'ak 	7ich’ 7ik’ 					
100	to laugh 			se'ek 	tze7in 		ch'e'ej 			
101	to see 	ir, kayg kuck +++	il, ka’yik, ka’yej 	ilok 	7il, 7ilbe sat, k’ot sat 		il 			
102	to hear 		ta, tatab’enik 	ab'ink 	7a7i 	b’i’n 	u'uy 			
103	to know (a fact) 		eta'm 	nawink 	na7, tz’ak, 7ohtikin 	alón, tzqi’n 	ojel 			
104	to think 		chomanik, no’jinik 	k'a'uxlak 	7a7i, na7 		tuukul 			
105	to smell (sense odor) 		chuwinik 	utz’uk 	7a7ibe 7ik’ 					
106	to fear 		xej 	xiw 	shi7el ba 	xob’ 				
107	to sleep 		waram 	wark 	vay, bat ch’ulel 		wenel 			
108	to live 		k’asi’k 	na'ajink 	naki, kushul 	najl 				
109	to die 		kamik 	kamk 	cham 	chim 	kiimil 			
110	to kill 		kämisaj 	kamsink 	mil 	(kub’) b’yon 	kiinsik 			
111	to fight 			ch'e'ok 	tahin, tzak bail 					
112	to hunt (transitive) 			yohob'k 						
113	to hit 			b'ujuk, ketok 	mah, bah 	(ok) pjun 	jaats'ik 			
114	to cut 	cu’uc -		kuruk 	boh, tuch’ 		xoot 			
115	to split 			kiib'ank, jachok 	hav, t’ah 					
116	to stab (or stick) 			xeq'ok 	pahbe 					
117	to scratch (an itch) 			q'oyok, parok 	hot’ 					
118	to dig 		k'oto 	pikok, aq'ink, b'ekok 	ch’oh, hok’ 					
119	to swim 			numxik 	nushih 		baab 			
120	to fly 	pur-	ropop 	rupik, purik 	vil 					
121	to walk 	Beinen ++	b’inem 	b’eek 	shanav 		xíimbal 			
122	to come 		chul 	chalk, k'ulunk 	tal 		taal 			
123	to lie (as on one's side) 			sotlaak, yoklaak 	puch’etah 					
124	to sit 			chunlaak, woq'laak 	tzuni 		kulen 			
125	to stand 			xaqliik 	noch' 					
126	to turn (change direction) 			b’alq’usink, q’otok 	hoyihes 					
127	to fall (as in drop) 			soq'e'k, tob'b'ak 	tishk'uh, p'ah 		luubul 			
128	to give 			k'ehok 	7ak’ 					
129	to hold (in one's hand) 			q’unuk 	tom 					
130	to squeeze 			pitz’ok, yatz'ok 	pitz’ 					
131	to rub 			jilok, b'iqok 	biulan 					
132	to wash 			ch'ajok, puch'uk 	pok, chuk’ 					
133	to wipe 			mesok 	kus 					
134	to pull 			jukunk, kelonk 	nit 					
135	to push 			minok, tiikink 	shuh, net’ 					
136	to throw 			pumuk, puulesink 	hip, ten 					
137	to tie 			b'ak’ok, jit'ok 	timan 					
138	to sew 			b'ojok, kuuxink 	tz’is 					
139	to count 			ajlank 	pas kwenta 		xook 			
140	to say 		cha 	yehok 	7al 		a'al 			
141	to sing 		b’itza’m, b’itzchil, b’ixonik 	b'ichank 	k’evuhin 		k'aay 			
142	to play 			b’atz’unk 	tahin 		baaxal 			
143	to float 			pamamnak 	kahi 					
144	to flow 			yo i roq 						
145	to freeze 			keho'k 						
146	swell 			siip(ilal), teb'elal 	situbel 					
147	SUN	sax≠sun  kiin~cün	qij' 	saq’e 	k'ak'al 	q’ij 	k'iin 			
148	moon 	iah++	ik' 	po 	7u 	xjaaw 	uh 			
149	star 	che’w  caucast@… !!	ch'umil 	chahim 	k’anal 	che’w 	éek 			
150	water 	Agua ~ ‘ja’	ja' 	ha’ 	vo', 7a'al 	a’ 	ha' 			
151	to rain 	^^	jab' 	hab’ 	vo7 	jb’aal 	ha' 			
152	river 	^^	ja'l 	nima’ 	7uk’um 	nim a’ 				
153	lake 	chad+	cho 	palaw 	nab 		ha' 			
154	sea (as in ocean) 	naub,	palo 	palaw 	nab 					
155	salt 		atz'am 	atz'am 	7atz’am 	á’tz’a 	tab 			
156	stone 		ab'äj, xäq 	pek 	ton 	xaq 	tuun 			
157	sand 	san’	sanayeb' 	samahi’ 	yi' 					
158	dust 		poq 	poqs 	pukuk, 7ik'ubal 	quq 				
159	earth (as in soil) 		ulew 	ch’och’ 	balamil 	tx’otx’ 	luum 			
160	cloud 		sutz' 	choq 	tok 	muuj 				
161	fog 		mayul 	sujew 	lumal tok 		yeeb 			
162	sky 	(s)kaj !!  *an	kaj 	choxa, choxaal 	vinahel 	kya’j 	ka'an 			
163	wind (as in breeze) 		käq’iq’, iq’ 	iq’ 	7ik’ 	chq’iq’ 	íik 			
164	snow 		muqulik sutz’ 	xchu’i keh 	bot 					
165	ice 		abäj tew 	ke 	taiv 					
166	smoke 		sib'el 	sib’ 	ch’ail 	sib’ 				
167	fire 	Charm !	q'aq' 	xam 	k’ok’ 	q’a’q 	k'aak' 			
