No. 	English 	Hindi हिन्दी	PIE	ता<sT		
111	to fight 	लड़ना (laṛnā)	learn;)			
112	to hunt 	शिकार करना (śikār karnā)				
113	to hit 	मारना (mārnā)	maim			
114	to cut 	काटना (kāṭnā)	cut 	++		
115	to split 	बंटना (baṇṭnā)				
116	to stab 	भोंकना (bhoṅknā)				
117	to scratch 	खरोंचना (kharoñcnā)				
118	to dig 	खोदना (khodnā)				
119	to swim 	तैरना (tairnā)	Terra-an ?			
120	to fly 	उड़ना (uṛnā)				
121	to walk 	चलना (calnā)	Schalten & walken			
122	to come 	आना (ānā)	va’an			
123	to lie (as in a bed) 	लेटना (leṭnā)	lethal let down			
124	to sit 	बैठना (baiṭhnā)	Put Bottom @ Bett	! 		
125	to stand 	खड़ा होना (khaṛā honā)				
126	to turn (intransitive) 	मुड़ना (muṛnā)	--			
127	to fall 	गिरना (girnā)	--			
128	to give 	देना (denā)	don			
129	to hold 	पकड़ना (pakaṛnā)	park!			
130	to squeeze 	घुसा देना (ghusā denā)				
131	to rub 	मलना (malnā)				
132	to wash 	धोना (dhonā)				
133	to wipe 	पोंछना (poñchnā)				
134	to pull 	खींचना (khīñcnā)				
135	to push 	धक्का देना (dhakkā denā)				
136	to throw 	फेंकना (pheṅknā)				
137	to tie 	बाँधना (bā̃dhnā)	band	✓ DE		
138	to sew 	सीना (sīnā)	Senew ++	✓		
139	to count 	गिनना (ginnā)	~			
140	to say 	कहना (kahnā)	canon sayin			
141	to sing 	गाना (gānā)	canon sin’a			
142	to play 	खेलना (khelnā)	spieln			
143	to float 	तैरना (tairnā), तैराना (tairānā)	^swim			
144	to flow 	बहना (bahnā)	@Bahn			
145	to freeze 	जमना (jamnā)				
146	to swell 	सूजना (sūjnā)				
147	sun 	सूरज (sūraj)	Solar SunRay 	+++++++		
148	moon 	चांद (cānd)	khmond Khmun > Amon ?	<<	candle chant	
149	star 	तारा (tārā)	sTara	ता<sT		
150	water 	पानी (pānī)	TM			
151	rain 	बारिश (bāriś)	ba’rain	<<		
152	river 	नदी (nadī)	naut	✓ ++		
153	lake 	झील (jhīl)				
154	sea 	समन्दर (samandar)	SeaMeander Salamander > SeeMar	!!!!		
155	salt 	नमक (namak)				
156	stone 	पत्थर (patthar)	Peter potter ‘petra’	PIE!		
157	sand 	रेत (ret)	red desert			
158	dust 	धूल (dhūl)	~			
159	earth 	धरती (dhartī)	dirt	!!<<		
160	cloud 	बादल (bādal)	bad wet			
161	fog 	धुंध (dhundh)	Dunst	✓ DE!		
162	sky 	आसमान (āsmān)	<<<<<<<			
163	wind 	हवा (havā)	havent	<<		
164	snow 	बर्फ़ (barf)	barf vs karv !			
165	ice 	बर्फ़ (barf)				
166	smoke 	धुआँ (dhuā̃)	Dunst धुंध (dhundh)	✓ DE!		
167	fire 	आग (āg)	Fauchr !			
168	ash 	राख (rākh)				
169	to burn 	जलना (jalnā)				
170	road 	सड़क (saṛak)	st’reetc ड़=dreh/hr			
171	mountain 	पहाड़ (pahāṛ)	pa.Kar Berg B-G-R G-B-R		pa=the@EG/Turk/___? <<	
172	red 	लाल (lāl)	lila	++		
173	green 	हरा (harā)	TM	<		
174	yellow 	पीला (pīlā)	pyellow vs gyellow	++		
175	white 	सफ़ेद (safed)	sa’white	++		
176	black 	काला (kālā)	kara color	++		
177	night 	रात (rāt) / नक्ति • (nákti) 	rot~lila !! लाल (lāl)	<<<	lost in translation?	
178	day 	दिन (din)	dayn	✓		
179	year 	साल (sāl)	sara=sun	++		
180	warm 	गर्म (garma)	gwarm charm	++		
181	cold 	ठंडा (ṭhaṇḍā)				
182	full 	पूरा (pūrā)	Pour > poly > full	++<		
183	new 	नया (nayā)		✓		
184	old 	पुराना (purānā)	<!<			
185	good 	अच्छा (acchā)	excel acha < maha	✓		
186	bad 	बुरा (burā)	bu! ra! @Sem burried?			
187	rotten 	सड़ा (saṛā)				
188	dirty 	गन्दा (gandā)				
189	straight 	सीधा (sīdhā)		! 		
190	round 	गोल (gol)	< KAR			
191	sharp (as a knife) 	तीखा (tīkhā)				
192	dull (as a knife) 	कुंद (kund)				
193	smooth 	चिकना (ciknā)				
194	wet 	गीला (gīlā)				
195	dry 	सूखा (sūkhā)	suck?			
196	correct 	सही (sahī)				
197	near 	नज़दीक (nazdīk)	nah, nasty?			
198	far 	दूर (dūr)	f’dar <<	✓		
199	right 	दायाँ (dāyā̃)	<<<<<<<			
200	left 	बायाँ (bāyā̃)	<<<<<<<			
201	at 	पे (pe)	by, upon			
202	in 	में (mẽ)	im			
203	with 	के साथ (ke sāth)	zu’sam (sit)			
204	and 	और (aur)	Or < apart			
205	if 	अगर (agar)				
206	because 	क्योंकि (kyoṅki)				
207	name 	नाम (nām)		✓		
