No. ,English ,Cantonese ??/??? ,Jyutping transcription,Mandarin,PIE,Simplified,Pinyin ,PIE
95,to suck ,"?, ? ","kap1, zyut3",,,? chuò ,x? ,
96,to spit ,"?, ? ","loe1, tou3 / tu1",,,? t?k?ushu? ,t? ,ptu
97,to vomit ,? ,au2,,,? tù ,?u ,boumit@KO
98,to blow ,? ,ceoi1,,,?,chu? ,
99,to breathe ,?? ,fu1 kap1,,,??,h?x? ,
100,to laugh ,? ,siu3,,,?,xiào ,
101,to see ,"?, ? ","gin3, tai2",,,?,kàn ,Kamera –
102,to hear ,? ,teng1,,,?,t?ng ,ding
103,to know ,? ,zi1,,,?? xi?ode ,zh?dào ,si.denk
104,to think ,? ,nam2,,,?,xi?ng ,?
105,to smell ,? ,man4,,,? wén ,xiù ,
106,to fear ,"?, ? ","geng1, paa3",,,?,pà ,
107,to sleep ,? ,fan3,,,? shuìjiào ,shuì ,
108,to live ,? ,saang1,,,?,huó ,< fire?
109,to die ,? ,sei2,,,?,s? ,siech
110,to kill ,? ,saat3,,,?,sh? ,cut
111,to fight ,? ,zaang1,,,?? d?jià ,ch?ojià ,
112,to hunt ,?? ,daa2 lip6,,,??,d?liè ,
113,to hit ,? ,daa2,,,?,d? ,Dan! = stick/do
114,to cut ,"?, ? ","cit3, zin2",,,? qi? ,g? ,cut in two
115,to split ,?? ,pek3 hoi1,,,?? lièk?i ,p?k?i ,? piek
116,to stab ,? ,caap3,,,?,cì ,cess
117,to scratch ,? ,gwaat3,,,? zhu? ,s?o ,
118,to dig ,? ,gwat6,,,? jué ,w? ,
119,to swim ,?? ,jau4 seoi2,,,??,yóuy?ng ,
120,to fly ,? ,fei1,,,?,f?i ,
121,to walk ,? ,haang4,,,? z?ulù ,z?u ,go/zier
122,to come ,? ,lai4,,,?,lái ,alaive!
123,to lie (as in a bed) ,? ,fan3,,,?,t?ng ,tangled;)
124,to sit ,? ,co5,,,?,zuò ,zuòt
125,to stand ,? ,kei5,,,?,zhàn ,zhànd
126,to turn (intransitive) ,? ,zyun3,,,?,zhu?n ,change
127,to fall ,? ,dit3,,,?? diàoxià ,luòxià ,runter
128,to give ,? ,bei2,,,?,g?i ,
129,to hold ,? ,zaa1,,,? ná ,wò ,
130,to squeeze ,? ,gep6,,,?,j? ,
131,to rub ,? ,caat3,,,?,róu ,
132,to wash ,? ,sai2,,,?,x? ,Waxi < shui
133,to wipe ,? ,maat3,,,?,c? ,
134,to pull ,"?, ? ","laai1, maan1",,,?,l? ,@lasche
135,to push ,"?, ? ","teoi1, ung2",,,?,tu? ,!
136,to throw ,"?, ? ","dam2, deu6",,,? di? ,r?ng ,range
137,to tie ,? ,bong2,,,?,b?ng ,band!
138,to sew ,? ,lyun4,,,?,féng ,
139,to count ,? ,sou2,,,? di?n ,sh? ,?
140,to say ,? ,gong2,,,? ji?ng ,shu? ,
141,to sing ,? ,coeng3,,,?,chàng ,
142,to play ,? ,waan2,,,?,wán ,wonder?
143,to float ,? ,fau4,,,?,fú ,
144,to flow ,? ,lau4,,,?,liú ,
145,to freeze ,?? ,git3 bing1,,,?? dòngjié ,jiéb?ng ,
146,to swell ,? ,zoeng3,,,??,péngzhàng ,
147,sun ,"??, ?? ","taai3 joeng4, jat6 tau2",,,??,tàiyáng ,yang~sun!
148,moon ,?? ,jyut6 loeng6,,,??,yuèliàng ,?yu Year jule LUN
149,star ,? ,sing1,,,? héngx?ng ,x?ng ,? sh?ng sbeng?
150,water ,? ,seoi2,,,?,shu? ,washu?
151,rain ,? ,jyu5,,,?,y? ,aqyua  ?? ? ? kyur?
152,river ,"?, ? ","gong1, ho4",,,?,hé ,?
153,lake ,? ,wu4,,,?,hú ,?
154,sea ,? ,hoi2,,,?,h?i ,? shai shui
155,salt ,? ,jim4,,,?,yán ,
156,stone ,? ,sek6,,,? shítóu ,shí ,?? shítóun
157,sand ,? ,saa1,,,?,sh? ,sh?nd
158,dust ,? ,can4,,,??,chént? ,~sand
159,earth ,"?? (planet), ? (soil) ","dei6 kau4, tou2",,,??,Dìqiú®,"qiú®dì <kurdi! ~ ter , tama"
160,cloud ,? ,wan4,,,?,yún ,?
161,fog ,? ,mou6,,,?,wù ,"phwogs, smogs=?"
162,sky ,? ,tin1,,,?,ti?n ,<> ?
163,wind ,? ,fung1,,,?,f?ng ,v?n?
164,snow ,? ,syut3,,,?,xu?® ,k?ri@jap
165,ice ,? ,bing1,,,?,b?ng ,"? báing, peng"
166,smoke ,? ,jin1,,,?,y?n ,? *qin chimney kemuri QED
167,fire ,? ,fo2,,,?,hu? ,phuor@KO
168,ash ,? ,fui1,,,? hu?jìn ,hu? ,?
169,to burn ,? ,siu1,,,?,sh?o ,char s’?
170,road ,"?, ? ","lou6, dou6",,,?,lù ,
171,mountain ,? ,saan1,,,?,sh?n ,
172,red ,? ,hung4,,,?,hóng ,
173,green ,? ,luk6,,,?,l? ,glün lun?  ?
174,yellow ,? ,wong4,,,?,huáng ,
175,white ,? ,baak6,,,?,bái ,
176,black ,? ,hak1,,,?,h?i(r) ,kheira ? ??? hel
177,night ,?? ,je6 maan5,,,??,yèw?n ,?? ? yuewan
178,day ,?? ,jat6 tau2,,,??,báiti?n ,ti?n~dayn
179,year ,? ,nin4,,,?,nián ,Nyearn –
180,warm ,? ,nyun5,,,??,w?nnu?n ,
181,cold ,? ,dung3,,,?,l?ng ,
182,full ,? ,mun5,,,?,m?n ,< Menge
183,new ,? ,san1,,,?,x?n ,
184,old ,? ,gau6,,,? jiù ,l?o ,not young
185,good ,? ,hou2,,,?,h?o ,ghao.de
186,bad ,? ,waai6,,,?,huài ,?
187,rotten ,? ,laan6,,,?,làn ,long
188,dirty ,?? ,wu1 zou1,,,?,z?ng ,
189,straight ,? ,zik6,,,?,zhí ,
190,round ,? ,jyun4,,,?,yuán ,rwyuán.de
191,sharp (as a knife) ,? ,lei6,,,? lì ,ji?n ,< metal
192,dull (as a knife) ,? ,gwat6,,,?,dùn ,
193,smooth ,? ,waat6,,,??,gu?nghuá ,
194,wet ,? ,sap1,,,?,sh? ,?
195,dry ,? ,gon1,,,?,g?n ,
196,correct ,? ,ngaam1,,,? zhèngquè ,duì ,TRUE <> ? SI!
197,near ,? ,kan5,,,?,jìn ,
198,far ,? ,jyun5,,,?,yu?n ,
199,right ,? ,jau6,,,?,yòu ,
200,left ,? ,zo2,,,?,zu? ,
201,at ,? ,hai2,,,?,zài ,az
202,in ,"??, ?? ","leoi3 min6, jap6 min6",,,?...?,zài...l? ,az ? nèi !
203,with ,? ,tung4,,,? g?n ,hé ,"hen, con"
204,and ,"?, ? ","jyu5, tung4",,,? g?n ,hé ,"hen, con"
205,if ,?? ,jyu4 gwo2,,,??,rúgu? ,ergo ??
206,because ,?? ,jan1 wai6,,,??,y?nwèi ,denn.weil!
207,name ,? ,meng2 ,,,? míngzi ,míng ,naming
