Nr,Word,PIE,Yem,Chara,Bench,Dorze
59,NEW,𓇷 cut,gàdd-ō,kˈaːy-a,kʼǎy,ʔolað-a 
60,NIGHT,𒈿𒁕 nud-da,ˈunt-a,urd,kʼamm-a 
61,NOSE,snout,sīy-ā,sˈintʼu,sȉntʼ,sir-e 
62,NOT,𓂜,ánè,=árg
63,ONE,ers-uno,ìs-à,iss-ˈa,mātʼ,iss-ino
64,PERSON,π.às-ù,às-ù,ˈac-a,āc
65,RAIN,ìr-òⁿ,ìr-ò,ˈiːr-a,wòl,ʔir-a
66,RED,𓈙 𓂋 𓅟  šēʔ-à  𓂧 cheirà,šēʔ-à,zˈuw-a,zōkʼ,zoʔo
67,ROAD,𓃀 @ 𓈐 bȍd ≈ path,ùg-nà,bˈuk-a,bȍd # ,ʔog-e
68,ROOT,𓇜 <> 𒁼	išdumₓ,tàs-à,sʼˈaɓ-a,,θapʼ-o
69,ROUND,𓐍,zūːrà-kībbí #,kār
70,SAND,⚠️,fùːt-ū,ˈamš-a,kʼámčʼ,anɕ-o
71,SAY,diçen màk mark!,í,dˈiʔ-en,màk ,gay-ires 
72,SEE,b'eye beäuge,bīy-ā,beʔ-,bēkʼ,θell-ires
73,SEED,Sart zār 𒆰 ziri™ zireð,zāl-ā,dˈukʼ-a,zār,zireð
74,SIT,down,dūw-ū,kalm-ne / ut-na ,wòg ,ʔutt-ires 
75,SKIN,⚠️,wòm-ā,gong-ˈa,bēt ,galb-a 
76,SLEEP,𓋴 𓆼 𓄿 𓇰,àfàʔ-ō,gˈiʔ-,gīs #,ʔeʓʓ-i 
77,SMALL,cuče,gàr-ō,gˈuc-a,yȁrs ,guːð
78,SMOKE,<>  кӏур ḳur ծուխ cux цӏцӏазе c̣̄aze кӏкӏуй ḳ̄uj 𒆪𒌓𒊒 ku…,čūw-ā,čʼˈuy-a,,ɕuw-a
79,STAND,⚠️ …,yēr-ō,aš-ne / neyt-nˈa ,yìtʼ (4),ʔeʔ-ires (5)
80,STAR,sabyt ,bàːkūr-ā,wˈončet-a,šáyt ,θolint-e 
81,STONE,𓊌 𓈙,šūʔ-ā,šuč-
82,SUN,πra,àw-à,oy-ˈa,ōbār,ʔaw-a
83,SWIM,"wet, moist",íč-ō,wˈatʼ-,móšt ,wat-ires
84,TAIL,"𓄓, 𓋴 𓂧 𓄢 Sterz stél 𓂧 𓂋 𓄛 sʼˈer-a ",ùɲ-ū,sʼˈer-a,únk,goyin-a 
85,THAT,eso,āːs ~ hāːs,sˈekn ~ sˈekɐn,ù- # ,ʔekkisi
86,THIS,ein,ān ~ hān,hˈaː-,hà-,hay-ði
87,THOU,ni,nē,nˈe-ni,nȅ,ne-ni
88,TONGUE,⚠️,tèrm-ā,ʔˈinsʼil-a,ěycʼ,inθars-a 
89,TOOTH,𓆓 𓏏 𓄑 qath,àʔy-à,ˈačʼ-a,gǎš,aɕɕ-a
90,TREE,"𓆭 мас (Tung.) “tree” 木	mù	mushù 树 meččä metsä “forest”  
",ìʔ-ō,mˈic-a,,mið
91,TWO, nimen 𐦊,hèp ~ yèp,nɐnt-ˈa,nám,nammʔ-a
92,WALK (GO),,àmà,hˈam-,hām
93,WARM (HOT),𓐍𓅓𓊮 घर्म gharma charm,gùm-ū,bín
94,WATER,aqua wasser,àk-ā,ˈaːsʼ-a,sōʔ ,haːð 
95,WE,on nous,ìnnò,nˈu-ni,nȕ ~ nȕ-nā,nu-ni
96,WHAT,an.wū™,āːnbà / āwū,ˈaː-ze,hǎr,ʔa-zzi
97,WHITE,buð ,fōr-ō,dɐl-ˈa,dȁl,buð 
98,WHO,ò whon?,ò,ˈoː-ne,ó-n,ʔoː-ni
99,WOMAN,miss,mášk-àsū,maš-nˈa,āc-ín,maǯǯas
100,YELLOW,/,bìčʼ-à ,tˈočʼɐr-a,tūrūŋk # 
101,FAR,𓈐 | far (from) | weit weg : wòːk-à,wòːk-à,hák
102,HEAVY,pāy peso,fày-à,baːy-ˈa,pāy,deːθ-o
103,NEAR,da' 	ជិត 	cɨt   𓏏 𓎡 𓈖 𓂻	,tàʔ-à,šík
104,SALT,"⚠️ ϫⲟⲩⲕⲉⲣ ʓeːg-ˈa ""Zeug""",kàw-ō,ʓeːg-ˈa,žég,maθine 
105,SHORT,pecunia,kàw-nà,kʼˈoy-na,ùyntʼ,kʼanð 
106,SNAKE,𓆓𓆓 qoq  šˈoš-a <<,zāw-ā,šˈoš-a,cʼōdń-bàb ~ cʼōdń-bàt ,qoq 
107,THIN,…,bùʔs-à,ʓˈiːm-a,tèp ,leʔe 
108,WIND,…,sìr-ū,čˈub-a,nàrs ,ɕark-o 
109,WORM,𓆓𓆓,tòw-à,dˈunkʼ-a,dàčʼ ,guʈuns 
110,YEAR,Woche 𓆶 𒉿𒂖 piel ⇔ 𒎕 pir Berg,wògg-ā,byárg
