№	English	Akkadian (many spellings!)	IPA Sound 	Akkadian SEM-PIE		Akkadian 	Egyptian many variants		𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections
65	bone	eṣemtum	/eˈsˤem.tum/	 𒄩𒀀𒀸𒊭 •h₃ésth₁ᵘᵐ™		𒉌𒄑 (šamnu) 	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤		𒄑𒆕	(ngiš)gag / DÙᵍ / KAK	𓈎 𓋴 𓌟 qag > qas  ⲕⲁⲥ Кость > 𒄩𒀀𒀸𒊭 •h₃ésth₁  > osteo  <> knee
66	fat (noun)	šamnum	/ˈʃam.num/	Sahm, Sahne			𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …		𒅀?	ìa	𒉌 i₃ 𒉌 li₂, še-mu Sahm 𒊺𒈬 
67	egg	pelûm	/ˈpe.luːm/	balls ≈ 𓁹𓁹 ⲃⲁⲗ  		𒉭 (pelû) 	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎		𒉭	nuz, NUNUZ	Nuss, Negg 𒌐 𒉭 baida beide nuts 𒁉𒉌𒌅 bi-ni-tu 𒉿𒇻  
68	horn	qarnum	/ˈqar.num/	GeHörn		qarnu 	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤		𒋛	si	"𔒂 súʳ 𜒚 saʳ sir शृङ्ग śṛṅgá  ≈ 𒋜 su₄ 𒋗 šu 𒋠	sig₂  𒋝 SIK 𒋛 sig₉"
69	tail	zibbatum	/ˈzib.ba.tum/	Zipfel™		zibbatu 	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  		𒆲	kun	𓄛 cuaᵒⁿ kuon (Esperanto) @ 𓃡 󳢳 󳢴 󳢵 󳢶 󳢷 𓐍 𓃀 𓄢 זָנָב cuanav svans  
70	feather	kappum	/ˈkap.pum/	<<		nāṣu 	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸		𒄑𒉺	(ngiš)pa	GeFieder < 𒁁𒋻 pattar 𓇋 f feather   𓎼 𓃀 𓅬 𑜆𑜢𑜀𑜫 pik
71	hair	šārtum	/ˈʃaːr.tum/	sheer @ sHair		šārtu 	 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 		𒋠	siki	skhair 𒋠 šārtu   𒋛 SÍK silk 𒋠 ŠÍG ≈ 𒆥 šig Zeug
72	head	rēšum, qaqqadum	/ˈreː.ʃum/, /ˈqaq.qa.dum/	ratio fResse 𒅗𒅗™!		rēšu 	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀		𒊕, 𒌋𒅗	sang, ugu	"𒊕𒆠	saĝ-ki saĝki Schädel   𒌋𒅗 Kaᵠ Kopf"
73	ear	uznum	/ˈuz.num/	vozen		uznu 	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔		𒄑𒌇	ngeš.tug	tḥakʷʼum тхьакӏум шэхэн  𒉿  *taliŋa @ Malay
74	eye	īnum	/ˈiː.num/	Eynᵘᵐ		īnu 	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  		𒅆	igi	eygeⁿ
75	nose	appum	/ˈap.pum/	pneuᵒˢ		appu 	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉		𒅗	kiri3,4	ცხვირი cxviri <> curve?  𓈙 𓂋 𓂉 𓄹 širi™ ϣⲁⲓ šai®
76	mouth	pûm	/ˈpuːm/	pheme		pû 	𓂋		𒅗	ka	口 kǒu kau! GeBiss
77	tooth	šinnum	/ˈʃin.num/	zähne		šinnu 	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 		𒅗	zu	ᶜzuth 𓍿 𓊃 𓏏 𓄑
78	tongue (organ)	lišānum	/liˈʃaː.num/	(g)lissan lingua		lišānu 	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓		𒅴	eme	𒅴 ᵠeme~mouth 
79	fingernail	ṣuprum	/ˈsˤu.prum/	spike 𓋁 𓃀 𓌟 𓄹 𓏤 zapfen zinke zacke--		"ṣupru , 𒂇𒋗𒋛;𒂇𒋛𒁲;𒂇𒋗𒍣;𒂆𒋗𒋛	aga-šu-s"	𓋁 𓃀 𓌟 𓄹 𓏤			umbin	𓋁 𓃀 𓌟 𓄹 𓏤 ?
80	foot	šēpum	/ˈʃeː.pum/	zapa™ <> step?		šēpu 	𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 		𒄊	ngìri, GIR₃	𓂻 curir  𓅱 𓂝 𓂋 𓂾 µnair™
81	leg	šēpum	/ˈʃeː.pum/	^^ •kvamču  кӏвач ḳvač  কদম kodom  •calmosu ≈ ϭⲁⲗⲟϫ caloč		kimṣu 	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹		𒈜, 𒌫	pah[LUL], úr	pah[demi] pod
82	knee	birkum	/ˈbir.kum/	𓊪 𓂧 𓂾 𓄹 <> break		birku 	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾		𒄑𒆕	(ngiš)gag	gangnee <> bone
83	hand	qātum	/ˈqaː.tum/	Quaddeln		qātu 	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩		𒋗	buzur, šu	pfoter 手 shǒu cheiro
84	wing	abrum, kappum	/ˈa.brum/, /ˈkap.pum/	𓂧 𓃀 𓄏 •chirp < τερό		kappu 	𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏		𒄑𒉺	(ngiš)pa	'par, opter
85	belly	libbum, karšum	/ˈlib.bum/, /ˈkar.ʃum/	Leib, core, chest		libbu 	𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏		𒋻𒁇	hašbar	
86	guts	errum, libbum	/ˈer.rum/, /ˈlib.bum/	Innerei		erru 	𓃀 𓋴 𓎡 𓅱 𓐎, 𓇋 𓋴 𓐎, 𓄿 𓇋 𓋴 𓐎 , 𓄿 𓋴 𓐎 2. 𓄤 𓂋 𓏏, 𓄤		𒊮	šag4	sack, эсәк@Turk
87	neck	kišādum	/kiˈʃaː.dum/	𓋭 𓅿?		kišādu, labiānu 	𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  		𒄭 	gú	𓐍 𓐍 𓄈 Gurgel collum 𒄑𒆪?
88	back	ṣērum, warkatum	/ˈsˤeː.rum/, /ˈwar.ka.tum/		??	šašallu 	𓊪 𓊃 𓂧, 𓄻 𓄩 𓄦 𓄹, 𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤		𒍨	háš	ha.š 𓐠 后 hòuᶴ hinds-  ha.šâ شا  𓐟 𓏤   ʰachter   iskis,arc, ẓahr 𒆹 sug  ὀπίσθιος  ha.soi ⲥⲟⲓ < ϭⲓⲥⲓ 𓋴𓐠𓂋𓏘  ზურგი zurgi=back #sꜣrꜣq sark@Tocharian > ʃark  
89	breast	irtum	/ˈir.tum/	"𒅕𒌅 	ᵇir-ˢtu"		irtu 	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒		𒃮	gaba	Gebrust(Korb, chest) κιβωτός
90	heart	libbum	/ˈlib.bum/	Leib live love 		libbu 	𓎛 𓄿 𓏏 𓏮 𓄣, 𓄂 𓏏 𓏮 𓄣, 𓇉 𓏏 𓄣, 𓄣 𓏤		𒄯𒄯,𒄯, 𒀚	ur5HAR, šà, lipiš	cœur caeur™, HAR, Liebes, Leibes-
91	liver	kabattum, amūtum	/kaˈbat.tum/, /aˈmuː.tum/	a'milt 𓅓 𓊃 𓏏 𓄹 𓈓		kabattu 	𓅓 𓊃 𓏏 𓄹 𓈓 , 𓏇 𓇋 𓋴 𓏏 𓄹 𓏤 , 𓈘 𓈇 𓋴 𓏏 𓄹 		𒉺? 𒄯𒄯	bà, ur5HAR	hepa <> lipiš
92	to drink	šatûm	/ʃaˈtuːm/	saugt		šatû 	𓃀 𓂝 𓃀 𓂝 𓀢 , 𓃀 𓂝 𓃀 𓂝 𓈗 , 2. 𓏏 𓐍 𓏌 3. 𓋴 𓏴 𓂋 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻, 𓋴 𓅨 𓂋 𓇋 𓈗 𓀁, 𓊃 𓅨 𓂋 𓏊 4. 𓊃 𓃀 𓇋 𓀁 		𒀀𒅘	(a)nang	ndring, nuckel <> nagen
93	to eat	akālum	/aˈkaː.lum/	𓏘 𓏘 𓀁, 𓏶 𓅓 𓀁  		akālu 	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  		𒅥	gu7	kau 𒅥 KU2 ⋍ খা kha @ 口 kǒu
94	to bite	našākum	/naˈʃaː.kum/	𓊃 𓎛 𓄑 𓀁 ana.suck nasch, snack		našāku 	𓊪 𓊃 𓎛 𓄑 𓀁 		𒅗𒁺	zú-gub	Ab-kau;)  𓊃 𓎛 𓄑 𓀁
95	to suck	enēqum	/eˈneː.qum/	nuckel		enēqu 	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘 2. 𓎡 𓆑 𓆑 𓂐 		𒅢	sub	sauf sip  < شَرَاب šarāb  𓋴𓅨𓂋𓇋𓈗𓀁 
96	to spit	nadûm	/naˈduːm/	ana.duo entzwei	✓!? 		𓃀 𓈙 𓂐, 𓊪 𓋴 𓎼 𓂐, 𓊪 𓊃 𓎼 𓄑 𓀁 2. 𓏏 𓈙 𓂐 		𒅲	zug4	𓊃 𓎼 𓄑 𓀁 zpug !
97	to vomit	arûm	/aˈruːm/	𒄬 buru8 brech		arû 	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  		𒄬	buru8	√part,break braak 𓃀 𓈙 𓅱 𓂐 𓏥 breche- botaka egin, pota bota
98	to blow	napāḫum	/naˈpaː.χum/	𓈖 𓆑  anfache!	✓! 	napāxu 	𓋴 𓐍 𓏏 𓀜  2. 𓈖 𓆑 		𒊒	ru	𒉺𒊏𒀀𒄿 (parāi) phaurx <<<
99	to breathe	napāšum	/naˈpaː.ʃum/	𓈖 𓆑 𓊡 𓀜 anpuste	✓! 	napāšu 	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 		𒍥	zi	ziehen 𓊃 𓈖 𓆑 𓏮 𓊡  / zphi 𓍿 𓊪 𓇋 𓂉   շնչել šnčʻel schnarch schnorchel!
100	to laugh	ṣiāḫum	/sˤiˈaː.χum/	kiechern? 𓋴 𓇋 𓏏 𓎸 𓄑 		ṣuxxu 	𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 		𒄿𒋛𒅖;𒀅	išiš2,3	'spass 𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 
101	to see	amārum	/aˈmaː.rum/	admire		amāru 	𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺 		𒅆	si/igi	s'eye
102	to hear	šemûm	/ʃeˈmuːm/	sense semant-		šemû 	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔 2. 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 		𒄑𒌇	ngeš.tug	𓄔 𓄕 𓂈  <> ear take(up)   dangar @ Malay <> denk☑  t'ακούω t'acustic 𒌇 acquire
103	to know	edûm	/eˈduːm/	vidû 		idû 	𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲		𒅗	zu	zava, zai, zhi(dao) 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜
104	to think	𒊮𒁳;𒊮𒆪	šag₄dab;šag₄dab₅	doubt			𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁		𒄑𒌇	ngeš.tug	tug think 𓋴 𓐍 𓆼 𓄿 𓀁 suk ^ hear!  dangar @ Malay <> denk☑  𓄔 𓄕 𓂈 𒌝𒈬𒄣 um-mu-qu deep-thinking
105	to smell	𒄯 ur₅		erë < ḪAR < הריח < heríakh < cheirar < 嗅 xiùʳ odor?  ¦ ريحة rīḥa רֵיחַ réakh riech 		ešēnu ≈ sense	𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 		𒇥 , 𒄯 ur₅	hab2, ir10	ha.bu₄ ha.PÚ  बू bū بو bu бӯй feel bau вуд <> hear? ≠ 𒀴 𒀵 ir11?  ≠ 𒅕 𒇥 kala₃ <> rot  <> šim
106	to fear	𒋢𒍣	su zig₃, 𒉺𒇷𒄴 pa-r-iḫ	𓋴 𓂋 𓅾 Sorge, Sachte!  peur 𒉺𒇷𒄴 pa-r-iḫ, 		palāxu, šaxātu 	𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾		𒅎 𒉎 	ní	𒉎𒊑 ni₂RI 𓈖 𓂋 𓅱 𓆂 𓂡 𓏥  нгэлэ- ŋele- @ Manchuria 𒉆𒋼 nam-te 𒉎𒋼 ni₂teĝ₃ @ night
107	to sleep	"𒅇𒆪;𒅇𒆭	"	u₃ku;u₃ku₄ 𒅇𒁲 u₃-di udi	"šalālup šalāluf, 𒋃𒌅 	šit-tu"		šalālu 𒊓𒆷𒇻  	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  		𒅇	ù	•au 𓂝 𓂝 𓅱 𓏮 𓁺 aaw wey < iph အိပ် yup  фи fi a@Tungus <>  יָשֵׁן  𐎊𐎌𐎐 удуур  sheep 
108	to live	…		belebt		balāṭu 	𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍		𒅊	sig7	√Zeugung ziege, sieg, sangh 生 shēng
109	to die	…		muertu		mâtu 	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  		?, 𒂦 , 𒁁 𒌀 , ?	ug4,5,7,8	𒂦 #Dūr tuer BAD3 𓀐 𓏏  ⚠️  1/til 𒋾 ≈ 𒌀  
110	to kill	…		take down		dâku 	𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 		?, 𒂦 , 𒁁 𒌀 , ?	ug4,5,7,8	𒂦 BAD3 𓀐 𓏏 patay 𓅓 𓏱 𓏏 mipatay!  уби́я ubíja abi
111	to fight	…					𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜			du14	斗 dou duell  𓂚 𓀜
112	to hunt	…		jagtᵘᵐ		ṣâdu 	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 		𒋺	taka	take(down)(animals)  𒁆 takaₓ 𓍿 𓉔 𓅓 țaħaim <> approach
113	to hit	…		nudge		naṭû 	𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡		𒊏	ra	"𒊏𒄴 ra-ah rrah ῥυθμός rhythm ""beat"" ရိုက် ruik reach@right 𓀝 𓂝 ضَرَبَ ḍaraba  <> to stab "
114	to cut	…		encuts 𓈖 𓂧 𓌪		nakāsu 	𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 		𒋻, 𒋻, 𒀝	kud, tar, ša5	cut, tear ☑ 𒀝 shear, sever
115	to split	…		niche!		nesû, šalātu 	𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 		𒁯	dar	<> 𒋻 tear
116	to stab	…				dakāšu 	𓋴 𓂧 𓃀 𓉽 𓏴 		𒊏	ra	"rap #rapāsu Irish: rop <> to hit 𒊏𒄴 ra-ah rrah ῥυθμός rhythm ""beat"""
117	to scratch	…		𓎗 𓌗 𓂋 sxaratsu!		xarāsu 	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 		𒄯	hur	할 @ 𓅃 𓄿 < আঁচোৰ ãsür 𓎗 𓌗 𓂋  ξύω xúō®  ӽарпть خراشیدن xarâšidan גֵּרֵד  
118	to dig	…		xerû carve		napālu, xerû 	𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 		𒁄	bal	buddel @ Beil^2 𒁅  palu@Welsh փորել pʻorel
119	to swim						𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 				
120	to fly	"𒀮𒊒𒋗 	nap-ru-šu"	𒊑;𒄷 dal;dalₓ(HU)	ru-šu rushu rise  𓇋 𓏏 𓏏 𓅯 @ dal.ri 𓅂 tyw طير ṭīr	!		𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 		𒊑	dal	𓇋 𓏏 𓏏 𓅯 @ dal.ri 𓅂 tyw طير ṭīr <> 𓂧 𓂋 𓄛  <> 𓋴 𓁷 𓂋 𓇯 
121	to walk	alākum	/aˈlaː.kum/	walkᵘᵐ		alākum, akāšu 	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 		𒁺	du …	dugaⁿ 𓂧 𓎼 𓄿 𓂾 𓁺 take to
122	to come	𒋞𒅂 #ţēhu 𒋼𒄷 ṭe-ḫu 𒁾	tehi 𒌝 tehi₂ 	𓏏 𓎡 𓂻 take(to) 		ṭexû 	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 		𒁺	du …	<> stand ⚠️
123	to lie (as in a bed)	niālum	/niˈaː.lum/	𓂜!		utulu 	𓋴 𓇥 𓂋 𓁀		𒆪, 𒈿	ku, nud	kuschel-koje nick,nod@night 𓎛 𓈖 𓎡 𓏏 𓋳
124	to sit	wašābum	/waˈʃaː.bum/	! 𓎛 𓈞 𓋴 𓀉 @ bum ;)		wašābu 	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  		"𒅖	sušₓ(IŠ)"	suš	"siss, cess 𒍩	ziz₂ 𒉪 šid₃ 𒂉 tuš "
125	to stand	izuzzum	/iˈzuz.zum/	sess-		izuzzu 	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 		𒁺	gub	⚠️ …
126	to turn (intransitive)	saḥārum	/saˈχaː.rum/	churnᵘᵐ		saxāru 	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  		𒄥	gur	chur[n] gyro curve 𓄲 𓂋 𓂻
127	to fall	maqātum	/maˈqaː.tum/	make.quit ---		maqātu 	𓀒 , 𓐍𓂋𓀒  		𒊒 ⚠️?	šub	sub- <> blow
128	to give	nadānum	/naˈdaː.num/	an.donᵘᵐ		nadānu 	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 		𒁀, 𒊒	ba, ru	bar, put, ruich, reich
129	to hold	kullum, aḫāzum	/ˈkul.lum/, /aˈχaː.zum/	g.holdᵘᵐ 𓈖 𓇥 𓂋 𓀜 @ neck?		naṣāru 	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 		𒁕	da	take touch / don… 
130	to squeeze	mazûm, ḫalāṣum	/maˈzuːm/, /χaˈlaː.sˤum/	mash	✓!	mazû 	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 		𒂡𒂡	hir[KEŠDA]	quetsch 𒂡 KESH 𒆟 KEŠDA 
131	to rub	𒄯, 𒋢𒀝	ur₅, su-ub	ur.ub soap! @Pfote? <> soak 		lapātu 	𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 		𒅢?	sub	sauber, süpürmek, shrub+++ <> wipe
132	to wash	mesûm, raḥāṣum	/meˈsuːm/, /raˈχaː.sˤum/	µwash, remake;)		ramāku 	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 		𒋗𒉀, 𒀀𒋗𒉀	tu5,17	två @ Swedish 𒀀𒋗wash 𒉀 ধোৱা dhüa धोना  ܣܚܐ sħā
133	to wipe	kapārum	/kaˈpaː.rum/	carpe <		kapāru 	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 		𒅢?	sub	sauber, süpürmek <> rub
