№	English	Akkadian (many spellings!)	IPA Sound 	Akkadian SEM-PIE		Akkadian 	Egyptian many variants		𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections
15	how	kī	/kiː/	que?		ana mīni, ammīni 	𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝	𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝!?	𒀀𒉈𒁶	a-na-gim, ta-gin	𒁶 gim comme <> 𓏇𓇋𓅓𓂝  ?   𓅱 ana 
16	not	ul, lā	/ul/, /laː/	nulla		𒉡 𒌌 𒆷 nu, ula, lā	𓂜, 𓂜𓈖,𓂜𓏏, 𓅱𓂜, 𓂜𓇋𓇋 2. 𓄤𓊪𓅱, 𓅱, 𓅓, 𓅓𓂝, 𓅓𓂟, 𓇋𓂋𓆑, 𓅱𓂜, 3. 𓂜𓇋𓇋		𒉌 > 𒉡 , 𒈾	nu, natta 	eg. natta kuwappiki
17	all	kalûm	/kaˈluːm/	kall qwhole		kalû 	𓎟  2. 𓂋 𓋴 𓋴  3.  𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐, 𓏏 𓏏 𓏝 , 𓇾 𓅓 𓅱𓀀 𓏥 𓁐, 𓇾 𓍃 𓅓 𓏥 4.  𓅓 𓃀 𓅱𓌡 𓏤	𓎟	𒄷𒋛, 𒌅 du₂	u₅, u5, dù	all~u, tout, todos huʳs 𓂋 𓋴 𓋴  her összes
18	many	mādum (masculine), māttum (feminine)	/ˈmaː.dum/, /ˈmaːt.tum/	mudjo much		mādu 	𓅨 𓂋, 𓁨 𓈖 2. 𓂝 𓈙 𓄿 𓆈, 𓆈 𓄿 𓏏𓀀 𓏥, 𓉻 𓏏𓏯 𓈙 𓏥		𒐈 eš₅ 𒄿𒄑	eš, lú, i'iz 	exo-shar, all <> 𓂝 𓈙 𓄿 𓆈  𒐺 EŠ16
19	some	ayyumma (masculine), ayyītumma (feminine)	/ajˈjum.ma/, /aj.jiːˈtum.ma/	jumma ≈ some ∑		ayyumma	𓈖 𓉔 𓅪 𓈒 𓏥, 𓈖 𓎡 𓏏 𓏴 𓏛		𒇽	lú	allo, man ≠ alle many  𓈖 𓉔 𓅪 𓈒 𓏥 NI/lú nonnuli
20	few	wīṣum, maṭûm	/ˈwiː.sˤum/, /maˈtˤuːm/	some ≠ much		ēṣuᵐ 	𓂝 𓈖 𓂧 𓏏 𓅪 ander- 1™				
21	other	šanûm (masculine), šanītum (feminine)	/ʃaˈnuːm/, /ʃaˈniː.tum/	zwein someu ≈		šanû  	𓎡 𓏏, 𓎡 𓏮		"𒁄𒀀𒉘	"	bal-a-re balare	<> poly
22	one	ištēn (masculine), išteat (feminine)	/iʃˈteːn/, /iʃˈteat/	ersten	✓	ištēn m, ištēt f 	𓏤, 𓌡 , 𓏏 𓅱		𒀸 ,𒑰 , 𒅎	aš, diš, did 	eins, enas, dies 𓏏 𓅱
23	two	šinā (masculine), šittā (feminine)	/ˈʃi.naː/, /ˈʃit.taː/	zwin, zweite	✓	šinā m, šittā f 	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮		𒈫  𒌋𒌋	mina	mene, minute 𓈖 𓏌 𓏲 𓏮 ?  门 門 mén Menge ☾☾  𐀗𐀗
24	three	šalāšat (masculine), šalāš (feminine)	/ʃaˈlaː.ʃat/, /ʃaˈlaːʃ/	third	✓	šalāš m, šalāšat f 	𓐍 𓂸 𓏏		𒐈 eš₅ 𒉾!	eš5,6,16,21 peš	mis / ečir™
25	four	erbet (masculine), erbe (feminine)	/ˈer.bet/, /ˈer.be/	fourba	✓	erbe m, erbet f 	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤, 𓇋 𓆑 𓂧 𓏏 𓏥, 𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤		𒇹 𒐼	limmu2,4,5	𒇹 le'MI 𔖻 mi 𔗘 mi 𒾻 MA  𐀗 moⁿ manu- 𔑿 mu 𔖻
26	five	ḫamšat (masculine), ḫamiš (feminine)	/ˈχam.ʃat/, /ˈχa.miʃ/	quims	✓?	xamiš m, xamšat f 	𓏥 𓏮 𓏏𓅱𓂻		𒄿, 𒅀	ya ia2,7,9	fiaⁿ ≈ fünf
27	big	rabûm (masculine), rabītum (feminine)	/raˈbuːm/, /raˈbiː.tum/	grabi-	✓	𒃲 (rabûm) 	𓅨 𓂋 𓈉		𒃲	gal	gr*  great 𓋴𓂋𓃱
28	long	arkum (masculine), ariktum (feminine)	/ˈar.kum/, /aˈrik.tum/	arc 𓉻	✓	arku 	𓄫 𓅱, 𓍯 𓄿 𓈐, 𓈐, 𓇥 𓂋 𓂝 𓏤		𒁍 	sud4, gíd[BU]	gíd great 𓋴𓂋𓃱 suř 𒋤
29	wide	rapšum (masculine), rapaštum (feminine)	/ˈrap.ʃum/, /raˈpaʃ.tum/	  واسع wāseʕ	✓	rupšu ≠ רָחָב rakháv	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,		"𒉾 𒆒 𒆓 PEŠ2 PEŠ6
PEŠ3	𒈠
PEŠ4	𒊯
PEŠ13	𒊴"	peš, dangal	𐌱𐍂𐌰𐌹𐌸𐍃 braiþs plots پان pan বহল bahala, “wide”   𓊪 ≈ 𓎺 𓎸 𓏛 pots
30	thick	kabrum (masculine), kabartum (feminine)	/ˈkab.rum/, /kaˈbar.tum/	corpor- crassus	?		𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛 ~ ϧⲑⲏ	𓎼 𓄿 𓃀 𓅡  	𒆰	kul	калың kalıŋ قېلىن qëlin  घन
31	heavy	kabtum	/ˈkab.tum/	kheabhty? grave™	?	kabtu 	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥		𒂂	dugud, kul	dick dank √dangle dense, 𒆰 ağır قورس 𓋴𓂋𓃱
32	small	ṣuḫārum (masculine), ṣuḫārtum (feminine)	/sˤuˈχaː.rum/, /sˤuˈχaːr.tum/	𓅪 1/schar	<	ṭexru 	𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣		𒍼, 𒌉𒁹, 𒌉	gi17, genna, tur	giˡ,giˡⁿ gyne 𓀔 𓏥 𓈖𓂣 genna  giutur cute, 𒌉 ṣeḫru short
33	short	kurûm (masculine), kurītum (feminine)	/kuˈruːm/, /kuˈriː.tum/	kurz™ > short	✓	karû 	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪		𒈟? 𒌉𒁹 	gud8, ṣeḫru, şehru, šerru	gurt, giutur, cute 𓎡 𓏏 𓏏 𓅪, short
34	narrow	qatnum (masculine), qatattum (feminine), pīqum (masculine), pīqtum (feminine)	/ˈqat.num/, /qaˈtat.tum/, /ˈpiː.qum/, /ˈpiːq.tum/	quetsch		qatnu 	𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪		𒋝	sig	ضَيِّق ḍayyiq •dank thin,eng narrow ≠ thick => 𓎛 𓆰 𓈖 𓋴 𓅪 ᵋeng 
35	thin	qatnum (masculine), qatattum (feminine), pīqum (masculine), pīqtum (feminine)	/ˈqat.num/, /qaˈtat.tum/, /ˈpiː.qum/, /ˈpiːq.tum/	quetschen que-thin		qatnu 	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂		𒍼	gi17 <> genna	gin~thin 𓆁 𓈎 𓏗
36	woman	sinništum	/sinˈniʃ.tum/	sister 𓊃 𓏏 𓁐		𒊩 (sinništu) 	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑		𒊩	mu10, munus, géme	w’mun, gyman *gwoman, gamete
37	man (adult male)	zikarum	/ˈzi.ka.rum/	secure 𓊃 𓀀		zikaru 	𓊃 𓀀		𒈾, 𒇽	na, lú	nan, er  𒈾!!!
38	man (human being)	awīlum	/aˈwiː.lum/	aviro 𒇽		awīlu 	𓂋 𓐝 𓍿 𓀀 𓁐,  𓂋 𓍃 𓀀 𓏥 2. 𓂋 𓏏 𓀀 𓏥 𓁐  3. 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓄊 𓂋 𓀀		𒂟, 𒇽	erim, lú	Er(man) er(him)™ 𓂋 𓐝 𓀀 𓁐 !
39	child	ṣeḫrum	/ˈsˤeχ.rum/	𓄡 𓂋 𓀀 !!		ṣexru, māru 	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔 2. 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔   2. 𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏  3. 𓇋 𓈖 𓊪 𓅂		𒌉	dumu, tur	Däumling Dämel Sohn @ domu
40	wife	aššatum	/ˈaʃ.ʃa.tum/	sister 𓊃 𓏏 𓁐		aššatu 	𓌢 𓈖 𓏏 𓁐 2. 𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤		𒁮	dam	Dame
41	husband	mutum	/ˈmu.tum/	mate		mutu 	𓉔 𓂸, 𓉔 𓇋𓂸𓀀 2. 𓎟 𓀀 3. 𓌢𓈖𓀀		𒁮	dam, ngitlam	Dom, Don, domest
42	mother	ummum	/ˈum.mum/	Amme Mama		ummu 	𓅐 𓏏 𓁐, 𓂠 𓏏 𓁐, 1b 𓄟 𓋴 𓏏 𓁒 2. 𓂸 𓏏 𓁐 3. 𓂠 𓏏 𓁐 4. 𓅐 𓂋 𓏏 𓁐?		𒂼 	ama	(m)ama gynma
43	father	abum	/ˈa.bum/	pabu		abu 	𓇋 𓏏 𓆑 𓀀		𒀜𒁕,𒀊,	ada, abba, pab, pabilga	ᶠada, paba ++  ᶠἄττα (átta eide), Gothic 𐌰𐍄𐍄𐌰   <> 𒉽𒉋, 𒉺𒉋 partner
44	animal	umāmum	/uˈmaː.mum/	≈ bull:Vieh		būlu, emāmu 	𓄛   <>  𓂧 𓂋 𓄛 		𒊩𒌨𒌫𒇹	ning-úr-limmu (quadruped)	animalimun
45	fish	nūnum	/ˈnuː.num/	𓈖𓈖𓆙		𒄩 (nūnu) 	𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟		𒄩	ku6	cod @ kuhl/kaul-
46	bird	iṣṣūrum	/isˤˈsˤuː.rum/	GeTier طير ṭīr 𒋻𒊒 tar-ru		𒄷 (iṣṣūru) 	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬 2. 𓊪 𓅮 𓅯 3. 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿		𒄷	mušen, hu	Meisen, Musen, Huhn, Hero(n)
47	dog	kalbum	/ˈkal.bum/	Kläppero 𓃛 𓅱 𓃡		𒌨𒌆 (kalbu) 	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛		𒌨 	ur	< pero
48	louse	uplum	/ˈup.lum/	"𒌒𒇻 	ᶜup-luˢ"		𒄴 (uplu) 	𓎡 𓏏 𓏏 𓆨		𒄴	uh3	"Vieh, Fiech <> 𒈥 mar,Made  𒌒𒇻 	ᶜup-luˢ"
49	snake	ṣerrum	/ˈsˤer.rum/	serpent 𓋴 𓍋 𓃀 𓏏 𓆙		ṣēru 	𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙  2. 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙		𒈲	muš, ušum	могой mogoi maciji @ Hausa ⇔ [ḥa](ה)naš naḥš
50	worm	tûltum	/ˈtuːl.tum/	tilt? 𓆓 𓂧 𓆑 𓏏 𓆙			𓆑 𓈖 𓍿 𓆙 2. 𓎡 𓄿 𓂓 𓏤 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙		𒈥 	mar	𓆙  مار mâr مر mor@PERSIA Marde Made / Wm-r  w-r-m 𒈲 MUŠ •[[MARSH]] 
51	tree	iṣum	/ˈi.sˤum/	Escheⁿ		𒄑 (iṣu) 	1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭		𒄑	ngiš 𓍲 𓈖 𓆭 	"ES 𒄑 iṣu 𓋴 𓆭 Esche / Ceder  ニ ni ნჯა ncaˡ ""tree"" @ Georgian nd͡ʒɑˡ"
52	forest	qištum	/ˈqiʃ.tum/	Geästᵘᵐ		gūru 	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮		𒌁	tir	trees (𒊺 ŠE) , Tannen
53	stick	ḫaṭṭum	/ˈχatˤ.tˤum/	𓆱 𓏏 𓏤 hit h.Ast ^^ Geäst			𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓌚		𒄑	ngiš	EC ≈ ág <> съ́чка GeÄst
54	fruit	inbum	/ˈin.bum/	InBaum;)		inbu 	𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎 4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥		𒄧	gurun	green <> corn
