№	English	Tadaksahak	Notes
1	I	aɣay
2	you (singular)	nín
3	he	áŋga	he/she/it
4	we	áari
5	you (plural)	ándi
6	they	íŋgi
7	this	óoda, áyda
8	that	(a)sénda
9	here	néeda
10	there	sénda
11	who	ci	who?/what?
12	what	ci	who?/what?; ci ná-a "what is it?"
13	where	maaná, mán n(e)	maaná (+noun), mán ne (+action)
14	when	c(i) agúd
15	how	man ǝ́mmǝk aɣó ǝnda
16	not
17	all	káamil	< Arabic kāmil
18	many	babó	numerous, to be
19	some	cindí
20	few
21	other
22	one	a-ffóoda, fóoda
23	two	hiŋká
24	three	kaaráḍ
25	four	akkóz
26	five	ʃammúʃ
27	big	bêr	big, to be / to make
28	long	kukú	long, to be; also deep, tall
29	wide	yilwá	wide, to be
30	thick
31	heavy	tíŋ, yiltág	heavy, to be
32	small	ceená	small, to be / to make
33	short	gazúl	short, to be
34	narrow	karrós	narrow, to be
35	thin	ʃadíd, yilbák	ʃadíd thin; yilbák thin/lean (person/livestock)
36	woman	surgóy	also wife
37	man (adult male)	aarú	also husband, male
38	man (human being)	borá	person
39	child (a youth)	báarar
40	wife	surgóy	also woman
41	husband	aarú	also male, man
42	mother	naaná
43	father	baabá	also ancestor (paternal)
44	animal	a-múudǝr
45	fish	a-mánana
46	bird	cíidaw	bird (general)
47	dog	hánʃi	dog (general)
48	louse	geení	head louse
49	snake	gónʃi	snake (general); also gánda ŋ karfú
50	worm
51	tree	tugúdu	tree (general); also firewood
52	forest
53	stick (of wood)	bundú	stick (wooden)
54	fruit	ízzay	also son, young one
55	seed	áaḍǝm
56	leaf	áa-la	also tea (leaves)
57	root	ée-caw	root (plant)
58	bark (of tree)	barjí	bark; also fiber (plant)
59	flower
60	grass	yél	grass (green)
61	rope	karfú	rope (general)
62	skin (of a person)	kuurú	skin; also leather
63	meat (as in flesh)	háamu
64	blood	kud-én
65	bone	biidí	bone (general)
66	fat (noun)	maaní	fat (on meat)
67	egg	t-áa-fult
68	horn
69	tail	t-a-lánkaw-t
70	feather (rather not down)	áfraw	feather; also wing
71	hair	haab-én	hair; also fur
72	head	baŋgú	also beginning
73	ear	haŋgá
74	eye	mó	also face
75	nose	t-í-nʒar	nostrils
76	mouth	míya	also opening, measure, end
77	tooth (rather not molar)	ée-ʃan
78	tongue	íilǝs
79	fingernail
80	foot	cáy	foot / leg
81	leg	cáy	foot / leg
82	knee
83	hand	kambá	arm / hand
84	wing	áfraw	also feather
85	belly	guŋgú
86	guts	áadan-an
87	neck	jinjí
88	back	a-rúuru	back (body part)
89	breast
