		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
50	HUNGER	мацалла	mət͡səlːə	@meat?	48	LIVER	агəаҵəа	ɑɡəɑt͡sʼəɑ			
51	TEAR (OF EYE)	бӏаьрхи	bʡærxɪ		49	BREATH	аҧсыҧлагаҩгара	ɑpʰsɨpʰlɑɡɑɥɡɑrɑ			
52	TASTE	чам	t͡ʃəm	<	50	HUNGER	амла	ɑmlɑ	famila/famine		
53	FLAVOR	хьожа	ʜoʒə		51	TEAR (OF EYE)	алабжыш	ɑlɑbʐɨʂ	al.abzess		
54	SLEEP (STATE)	наб	nəb	nap	52	TASTE	агьама	ɑɡʲemɑ	a'gum <> sense		
55	DREAM	гӏан	ɣən		53	FLAVOR	афҩы	ɑfɥɨ			
56	SKY	стигал	stɪɡəl	steig?	54	SLEEP (STATE)	ацəа	ɑt͡sʰəɑ			
57	SUN	малх	məlx	<<--	55	DREAM	аҧхыӡ	ɑpʰχɨd͡z			
58	MOON	бутт	bu͡ʊtː	--	56	SKY	ажəҩан	ɑʐəɥɑn	a Sky.ɑn		
59	STAR	седа	sēdə	sēdər	57	SUN	амра	ɑmrɑ	Sum.Ra		
60	AIR	xӏаваъ	xʡəvəʔ	<<	58	MOON	амза	ɑmzɑ	Sumn.Za <<		
61	WIND	мох	mox	--	59	STAR	аеҵəа	ɑɛt͡sʼəɑ	astra	+++	
62	WAVE	тулгӏе	tu͡ʊlɣē	turn, tolle	60	AIR	аҳаир	ɑħɑir	air	+++	
63	WATER	хи	xɪ	x	61	WIND	аҧша	ɑpʰʂɑ	a pusta		
64	ROCK	тӏулг	tʼu͡ʊlɡ	tjrock --	62	WAVE	ацəқəырҧа	ɑt͡sʰəkʰəɨrpʰɑ	??		
65	GROUND	цӏенкъа	t͡sʼenqʼə		63	WATER	аӡы	ɑd͡zɨ	wadzer		
66	EARTH (SOIL)	латта	lətːə	µata латта Land	64	ROCK	ахаҳə	ɑχɑħə	a chocke		
67	DUST	чан	t͡ʃən	<>	65	GROUND	адгьыл	ɑdɡʲil	eard.geol		
68	SMOKE (EXHAUST)	кӏур	kʼu͡ʊr	@kur	66	EARTH (SOIL)	адгьыл	ɑdɡʲil	eard.geol		
69	SPARK	суй	su͡ʊɪ̆		67	DUST	асаба	ɑsɑbɑ	a¬sauba --		
70	FIRE	цӏе	t͡sʼe	thyssen 	68	SMOKE (EXHAUST)	алҩа	ɑlɥɑ			
71	LIGHT (RADIATION)	серло	serlo		69	SPARK	акəиц	ɑkʼəit͡sʰ			
72	SHADE	ӏиндагӏ	ʡɪndəɣ	¬…	69	SPARK	ацҧхь	ɑt͡sʰpʰχʲ			
73	WEATHER	хенан хӏоттам	xenən hotːəm	heute?	70	FIRE	амца	ɑmt͡sʰɑ	am.thyssa		
74	FOG	дохк	doxk	dust	71	LIGHT (RADIATION)	алашара	ɑlɑʂɑrɑ	al'Sara		
75	CLOUD	марха	mərxə	--	72	SHADE	ашəшьыра	ɑʂəʃɨrɑ			
76	RAIN (PRECIPITATION)	догӏа	doɣə	--	73	WEATHER	амш	ɑmʂ	times		
77	SNOW	ло	lo	long	74	FOG	анаҟəа	ɑnɑqʼəɑ	a Nebqel		
78	ICE	ша	ʃə	~	75	CLOUD	аҧсҭҳəа	ɑpʰstʰħəɑ			
79	FROST	шело	ʃēlō	chill	76	RAIN (PRECIPITATION)	ақəа	ɑkʰəɑ			
80	CHILL	шело	ʃelo	chill	77	SNOW	асы	ɑsɨ	Eis		
81	HEAT	йовхо	ɪ̆ɔ͡ʊxō	??	78	ICE	аҵаа	ɑt͡sʼɑɑ	Eis		
82	HOARFROST	йис	ɪ̆ɪs	--	79	FROST	аҵаа	ɑt͡sʼɑɑ	Eis		
83	RAINBOW	стелаӏад	steləʡəd	stell@stɪɡəl	80	CHILL	ахьҭа	ɑχʲtʰɑ	Eis't		
84	THUNDER	ткъес	tqʼes	t…	81	HEAT	ашоура	ɑʂɔurɑ	a'shora		
85	CURRENT	дӏаэхар	dʡəexər		82	HOARFROST	аҵааҧшқа	ɑt͡sʼɑɑpʰʂkʰɑ			
85	CURRENT	дӏасалелар	dʡəsəlelər		83	RAINBOW	ацəаҟəа	ɑt͡sʰəɑqʼəɑ			
86	DROP (OF LIQUID)	тӏадам	tʼədəm	tropf	84	THUNDER	адыд	ɑdɨd	Adad!		
87	FOAM	чопа	t͡ʃopə	<.m	85	CURRENT	аиасра	ɑiɑsrɑ			
88	DIRT	хатт	xətː	<	85	CURRENT	амҩасра	ɑmɥɑsrɑ			
89	LAKE	ӏам	ʡəm	maim	86	DROP (OF LIQUID)	ацəыкəбар	ɑt͡sʰəɨkʼəbɑr			
90	SWAMP	уьшал	yʃəl		87	FOAM	ашəах	ɑʂəɑχ			
91	MOOR	уьшал	yʃəl		88	DIRT	алымт	ɑlɨmtʼ			
92	MEADOW	бай	bəɪ̆		89	LAKE	аӡиа	ɑd͡ziɑ	wadzer		
93	FOREST	хьун	ʜu͡ʊn	Hein	90	SWAMP	аӡмах	ɑd͡zmɑχ	wadzer.marsh		
94	HILL	гу	ɡu͡ʊ	Gu'	92	MEADOW	адəы	ɑdəɨ	ma.eadow@Eden		
94	HILL	шу	ʃu͡ʊ̄	Sha'!	93	FOREST	абна	ábnɑ			
94	HILL	барз	bərz	Berg	94	HILL	ахəы	ɑχəɨ			
95	ELEVATION	акъари	ə̄qʼərɪ	√quer	95	ELEVATION	аҳаракыра	ɑħɑrɑkʼɨrɑ			
96	MOUNTAIN	лам	ləm	??	96	MOUNTAIN	ашьха	ɑʃχɑ	a shan		
97	SUMMIT	бохь	boʜ	@bərz	97	SUMMIT	ацəқəа	ɑt͡sʰəkʰəɑ			
98	CAVE	хьех	ʜex	Hexer;)	98	CAVE	аҳаҧы	ɑħɑpʰɨ	a capve		
99	PRECIPICE	басе	bəse	?	99	PRECIPICE	анаара	ɑnɑːrɑ	hang <> neige		
100	SPRING (OF WATER)	шовда	ʃɔ͡ʊdə		100	SPRING (OF WATER)	аҵҵырҭа	ɑt͡sʼt͡sʼɨrtʰɑ	wasser.da		
101	BROOK	татол	tətol		101	BROOK	акəараҷҷа	ɑkʼəɑrɑt͡ʃʼt͡ʃʼɑ			
102	RIVER	хи	xɪ	x <> shui	102	RIVER	аӡиас	ɑd͡ziɑs	wadzer		
103	SHORE	хийист	xiːɪst		103	SHORE	ахықə	ɑχɨkʰə			
104	COAST	йист	ɪ̆ɪst		104	COAST	ахықə	ɑχɨkʰə			
105	MAINLAND	латта	lətːə	Land	105	MAINLAND	абарра	ɑbɑrrɑ	<> terra		
106	SEA	xӏорд	xʡord	<<	106	SEA	амшын	ɑmʂɨn	maim 𓈗 sean (3)		
107	BAY	чож	t͡ʃoʒ		107	BAY	аӡбжьахала	ɑd͡zbʒɑχɑlɑ	wadzer.bay…		
108	ISLAND	гӏайре	ɣəɪ̆re		108	ISLAND	адгьылбжьаха	ɑdɡʲilbʒɑχɑ			
109	FLOWER	зезаг	zezəɡ	Susan <+	109	FLOWER	ашəҭ	ɑʂətʰ			
110	GRASS	буц	bu͡ʊt͡s		110	GRASS	аҳасакьын	ɑħɑsɑkʼʲin	sec:cut		
111	ROOT	орам	ōrəm		111	ROOT	адац	ɑdɑt͡sʰ	roots		
112	TREE	дитт	dɪtː	dendrit	112	TREE	аҵла	ɑt͡sʼlɑ	a trila		
113	TREE TRUNK	гӏад, тайпа	ɣəd, təɪ̆pə		113	TREE TRUNK	ашьапы	ɑʃɑpʼɨ			
113	TREE TRUNK				114	BARK	ацəа	ɑt͡sʰəɑ			
114	BARK	кевстиг	kevstɪɡ		115	BRANCH	амахə	ɑmɑχə	a Mast, um Ast		
115	BRANCH	га	ɡə	Gamma<>Gabel	115	BRANCH	амахəҭа	ɑmɑχətʰɑ	a Mast, um Ast		
116	TWIG	га	ɡə		116	TWIG	амахə	ɑmɑχə	a Mast, um Ast		
117	LEAF	гӏа	ɣə	^	116	TWIG	амахəҭа	ɑmɑχətʰɑ	a Mast, um Ast		
118	BIRCH	дакх	dəq		117	LEAF	абҕьы	ɑbʁʲi	a Blattj		
119	PINE	бага	bəɡə	birch ;)	118	BIRCH	аҵааҵла	ɑt͡sʼɑɑt͡sʼlɑ	ash		
120	WILLOW	дак	dək		119	PINE	амза	ɑmzɑ			
121	FIR	база	bəzə	≠Buche	120	WILLOW	аҧслыш	ɑpʰslɨʂ			
122	HORN (ANATOMY)	маӏа	məʡə	--	121	FIR	аҧсаӡ	ɑpʰsɑd͡z			
123	FEATHER	пелаг	peləɡ	++ Flug	122	HORN (ANATOMY)	атəыҩа	ɑtʼəɨɥɑ			
124	FUR	цӏока	t͡sʼokə		123	FEATHER	ахӡы	ɑχd͡zɨ			
125	WING	тӏам	tʼəm	@tier	124	FUR	ацəа	ɑt͡sʰəɑ			
126	CLAW	мӏара	mʡə̄rə		125	WING	амҵəыжəа	ɑmt͡sʼəɨʐəɑ			
127	PAW	тlод	tlod		126	CLAW	ашьапхыц	ɑʃɑpʼχɨt͡sʰ			
128	TAIL	цӏога	t͡sʼoɡə		128	TAIL	аҵыхəа	ɑt͡sʼɨχəɑ			
129	EGG	xӏoa	xʡoa		129	EGG	акəтаӷь	ɑkʼətʼɑʁʲ	egg…		
130	NEST	бен	ben		130	NEST	аҭра, аҵысҭра	ɑtʰrɑ, ɑt͡sʼɨstʰrɑ	<<		
131	LAIR	lуьрг	lyrɡ	lyrɡ ~ lair ++	131	LAIR	аҭыҩра	ɑtʰɨɥrɑ			
132	ANIMAL	дийнат	dɪɪ̆nət	deer.nat	132	ANIMAL	аҧстəы	ɑpʰstʼəɨ	ɑpʰ.Stier		
133	FLOCK (OF SHEEP)	жа	ʒə		132	ANIMAL	агыгшəыг	ɑɡɨɡʂəɨɡ			
134	COW	етт	etː	--	133	FLOCK (OF SHEEP)	агəарҭа	ɑɡəɑrtʰɑ			
135	BULL	сту	stu͡ʊ	stier	134	COW	ажə	ɑʐə	oxe ажə		
136	HORSE	говр	ɡɔ͡ʊr	ghor.s @IND	135	BULL	ацə	ɑt͡sʰə	oxe ажə, a Taur		
137	SHEEP	жий	ʒiː	ʒiːp sheep	136	HORSE	аҽы	ɑʈ͡ʂʰɨ	ass		
137	SHEEP	уьстагӏ	ystəɣ	<	137	SHEEP	ауаса	ɑuɑsɑ	wasa™		
138	PIG	хьакха	ʜəqə	ьig	138	PIG	аҳəа	ɑħəɑ	a Sau		
139	DOG	жӏаьла	ʒʡælə	kläff -	139	DOG	ала	ɑlɑ	--		
140	CAT	цициг	t͡sɪt͡sɪɡ	zize <> catze	140	CAT	ацгəы	ɑt͡sʰɡəɨ	a tcat --		
141	BEAR	ча	t͡ʃə		141	BEAR	амшə	ɑmʂə	urmsa		
142	SQUIRREL	тарсал	tərsəl	~	142	SQUIRREL	аеш	ɑɛʂ			
143	ELK	сай	səɪ̆		143	ELK	аҽаҩа	ɑʈ͡ʂʰɑɥɑ			
