		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
222	MEANING	маьӏна	mæʡnə	++	222	MEANING	аҵакы	ɑt͡sʼɑkʼɨ			
223	REASON	бахьана	bəʜənə		223	REASON	амзыз	ɑmzɨz			
224	TRUTH	бакъдерг	bəqʼderɡ	<	224	TRUTH	аиаша	ɑiɑʂɑ	assure azura << 𐎠𐎼𐎫 a-r-t /arta/	fabel	
225	CONVERSATION	къамел	qʼəmel		225	CONVERSATION	аиҿцәажәара	ɑiʈʈ͡ʂʼt͡ɕʷʰoʒʲʷørɑ			
226	FAIRY TALE	туьйра	tyɪ̆rə	tyɪ̆rə > Tier tale	226	FAIRY TALE	алакə	ɑlɑkʼə	a legend	++	
227	STORY	дийцар	dɪɪ̆t͡sər	ditser!	227	STORY	ажәабжь	ɑʒʲʷøbʒ	a sprach?		
228	MESSAGE	хаам	xəəm		228	MESSAGE	адырраҭара	ɑdɨrrɑtʰɑrɑ			
229	NEWS	керланиг	kerlənɪɡ		229	NEWS	ажәабжь ҿыц	ɑʒʲʷøbʒ ʈʈ͡ʂʼɨt͡sʰ			
230	NAME	цӏе	t͡sʼe	at@turk	230	NAME	ахьӡ	ɑχʲd͡z	a heiss		
231	SPEECH (ADDRESS)	хӏетал-метал	hetəl-metəl		231	SPEECH (ADDRESS)	ацуфара	ɑt͡sʰufɑrɑ	a cypher		
232	SPEECH	къамел	qʼəmel		232	SPEECH	ажәа	ɑʒʲʷø	a say		
233	LANGUAGE	мотт	motː	mot	233	LANGUAGE	абызшəа	ɑbɨzʂəɑ	a voice <> bet < pregunt--		
234	VOICE	aз	az	at@turk : name	234	VOICE	абжьы	ɑbʒɨ	a voice		
235	WORD	дош	doʃ	dice	235	WORD	ажәа	ɑʒʲʷø			
236	SIGN	билгало	bɪlɡəlo		236	SIGN	адырга	ɑdɨrɡɑ	a direction	++	
237	CALL (APPEAL)	кхайкхар	qəɪ̆qər		237	CALL (APPEAL)	аҿҭы	ɑʈʈ͡ʂʼtʰɨ			
238	NOISE	гӏовгӏа	ɣɔ͡ʊɣə	1/𓎼𓂋	238	NOISE	ашьҭыбжь	ɑʃtʰɨbʒ	chirps ;)		
239	SOUND OR NOISE	аз	əz		239	SOUND OR NOISE	ашьҭыбжь	ɑʃtʰɨbʒ	chirps ;)		
240	TONE (MUSIC)	aз	az		240	TONE (MUSIC)	атон	ɑtʼɔn	a tone	++	
241	SONG	илли	ɪlːɪ	lala@HEB	241	SONG	ашəа	ɑʂəɑ	a song		
242	QUIET	тийналла	tɪɪ̆nəlːə	tranquille	242	QUIET	аҭынчра	ɑtʰɨnt͡ʃʰrɑ			
243	PEOPLE (SEVERAL)	нах	nəx	next mac	243	PEOPLE (SEVERAL)	ауаа	ɑuɑː	arya?		
244	PEOPLE	халкъ	xəlqʼ	quelque	244	PEOPLE	ажəлар	ɑʐəlɑr	<<< .lar plural		
245	WORK (LABOUR)	болх	bolx	work 𓃀 𓎛 𓏮 𓂡	245	WORK (LABOUR)	аусура	ɑusurɑ	a kura		
246	GUEST	хьаша	ʜəʃə	gueshe	246	GUEST	асас	ɑsɑs	guesas		
247	GIFT	совгӏат	sɔ͡ʊɣət	schenk(et)	247	GIFT	аҳамҭа	ɑħɑmtʰɑ	ɑ ħɑmtʰɑ !		
248	GAME	ловзар	lɔ͡ʊzər	leasure	247	GIFT	аҿанҵа	ɑʈʈ͡ʂʼɑnt͡sʼɑ	a sends <> thank		
249	COMPANIONSHIP	юкъаралла	juqʼərəlːə	joker	248	GAME	ахəмарра	ɑχəmɑrrɑ	a gamer 𓏠 @ gemäuer		
250	HELP	гӏо	ɣo	give	249	COMPANIONSHIP	агəыҧ	ɑɡəɨpʰ	a group		
251	FRIEND	доттагl	dotːəɡl	dos2	250	HELP	ацхыраара	ɑt͡sʰχɨrɑːrɑ			
252	COMPANION	накъост	nəqʼost	next <>	251	FRIEND	аҩыза	ɑɥɨzɑ	a huiza @ Haus < guest, host		
253	MATTER (AFFAIR)	гӏуллакх	ɣu͡ʊlːəq		252	COMPANION	Аҧхнагьла	ɑpʰχnɑɡʲlɑ	ɑpʰ synagoal		
254	COUNT (NUMBER)	терахь	terəʜ	tell	253	MATTER (AFFAIR)	аус	ɑus			
256	PIECE	юьхк	jyxk	<	254	COUNT (NUMBER)	ахыҧхьаӡара	ɑχɨpʰχʲed͡zɑrɑ			
257	PART	дакъа	də̄qʼə	dec… cut?	255	KIND (THING)	ахкы	ɑχkʼɨ			
258	HALF	ах	əx		256	PIECE	аҽыҭ	ɑʈ͡ʂʰɨtʰ			
259	CIRCLE	го	ɡō	gyr!	257	PART	ахəҭа	ɑχətʰɑ	a cut		
260	CROSS	жӏара	ʒʡə̄rə	жӏаross	258	HALF	абжа	ábʐɑ	a 𓆑 <> tongue		
261	LINE	сиз	sɪz		259	CIRCLE	агьагьа	ɑɡʲeɡʲe	ɑ ɡʲeɡʲel ~ circle		
262	STROKE (OF PEN)	сиз	sɪz		260	CROSS	аџьар	ɑd͡ʒɑr	ɑ d͡ʒɑros ~ cross		
263	GAP	юкъ	juqʼ	juxta-pose?	261	LINE	аицтәар	ɑit͡sʰt͡pʼor	--		
265	AREA	мeттиг	metːɪɡ	metro	262	STROKE (OF PEN)	ацəаҳəа	ɑt͡sʰəɑħəɑ			
266	SPACE (FREE)	майда	məɪ̆də	metro	263	GAP	абжьара	ɑbʒɑrɑ	ab.go?		
267	PLACE (POSITION)	меттиг	metːɪɡ	metro	264	DISTANCE	абжьара	ɑbʒɑrɑ	ab.dura		
268	SIDE (OF OBJECT)	aгӏo	aɣo	eck,angle?	265	AREA	аҭыҧ	ɑtʰɨpʰ			
269	MIDDLE	юкъ	juqʼ	junc?	266	SPACE (FREE)	аҭыҧ	ɑtʰɨpʰ			
270	ITEM (TOUCHABLE)	хӏума	hu͡ʊmə		267	PLACE (POSITION)	аҭыҧ	ɑtʰɨpʰ			
271	THING	хӏума	hu͡ʊmə		268	SIDE (OF OBJECT)	аган	ɑɡɑn	a gon (polygon)		
272	FRINGE	йист	ɪ̆ɪst		269	MIDDLE	агəҭа	ɑɡətʰɑ	a goth (cut) ~ a medi 		
273	EDGE	йист	ɪ̆ɪst		270	ITEM (TOUCHABLE)	амаҭəар	ɑmɑtʰəɑr	itemar ~ amitar		
274	CORNER (OUTSIDE)	са	sə	са…	272	FRINGE	аҵкар	ɑt͡sʼkʼɑr			
275	TIP (OF OBJECT)	ралла	rəlːə	reling?	273	EDGE	авардым	ɑvɑrdɨm			
276	END (OF SPACE)	юьхьиг	jyʜɪɡ		274	CORNER (OUTSIDE)	акəакь	ɑkʼəɑkʼʲ	Ecke		
277	HOLE	ӏуьрг	ʡyrɡ	lurk@loch!	275	TIP (OF OBJECT)	аҧынҵа	ɑpʰɨnt͡sʼɑ			
278	CORNER	са	sə	сo®…	276	END (OF SPACE)	анаӡара	ɑnɑd͡zɑrɑ	endzara		
279	PATTERN	дагар	dəɡər		277	HOLE	акылҵəара	ɑkʼɨlt͡sʼəɑrɑ			
279	PATTERN	тӏамар	tʼəmər	tome:part?	278	CORNER	агҿаҩра	ɑɡʈʈ͡ʂʼɑɥrɑ			
280	SIZE (OF OBJECT)	барам	bərəm		278	CORNER	акəындхə	ɑkʼəɨndχə			
281	LENGTH	йохалла	ɪ̆ōxəlːə	hoch.elle	278	CORNER	акəакь	ɑkʼəɑkʼʲ			
282	HEIGHT	локхалла	loqəlːə	long.elle	279	PATTERN	аҟҟа	ɑqʼqʼɑ			
283	WEIGHT	йозалла	jozəlːə		280	SIZE (OF OBJECT)	изаҟароу	izɑqʼɑrɔu			
284	AMOUNT	дукхалла	du͡ʊqəlːə	<	281	LENGTH	аура	áurɑ			
285	HEAP	сал	səl		282	HEIGHT	агылара	ɑɡɨlɑrɑ			
285	HEAP	оьла	ø̄lə		283	WEIGHT	акапан	ɑkʼɑpʼɑn			
286	ROW (OF OBJECTS)	рагӏ	rəɣ	rows	285	HEAP	ачаҟəа	ɑt͡ʃʰɑqʼəɑ			
286	ROW (OF OBJECTS)	могӏа	moɣə		286	ROW (OF OBJECTS)	ацəаҳəа	ɑt͡sʰəɑħəɑ			
287	BOAT	кема	kemə	Kahn	287	BOAT	анышь	ɑnɨʃ	a nauth		
288	PADDLE	пийсиг	pɪɪ̆sɪɡ	padd.ig	288	PADDLE	ажəҩа	ɑʐəɥɑ	a Steuer		
289	SLEDGE	салаз	sələz	sələz!	289	SLEDGE	ашəаҩауардын	ɑʂəɑɥɑuɑrdɨn	a Schlitten		
290	SKI	когсалаз	koɡsələz		290	SKI	ашəаҩа	ɑʂəɑɥɑ	a skia		
					290	SKI	ашьахаха	ɑʃɑχɑχɑ			
291	CAMPFIRE	цӏе	t͡sʼe	thyssen	291	CAMPFIRE	еиқуу амца	ɛikʰuu ɑmt͡sʰɑ	??		
292	LOAD	дукъ	du͡ʊqʼ		292	LOAD	ахьанҭара	ɑχʲentʰɑrɑ			
293	WALK (TRIP)	лелар	lelər	le.legr	293	WALK (TRIP)	аныҟəара	ɑnɨqʼəɑrɑ			
294	STEP	гӏулч	ɣu͡ʊlt͡ʃ		294	STEP	ашьаҿа	ɑʃɑʈʈ͡ʂʼɑ		≠süd	
295	NORTH	къилбаседе	qʼɪlbəsede	kurba.sad	295	NORTH	аҩада	ɑɥɑdɑ			
296	SOUTH	къилбе	qʼɪlbe	kurba	296	SOUTH	алада	ɑlɑdɑ			
297	WEST	малхбузе	məlxbu͡ʊzē	melchior?	297	WEST	амраҭашəара	ɑmrɑtʰɑʂəɑrɑ	amra?		
298	EAST	малхбале	məlxbə̄lē		298	EAST	амрагылара	ɑmrɑɡɨlɑrɑ		<<	
299	WOOD	дечиг	det͡ʃɪɡ	dendro'	299	WOOD	амҿымаҭəахə	ɑmʈʈ͡ʂʼɨmɑtʰəɑχə	wtf		
300	BOARD	у	u͡ʊ		300	BOARD	аӷəы	ɑʁəɨ			
301	SLAB	у	u͡ʊ		301	SLAB	ахаҳәцәы	ɑχɑħʲʷt͡ɕʷʰu			
302	SUPPORT (OF OBJECT)	гӏopтоp	ɣoptop		302	SUPPORT (OF OBJECT)	аҵаргəа	ɑt͡sʼɑrɡəɑ			
					302	SUPPORT (OF OBJECT)	агəышьаҟа	ɑɡəɨʃɑqʼɑ			
303	POLE	гӏуркх	ɣu͡ʊrq		303	POLE	акьат	ɑkʼʲetʼ			
304	STICK	ӏаса	ʡəsə		304	STICK	алаба	ɑlɑbɑ			
305	STAFF	гӏаж	ɣəʒ	Geäst?	305	STAFF	акьат	ɑkʼʲetʼ			
306	TUBE	биргӏа	bɪrɣə		306	TUBE	абыкь	ɑbɨkʼʲ			
307	HOUSE	цӏа	t͡sʼə	cia	307	HOUSE	аҩны	ɑɥnɨ	a Hein~heim		
308	HOME	кхерч	qert͡ʃ	court	308	HOME	аҭаацəа	ɑtʰɑːt͡sʰəɑ	--		
309	STOVE	кхерч	qert͡ʃ	herd ^^	309	STOVE	аҳақə	ɑħɑkʰə	a koch @ küche		
					309	STOVE	афрына	ɑfrɨnɑ	a fryin' oven		
					309	STOVE	ауаџьаҟ	ɑuɑd͡ʒɑqʼ			
311	TABLE	шун	ʃu͡ʊn		310	FLOOR	адашьма	ɑdɑʃmɑ	a zama 𓊃 dashma	<<	
310	FLOOR	цӏенкъа	t͡sʼenqʼə	𓊃 !	311	TABLE	аишәа	ɑiʃʲʷø			
312	CHAIR	гӏант	ɣənt		312	CHAIR	аҟəардə	ɑqʼəɑrdə	a qhaird		
313	CRADLE	ага	ə̄ɡə	"?age < hege wiege   < агара	ɑɡɑrɑ"	313	CRADLE	агара	ɑɡɑrɑ	a gara.dul cradle		
314	BED	маьнга	mænɡə	𓏠	314	BED	акаруаҭ	ɑkʼɑruɑtʰ	a kurat@𓉨		
315	SHELF	терхи	terxɪ		315	SHELF	акыӷəра	ɑkʼɨʁərɑ			
316	BOX	яьшка	jæʃkə		316	BOX	аидчаҧала	áidt͡ʃʰɑpʰɑlɑ			
317	WINDOW	кор	kor	口 kǒu® kuhle khole	317	WINDOW	аҧенџьыр	ɑpʰɛnd͡ʒɨr			
318	DOOR	неӏ	neʡ	--	318	DOOR	ашə	ɑʂə	a шər		
319	GATE	ков	kɔ͡ʊ	kɔ͡ʊte	319	GATE	агəашə	ɑɡəɑʂə	a gathe		
320	FENCE	керт	kert	court	320	FENCE	аанда	ɑːndɑ	fenda	++	
321	ROOF	тхов	txɔ͡ʊ	Dach.ob	321	ROOF	ахыб	ɑχɨb	a χɨb>roobh		
322	LADDER	лами	lə̄mɪ	lamdar	322	LADDER	амардуан	ɑmɑrduɑn	@mauern		
323	BROOM	нуй	nu͡ʊɪ̆		323	BROOM	аҧссага	ɑpʰssɑɡɑ			
324	SPADE	бел	bel		324	SPADE	ажыга	ɑʐɨɡɑ			
325	SHOVEL	аьшкал	æʃkəl	shovkel	325	SHOVEL	аҭəарӷəы	ɑtʰəɑrʁəɨ			
326	FORK	мӏара	mʡə̄rə		326	FORK	ачқьыҧ	ɑt͡ʃʰkʰʲipʰ			
327	SPOON	ӏайг	ʡəɪ̆ɡ		327	SPOON	амҳаҵə	ɑmħɑt͡sʼə			
328	KNIFE	урс	u͡ʊrs		328	KNIFE	аҳəызба	ɑħəɨzbɑ			
329	NAIL (TOOL)	хьостам	ʜostəm	osteo	329	NAIL (TOOL)	аҵəымӷ	ɑt͡sʼəɨmʁ			
330	NET	бой	boɪ̆	boie	330	NET	акаҭа	ɑkʼɑtʰɑ	a catcher		
331	HOOK	мӏара	mʡə̄rə		331	HOOK	аҵəаҳə	ɑt͡sʼəɑħə			
					332	HANDLE	амаа	ɑmɑː			
333	LOCK	чӏега	t͡ʃʼeɡə		333	LOCK	асаҧаҭ	ɑsɑpʰɑtʰ			
334	PICTURE	сурт	su͡ʊrt		334	PICTURE	асахьа	ɑsɑχʲe			
336	DOLL	тайниг	təɪ̆nɪɡ		335	IDOL	афигура	ɑfiɡurɑ	a figura	+++ 100%	
337	POUCH	гали	ɡə̄lɪ		336	DOLL	акьанџьа	ɑkʼʲend͡ʒɑ	@ kinder		
338	BUNDLE	кочар	kot͡ʃər		337	POUCH	асакь	ɑsɑkʼʲ	a Sack	+++	
339	BAG	тӏоьрмиг	tʼørmɪɡ	tornister	338	BUNDLE	аҿаҳəара	ɑʈʈ͡ʂʼɑħəɑrɑ	a share		
340	BUCKET	чийлик	t͡ʃɪɪ̆lɪk		339	BAG	арҭмаҟ	ɑrtʰmɑqʼ	arithmatic?		
341	LID (COVER, CAP)	негӏар	neɣər		340	BUCKET	аведра	ɑvɛdrɑ	a water vase		
342	DISHWARE	пхьегӏа	pʜeɣə		341	LID (COVER, CAP)	ахҩа	ɑχɥɑ			
343	SACK	гали	ɡə̄lɪ		342	DISHWARE	ачысмаҭəа	ɑt͡ʃʰɨsmɑtʰəɑ			
344	CUP	кад	kəd	cattle кад~cupd	343	SACK	асакь	ɑsɑkʼʲ	a sack	+++	
345	POT	яй	jəɪ̆	jar	344	CUP	аҵəца	ɑt͡sʼət͡sʰɑ	a 𓎡𓎡 (old reading)		
346	KETTLE	яй	jəɪ̆	jar	345	POT	акаструлиа	ɑkʼɑstʼruliɑ	a kiste	<<	
347	MEAL	юург	juu͡ʊrɡ	jar, xor	346	KETTLE	ачуан	ɑt͡ʃʰuɑn			
348	FOOD	кхача	qət͡ʃə	kaut	348	FOOD	афатə	ɑfɑtʼə	a food	+++	
349	DISH (FOOD)	юург	juu͡ʊrɡ	xor	349	DISH (FOOD)	афатə	ɑfɑtʼə	a food		
350	MEAT	жижиг	ʒɪʒɪɡ	bashish	350	MEAT	акəац	ɑkʼəɑt͡sʰ	ek eats эт @Turk   vs ma.eat : meat	<<+	
351	GRAIN	буьртиг	byrtɪɡ		351	GRAIN	ачакуа	ɑt͡ʃʰɑkʼuɑ			
352	MUSH	xудар	xu͡ʊdər		352	MUSH	ақашь	ɑkʰɑʃ	a käse		
353	BREAD	бепиг	bepɪɡ	breap	353	BREAD	ача	ɑt͡ʃʰɑ	a dough 𓏏	++?	
353	BREAD	кхаллар	qəlːər		354	SLICE	аҽыҭ	ɑʈ͡ʂʰɨtʰ	a ʈ͡ʂʰɨtʰ ~ slice		
354	SLICE	цастар	t͡səstər		354	SLICE	аҿаҵа	ɑʈʈ͡ʂʼɑt͡sʼɑ	a cuts		
355	FAT (ORGANIC SUBSTANCE)	мохь	moʜ		355	FAT (ORGANIC SUBSTANCE)	ашша	ɑʂʂɑ	ossa@		
356	BUTTER	налха	nəlxə		356	BUTTER	ахəша	ɑχəʂɑ	a käse		
357	OIL (ORGANIC SUBSTANCE)	даьтта	dætːə		357	OIL (ORGANIC SUBSTANCE)	азеҭ	ɑzɛtʰ	as Fett, zet@		
358	SALT	туьха	tyxə	txal	358	SALT	аџьыка	ɑd͡ʒɨkʼɑ	a dsalk --		
359	SOUP	чорпа	t͡ʃorpə	sourpa@LAT!	359	SOUP	асуҧ	ɑsupʰ	ɑ supʰ	+++	
360	HONEY	моз	moz	mielz	360	HONEY	ацха	ɑt͡sʰχɑ			
361	MILK	шура	ʃu͡ʊrə	šir @ ...	361	MILK	ахш	ɑχʂ	a kuhs		
362	TEA	чай	t͡ʃəɪ̆	chai	362	TEA	ачаи	ɑt͡ʃʰɑi	a chai		
363	LEATHER	цӏока	t͡sʼōkə	dzor.ka	363	LEATHER	ацəа	ɑt͡sʰəɑ	a der!		
364	WOOL	тӏapгӏa	tʼapɣa	sheep.ɪɡa	364	WOOL	аласа	ɑlɑsɑ	wool.asa		
365	CLOTH	кӏади	kʼədɪ	Kleid	365	CLOTH	Аба	ɑbɑ	𓎛𓃀𓋳 <> bag, fashion …		
366	NEEDLE (FOR SEWING)	маха	mə̄xə		366	NEEDLE (FOR SEWING)	агəыр	ɑɡəɨr	<<		
367	THREAD	тай	təɪ̆	Tau	367	THREAD	арахəыц	ɑrɑχəɨt͡sʰ	a reiss-leine ---		
368	BUTTON	нуьйда	nyɪ̆də	knot ~ knob	368	BUTTON	аҳəынҵəра	ɑħəɨnt͡sʼərɑ			
369	KNOT	шад	ʃəd		369	KNOT	аиқəҳəала	áikʰəħəɑlɑ	á knotella		
370	PAINT (PIGMENTS)	сир, басар	sɪr, bəsər		370	PAINT (PIGMENTS)	ашəыга	ɑʂəɨɡɑ	a Zeiger		
371	CLOTHES	бедар	bedər	be.der	371	CLOTHES	амаҭəа	ɑmɑtʰəɑ	ga Maschen		
372	SHIRT	коч	kot͡ʃ	coat	372	SHIRT	акьаҿ	ɑkʼʲeʈʈ͡ʂʼ	a kshürze		
373	COLLAR	кач	kət͡ʃ		373	COLLAR	ахəда	ɑχədɑ			
374	SLEEVE	пхьош	pʜoʃ		374	SLEEVE	амаӷра	ɑmɑʁrɑ	<<		
375	TROUSERS	хеча	xet͡ʃə		375	TROUSERS	аиқəа	áikʰəɑ			
376	BELT	доьхка	døxkə	-	376	BELT	амаҟа	ɑmɑqʼɑ			
377	CAP	куй	ku͡ʊɪ̆	куйp	377	CAP	ахылҧа	ɑχɨlpʰɑ	a chilp > cap	<<	
378	SHOE	мача	mət͡ʃə	matsch@…	378	SHOE	аимаа	áimɑː	<		
379	BOOT	этка	etkə		379	BOOT	амагə	ɑmɑɡə	<		
380	RING	чӏуг	t͡ʃʼu͡ʊɡ	-	380	RING	амацəаз	ɑmɑt͡sʰəɑz			
381	RIBBON	лента	lentə		381	RIBBON	алента	ɑlɛntʼɑ			
382	COMB	ехк	exk	-	382	COMB	ахҳəа	ɑχħəɑ			
383	MIRROR	куьзга	kyzɡə		383	MIRROR	асаркьа	ɑsɑrkʼʲe			
384	STRAP	доьхка	døxkə		384	STRAP	аа	ɑː	!		
385	STRING	муш	mu͡ʊʃ		385	STRING	ашаха	ɑʂɑχɑ	ɑ ʂɑχɑ		
386	LEASH	кочатосу доьхка	kot͡ʃətosu͡ʊ døxkə		386	LEASH	аҕура	ɑʁurɑ	a Haar? <> ɑrɑχəɨt͡sʰ		
387	BLANKET	юргӏа	jurɣə		387	BLANKET	ахыза	ɑχɨzɑ			
388	PILLOW	гIайба	ɡiəɪ̆bə		388	PILLOW	ахчы	ɑχt͡ʃʰɨ	a kissen		
389	SCARF	исхар	ɪsxər	ɪscarf	389	SCARF	акасы	ɑkʼɑsɨ	a cashmir		
390	TOWEL	гата	ɡətə		390	TOWEL	ампахьшьы	ɑmpʼɑχʲʃɨ			
391	FORCE	гӏора	ɣorə	!	391	FORCE	амч	ɑmt͡ʃʰ	<> apt		
392	STRENGTH	гӏап	ɣəp	@Geber	392	STRENGTH	амч	ɑmt͡ʃʰ	arm!   𓂝𓂡𓄊		
393	HEALTHY	могашалла	moɡəʃəlːə	?	393	HEALTHY	агəабзиара	ɑɡəɑbziɑrɑ			
394	DISEASE	цамгар	t͡səmɡər		394	DISEASE	ачымазара	ɑt͡ʃʰɨmɑzɑrɑ			
395	PAIN	лазар	ləzər		395	PAIN	ахьаа	ɑχʲeː	ache		
396	WOUND	чов	t͡ʃɔ͡ʊ		396	WOUND	ахəра	ɑχərɑ			
397	FEVER	xорша	xorʃə	chore:heat?	397	FEVER	ашоура	ɑʂɔurɑ	a sura ☀		
398	MEDICINE	молха	molxə	molke;)	398	MEDICINE	ахəшə	ɑχəʂə			
399	BRIDGE	тӏай	tʼəɪ̆	tell	399	BRIDGE	ацҳа	ɑt͡sʰħɑ			
400	WELL	гӏу	ɣu͡ʊ̄	good	400	WELL	аҵыџь	ɑt͡sʼɨd͡ʒ	<<		
401	PASTURE	дак	dək		401	PASTURE	аҳəырҭа	ɑħəɨrtʰɑ	a herde…		
402	PATH	тача	tət͡ʃə	track	402	PATH	амхəасҭа	ɑmχəɑstʰɑ	mastaba  𓐝𓂝𓏏𓈖𓌙𓈐 𓈘𓏤𓊢𓂝𓏏𓉐		
403	WAY	некъ	neqʼ	weg <> nagar	403	WAY	амҩа	ɑmɥɑ	मार्ग mārga 		
404	ROAD	урам	u͡ʊrəm	ur	404	ROAD	амҩа	ɑmɥɑ	मार्ग mārga 		
405	VILLAGE	юрт	jurt	™ < court	405	VILLAGE	ақыҭа	ɑkʰɨtʰɑ	a kurta		
406	TOWN	гӏала	ɣə̄lə	< kur	406	TOWN	ақалақь	ɑkʰɑlɑkʰʲ	a quell < kul < kur		
407	LETTER	кехат	kexət		407	LETTER	ашəҟəы	ɑʂəqʼəɨ	a cheque		
408	BOOK	жайна	ʒəjnə		408	BOOK	ашəҟəы	ɑʂəqʼəɨ	a cheque		
409	CHARACTER	элп	elp		409	CHARACTER	анбан	ɑnbɑn	a 𓃀  buchstaben?		
410	NEWSPAPER	газет	ɡəzet	gazet	410	NEWSPAPER	агазеҭ	ɑɡɑzɛtʰ	a gazette	ok	
411	LIFE	дахар	də̄xər	<<<	411	LIFE	аҧсҭазаара	ɑpʰstʰɑzɑːrɑ	ɑpʰ stanza		
412	DEATH	далар	dələr	teil ^	412	DEATH	аҧсра	ɑpʰsrɑ			
412	DEATH	ӏожалла	ʡoʒəlːə	<> ɑpʰsrɑ							
413	GRAVE	каш	kəʃ	cash <> kursa	413	GRAVE	анышəынҭра	ɑnɨʂəɨntʰrɑ	---		
414	CHURCH	килс	kɪls	килс	414	CHURCH	ауахəама	ɑuɑχəɑmɑ	---		
415	SIN	къа	qʼə		415	SIN	агəнаҳа	áɡənɑħɑ	agenda ;)		
416	GOD	дела	dēlə	DEL	416	GOD	анцəа	ɑnt͡sʰəɑ	antro 𓊹	!!!! <<< ++	
417	WORKER	белхало	belxəlo	𓅡 𓎡 𓅂	417	WORKER	аусуҩ	ɑusuɥ	a usus?  uсуҩ <> worker		
418	BOSS	хьаькам	ʜækəm	Hakam™	418	BOSS	Аиҳабы	ɑiħɑbɨ	a rabbi		
419	MASTER (TRADE)	говзанча	ɡɔ͡ʊzənt͡ʃə		419	MASTER (TRADE)	аҟаза	ɑqʼɑzɑ	<<		
420	PHYSICIAN	лор	lor		420	PHYSICIAN	аҳақьым	ɑħɑkʰʲim			
421	TEACHER	хьехархо	ʜexərxo		421	TEACHER	арҵаҩы	ɑrt͡sʼɑɥɨ	art-teacher		
422	MONEY	aхча	axt͡ʃə	argente	422	MONEY	аҧара	ɑpʰɑrɑ	ɑpʰ ɑrɑ(gen.tum), a phora		
423	BUSINESS	туька	tykə	tech							
424	SHOP	туька	tykə		424	SHOP	амагазин	ɑmɑɡɑzin	ɑmɑɡɑzin		
425	PRICE	мах	məx	march	425	PRICE	ахə	ɑχə	√argeon		
426	WARE	хlума	xlu͡ʊmə		426	WARE	атауар	ɑtʼɑuɑr	at ware		
427	BENEFIT	пайда	pəɪ̆də	pro…	427	BENEFIT	ақьар	ɑkʰʲer			
428	WEALTH	хьал	ʜəl	Heil ʜəlth	428	WEALTH	абеиара	ɑbɛiɑrɑ	a pora		
429	WORLD	дуьне	dyne	<<<	429	WORLD	адунеи	ɑdunɛi	a dan << 弹		
430	COUNTRY	мохк	moxk	Mark	430	COUNTRY	атəыла	ɑtʼəɨlɑ	a tell < terra		
431	STATE (POLITICS)	пачхьалкх	pət͡ʃʜəlq	patriarch	431	STATE (POLITICS)	аҳəынҭқарра	ɑħəɨntʰkʰɑrrɑ	a … KUR	ok	
432	KING	паччахь	pət͡ʃːəʜ	pater > boss	432	KING	акрал	ɑkʼrɑl	a Kral™, ek Ray	<<++	
433	POWER	ӏедал	ʡēdəl	<	433	POWER	амчра	ɑmt͡ʃʰrɑ	amts  𓂝𓂡𓄊		
434	BORDER	доза	dōzə		434	BORDER	аҳəаа	ɑħəɑː			
435	WAR	тӏом	tʼom	-	435	WAR	аибашьра	ɑibɑʃrɑ	a'battra > war	<<	
436	ENEMY	мостагӏ	mostəɣ		436	ENEMY	Аҕа	ɑʁɑ	arya = arch-enemy		
437	VIOLENCE	гӏело	ɣelo		437	VIOLENCE	ақəымчра	ɑkʰəɨmt͡ʃʰrɑ			
438	FIGHT	къийсам	qʼɪɪ̆səm		438	FIGHT	ақəҧара	ɑkʰəpʰɑrɑ	a guerre	<	
					439	BOW	ахыц	ɑχɨt͡sʰ	a schiess		
440	ARROW	пха	pxə	pfeil	440	ARROW	ахəымпал	ɑχəɨmpʼɑl	@impala,impair;)	<	
441	GUN	топ	top		441	GUN	ашəақь	ɑʂəɑkʰʲ			
442	MISTAKE	гӏалат	ɣələt	ƒehlet	442	MISTAKE	агха	ɑɡχɑ	ɑχɑrɑ <> error		
443	UNTRUTH	аьшпаш	æʃpəʃ		443	UNTRUTH	амц	ɑmt͡sʰ	<> power!?!	ƒ?	
444	DAMAGE (HARM)	зен	zēn		444	DAMAGE (HARM)	аҧырхага	ɑpʰɨrχɑɡɑ			
445	BAD LUCK	бала	bə̄lə	bane	445	BAD LUCK	арыцҳара	ɑrɨt͡sʰħɑrɑ			
446	FAULT	бехк	bexk	bad	446	FAULT	ахара	ɑχɑrɑ	an error		
447	AGE	хан	xən	suns	447	AGE	ақəра	ɑkʰərɑ	ager, a gero 	+++	
448	END (OF TIME)	чакхе	t͡ʃəqe	?	448	END (OF TIME)	анҵəамҭа	ɑnt͡sʼəɑmtʰɑ	ante timeth		
449	TIME	хан	xən	sun	449	TIME	аамта	ɑːmtʼɑ	<> time meter	<> mathema	
450	DAY (NOT NIGHT)	де	de	day	450	DAY (NOT NIGHT)	амш	ɑmʂ			
451	MORNING	ӏуьйре	ʡyɪ̆re		451	MORNING	ашара	ɑʂɑrɑ	a Sara		
					451	MORNING	ашьыбжь	ɑʃɨbʒ			
452	MIDDAY	делкъе	delqʼe		452	MIDDAY	шьыбжьон	ʃɨbʒɔn	sieben?		
