No. 	English 	Thai ภาษาไทย 	Romanized Thai 	PIE	Lao 	Romanized Lao 	Shan 	Romanized Shan 	Southern Kam 	Gelao 	Buyang (E'ma/Langnian/Yerong) 	Zhuang (IPA) 	Ong Be 	Hlai 	White Hmong			
123 	to lie (as in a bed) 	นอน 	nɔɔn 	<> sleep /snake	ນອນ 	nɔ́ːn 	လႅင်ႉ 	lɛŋ5 				nin2 			pw			
124 	to sit 	นั่ง 	nâŋ 	𓀔=niño hin.sit	ນັ່ງ 	nāŋ 	ၼင်ႈ 	naŋ3 	sui53 	qaɯ33 	(qa0) tu24 	nɐŋ6 	ngo1 	tsong3 	zaum			
125 	to stand 	ยืน 	yʉʉn 	tsuk/yʉʉn : stan.do	ຢືນ 	yɨ̀ːn 	ၸုၵ်း 	tsuk4 	jun55 	lo35 tsi31 	ma54 	ʔdɯn1 			sawv ntsug			
126 	to turn (intransitive) 	หัน 	hǎn 	(t)uhan	ຫັນ 	hǎn 	ဝိၼ်ႇ 	win2 			vɛ31 	pɐn5 			tig			
127 	to fall 	ตก, หล่น 	tòk, lòn 	𓏴 lang	ຕົກ 	tók 	တူၵ်း 	tok4 		to35 	tuk54 	tok7 			poob			
128 	to give 	ให้ 	hây 	hier;)	ໃຫ້ 	haɯ, haj 	ပၼ် 	pan1 		na35 		hɐɯ3 	se1 		muab rau			
129 	to hold 	จับ 	t͡ɕap 	grap	ຈັບ 	t͡ɕap 	ယိပ်း 	jip4 	um323 		mi11 	hoː4 			tuav, puag			
130 	to squeeze 	คั้น 	khán 	@kHand	ຄັ້ນ 	kʰân 	ပၼ်ႈ 	pan3 			tɔk11 	to:k7 			nyem (Chinese)			
131 	to rub 	ถู, นวด 	thǔu, nûat 		ຖູ 	tʰuː 	ထူ 	tʰu1 				kot8, ɕuː1 			mos (Chinese)			
132 	to wash 	ล้าง 	láaŋ 	laugen, soak	ລ້າງ 	lang 	သုၵ်ႈ 	sʰuk3 		pia35 		sɐk8, raː5 			ntxuav			
133 	to wipe 	เช็ด 	chét 	wischet	ເຊັດ 	set 	ၸဵတ်ႉ 	tset5 				maːt8 			so			
134 	to pull 	ดึง, ลาก 	dʉŋ, lâak 		ດຶງ 	dɯng 	တိုတ်ႉ 	tɯt5 				neːŋ6 			rub			
135 	to push 	ผลัก 	phlàk 	~ 1/suck	ຊຸກ 	suk 	တမ် 	tam1 				ʔuŋ1 			thawb			
136 	to throw 	ขว้าง, ปา 	khwâaŋ, paa 	pow	ແກວ່ງ 	kwɛ̄ːŋ 	ထိမ်ႈ, ပႅတ်ႈ 	tʰim3, pɛt3 		'ʑaɯ31 	vit11 	vit7 			pov			
137 	to tie 	ผูก 	phùuk 		ຜູກ 	pʰȕːk 	မတ်ႉ 	mat5 	suk31 		tat54 	rɐk7 			khi			
138 	to sew 	เย็บ 	yép 		ຫຍິບ 	ɲíp 	ယဵပ်ႉ 	jep5 	pang55 		ɲip11 	ɲip8 			xaws			
139 	to count 	นับ 	náp 	na…	ນັບ 	nāp 	ဢၢၼ်ႇ 	ʔaan2 	jaai33 		ɕua:n54 	keː5, su:n5 			suav			
140 	to say 	บอก 	bɔ̀ɔk 	book spoke 	ບອກ 	bɔːk 	ဝႃႈ, လၢတ်ႈ 	waa3, laat3 	wa33 	ɕi31 	i11 	nɐu2, kaːŋ3 		riin1 	hais			
141 	to sing 	ร้อง 	rɔ́ɔŋ 	ring	ຮ້ອງ 	hɔŋ 	ႁဵတ်း 	het4 		da31 		ʔeːu1 			hu/hais nkauj			
142 	to play 	เล่น 	lên 	(p)layn	ຫລິ້ນ 	lin 	လဵၼ်ႈ 	len3 				li:u6 			ua si			
143 	to float 	ลอย 	lɔɔy 	(f)loay	ລອຍ 	lɔːj 	ၽူး 	pʰu4 				fou4 			ntab			
144 	to flow 	ไหล 	lǎy 	(f)loay	ໄຫລ 	lǎi 	လႆ 	laj1 	'ui35 	hlei33 hlei33 	ta0 lui312 	lɐi1 	ləi1 		ntws			
145 	to freeze 	แช่เย็น 	t͡ɕʰɛː jen 		ແຊ່ເຢັນ 	sɛː jen 						klot7 			khov			
146 	to swell 	บวม 	buam 	boom	ບວມ 	buam 	တိုင်ႇ, ၵႂ်ႈ, ၽူတ်ႉ 	tɯŋ2, kaɯ3, pʰot5 			kɯ312 	ʔboŋ2 			o			
147 	sun 	ตะวัน 	tawan 	Thawan > sun ♀ ☼  3/5/7/10	ຕະເວັນ 	taʔ ʋen 	ဝၼ်း 	wan4 	ta55 maan55 	lu55 vu55 		ʔdit7, tɐng1 ŋon2 	da1 vən2 	tsha1 hwan1 	hnub			
148 	moon 	เดือน 	dʉan, 	turn 𖧂	ເດືອນ 	dɯan 	လိူၼ် 	lɤn1 	kwang55 nyan55 	eng55 dʑi31 	luŋ11 tɛn11 	(roŋ6) ʔdɯ:n1 	mai4 sai1 	nyaan1 	hli			
149 	star 	ดาว 	daaw 	"𓇼	dwA !! stara"	ດາວ 	daːw 	လၢဝ် 	laaw1 	xət55 	dung31 dɛ55 	la:ŋ11 lɔŋ312 	ʔdaːu1( dei5) 	lək8 sai1 	raau1 	hnub qub			
150 	water 	น้ำ 	náam 	Naum ~ maim	ນ້ຳ 	nȃm 	ၼမ်ႉ 	nam5 	naam31 	eng55 	ɔŋ24 	rɐm4 	nam4 	nom3 	dej			
151 	rain 	ฝน 	fǒn 	phoon	ຝົນ 	fŏn 	ၽူၼ် 	pʰon1 	pjən55 	man31 	ʑu:t11 	hun1 	fun1 	fun1 	nag			
152 	river 	แม่น้ำ 	mâenáam 	mender	ແມ່ນ້ຳ 	mɛ̄ː nȃm 	မႄႈၼမ်ႉ 	mɛ3 nam5 	nya55 	hɯ55 (Chinese) 		taː6 	hɔ2 (Chinese) 	nom3 	dej			
153 	lake 	ทะเลสาบ 	thaleesàap 	tha.lakea sail.ship	ທະເລ 	tʰā léː 	ၼွင် 	nɔŋ1 				huː2 			pas dej			
154 	sea 	ทะเล; มหาสมุทร (Sanskrit) 	thalee, mahǎasamùt 	thalassea	ທະເລ 	tʰā léː 	ပၢင်ႇလၢႆႇ 	paaŋ2 laaj2 	haai13 		ha:i24 	haːi3 	hai3 	laang3 	hiav-txwv			
155 	salt 	เกลือ 	klʉa 		ເກືອ 	kɨaː 	ၵိူဝ် 	kɤ1 	jim212 		qa0 ɲɔ312 	kuː1 			ntsev			
156 	stone 	หิน 	hǐn 	hinkel!	ຫິນ 	hĭn 	ႁိၼ် 	hin1 	zin55, pja55 	eng53 	pja312 	rin1 	din2 	tshiin1 	(pob)-zeb			
157 	sand 	ทราย 	saay 	saaynd	ຊາຽ 	sáːy 	သၢႆး 	sʰaaj4 	xe35 		ɔt11 ɕi11 a:i31 	saː1 	tang1 	phou2 	(hmoov) zeb			
158 	dust 	ฝุ่น 	fùn 	fǒn	ຝຸ່ນ 	fūn 	ၽွင် 	pʰɔŋ1 	pung53 		(la0) muk11 	mok7 mo:n5 		fuung3 	(hmoov) av			
159 	earth 	ดิน 	din 	adam don	ດິນ 	din 	လိၼ် 	lin1 	nam33 	lu35, pu31 daɯ35 	ɔt11 	naːm6 	bong2 	van1 	av			
160 	cloud 	เมฆ 	mêek 	smog	ເມກ 	mȇːk 	မွၵ်ႇ 	mɔk2 	ma323 	qə33 pu55 	la0 muk11 ʔbun54 	fɯː3 	ba4 	deek7 fa3 	huab			
161 	fog 	หมอก 	mɔ̀ɔk 	smog	ໝອກ 	mɔ̏ːk 	ၼမ်ႉၼၢႆးၵုမ်ႈ 	nam5 naaj4 kum3 	mun212 		la0 muk11 	mok7 	ngiau4 		pos huab			
162 	sky 	ฟ้า 	fáa 	vater pʰaatian  𓊪 𓏏 𓎛 𓀭	ຟ້າ 	fȃː 	ၽႃႉ 	pʰaa5 	mən55 	lui31 lui31 	ʔbun54 	ʔbɯn1 	fa3 	fa3 	ntuj			
163 	wind 	ลม 	lom 		ລົມ 	lóm 	လူမ်း 	lom4 	ləm212 	vei55 ʑung31 	la0 van312 	rum2 	van3 	hwoot7 	cua			
164 	snow 	หิมะ (Sanskrit) 	himá 	@himálaya	ຫິມະ (Sanskrit) 	hímā 	မူၺ် 	moj 	nui55 	ken33 ne33 aɯ35 		nɐi1 			npu			
165 	ice 	น้ำแข็ง 	náamkhǎeŋ 		ນ້ຳກ້ອນ 	nȃmkɔ̑ːn 	ၼမ်ႉၶႅင် 	nam5 kʰɛŋ1 	;u53, 'ang13 			nɐi1 haːŋ1 		beng2 (Chinese) 	dej khov, nab kuab			
166 	smoke 	ควัน 	khwan 	qwalm	ຄວັນ 	kʰuán 	ၵႂၢၼ်း, ဢၢႆ 	kwaan4, ʔaaj1 	kwaan212 	xei31 	qhat11 	ʔon5 		hwoon1 	ncho pa			
167 	fire 	ไฟ 	fay 	fayr	ໄຟ 	fáy 	ၽႆး 	pʰaj4 	pui55 		pui54 	feːi2 	vəi2 	fei1 	taws			
168 	ash 	เถ้า 	thâo 		ເທົ່າ 	tʰāo 	တဝ်ႈ 	taw3 	phuk13 		qa0 la11 	tɐu6 	lɔ4 vəi2 		tshauv			
169 	to burn 	เผา 	phǎo 	Phǎorn > hǎo	ເຜົາ 	pʰăo 	မႆႈ 	maj3 			ɕa11 	ɕom6 			kub			
170 	road 	ทาง 	thaaŋ 	--	ທາງ 	tʰáːŋ 	တၢင်း 	taaŋ4 	khwən35 	qə33 'lan31 	pjɔŋ11 qhun54 	hon1 			kev			
171 	mountain 	เขา 	kʰaw 	khaor! Dag Don	ພູ 	pʰúː 	လွႆ 	lɔj1 		qə33 dzo31 	zən212 	ʔdoi1, poː1, plaː1 (granite) 	tia4 	hwou3, daau3 	roob, toj			
172 	red 	แดง 	daeaeŋ 	Dan < tain	ແດງ 	dɛːŋ 	လႅင် 	lɛŋ1 	ja453 	pla31 die35 	la:n11 	ʔding1 	hong2, ling1 	gaan3, deeng3 	liab			
173 	green 	เขียว 	khǐaw 	khǐawn 𓎡 𓄿 𓅱 ++	ຂຽວ 	kʰĭaːw 	ၶဵဝ် 	kʰew1 	su35 	lɯ55 ngɯ55 	lok11 (Chinese) 	heːu1 	heu1 	khiiu1 	ntsuab			
174 	yellow 	เหลือง 	lʉ̌aŋ 	ye.lune 🌖	ເຫຼືອງ 	lɨ̆aːŋ 	လိူင် 	lɤŋ1 	man13 	tin55 nyi55 	ŋa:n11 	heːn3 	lang1 	zeeng1 	daj			
175 	white 	ขาว 	khǎaw 	Clear? –	ຂາວ 	kʰăːo 	ၶၢဝ် 	kʰaaw1 	pak31 (Chinese) 	paɯ31 paɯ35 	ɔk11 	haːu1 	fiak8 	khaau1 	dawb			
176 	black 	ดำ 	dam 	Dumkel @ dawnm	ດຳ 	dam 	လမ် 	lam1 	naam55 	lu55 	ʔdam31 	ʔdɐm1, fo:n4 	lam1 	dom3, look7 	dub			
177 	night 	กลางคืน 	klaaŋkhʉʉn 	𓎡𓎡!	ກາງຄືນ 	kaːŋkʰɨ́ːn 	ၶိုၼ်း 	kʰɯn4 	zan55, nyaam53 	vei31 		hɐm6 		pai3 tshop7 	tsaus ntuj			
178 	day 	กลางวัน 	klaaŋwan 	wana?	ກາງວັນ 	kaːŋwán 	ဝၼ်း 	wan4 	maan55 	ung31 	van54 	ŋon2 		pai3 hwan1 	hnub			
179 	year 	ปี 	pii 	period	ປີ 	piː 	ပီ 	pi1 	nyin212 (Chinese) 	hei31 	pi:ŋ312 	piː1 	vəi2 	pou2 	xyoo			
180 	warm 	อุ่น 	?ùn 	nun/ran@CN	ອຸ່ນ 	ūn 	ဢုၼ်ႇ 	ʔun2 	sau323 	qə33 den31 	qa0 tɔt11 	rɐu3 	un3 lun3 		kub, sov			
181 	cold 	หนาว 	nǎaw 	kat4 kalt @nau ၵတ်း	ໜາວ 	năːw 	ၵတ်း 	kat4 	ljaak35, jim453 	qə33 ʑi13 	ʔbot11 	ɕeːŋ4 			no			
182 	full 	เต็ม 	tem 	team (2/20)	ເຕັມ 	tem 	တဵမ် 	tem1 		tɕi35 		rim1 			puv			
183 	new 	ใหม่ 	mày 	mneu	ໃໝ່ 	maɯ, maj 	မႂ်ႇ 	maɯ2 	maai453 	[mu55] 	ma:n312 	moː5 	nau4 	paan1 	tshiab			
184 	old	แก่, เฒ่า 	kàeae, thâo 	kae<gero, top	ແກ່, ເຖົ້າ 	kɛ̄ː, tʰȁo 	ၵဝ်ႇ, ထဝ်ႈ 	kaw2, tʰaw3 	lau31 (Chinese) 	'ʑɯ55 	qu11 	keː5 	kau3 	khau2, maan1; za1 	laus, qub			
185 	good 	ดี 	dii 	mei.top	ດີ 	dìː 	လီ 	li1 	lai55 	gei55 	ŋai24 	ʔdeːi1 	mai2 	hleny1 	zoo			
186 	bad 	เลว, ชั่ว 	chûua leew	sau blöd	ຊົ່ວ 	sūaː 	ႁၢႆႉ, ၸႃႉ 	haaj5, tsaa5 	ja31 	vu31 a35 	tuk55 ɕaŋ11 	rɯːi4, vaːi6, jaːk7 	fai4 	reek7 	phem			
187 	rotten 	เน่า 	nâo 	< 牛 meat	ເນົ່າ 	nāo 	ၼဝ်ႈ, တူႇ 	naw3, tu2 				nɐu6 			lwj			
188 	dirty 	สกปรก 	sòkkapròk 		ເປືຶ້ອນ 	pɨ̑aːn 	ၵူဝ်ႈ, ဝိၼ်း 	ko3, win4 	wa53, wok21 		ɔŋ11 am31 	pɯn5 			txab, ceb			
189 	straight 	ตรง 	troŋ 	trunk	ຊື່, ກົງ 	sɨ̄ː, koŋ 	သိုဝ်ႈ 	sʰɯ3 				soː6 	muutt7 		ncaj			
190 	round 	กลม, มน 	klom, mon 	krumm	ກົມ, ມົນ 	kom, món 	မူၼ်း 	mon4 		qə33 lung35 		mɯn2, du:n1, lu:n2 	vin2 		kheej-kheej			
191 	sharp (as a knife) 	คม 	khom 		ຄົມ, ແຫຼມ 	kʰóm, lɛ̆ːm 	လႅမ် 	lɛm1 	jai33 		tsit54 	hɐm2 			ntse			
192 	dull (as a knife) 	ทื่อ 	thʉ̂ʉ 	thʉ̂ʉll	ຕູ້, ໝຸ່ມ 	tûː, mȕm 	ပုၵ်း 	puk4 	təp21 		(qa0) nan312 	pum3, mɐu2 			npub			
193 	smooth 	ละมุน 	lamun 	🌕 	ລະມຸນ 	lāmún 	လိူမ်ႈ 	lɤm3 		thɛ31 thɛ35 		lɯ:n5, lɯ:m3 			du			
194 	wet 	เปียก 	pìak 	platsch phetk	ປຽກ 	piȁːk 	ယမ်း, ပဵၵ်ႇ 	jam4, pek2 	jaak55 	tsaɯ35 	ðak1 	ʔdɐk7 			ntub			
195 	dry 	แห้ง 	hâeaeŋ 	gān 干 < Gün 🌞	ແຫ້ງ 	hɛ̏ːŋ 	ႁႅင်ႈ 	hɛŋ3 	so323 		qha11 	hɐɯ5 			qhuav			
196 	correct 	ถูก 	tʰuːk 	dui! truth	ຖືກ, ແມ່ນ 	tʰɨ̏ːk, mɛ̄ːn 	မႅၼ်ႈ 	mɛn3 	nyaang212 		tuə11 	teːŋ1 	xɔk8 sit8 		tseeb			
197 	near 	ใกล้ 	klây 	--	ໃກ້ 	kaɯ, kaj 	ၸမ် 	tsam1 	zaan31 	qə33 lu55 	thuə24 	klɐɯ3 	lɔ3 	plaɯ3 	ze			
198 	far 	ไกล 	klay 	--	ໄກ 	kaj 	ၵႆ 	kaj1 	kai55 		ma0 ði24 	klɐi1 	lɔi1 	lai1 	deb			
199 	right 	ขวา 	khwǎa 		ຂວາ 	kʰuăː 	ၶႂႃ 	kʰwaa1 	wa35 	tsɯ31 	(qa0) mi11 	kwaː2 		teny2, khuung1 	(sab) xis			
200 	left 	ซ้าย 	sáay 		ຊ້າຽ 	saːj 	သၢႆႉ 	sʰaaj5 	ze323 	zɯ31 	(qa0) leu11 	sɯːi4 		hwiing1, hlum3 	(sab)-laug			
201 	at 	ที่ 	thîi 	"ati < anti <> there ที่นั่น 	thîinân "	ທີ່ 	tʰīː 	တီႈ 	ti3 	nyau33 	ang31 		jou5 			ntawm, tom			
202 	in 	ใน 	nay 	nei	ໃນ 	naɯ, naj 	ဝၢင်ႈ 	waaŋ3 	'aau31 			ʔdɐɯ1 			hauv			
203 	with 	กับ, ด้วย 	kàp, dûay 		ກັບ, ນຳ 	kap, nam 	တင်း, ဢိၵ်ႇ 	taŋ4, ʔik2 				teːm1, ri:ŋ2 			nrog			
204 	and 	และ 	láe 	^^ –	ແລະ 	lɛ̄ʔ 	လႄႈ 	lɛ3 		hliaɯ35 		ʔdiː3, ɕɐu5 			thiab			
205 	if 	ถ้า 	thâa 	sei … da … wether 𓇋	ຖ້າ, ຄັນ 	tʰȁː, kʰan 	ထႃႈ, သင် 	tʰaa3, sʰaŋ1 				ɕiː3, taŋ6 			yog			
206 	because 	เพราะ 	phrɔ́ 	for … 𓂋𓁻	ເພາະ, ຍ້ອນ 	pʰɔʔ, ɲɔːn 	ပိူဝ်ႈ 	pɤ3 				ʔɐn1 viː6 (Chinese) 			vim			
207 	name 	ชื่อ 	chʉ̂ʉ 	𓍷 chatul 𓍿𓇋𓏏𓂇, kwan55 𓂋𓈖 seed	ຊື່ 	sɨ̄ː 	ၸိုဝ်ႈ 	tsɯ3 	kwan55 	ne31 	miŋ312 (Chinese) 	ɕoː6 	
