No. 	English 	Thai ภาษาไทย 	Romanized Thai 	PIE	Lao 	Romanized Lao 	Shan 	Romanized Shan 	Southern Kam 	Gelao 	Buyang (E'ma/Langnian/Yerong) 	Zhuang (IPA) 	Ong Be 	Hlai 	White Hmong			
26 	five 	ห้า 	hâa 	五 hwu	ຫ້າ 	hȁː 	ႁႃႈ 	haa3 	ngo31 	mlɯ31 	ma312 	haː3, ŋuː4 	nga3, ngo4, ngu4 	pa1 	tsib			
27 	big 	ใหญ่, โต 	yày, too 	太 too tai dai 大	ໃຫຍ່ 	ɲaɯ, ɲaj 	ယႂ်ႇ 	jaɯ2 	mak323 	dzung31 	lu:ŋ24 	hung1, laːu4 	nyɔ3 	long1, laan2 	loj			
28 	long 	ยาว 	yaaw 		ຍາວ 	ɲaːw 	ယၢဝ်း 	jaaw4 	jai323 	lui33 	ði24 	rɐi2 	lɔi1 	taau3 	ntev			
29 	wide 	กว้าง 	kwâaŋ 		ກວ້າງ 	kuȃːŋ 	ၵႂၢင်ႈ 	kwaaŋ3 	khwang13 	tsə33 	kwa:ŋ24 	kwaːŋ5 	xuat7 	beeng1 	dav			
30 	thick 	หนา 	nǎa 	≠narrow	ໜາ 	năː 	ၼႃ 	naa1 	na55 	qə33 ngie35 	(ta0) na312 	naː1 	na1 		tuab			
31 	heavy 	หนัก 	nàk 	<> mak: mega	ໜັກ 	nák 	ၼၵ်း 	nak4 	zhaan35 	gung31 gung31 	(qa0) naŋ11 	nɐk7 	xɔn1 		hnyav			
32 	small 	เล็ก, น้อย 	lék, nɔ́ɔy 	luett, noice	ນ້ອຍ 	nɔ̑ːy 	လဵၵ်ႉ, ဢိတ်း 	lek5, ʔit4 	ni53 	plei31 ple35 	ɛŋ24 	leːk8, ʔiː3 	nɔk7 	eny2 	me			
33 	short 	สั้น 	sân 		ສັ້ນ 	sân 	ပွတ်း 	pɔt4 	thaam453 	ṇei35 ṇei31 	ti11 	kɛn5 	xut8 	thatt7 	luv			
34 	narrow 	แคบ 	khâeaep 	cap chop cheap	ແຄບ 	kʰɛ̑ːp 	ၵႅပ်ႈ 	kɛp3 	sok35 	ngang31 	kap11 	kɛp8, heːp8 	ep8, tsek7 	biip7 	nqaim			
35 	thin 	บาง 	baaŋ 	<> Band	ບາງ 	baːŋ 	ယွမ် 	jɔm1 	mang55 	vu33, qə33 ʑi31 	(ta0) vɛ11 	ʔbaːŋ1 	viang1 		nyias			
36 	woman 	หญิง 	yǐŋ 	yain,gyn,queen	ຍິງ 	ɲíŋ 	မႄႈယိင်း 	mɛ3 jiŋ4 	mjek323, tu212 sa31 	ma55 'lo55 	ma0 iŋ24 	ʔbɯk7 	mai4 lək8 	pai3 khau2 	pojniam			
