No. 	English 	Zazaki Zazaki, dımli	VERY INTERSTING PIE	
185	good 	rınd, weş	<<<	
186	bad 	aar	arse, raw	
187	rotten 	puç	bad	
188	dirty 	pis,	piss;)	
189	straight 	duz		
190	round 	kılor, klıorek	circle	
191	sharp (as a knife) 	nu		
192	dull (as a knife) 	kor		
193	smooth 	pak		
194	wet 	hi		
195	dry 	wışk		
196	correct 	raşt	right	
197	near 	nezdı	nearz.de	
198	far 	duri	dura	
199	right 	raşt	right	
200	left 	çep		
201	at 	-de, -a, -e,	a, à, at, de	
202	in 	-de, miyande	^^, among, 𓅓!!	
203	with 	ya, ya piya	ye, y	
204	and 	u	u, y	
205	if 	nara, eger ... ise, -se	𓇋𓂋 !	
206	because 	çünkü	Cause <<	
207	name 	ad, isim 	had>heiß, ism™, sein	
