Id	English (gloss)	Georgian language	PIE		IPA	
95	to suck	წოვა (c̣ova)	saug	~	/tsʼɔvɑ/	
96	to spit	ფურთხვა (purtxva)	𓊪 𓊃 𓎼 𓄑 𓀁		/pʰurtʰxvɑ/	
97	to vomit	რწყევა (rc̣q̇eva)			/rtsʼqʼɛvɑ/	
98	to blow	ბერვა (berva)	blow<bervan	+++	/bɛrvɑ/	
99	to breathe	სუნთქვა (suntkva)			/suntʰkʰvɑ/	
100	to laugh	სიცილი (sicili)	hihihi		/sitsili/	
101	to see	ნახვა (naxva)	nvidia	~+	/nɑxvɑ/	
102	to hear	სმენა (smena)	Sunnā : s’mind Sinne	+++	/smɛnɑ/	
103	to know	ცოდნა (codna)	Cogna, k’now	+++	/tsɔdnɑ/	
104	to think	ფიქრი (pikri)	pthinkir?	+-?	/pʰikʰri/	
105	to smell	ყნოსვა (q̇nosva)	q’nosva	+++	/qʼnɔsvɑ/	
106	to fear	შიში (šiši)	sissi	;)	/ʃiʃi/	
107	to sleep	ძილი (ʒili)	Ʒili.ben ~ sleep	+++	/dzili/	
108	to live	ცხოვრება (cxovreba)			/tsxɔvrɛbɑ/	
109	to die	კვდომა (ḳvdoma)	kur.dom	+<	/kʼvdɔmɑ/	
110	to kill	კვლა (ḳvla)	ḳvla	+++	/kʼvlɑ/	
111	to fight	ბრძოლა (brʒola)			/brdzɔlɑ/	
112	to hunt	ნადირობა (nadiroba)	Hunti-roiba	++<	/nɑdirɔbɑ/	
113	to hit	რტყმა (rṭq̇ma)			/rtʼqʼmɑ/	
114	to cut	ჭრა (č̣ra)		~	/tʃʼrɑ/	
115	to split	მტვრევა (mṭvreva)			/mtʼvrɛvɑ/	
116	to stab	ჩარტყმა, ჩაცემა (čarṭq̇ma, čacema)		<	/tʃɑrtʼqʼmɑ/, /tʃɑtsɛmɑ/	
117	to scratch	ფხაჭნა (pxač̣na)		~-	/pʰxɑtʃʼnɑ/	
118	to dig	ბარვა (barva)	bcarva	++	/bɑrvɑ/	
119	to swim	ცურვა (curva)		+<	/tsurvɑ/	
120	to fly	ფრენა (prena)		~	/pʰrɛnɑ/	
121	to walk	სიარული (siaruli)	shier™	+++	/siɑruli/	
122	to come	მოსვლა (mosvla)			/mɔsvlɑ/	
123	to lie (as in a bed, state)	წოლა (c̣ola )	Koller ;)  s’lie	+?	/tsʼɔlɑ/	
124	to sit	ჯდომა (state) (ǯdoma (state))	sitoma		/dʒdɔmɑ/	
125	stand (intransitive - state) to stand (intransitive - action) დგომა (dgoma) ადგომა (adgoma ) /dɡɔmɑ/ /ɑdɡɔmɑ/ 		ad.goma? <<			
126	to turn	ტრიალი (ṭriali)	ṭrianli	+++	/tʼriɑli/	
127	to fall	დაცემა (dacema)			/dɑtsɛmɑ/	
128	to give	მიცემა (micema)			/mitsɛmɑ/	
129	to hold	ჭერა (č̣era)	Cera.ben = grab	+?	/tʃʼɛrɑ/	
130	to squeeze	დაწოლა (dac̣ola)			/dɑtsʼɔlɑ/	
131	to rub	წმენდა (c̣menda)			/tsʼmɛndɑ/	
132	to wash	რეცხვა (recxva)			/rɛtsxvɑ/	
133	to wipe	წმენდა (c̣menda)			/tsʼmɛndɑ/	
134	to pull	თრევა (treva)			/tʰrɛvɑ/	
135	to push	ბიძგება (biʒgeba)	push geben	+++	/bidzɡɛbɑ/	
136	to throw	გადაგდება (gadagdeba)			/ɡɑdɑɡdɛbɑ/	
137	to tie	შეხვევა (šexveva)	sack weave	++	/ʃɛxvɛvɑ/	
138	to sew	კერვა (ḳerva)		<	/kʼɛrvɑ/	
139	to count	თვლა (tvla)			/tʰvlɑ/	
140	to say	თქმა (tkma)	talk.ma@	++	/tʰkʰmɑ/	
141	to sing	მღერა (mɣera)	musera	++	/mɣɛrɑ/	
142	to play	თამაშობა (tamašoba)			/tʰɑmɑʃɔbɑ/	
143	to float	ცურვა (curva)		<	/tsurvɑ/	
144	to flow	დენა (dena)	@Don		/dɛnɑ/	
145	to freeze	გაყინვა (gaq̇inva)			/ɡɑqʼinvɑ/	
146	to swell	გადიდება (gadideba)			/ɡɑdidɛbɑ/	
147	sun	მზე (mze)	mizraim!!!	!!<	/mzɛ/	
148	moon	მთვარე (mtvare)	^^		/mtʰvɑrɛ/	
149	star	ვარსკვლავი (varsḳvlavi)	Vastro.la		/vɑrskʼvlɑvi/	
150	water	წყალი (c̣q̇ali)	aqua.le		/tsʼqʼɑli/	
151	rain	წვიმა (c̣vima)	schwimma	!<<<	/tsʼvimɑ/	
152	river	მდინარე (mdinare)	meander	+++	/mdinɑrɛ/	
153	lake	ტბა (ṭba)	bad	++?	/tʼbɑ/	
154	sea	ზღვა (zɣva)	sea (schwarz/green?)	++~	/zɣvɑ/	
155	salt	მარილი (marili)	marin	+++	/mɑrili/	
156	stone	ქვა (kva)	kur	+++	/kʰvɑ/	
157	sand	სილა (sila)	silur silex	+++	/silɑ/	
158	dust	მტვერი (mṭveri)	mud?	^	/mtʼvɛri/	
159	earth	მიწა (mic̣a)	mud Mutter!	++<	/mitsʼɑ/	
