Nº 	English 	Tupinambá  “lingua franca” → ñeengatú creole!	PIE <> Portuguese 	Guarani	ñeengatú (easy creole variant)	Tupinikĩ most divergent	Paraguayan jopará mixes Guarani and Spanish		caipira crole	!= Tapyŷa / Jê languages
132	wash 	 	yu*	johéi						
133	wipe 	 		ky'a'o						
134	pull 	 		nohẽ						
135	push 	 	🖑man*	muaña						
136	throw 	 	~…	ty						
137	tie 	 	[k]not	ñapytĩ						
138	sew 	 		mbovyvy						
139	count 	papar (trans.) 		papa (ai)						
140	say 	'e 	>	-e						
141	sing 	nhe'engar (intr.) 		purahéi (a)						
142	play 	 		ñembosarái						
143	float 	 	𓇋𓇋 > vevely	vevýi						
144	flow 	 	Ysyry ~ wasser <<	syry						
145	freeze 	 		To'ysâ,Ro'ysâ, Ho'ysâ (case distintion)						
146	swell 	 								
147	sun 	kûarasy 	𓐍𓇳! Kreis KuRAY!	kuarahy						
148	moon 	îasy 	IAH.SI !	jasy						
149	star 	îasytatá 	Îasytatá ~ star!	mbyja						
150	water 	'y 	Eau / Yu	y						
151	rain 	amana 	<<	ama						
152	river 	'y 	Eau / Yu / Wasser	ysyry						
153	lake 	upaba 	yu…?	ypa						
154	sea 	paranã 	--	para						
155	salt 	îukyra 		juky						
156	stone 	itá 	<> basque?	ita						
157	sand 	ybyku'i 		yvyku'i						
158	dust 	 		yvytimbo						
159	earth 	yby 	-- yvy!	yvy						
160	cloud 	ybatinga 		arai						
161	fog 	 		tatatína						
162	sky 	ybaka 	Jupiter 𓁷𓏏𓇯 | Yvága ~ wolke	yvága						
163	wind 	ybytu 		yvytu						
164	snow 	 		yrypy'a						
165	ice 	 		yrypy'a						
166	smoke 	atatinga (t-), petima 		tatatĩ, timbo						
167	fire 	atá (t-) 	от уот hot  åtish adfır od	ata (t-)						
168	ash 	 		kusugue, tanimbu						
169	burn 	kay 	<< charm?	kái						
170	road 	pe 	path <> 𓃀 py	ape (t-)						
171	mountain 	ybytyra 	Jupiter > berg / tyr	yvyty						
172	red 	pytang, pirang 	Purpur.rang! 丹 Tan táné	pytã						
173	green 	oby (s-) 	Sary ýaşyl sériq:	sa'yky						
