No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Japanese (Hepburn romanization)
46	bird 	kuş 	cuch! 𓅱 	куш 	шувуу 	tʃinəkə 	gas'ha ('large bird, fowl') cecike ('small bird, songbird') 	sae 	tori
47	dog 	it, köpek 	Hunt : ит ! Köter 	ит 	нохой 	ŋanakin 	indahūn 	gae 	inu
48	louse 	bit 	bit ~ beetle!	бит 	хуурс, бөөс 	kuŋkə: 	cihe 	i 	shirami
49	snake 	yılan 	schlange!! kʊlɪn  curlen	жылан 	могой 	kʊlɪn 	meihe 	baem 	hebi mi (Chinese zodiac)
50	worm 	kurt 	Curled !	курт 	өт 	kʊlikan 	umiyaha 	beolle ('bug') jireong'i ('earthworm') 	mushi ('bug') mimizu ('earthworm')
51	tree 	ağaç 	Mwood ++, borke	бак, жыгач (wood) 	мод 	mɔ: 	moo, hailan 	namu 	ki
52	forest 	orman 	mùs 木	токой 	ой 	mɔ:ʃa 	bujan, weji 	sup 	mori
53	stick 	değnek, çubuk (rod) 	мод 木	таяк, чыбык 	мод 	lata 	mukšan 	makdaegi 	bō (< Chinese 棒 bàng) tsue ('walking stick')
54	fruit 	yemiş meyve (Persian) 		жемиш 	жимс 	tubiɣə 	tubihe 	yeolmae 	kudamono mi
55	seed 	tohum tane (Persian) 	𓂋 !!!	урук, үрөн 	үр 	urə 	use 	ssi 	tane mi
56	leaf 	yaprak 	𓌾 	жалбырак 	навч 	abdana 	abdaha 	ip 	ha
57	root 	kök 		тамыр 	уг, үндэс 	təkən 	fulehe, da 	ppuri 	ne
58	bark 	kabuk 	*karbe кора (kora) barka	кабык 	хуцалт, холтос 	kə:rə, talu 	notho 	kkeopjil 	kawa
59	flower 	çiçek 	Sisil <<	гүл 	цэцэг 	ɪlga, ɲandʒa 	ilha 	kkoch 	hana
60	grass 	ot 	cUT, ?	чөп 	өвс 	ɔrɔktɔ 	orho 	pul 	kusa
61	rope 	ip 	𓎛 	аркан 	олс 	uʃikən, ʊrkʊn 	futa 	batjul 	nawa
62	skin 	ten, deri 	derma++	тери 	арьс 	nana, ilə 	sukū 	salkkach gajug 	hada kawa
63	meat 	et 	meat! Мах/эт	эт 	мах, хоол 	ulə 	yali 	sal gogi 	niku (< Chinese 肉 ròu) shishi
64	blood 	kan 	sang!	кан 	цус, угсаа 	ʃə:kʃə 	senggi 	pi 	chi
65	bone 	kemik 		сөөк 	яс 	gɪramna 	giranggi 	ppyeo 	hone
66	fat (noun) 	yağ 	yog(hurt)	май 	(өөх) тос 	imukʃə 	tarhūn 	gireum 	abura
67	egg 	yumurta 	<< ¬murt?	жумуртка 	өндөг 	ʊmʊkta 	umhan 	al 	tamago
68	horn 	boynuz 		мүйүз 	эвэр, бүрээ 	i:gə 	uihe 	ppul 	tsuno
69	tail 	kuyruk 	<> curl?	куйрук 	сүүл, гэзэг 	irgi 	uncehen 	kkori kkorangji kkongji kkongmuni 	o shippo
70	feather 	tüy 	tail! toll@ural	жүн 	өд 	ʃuptʃu 	dethe, funggala 	gis 	hane
71	hair 	kıl (in general) saç (of the head) 	sack	түк (in general) чач (of the head) 	үс 	ɲuriktə 	funiyehe 	teol (in general) meori (of the head) 	ke (in general) kami (of the head)
72	head 	baş, kafa , төбө	boss! Kopf++ TOP!	баш 	толгой 	dɪl 	uju 	meori 	atama kashira kōbe
73	ear 	kulak 	Khoures ++	кулак 	чих 	ʃɛ:n 	šan 	gwi 	mimi
74	eye 	göz 	gaze ogeyes!	көз 	нүд 	yɛ:ʃa 	yasa 	nun 	me
75	nose 	burun 	hana~nasha	мурун 	хамар 	ɔŋɔktɔ 	oforo 	ko 	hana
76	mouth 	ağız 	𓂋 !!! am/os	ооз 	ам 	amŋa 	angga 	ib 	kuchi
77	tooth 	diş 	Teeth +++	тиш 	шүд 	iktə 	weihe 	i 	ha
78	tongue 	dil 	D << ++	тил 	хэл 	iŋi 	ilenggu 	hyeo 	shita
79	fingernail 	tırnak 	tir.nagel	тырмак 	хумс 	ʊʃɪkta 	hitahūn 	sontob 	tsume
80	foot 	ayak 	bethe bal al.gan 𓃀 аяк ferse? 	аяк 	хөл 	algan 	bethe 	bal 	ashi
81	leg 	bacak 	bacak! 𓃀	бут 	хөл 	algan 	bethe 	dari 	ashi
82	knee 	diz 	térd@hun 	тизе 	өвдөг 	əŋŋən 	tobgiya 	mureup 	hiza
83	hand 	el, kol (arm) 	Elle, Garbel	кол 	гар 	ŋa:la 	gala, falanggū (palm of the hand) 	son 	te
84	wing 	kanat 	qwingas!! кан~qwan!	канат 	далавч 	dəktilə, aʃakɪ: 	as'ha 	nalgae 	tsubasa hane
85	belly 	karın 	𓄡 črěvo coeur-sack!	курсак, ич 	гэдэс 	gudə: 	hefeli 	bae 	hara
86	guts 	bağırsak 	bags+ sacks	ичеги 	гэдэс 	ʃɪlʊkta 	duha 	ae 	wata
87	neck 	boyun 	neck nɪkɪmna 	моюн 	хүзүү 	nɪkɪmna 	monggon, gen 	mog 	kubi
88	back 	arka, sırt 	ARC!	арка 	ар, нуруу 	ʃɔgdɔnɔ 	fisa 	deung 	se
89	breast 	meme, göğüs 	mamma chestum!	көкүрөк ('chest') эмчек ('breast') 	мээм, хөх 	ukun 	tunggen (chest) huhun (breasts) 	gaseum ('chest') jeoj ('breast') 	mune ('chest') chichi ('breast')
90	heart 	yürek 	coeur сүрэх ++	жүрөк 	зүрх 	mɛɣan 	niyaman 	yeomtong 	shinzō (< Chinese 心臟 'cardiac organ') kokoro ('seat of the mind')
91	liver 	karaciğer 	liBoor	боор 	элэг 	a:kin 	fahūn 	gan (< Chinese 肝 'liver') 	kanzō (< Chinese 肝臟 'hepatic organ') kimo
92	to drink 	içmek 	…make! 𓂋 Nomnom;)	ич- 	уух 	um- 	omi- 	masi- 	nom-
93	to eat 	yemek 	…make!	же- 	идэх 	dʒəb- 	je-/jefu ('eat!') 	meog- 	kuw- tabe- (polite; < 'to have' < 'to be granted')
94	to bite 	ısırmak 	Ыт bisser make! snack	тиште- 	урах, хазах 	kɪk- 	sai- 	mul- 	kam-
95	to suck 	emmek 	mamma	эм-, сор- 	хөхөх 	lʊpkʊ- 	goci- 	ppal- 	suw-
96	to spit 	tükürmek 	…make!	түкүр- 	нулимах 	tə: 	cifele- 	baet- 	hak-
97	to vomit 	kusmak 	kotz…make! ++	кус- 	бөөлжих 	iʃə- 	fuyakiya-, oksi-, juru- 	ge'u- 	hak-
98	to blow 	esmek, üflemek 		үйлө- 	үлээх 	u:- 	fulgiye- 	bul- 	fuk-
99	to breathe 	soluk almak, nefes almak 	aдем atem ++	дем ал- 	амьсгалах 	əri:- 	ergen gai- 	(sum)swi- 	iki-o suru
100	to laugh 	gülmek 	jol, күл kill;)	күл-, каткыр- 	инээх, хөхрөх 	iɲə- 	inje- 	us- 	waraw-
101	to see 	görmek 	eygör! Sseeh үзэх 	көр- 	үзэх 	itʃə- 	sabu- 	bo- 	mi-
103	to hear 	duymak 	s’Dm!	ук- 	сонсох, дуулах 	dɔ:ldi- 	donji- 	deut-/deur- 	kik-
104	to know 	bilmek 	saba! Savoir	бил- 	мэдэх 	ʃa:- 	sa- 	al- 	shir-
106	to think 	düşünmek 	Şün saengga think!!!	ойло- 	бодох 	bɔdɔ- 	gūni-, bodo- 	saenggak-ha- 	omow-
105	to smell 	koklamak 		жытта- 	үнэрлэх 	ŋɔkɔ- 	wangkiya- 	mat- ('to sense (a smell)') punggi- ('to emit (a smell)') 	kag- ('to sense a smell, to sniff') niow- ('to emit a smell')
102	to fear 	korkmak 	<<	корк- 	айх 		gele- olho- golo- 	duryeowo ha- museowo ha- 	osore- kowagar-
107	to sleep 	uyumak 	haia,nickt ++	укта- 	унтах, нойрсох 	a:ʃɪn- 	amga- šabura- 	ja- 	nemur- ne-
