 No. 	English 	Hurrian		
186 	bad 			
187 	rotten 			
188 	dirty 			
189 	straight 			
190 	round 			
191 	sharp (as a knife) 			
192 	dull (as a knife) 			
193 	smooth 			
194 	wet 			
195 	dry 			
196 	correct 			
197 	near 			
198 	far 			
199 	right 	*bandi		@hand
200 	left 			
201 	at 			
202 	in 			
203 	with 	shummi		comme
204 	and 			
205 	if 			
206 	because 			
207 	name 	tiye 		𓏏 𓇋 𓂇, 𓏏 𓅱 𓏏 𓀾 title 
