 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
19	some 	zenbait / batzuk 	✓️!?	zen~some / peut.ig	𓈖 𓉔 𓅪 𓈒 𓏥  enbeith!	𓈖 𓉔 𓅪 𓈒 𓏥, 𓈖 𓎡 𓏏 𓏴 𓏛			via PIE zen~some~kom	కొందరు (koMdaru) (humans)	Kaum khumen… < calle	
20	few 	gutxi	✓️	Guci@… <> chick	𓅪 --	𓂝 𓈖 𓂧 𓏏 𓅪				కొన్ని (/konːi/) 	~kaum>kein ^^	
21	other 	beste	✓️ bi	ᵇasxva@Cauc bosther@… <<@Pers?		𓎡 𓏏, 𓎡 𓏮	bīk@Yeniseian -- биксь bʲikɕ Sibirian Ket <> brother			ఇతర itara	Othera ++ mbere~andere	
22	one 	bat	✓️ 𓂾	proto bhat pod 𓂾 	proto ?	𓏤, 𓌡 , 𓏏 𓅱				ఒకటి (okaṭi) 	Ek第 ++ einer erst	
23	two 	bi	✓️✓️ 𓃀𓃀	bi- beide 𓃀𓃀	𓌢 bin/bit son!	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮				ಎರಡು (eraDu)	èr 二 …Du ! 第	
24	three 	hiru	✓️	thirui 𓏏=>ø	𓐍 𓂸 kiru	𓐍 𓂸 𓏏				மூன்று (mūṉṟu)	man! 第 more	
25	four 	lau	✓️ <>	nilau!	𓆑 lui --	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤, 𓇋 𓆑 𓂧 𓏏 𓏥, 𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤			NilAu !	നാൽ- (/n̪aːl-/)	nailu!  第	
26	five 	bost	✓️✓️	pest bäş беш পাঁচ pãc 	𓏥 𓏮 𓏏𓅱𓂻	𓏥 𓏮 𓏏𓅱𓂻				ஐந்து (aintu) 	(p)aintu! 第	
27	big 	handi	✓️✓️	hühn.da	-	𓅨 𓂋 𓈉			phandi plenty	పెద్ద (pedda) பெரிய (periya) 	<> pod super? Da^ better	
28	long 	luze	✓️✓️~	longze		𓄫 𓅱, 𓍯 𓄿 𓈐, 𓈐, 𓇥 𓂋 𓂝 𓏤				పొడవైన (poḍavaina) 	<> pod  𓈖𓄣 nile.manner	
29	wide 	zabal	> schwall?	szél@Ural широк	zcapal skope	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,			चौड़ा chauṛā  پهن pahn	వెడల్పైన (veḍalpaina)	veda… alipine	
30	thick 	lodi / gizen / potolo		a lot@pot-belly?	𓃀 𓅡 potolo  𓂸 𓏏 ?	𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛 ~ ϧⲑⲏ			gizen~≠galyň	t̪aʈit͡ʃt͡ʃa ;)	thick… 	
31	heavy 	astun	? 	a’stone?	astun ~ 𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥 !	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥				బరువైన (baruvaina) 	bary	
32	small 	txiki	✓️	ಚಿಕ್ಕ chick kiçi@Turk kicsi@Ural	𓎡 𓏏 𓏏 𓅪 reverse/shift	𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣	klitzeklein 		ಚಿಕ್ಕ chikka Tamil <> kot͡ʃt͡ʃ	cunz / kot͡ʃt͡ʃ ;) ++	kurz	
33	short 	labur / motz	✓️ >>	mitcro مختصر mukhtsar	𓂋 𓂋 𓅪, 𓎛𓅱𓂝𓅪 ?? 	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪				കുറു (/kuru/) / കുള്ളൻ (/kuɭɭan/)	kurz / klein / petit	
34	narrow 	estu / mehar	~	naharow Meharrow ≠ maha 	𓎼 𓄿 𓎣 𓅪 egtu ?	𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪			<> strâmm <>	సన్నని (sannani)	thin/ schmal	
35	thin 	argal	<>	Würg.al karg/marger? ¬gal?	𓆁 𓈎 𓏗 arqual ? 	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂				సన్నని (sannani)	thin	
36	woman 	emakume	++?	femme.gyne emance=wife!	/	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑				பெண் (peṇ) మహిళ (mahiḷa) 	Femme / matha	
37	man (adult male) 	gizon	<	kişi @Turk  ger.son cosin?	𓊃 giz <> sys ? | 𓀀 𓊃 egozon reverse ?	𓊃 𓀀					mega.vadu! [m]Ahn! Pere:bara@rom	
38	man (human being) 	gizaki	<<>>>	kişi.qui @Turk ^^ 	𓊃 𓀀	𓂋 𓐝 𓍿 𓀀 𓁐,  𓂋 𓍃 𓀀 𓏥 2. 𓂋 𓏏 𓀀 𓏥 𓁐  3. 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓄊 𓂋 𓀀				மனிதன் (maṉitaṉ)	manys.tan	
39	child 	haur / ume / sein	✓️✓️ 孩亻 hairen	chair[d] / emma / son	𓄡 𓂋 𓀀  ( 𓄡 => h ) hermano 𓎛 𓃹 𓈖 𓀔 , son	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔 2. 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔   2. 𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏  3. 𓇋 𓈖 𓊪 𓅂				పిల్ల (pilla) (female)	fille / fils < copile @ROM 	
