 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
84	wing 	hego		flhegol	--	𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏			~+	రెక్క (rekka) 	Icar = [Fl]ight @ TURK	
85	belly 	Para / sabel	✓️	peray>belly		𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏			pura (Malto)	పొట్ట (poṭṭa) / కడుపు (kaḍupu) 	pott=belly botton@SEM	
86	guts 	heste / tripa	✓️!?	ᶢheste gutse	𓄿 𓇋 𓋴 𓐎 +++	𓃀 𓋴 𓎡 𓅱 𓐎, 𓇋 𓋴 𓐎, 𓄿 𓇋 𓋴 𓐎 , 𓄿 𓋴 𓐎 2. 𓄤 𓂋 𓏏, 𓄤				పేగులు (pēgulu) 		
87	neck 	lepo		@lupo?		𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  				మెడ (meḍa) / కంఠం (kaMṭhaM) 		
88	back 	bizkar	✓️	bazk	𓊪 𓊃 𓂧, 𓊪 𓋴 𓆓 𓄪 ++	𓊪 𓊃 𓂧, 𓄻 𓄩 𓄦 𓄹, 𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤				వీపు (vīpu) / వెన్ను (vennu) 		
89	breast 	bular	✓️	Boobler	𓃀 𓅌	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒			buru (Te) round 	చన్ను (cannu) / స్తనము (stanamu) 		
90	heart 	bihotz	✓️	beHerz buHerz	π…  QED	𓎛 𓄿 𓏏 𓏮 𓄣, 𓄂 𓏏 𓏮 𓄣, 𓇉 𓏏 𓄣, 𓄣 𓏤			biho	గుండె (guMḍe) 		
91	liver 	gibel		ⲟⲩⲫⲁϫⲓ		𓅓 𓊃 𓏏 𓄹 𓈓 , 𓏇 𓇋 𓋴 𓏏 𓄹 𓏤 , 𓈘 𓈇 𓋴 𓏏 𓄹 			കരൾ /kaɾaɭ/	కాలేయం (kālēyam) 	viral Coeur	
92	to drink 	edan	✓️ƒ	喝 he.dan eaten  		𓃀 𓂝 𓃀 𓂝 𓀢 , 𓃀 𓂝 𓃀 𓂝 𓈗 , 2. 𓏏 𓐍 𓏌 3. 𓋴 𓏴 𓂋 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻, 𓋴 𓅨 𓂋 𓇋 𓈗 𓀁, 𓊃 𓅨 𓂋 𓏊 4. 𓊃 𓃀 𓇋 𓀁 				తాగు (tāgu) 	తాగు (tāgu)  ~ trinkgun ++	s’agua കുടി (/kuʈi/)~ici@TURK
93	to eat 	jan		<> caun	𓃹 𓈖 𓀁	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  			e’tjan	తిను (tinu) 	i’tin	
94	to bite 	kosk egin	✓️✓️✓️	𐌺𐌰𐌿𐍃.𐌾𐌰𐌽 !!! egin:GOIN/DOIN 	<	𓊪 𓊃 𓎛 𓄑 𓀁 			✓️	కొరుకు (koruku) / కరచు (karacu) 	Cut  /kau	
95	to suck 	xurgatu	✓️~		𓎡 𓆑 𓆑 𓂐 <> 𓋴 𓈖 𓈎 𓂒 sunk surk suck	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘 2. 𓎡 𓆑 𓆑 𓂐 			~~	చీకు (cīku) 	చీకు (cīku)  cus=suc=joice	
96	to spit 	txistu egin	~✓️ ! <<	𓏏𓈙𓂐 𓎼𓂐 	 𓏏 𓈙 𓂐 	𓃀 𓈙 𓂐, 𓊪 𓋴 𓎼 𓂐, 𓊪 𓊃 𓎼 𓄑 𓀁 2. 𓏏 𓈙 𓂐 				ఉమ్ము (ummu) 	ఉమ్ము ([v]ummu[t]) 	
97	to vomit 	goitikatu	!✓️✓️	kotz tu=DO +++	𓈎 𓂝 𓂐 ^^	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  			~+	కక్కు (kakku) 	kak=bad	
98	to blow 	putz egin	✓️✓️✓️	pust! फूँक phū̃k phusa 		𓋴 𓐍 𓏏 𓀜  2. 𓈖 𓆑 				ఊదు (ūdu) (transitive) / వీచు (vīcu) (intransitive) 	Wud ~ wind < blasen	
99	to breathe 	arnas egin	✓️	athmas	𓌢 𓈖 𓂉 arne = brother	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 				ఊపిరి పీల్చు (ūpiri pīlcu) 		
100	to laugh 	barre egin		be.rid.icule?	𓃀 𓇋 𓄑 --	𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 				నవ్వు (navvu) 	~ lache / necke	
101	to see 	ikusi	✓️✓️	Aug.see eik✓️	𓂧 𓎼 𓄿 𓇋 𓇋 𓁼 dek < PIE *derḱ <> ᵈikusi 𓆁 𓈎 𓏗 ?	𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺 			~+	చూచు (cūcu) 	Guck +++ ceen ^ eye	
102	to hear 	entzun	~	zDn ez.Tun	zDn	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔 2. 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 			~	విను (vinu) 	Kher ~ kel	
103	to know 	jakin	✓️	ya.know djnken 𐌾𐌰𐌽		𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲				తెలుసుకొను (telusukonu) / ఎరుగు (erugu) 		
104	to think 	pentsatu	✓️✓️	pense tu=DO	𓃀 𓀁 𓈖 𓎡 𓏮 𓀁	𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁			~-	ఆలోచించు (ālōcincu) 	al cinc = think	
105	to smell 	usaindu	~✓️	sense du=DO	𓋴 𓈖 𓂉 𓀁	𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 			~++	వాసన చూచు (vāsana cūcu) / మూచ్చూచు (mūccūcu) 	<> nose	
106	to fear 	beldur izan		fear≠bold … izan:sein		𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾				బెదురు (beduru) / భయపడు(bhayapaḍu) 	bhe’ur	
107	to sleep 	lo egin	✓️? 	slo’ low.fen gehn		𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  				కునుకు (kunuku) / తూగు (tūgu) / నిద్ర పోవు (nidra pōvu) 	Knacke Knarze ;)	
108	to live 	bizi izan	;) ✓️	busy be-sei ! pu.zan(k) 𓋹=za		𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍				బతుకు (batuku) 	Vital <> vir	
109	to die 	hil	✓️	kill / fall		𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  				చచ్చు (caccu) 	Cesse / cede	
110	to kill 	erahil	✓️	er-killen faire kill / fall !<<		𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 				చంపు (caMpu) 	கொல் (kol) 	
111	to fight 	borrokatu	+++	𐌱𐍂𐌰𐌺𐌾𐌰!! bhārata > war	<< maybe ?	𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜			++++	పోరాడు (pōrāḍu) 	War < phorad > fight <> separat sport streit rijtō	Maha bharata = big war 1200BC
112	to hunt 	ehizatu	✓️✓️	beHetz.DO Huntz	𓃀 𓎛 𓋴 𓂾 behisado	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 			~~!	వేటాడు (vēṭāḍu) 	vettern?	
113	to hit 	jo	? 	hau	𓀝 𓂝	𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡				కొట్టు (koṭṭu) 	కొట్టు (koṭṭu) 	
114	to cut 	moztu	^^	metz mace.DO		𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 				కోయు (kōyu) 	കോത് (/koːt̪ɨ̆/) 	
115	to split 	pitzatu	~	spitz.DO splice beitz@Beil	𓊪 𓈙 𓈖 𓌫 𓆱 piszando <<	𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 			~~	చీల్చు (cīlcu) 		
116	to stab 	sastatu	~	sastab.DO	𓋴 𓂧 𓃀 𓉽 𓏴  ~~~	𓋴 𓂧 𓃀 𓉽 𓏴 				పొడుచు (poḍucu) / కుచ్చు /kuɕːu/ 	Cut / pod	
117	to scratch 	urratu	+✓️	squrrat	𓎗 𓌗 𓂋 …   𓂋 ;)	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 			~--	గీరు (gīru) 	சொரி (sori) 	
118	to dig 	aitzurtu	✓️	Erzer.DO	<< ?	𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 			~-	తవ్వు (tavvu) 		
119	to swim 	igeri egin	✓️	niger nager gehn wäsger		𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 			Idger @ Iter	ఈదు (īdu) 	vhita / naun <> turk/hun	
120	to fly 	hegaz egin	✓️	flhegol <<	𓂝 𓄡 𓅯 ??	𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 			•hegurz Ikarus ^^++	ఎగురు (eguru) (intransitive) / ఎగరవేయు (egaravēyu) (transitive) 	பற (paṟa)  icaru@turk/hun	
121	to walk 	ibili	<	𓃀? ability?	𓃀?	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 				నడుచు (naḍucu) 	Ante …?	
122	to come 	etorri	✓️?	at.IR! at.arri(ve)?  turn.in?	𓂻 𓂽 <> turn ?	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 				వచ్చు (vaccu) 	வா (vā)  walk	
123	to lie (as in a bed) 	etzan (action) / etzanda egon (state)		flat.sein bett.sein		𓋴 𓇥 𓂋 𓁀				పడుకొను (paḍukonu) 	beine strecken?	
124	to sit 	eseri (action) / eserita egon (state	~		𓎛 𓈞 𓋴 𓀉 heseri	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  				కూర్చొను (kūrconu) 		
125	to stand 	zutitu (action) / zutik egon (state)	✓️ <<<	sutain.do ~ stand	𓊢	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 				నిలుచొను (niluconu) / నిలబడు (nilabaḍu) 	Nil’baden ;)	
126	to turn (intransitive) 	biratu	~-	wirbel.DO bir=round	𓊪 𓄵 𓂋, 𓃀 𓈅 𓂽	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  				తిప్పు (tippu) (transitive) / తిరుగు (tirugu) (intransitive) 	തിരി (/t̪iɾi/)  tip’ing point	
127	to fall 	erori / jausi	✓️?	Error = fallsch	𓐍𓂋𓀒	𓀒 , 𓐍𓂋𓀒  				పడు (paḍu) 	^^ lie	
128	to give 	eman	✓️?!!	ex.manu <> Emanze vs nehmen	𓂝 <> nehmen (mutual!)	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 				ఇచ్చు (iccu) 	தா (thā)	
129	to hold 	eduki	✓️✓️?	√duct	𓂞, 𓂧 𓈖 𓇋 𓏯 𓂡 dunki --	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 			pa.ducin	పట్టుకొను (pattukonu) 	𓂘 con	
130	to squeeze 	estutu	~-	squeeze.DO	𓋴 𓆞 𓄿 𓎡 𓀜 ?	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 				పిసుకు (pisuku) 	quetch	
131	to rub 	igurtzi		<> 		𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 				రుద్దు (ruddu) 	rud	
132	to wash 	ikuzi / garbitu / xahutu		<>	𓂋 𓐍 𓏏 𓂝  <> garbit?	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 				కడుగు (kaḍugu) 	<> Turk/hun ?	
133	to wipe 	xukatu / lehortu		<>	𓎝 𓎡 𓂝 xukatu ?	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 				తుడుచు (tuḍucu) 		
134	to pull 	erakarri	<<	@Karre?		𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 				లాగు (lāgu) 	இழு (izhu)  zieh / lag	
135	to push 	bultzatu	✓️!	bolz.DO > bush/push @ impulse!		𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  				నెట్టు (neṭṭu) / తోయు (tōyu) 		
136	to throw 	bota / jaurti(ki)	✓️<	bat pitch jeet/ject !	𓅯 bota <> pter … q/s->j ?	𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 				విసురు (visuru) 		
137	to tie 	lotu	<?	al.tie @ Lotus?		𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 				కట్టు (kaṭṭu) 	Cattie ++	
138	to sew 	josi		josew?		ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    				కుట్టు (kuṭṭu) 	<> Kutte	
139	to count 	zenbatu / kondatu	✓️✓️✓️ ++	Zähl.DO / count.DO	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛 !!!	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 				లెక్కించు (lekkincu) 	le’kincu	
140	to say 	esan / erran	✓️?	a’sayn / irren ;)	-- … ?	𓆓 𓂧 				చెప్పు (ceppu) 	Say / chat / sappel	
141	to sing 	abestu	✓️ <+>	𓎿 praise Bard <> best bass brass bird?	𓎛 𓎿 𓊃 𓏮 𓀁  ++	𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁 			a’padhdu	పాడు (pāḍu) 	Barde <> bird?	
142	to play 	jokatu	✓️	joke.DO	𓆼 𓄿 𓂝 𓂡 ?	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  				ఆడు (āḍu) 		
143	to float 	igerikatu	✓️ <<^^	√nigerika!! wäsger/iter.DO		<>			<> నీరు (nīru) 	తేలు (tēlu) 	teleport;)	
144	to flow 	isuri	✓️ <<^^	ithury!! wasser surge	𓋴 𓍬 𓍿 𓄿 𓂻 ?	𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛				పారు (pāru) 	Flow < para:around ?	
145	to freeze 	izoztu	✓️✓️✓️!	ice.DO (see ice) ver.eis=freeze						గడ్డకట్టు (gaḍḍakaṭṭu) 		
146	to swell 	hanpatu / puztu	✓️?	Pustel pust.DO	<<	𓈙 𓆑 𓐎 				వాచు (vācu) 		
147	sun 	eguzki / iguzki / eki	!!??	Auge@sky!?	--- !!! :(	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳				సూర్యుడు (sūryuḍu) / పొద్దు (poddu) 	Sarah	
148	moon 	ilargi	??	Illah? al.argen’ !!?	𓇋 𓎛 𓅆 ?? <<	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭				చంద్రుడు (caMdruḍu) / చందమామ (caMdamāma) / నెలవేల్పు (nelavēlpu) 	camdra (Hindi)	
149	star 	izar	✓️✓️	Istar ++ isais 	𓋴 𓃀 𓄿 𓇼 𓇳 isptara	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼				నక్షత్రం (nakṣatraM) / తార (tāra) / చుక్క (cukka) 	akstra@nakht!!	
150	water 	ur	!!!	1.eaur = ein.ur 𓏌 naur 𓏌 !!!	!	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗			నీరు (nīru) 	నీరు (nīru) 	νερό /neró /naur / nil!!	
151	rain 	euri	>>>	<< yu.rain 𓏌 Uranus ^^>>	𓇶 <> …ray	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 			<కురియు (kuriyu)	కురియు (kuriyu) / వర్షించు (varṣiMcu) 	kurain.yu 雨 +  weather<water	
152	river 	ibai	✓️?	OB Bay ~ a’Bach 		𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …				నది (nadi) 	nauturu / aria / pour / ariva / rod	
153	lake 	aintzira / zingira	? 	syn.gira > köl  Kuhle! 𓎡 𓄿 𓍘 𓇋	?	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇			SIEL sear <> 𓊖?	సరస్సు (sarassu) 	Sea / thalassea	
154	sea 	itsaso	✓️?	Ocea.os sea.sea wässer	𓈙 𓈇 𓏤 <> chad	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇				సముద్రం (samudraM) కడలి (kaḍali) 	Sea.Ma’ra	
155	salt 	gatz	✓️?	galtz ! gsa’tz <> erz		𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥				ఉప్పు (uppu) 	[s]up’pur	
156	stone 	harri	✓️✓️? <<<	ORE < KUR 𓂋  bherit?		𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 			oreyi…	రాయి (rāyi) 	rock! ġebla  kar /kő...@Uralic	
157	sand 	hondar / hare	✓️ ^^	sander / sa’hare	𓂝 𓈒 𓏥 hondar  !	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥				ఇసుక (isuka) 		
158	dust 	hauts	~!	𓐍 𓅓 Kautz;) 𓐍 𓅓 𓅱 𓊡 𓏪 Krümel 	𓐍 𓅓 𓅱 𓊡 𓏪	𓐍 𓅓 𓅱 𓊡 𓏪			~~	దుమ్ము (dummu) 	Pust! dumnst@Turk! 	
159	earth 	lur	<< ✓️?	l.ore ^^		𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥				మన్ను (mannu) / మట్టి (maṭṭi) / నేల (nēla) 	Mud <> Mutter Nature	
160	cloud 	hodei	✓️?	khordei coort@Latin	𓈎 𓂋 𓂋 𓊡	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?			la.chode	మబ్బు (mabbu) 	<> abbu=water	
161	fog 	laino	? 	lines≠rain						పొగమంచు (pogamancu) 	పొగమంచు (poga)	
162	sky 	zeru / ortzi	<<<!!	Azur / zeir / ciel? 	𓄿 𓊃 𓂋 𓏏 𓇯	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯, 𓄿  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 				నింగి (ningi) / ఆకాశం(ākāśaM] 	Nir.vanam!!! Nin.Gün svnne	
