№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
154,sea ,海,hǎi ,水 shai shui,,海 ,海,noun ,xai˨˩˦ ,,,,,,,,,,,,,,,,
155,salt ,盐,yán ,,,鹽 ,盐,noun ,iɛn˧˥ ,,,,,,,,,,,,,,,,
156,stone ,石 shítóu ,shí ,石头 shítóun,+++,石 ,石 shítóu ,noun ,ʂʐ˧˥ ,ʂʐ˧˥tʰou˧˥ ,,石頭 ,石头,,,,,,,,,,,,
157,sand ,沙,shā ,shānd,~++,沙 ,沙,noun ,ʂa˥˥ ,,,,,,,,,,,,,,,,
158,dust ,尘土,chéntǔ ,~sand,~+?,塵土 ,尘土,noun ,tʂʰən˧˥tʰu˨˩˦ ,,,,,,,,,,,,,,,,
159,earth (planet),地球,Dìqiú®,"qiú®dì <kurdi! ~ ter , tama",+++?,地球 ,地球,noun ,ti˥˩tɕʰiou˧˥ ,,,,,,,,,,,,,,,,
160,cloud ,云,yún ,雨,^^,雲 ,云,noun ,yn˧˥ ,,,,,,,,,,,,,,,,
161,fog ,雾,wù ,"phwogs, smogs=務",++<,霧 ,雾,noun ,wu˥˩ ,,,,,,,,,,,,,,,,
162,sky ,天,tiān ,<> 太,™!!,天 ,天,noun ,tʰiɛn˥˥ ,田 土?,,,,,,,,,,,,,,,
163,wind ,风,fēng ,vēnɠ,++,風 ,风,noun ,fɤŋ˥˥ ,,,,,,,,,,,,,,,,
164,snow ,雪,xuě® ,kōri@jap,++,雪 ,雪,noun ,ɕyɛ˨˩˦ ,,,,,,,,,,,,,,,,
165,ice ,冰,bīng ,"白 báing, peng",™,冰 ,冰,noun ,piŋ˥˥ ,,,,,,,,,,,,,,,,
166,smoke ,烟,yān ,雨 *qin chimney kemuri QED,,煙 ,烟,noun ,iɛn˥˥ ,,,,,,,,,,,,,,,,
167,fire ,火,huǒ ,phuor@KO,~++,火 ,火,noun ,xuɔ˨˩˦ ,,,,,,,,,,,,,,,,
168,ashes ,灰 huījìn ,huī ,火,+,灰 ,灰 huījìn ,noun ,xuei˥˥ ,xuei˥˥tɕin˥˩ ,,灰燼 ,灰烬,,,,,,,,,,,,
169,burn ,烧,shāo ,char s’火,+,燒 ,烧,verb ,ʂɑu˥˥ ,,,,,,,,,,,,,,,,
170,road ,路,lù ,,++,路 ,路,noun ,lu˥˩ ,,,,,,,,,,,,,,,,
171,mountain ,山,shān ,,++,山 ,山,noun ,ʂan˥˥ ,,,,,,,,,,,,,,,,
172,red ,红,hóng ,,™,紅 ,红,adjective ,xʊŋ˧˥ ,,,,,,,,,,,,,,,,
173,green ,绿,lǜ ,glün lun?  🌔,?,綠 ,绿,adjective ,ly˥˩ ,,,,,,,,,,,,,,,,
174,yellow ,黄,huáng ,,™,黃 ,黄,adjective ,xuɑŋ˧˥ ,,,,,,,,,,,,,,,,
175,white ,白,bái ,,++,白 ,白,adjective ,pai˧˥ ,,,,,,,,,,,,,,,,
176,black ,黑,hēi(r) ,kheira 𓐍 🌑≠🌕 hel,+?,黑 ,黑,adjective ,xei˥˥ ,,坏 huài bad,,,,,,,,,,,,,,
177,night ,夜晚,yèwǎn ,月阴 𓇹 yuewan,<<<,夜晚 ,夜晚,noun ,iɛ˥˩uan˨˩˦ ,,夜  よる  yoru,,,,,,,,,,,,,,
178,day ,白天,báitiān ,tiān~dayn,+++,白天 ,白天,noun ,pai˧˥tʰiɛn˥˥ ,,,,,,,,,,,,,,,,
179,year ,年,nián ,Nyearn –,,年 ,年,noun ,niɛn˧˥ ,,,,,,,,,,,,,,,,
180,warm ,温暖,wēnnuǎn ,,~!,溫暖 ,温暖,adjective ,uən˥˥nuan˨˩˦ ,,,,,,,,,,,,,,,,
181,cold ,冷,lěng ,,,冷 ,冷,adjective ,lɤŋ˨˩˦ ,,,,,,,,,,,,,,,,
182,full ,满,mǎn ,< Menge,,滿 ,满,adjective ,man˨˩˦ ,,,,,,,,,,,,,,,,
183,new ,新,xīn ,,,新 ,新,adjective ,ɕin˥˥ ,,,,,,,,,,,,,,,,
184,old ,老 jiù ,lǎo ,not young,,老 ,老 jiù ,adjective ,lɑu˨˩˦ ,tɕiou˥˩ ,not new ,舊 ,旧,,,,,,,,,,,,
185,good ,好,hǎo ,ghao.de,+-,好 ,好,adjective ,xɑu˨˩˦ ,,,,,,,,,,,,,,,,
186,bad ,坏,huài ,黑,,壞 ,坏,adjective ,xuai˥˩ ,,,,,,,,,,,,,,,,
187,rotten ,烂,làn ,long,,爛 ,烂,adjective ,lan˥˩ ,,,,,,,,,,,,,,,,
188,dirty ,脏,zāng ,,,髒 ,脏,adjective ,tsɑŋ˥˥ ,,,,,,,,,,,,,,,,
189,straight ,直,zhí ,,~<,直 ,直,adjective ,tʂʐ˧˥ ,,,,,,,,,,,,,,,,
190,round ,圆,yuán ,rwyuán.de,++,圓 ,圆,adjective ,yɛn˧˥ ,,,,,,,,,,,,,,,,
191,sharp ,尖 lì ,jiān ,< metal,,尖 ,尖 lì ,adjective ,tɕiɛn˥˥ ,li˥˩ ,prefix ,利 ,利 fēnglì ,fɤŋ˥˥li˥˩ ,,鋒利 ,锋利 ruìlì ,ʐuei˥˩li˥˩ ,,銳利 ,锐利,,,,
192,dull ,钝,dùn ,,++,鈍 ,钝,adjective ,tuən˥˩ ,,,,,,,,,,,,,,,,
193,smooth ,光滑,guānghuá ,,,光滑 ,光滑,adjective ,kuɑŋ˥˥xua˧˥ ,,,,,,,,,,,,,,,,
194,wet ,湿,shī ,水,,濕 ,湿,adjective ,ʂʐ˥˥ ,,,,,,,,,,,,,,,,
195,dry ,干,gān ,,,乾 ,干,adjective ,kan˥˥ ,,,,,,,,,,,,,,,,
196,correct ,对 zhèngquè ,duì ,TRUE,+?,對 ,对 zhèngquè ,adjective ,tuei˥˩ ,tʂɤŋ˥˩tɕʰyɛ˥˩ ,formal ,正確 ,正确,,,,,,,,,,,,
197,near ,近,jìn ,,,近 ,近,adjective ,tɕin˥˩ ,,,,,,,,,,,,,,,,
198,far ,远,yuǎn ,,™,遠 ,远,adjective ,yɛn˨˩˦ ,,,,,,,,,,,,,,,,
199,right ,右,yòu ,,™,右 ,右,adjective ,iou˥˩ ,,,,,,,,,,,,,,,,
200,left ,左,zuǒ ,,™,左 ,左,adjective ,tsuɔ˨˩˦ ,,,,,,,,,,,,,,,,
201,at ,在,zài ,az,,在 ,在,preposition ,tsai˥˩ ,,,,,,,,,,,,,,,,
202,in ,在...里,zài...lǐ ,az 內 nèi !,,在...裡 ,在...里,preposition ,tsai˥˩...li˨˩˦ ,,,,,,,,,,,,,,,,
203,with ,和 gēn ,hé ,"hen, con",++,和 ,和 gēn ,conjunction ,xɤ˧˥ ,kən˥˥ ,,跟 ,跟,,,,,,,,,,,,
204,and ,和 gēn ,hé ,"hen, con",++,和 ,和 gēn ,conjunction ,xɤ˧˥ ,kən˥˥ ,,跟 ,跟,,,,,,,,,,,,
205,if ,如果,rúguǒ ,ergo 𓇋𓂋,+<,如果 ,如果,conjunction ,ʐu˧˥kuɔ˨˩˦ ,,,,,,,,,,,,,,,,
206,because ,因为,yīnwèi ,denn.weil!,++ why! 为,因為 ,因为,conjunction ,jin˥˥uei˥˩ ,,,,,,,,,,,,,,,,
207,name ,名 míngzi ,míng ,naming,++~,名 ,名 míngzi ,noun ,miŋ˧˥ ,miŋ˧˥tsɨ ,generic ,名字 ,名字,,,,,,,,,,,,
