№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
35,thin ,薄,báo ,poor,!,薄 ,薄,adjective ,pɑu˧˥ ,,,,,,,,,,,,,,,,
36,woman ,女人,nǚrén ,Anne,~+,女人 ,女人,noun ,ny˨˩ʐən˧˥ ,,,,,,,,,,,,,,,,
37,man(adult male) ,男人,nánrén ,man,++,男人 ,男人,noun ,nan˧˥ʐən˧˥ ,,,,,,,,,,,,,,,,
38,man(human being) ,人,rén ,Mauren (mouths!),+-,人 ,人,noun ,ʐən˧˥ ,,,,,,,,,,,,,,,,
39,child(a youth) ,孩子 értóng ,háizi ,,+~,孩子 ,孩子 értóng ,noun ,xai˧˥tsɨ ,ɑɻ˧˥tʰʊŋ˧˥ ,,兒童 ,儿童 xiǎohái ,ɕiɑu˨˩xai˧˥ ,,小孩 ,小孩,,,,,,,,
40,wife ,妻子 lǎopó ,qīzi ,,,妻子 ,妻子 lǎopó ,noun ,tɕʰi˥˥tsɨ ,lɑu˨˩pʰwɔ˧˥ ,informal ,老婆 ,老婆,,,,,,,,,,,,
41,husband ,丈夫 lǎogōng ,zhàngfu ,,,丈夫 ,丈夫 lǎogōng ,noun ,tʂɑŋ˥˩fu ,lɑu˨˩kʊŋ˥˥ ,informal ,老公 ,老公,,,,,,,,,,,,
42,mother ,母亲 māma ,mǔqīn ,,++,母親 ,母亲 māma ,noun ,mu˨˩tɕʰin˥˥ ,ma˥˥ma ,informal ,媽媽 ,妈妈,,,,,,,,,,,,
43,father ,父亲 bàba ,fùqīn ,,++,父親 ,父亲 bàba ,noun ,fu˥˩tɕʰin˥˥ ,pa˥˩pa ,informal ,爸爸 ,爸爸,,,,,,,,,,,,
44,animal ,动物,dòngwù ,danimul@KO,+<,動物 ,动物,noun ,tʊŋ˥˩wu˥˩ ,,,,,,,,,,,,,,,,
45,fish ,鱼,yú ,vyu.s,+-,魚 ,鱼,noun ,y˧˥ ,,,,,,,,,,,,,,,,
46,bird ,鸟,niǎo ,,™,鳥 ,鸟,noun ,niɑu˨˩˦ ,,,,,,,,,,,,,,,,
47,dog ,狗,gǒu ,kuon,++,狗 ,狗,noun ,kou˨˩˦ ,,,,,,,,,,,,,,,,
48,louse ,虱,shī ,,,虱 ,虱,noun ,ʂʐ˥˥ ,,,,,,,,,,,,,,,,
49,snake ,蛇,shé ,serpent,++,蛇 ,蛇,noun ,ʂɤ˧˥ ,,,,,,,,,,,,,,,,
50,worm ,虫 rúchóng ,chóng ,,,蟲 ,虫 rúchóng ,noun ,tʂʰʊŋ˧˥ ,ʐu˧˥tʂʰʊŋ˧˥ ,generic ,蠕蟲 ,蠕虫 qiūyǐn ,tɕʰiou˥˥jin˨˩˦ ,earthworm ,蚯蚓 ,蚯蚓,,,,,,,,
51,tree ,树,shù ,threeu,-,樹 ,树,noun ,ʂu˥˩ ,,,,,,,,,,,,,,,,
52,forest ,森林,sēnlín ,linden,+?,森林 ,森林,noun ,sən˥˥lin˧˥ ,,,,,,,,,,,,,,,,
53,stick ,树枝 zhītiáo ,shùzhī ,~,tree branch,樹枝 ,树枝 zhītiáo ,noun ,ʂu˥˩tʂʐ˥˥ ,tʂʐ˥˥tʰiɑu˧˥ ,formal ,枝條 ,枝条 zhīzi ,tʂʐ˥˥tsɨ ,informal ,枝子 ,枝子,,,,,,,,
54,fruit ,水果,(shuǐ)guǒ ,구=⛒ guava ,mango,水果 ,水果,noun ,ʂuei˧˥kuɔ˨˩˦ ,* GPHRT / GVORT,,,,,,,,,,,,,,,
55,seed ,种子,zhǒngzi ,,,種子 ,种子,noun ,tʂʊŋ˨˩tsɨ ,,,,,,,,,,,,,,,,
56,leaf ,叶 yèzi ,yè ,,,葉 ,叶 yèzi ,noun ,iɛ˥˩ ,iɛ˥˩tsɨ ,,葉子 ,叶子,,,,,,,,,,,,
57,root ,根,gēn ,gene!,+/™,根 ,根,noun ,kən˥˥ ,,,,,,,,,,,,,,,,
58,bark ,树皮,shùpí ,,,樹皮 ,树皮,noun ,ʂu˥˩pʰi˧˥ ,,,,,,,,,,,,,,,,
59,flower ,花,huā ,Flo-hua,½ +,花 ,花,noun ,xua˥˥ ,,,,,,,,,,,,,,,,
60,grass ,草,cǎo ,ghaoss@KO,+,草 ,草,noun ,tsʰɑu˨˩˦ ,,,,,,,,,,,,,,,,
61,rope ,绳 shéngzi ,shéng ,Schlinge,+,繩 ,绳 shéngzi ,noun ,ʂɤŋ˧˥ ,ʂɤŋ˧˥tsɨ ,,繩子 ,绳子,,,,,,,,,,,,
62,skin ,皮 pífū ,pí ,peal,+,皮 ,皮 pífū ,noun ,pʰi˧˥ ,pʰi˧˥fu˥˥ ,,皮膚 ,皮肤,,,,,,,,,,,,
63,meat ,肉,ròu ,roh,+,肉 ,肉,noun ,ʐou˥˩ ,,,,,,,,,,,,,,,,
64,blood ,血 xuèyè ,xuè ,,,血 ,血 xuèyè ,noun ,ɕyɛ˥˩ ,ɕyɛ˥˩iɛ˥˩ ,,血液 ,血液,,,,,,,,,,,,
65,bone ,骨 gǔtóu ,gǔ ,le.ghoul,,骨 ,骨 gǔtóu ,noun ,ku˨˩˦ ,ku˨˩tʰou˧˥ ,,骨頭 ,骨头,,,,,,,,,,,,
66,fat ,脂肪,zhīfáng ,,,脂肪 ,脂肪,noun ,tʂʐ˥˥fɑŋ˧˥ ,,,,,,,,,,,,,,,,
67,egg ,蛋 jīdàn ,dàn ,dangle,™,蛋 ,蛋 jīdàn ,noun ,tan˥˩ ,tɕi˥˥tan˥˩ ,chicken egg ,雞蛋 ,鸡蛋,,,,,,,,,,,,
68,horn ,角,jiǎo ,jiaorn,~ 甲!,角 ,角,noun ,tɕiɑu˨˩˦ ,,,,,,,,,,,,,,,,
69,tail ,尾 wěiba ,wěi ,wedel,~,尾 ,尾 wěiba ,noun ,uei˨˩˦ ,uei˨˩pa ,,尾巴 ,尾巴,,,,,,,,,,,,
70,feather ,羽毛,yǔmáo ,yǔ 𓇌,++,羽毛 ,羽毛,noun ,y˨˩mɑu˧˥ ,,,,,,,,,,,,,,,,
71,hair ,头发,tóufa ,Top-haar,+,頭髮 ,头发,noun ,tʰou˧˥fa ,,,,,,,,,,,,,,,,
72,head ,头,tóu ,top,++,頭 ,头,noun ,tʰou˧˥ ,,,,,,,,,,,,,,,,
73,ear ,耳朵,ěrduo ,Ear.2,++,耳朵 ,耳朵,noun ,aɻ˨˩tuɔ ,,,,,,,,,,,,,,,,
74,eye ,眼睛,yǎnjing ,"eyan,mvuyan",,眼睛 ,眼睛,noun ,iɛn˨˩tɕiŋ ,,,,,,,,,,,,,,,,
75,nose ,鼻 bízi ,bí ,nobi,,鼻 ,鼻 bízi ,noun ,pi˧˥ ,pi˧˥tsɨ ,,鼻子 ,鼻子,,,,,,,,,,,,
