No. 	English 	Standard Eastern Armenian հայերեն (hayeren) 	Transcription (հh:P WT:HY TR) 	IPA pronunciation	cognate less PIE than ‘Kartvelian’ !	OK?	Egyptian match	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	𒌋	NOT Elamite 	
79	fingernail 	եղունգ 	ełung 	jɛˈʁunɡ	keron keras?	<+	𓌟 𓄹 𓏤 ?	𓂝 𓈖 𓏏 𓂷, 𓋁 𓃀 𓌟 𓄹 𓏤	𒁍𒌨	pu-ur	
80	foot 	ոտք 	otkʿ 	vɔtkʰ	vɔtkʰ~footq dual	+++	𓃀, 𓂾 boot	𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 	𒁀𒀜,𒉺𒀜	ba-at, pa-at	
81	leg 	ոտք 	otkʿ 	vɔtkʰ	vɔtkʰ~footq	+++	𓃀, 𓂾 boot	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹			
82	knee 	ծունկ 	cunk 	t͡sunk	kink Knīck 	++	𓌳 𓋴 𓂾 sic:NG	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾			
83	hand 	ձեռք 	jerkʿ 	d͡zɛrkʰ	cheiro jerk off ! khirpi carpe	<++!™	𓇥 𓂋 𓂧	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩	𒅗𒉿;𒋗𒎌,	kir-pi (hands); ŠU.MEŠ, 	
84	wing 	թեւ 	tʿew 	tʰɛv	down tüy = 𓇋𓇋  feTher = 𓊪𓇋𓇋𓇋 @ 𓅂 tyw 𓂧 𓌳 𓆃  тамэ tāmă 	<+++	𓅂 / 𓂧 𓌳 𓆃 	𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏			
85	belly 	փոր 	pʿor 	pʰɔɾ	"pʰɔɾ > bel   pork?! <> puer  π.heir ""son"""	<++!?	𓅮 𓄡 𓇋 𓇋 𓂋 𓀔	𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏			
86	guts 	փորոտիք, աղիք 	pʿorotikʿ, ałikʿ 	pʰɔɾɔˈtikʰ, ɑˈʁikʰ	perotik > porsik ^^ pʿor=belly	^^ !!!!™	𓄡 / 𓃀 𓋴 𓎡 𓅱 𓐎	𓃀 𓋴 𓎡 𓅱 𓐎, 𓇋 𓋴 𓐎, 𓄿 𓇋 𓋴 𓐎 , 𓄿 𓋴 𓐎 2. 𓄤 𓂋 𓏏, 𓄤			
87	neck 	վիզ 	viz 	viz	<> visage?? vhals @ bats?	<>™	𓃀 𓂝 𓏏 𓄻  𓅿 	𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  	𒋾𒉿	ti-pi	
88	back 	մեջք 	meǰkʿ 	met͡ʃʰkʰ	<< meet? @ Metzger / butcher	?	𓄦 𓏏 𓄻 ? 𓄪 ?	𓊪 𓊃 𓂧, 𓄻 𓄩 𓄦 𓄹, 𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤			
89	breast 	կուրծք 	kurckʿ 	kuɾt͡skʰ	Tzitze ~ kurckʿ ~?  k'hor-bitz?	???	𓅌 ?	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒	𒃮™	GABA.lg	
90	heart 	սիրտ 	sirt 	siɾt	cirt couert <> quart! @ shirkan? 𒊮𒅕 ŠÀ.ER ⋍ शहर śahr саар saar сахар saxar шагьар šahar şəhər шаар şaar শহর śôhôr શહેર śaher शहर śahar شهر шаҳр šahr 	++≈	𓄂 𓏏 𓏮 𓄣 𒊮𒅕 	𓎛 𓄿 𓏏 𓏮 𓄣, 𓄂 𓏏 𓏮 𓄣, 𓇉 𓏏 𓄣, 𓄣 𓏤	𒁍𒉌	bu-ni	
91	liver 	լյարդ 	lyard 	ljɑrtʰ	livyart <> miltz	~+	𓈘 𓈇 𓋴 𓏏 𓄹 ?	𓅓 𓊃 𓏏 𓄹 𓈓 , 𓏇 𓇋 𓋴 𓏏 𓄹 𓏤 , 𓈘 𓈇 𓋴 𓏏 𓄹 	𒊒𒂖𒉺𒈫	ru-el-pa-mín	
92	to drink 	խմել 	xmel 	χəˈmɛl	soma  ɛl~er -ier!  > consumier!	<++	𓋴 𓏴 𓂋 𓇋 𓈗	𓃀 𓂝 𓃀 𓂝 𓀢 , 𓃀 𓂝 𓃀 𓂝 𓈗 , 2. 𓏏 𓐍 𓏌 3. 𓋴 𓏴 𓂋 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻, 𓋴 𓅨 𓂋 𓇋 𓈗 𓀁, 𓊃 𓅨 𓂋 𓏊 4. 𓊃 𓃀 𓇋 𓀁 	𒋛𒁽𒁕	si-kaš-da	
93	to eat 	ուտել 	utel 	uˈtɛl	Eatar / eaten  en~ɛl~er -ier!!	++	𓏘 𓏘 𓀁 eaTAR!	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  	??,𒋼𒊑𒋡	mak-, te-ri-qa	
94	to bite 	կծել 	kcel 	kəˈt͡sɛl	kau®, cuts?	++ 	𓊃 𓎛 𓄑 𓀁 ?	𓊪 𓊃 𓎛 𓄑 𓀁 			
95	to suck 	ծծել 	ccel 	t͡səˈt͡sɛl	suckle cucl t͡səˈt͡sɛl წოვა (c̣ova)	++?	𓎡 𓆑 𓆑 𓂐 ccel 	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘 2. 𓎡 𓆑 𓆑 𓂐 			
96	to spit 	թքել 	tʿkʿel 	tʰəˈkʰɛl	<> ekel , ფურთხვა •tečel	<>	𓏏 𓈙 𓂐 	𓃀 𓈙 𓂐, 𓊪 𓋴 𓎼 𓂐, 𓊪 𓊃 𓎼 𓄑 𓀁 2. 𓏏 𓈙 𓂐 			
97	to vomit 	հետ տալ, փսխել 	het tal, pʿsxel 	hɛt tɑl, pʰəsˈχɛl	𓊪 𓋴 𓎼 𓂐 push'phath spuck  	+++	𓃀 𓈙 𓅱 𓂐 𓏥 	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  			
98	to blow 	փչել 	pʿčʿel 	pʰəˈt͡ʃʰɛl	Push putsch + en~ɛl !!	++?	≈	𓋴 𓐍 𓏏 𓀜  2. 𓈖 𓆑 	𒁀𒆠𒅖	ba-ki-iš	
99	to breathe 	շնչել 	šnčʿel 	ʃənˈt͡ʃʰɛl	𓋴 𓌢 𓈖 𓂉  <> saugen?	+++	𓋴 𓌢 𓈖 𓂉	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 	𒍪?𒍪?	zu-ür-zu-ür	
100	to laugh 	ծիծաղել 	cicałel 	t͡sit͡sɑˈʁɛl	Kicher-lol 'ono'	++	𓎸 𓄑 ?	𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 			
101	to see 	տեսնել 	tesnel 	tɛsˈnɛl	to.seen zusehn 	<<	𓂧 𓎼 𓁹 •degnel	𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺 	𒅆𒍣? 𒅆𒄿?	siya-	
102	to hear 	լսել 	lsel 	ləˈsɛl	lesen ≈ lausche @ Lauscher	+++	𓄔 ?	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔 2. 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 		hap	
103	to know 	իմանալ, գիտեմ 	imanal, gitem 	imɑˈnɑl, ɡiˈtɛm	memno, gnostem ≠ 𓐍 𓅓 𓂜 	~~	𓄣 𓏤 men-	𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲	𒌉?	tur-	
104	to think 	մտածել 	mtacel 	mətɑˈt͡sɛl	mind>meta think? 𓄣 𓏤	<+	𓏠 𓈖 𓐍 𓏏 𓍊 ? 𓄣 𓏤 ment	𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁	𒂖𒈠	el-ma	
105	to smell 	հոտ առնել 	hot aṙnel 	hɔt ɑrˈnɛl	hot < shot  ?	<?	𓋴 𓋴 𓏏 𓂉 ?	𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 			
106	to fear 	վախենալ 	vaxenal 	vɑχɛˈnɑl	wachen		𓆂 𓏥, 𓅾 ?	𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾	𒅁𒅆	ip-ši	
107	to sleep 	քնել 	kʿnel 	kʰəˈnɛl	knack,knarzen~snore & kojen (ge)nicker@night 𓋴 𓇥 𓂋 𓁀 •ğnar(z)		𓈖 𓌰 𓂝 𓁀 ink 𓌰	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  			
108	to live 	ապրել 	aprel 	ɑpˈɾɛl	appear > vir !		𓋹 pro Prunk?	𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍	𒅗𒌅	ka-tu	
109	to die 	մեռնել 	meṙnel 	mɛrˈnɛl	𓏱 mourn 𓈖 𓌰 𓂝 𓁀	+++	𓅓𓏱 𓁀	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  	??	*halb-	
110	to kill 	սպանել 	spanel 	əspɑˈnɛl 	espen spin@hispania < hithdbain / sparta?		𓄡 𓂧 𓃀 𓀜	𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 	??	halba-	
111	to fight 	կռվել 	kṙvel 	kərˈvɛl	Krawall guerre 	++?	𓋴 𓂋 𓃱 𓀁 𓂚 𓀜	𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜		bet	
112	to hunt 	որսալ 	orsal 	vɔɾˈsɑl	Pirsch <> Ferse <> Forsch- Forst?	+++!	𓃀 𓎛 𓋴 𓂾 	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 			
113	to hit 	խփել, հարվածել 	xpʿel, harvacel 	χəˈpʰɛl, hɑɾvɑˈt͡sɛl	chop@Schip ;) Scalpel carve		<> 𓀝 𓂝 ?	𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡	𒂵𒊍?	ga-az-	
114	to cut 	կտրել 	ktrel 	kətˈɾɛl	cutter	+++	… 	𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 		massi	
115	to split 	բաժանել 	bažanel 	bɑʒɑˈnɛl	bashen@bis:2	+++	𓊪 𓈙 𓈖 𓌫 𓆱	𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 			
116	to stab 	խոցել 	xocʿel 	χɔˈt͡sʰɛl	shock@stock~cut?  soch-bel	<~	𓋴 𓂧 𓃀 𓉽 𓏴 	𓋴 𓂧 𓃀 𓉽 𓏴 			
117	to scratch 	քերծել, քորել 	kʿercel, kʿorel 	kʰɛɾˈt͡sɛl, kʰɔˈɾɛl	kratzen 𓄡 𓂝 𓂷 @ 𓐍 𓇋 𓇋 𓀔 छोरी chorī 	+++	𓄡 𓂝 𓂷	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 			
118	to dig 	փորել 	pʿorel 	pʰɔˈɾɛl	purrr pull plow Furche Pore	++		𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 	𒀜𒌅	at-tu	
119	to swim 	լողալ 	lołal 	lɔˈʁɑl	flow/lore? <> lele=GO@caucasian	<<	𓈖 𓋞 𓈗 NL?	𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 			
120	to fly 	թռչել 	tʿṙčʿel 	tʰərˈt͡ʃʰɛl	türk@𓅂 tʿṙč track trag [t]icarus	<<++	𓍿 𓍿 𓅮 / 𓏏 𓏏 𓅯 	𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 			
121	to walk 	քայլել 	kʿaylel 	kʰɑjˈlɛl	kj'aller << ~go?	ok?	…	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 	??	izza-	
122	to come 	գալ 	gal 	ɡɑl	<< gir ~go? jalla?	ok?	𓄭 𓂻	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 	𒅆𒅔𒉡	ši-in-nu	
123	to lie (as in a bed) 	պառկել 	paṙkel 	pɑrˈkɛl	park ;) ++	<<!	𓇥 𓂋 𓁀?	𓋴 𓇥 𓂋 𓁀			
124	to sit 	նստել 	nstel 	Nəsˈtɛl 	𓈞 𓊃 𓀉 hinstell hinsettle @ 𓇋 𓋴 𓃀 𓏏 𓆱 stall, stool@Ugarit	+++	𓎛 𓈞 𓋴 𓀉 !!	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  	𒄯?	mur-	
125	to stand 	կանգնել 	kangnel 	kɑnɡˈnɛl	<> gang.ne	ok? --	????	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 			
126	to turn (intransitive) 	շրջվել 	šrǰvel 	ʃəɾd͡ʒˈvɛl	churn churts swirve	ok	𓄲 𓂋 𓂻?	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  			
127	to fall 	ընկնել 	ənknel 	əŋkˈnɛl	ancle neigen hin.kneel?		𓀒 𓐍 𓂋  	𓀒 , 𓐍𓂋𓀒  			
128	to give 	տալ 	tal 	tɑl	dar ~ tell teil-	<<	𓂧 𓅱 𓂡, 𓏙 𓂝 𓂋 𓂞	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 	??	*tun-	
129	to hold 	պահել, բռնել 	pahel, bṙnel 	pɑˈhɛl, bərˈnɛl	pack pren[d] <> park  anpacke?	~++	𓈖 𓇥 𓂡 ??	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 		marri	
130	to squeeze 	սեղմել 	sełmel 	sɛʁˈmɛl (colloquially sɛχˈmɛl)	sɛχ~squeeze + mak/el	~~	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 			
131	to rub 	շփել 	špʿel 	ʃəˈpʰɛl	spühl <> soap shrub (wipe)	NL!?	𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 	𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 			
132	to wash 	լվալ 	lval 	ləˈvɑl	llavar	+++	𓇋 𓂝 𓈗 𓂡	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 			
133	to wipe 	սրբել 	srbel 	səɾˈpʰɛl	shrub säuber <> soape	<++	𓋴 𓎝 𓂝 	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 			
134	to pull 	ձգել, քաշել 	jgel, kʿašel 	d͡zəˈkʰɛl, kʰɑˈʃɛl	jdzhel	!!!	𓇋 𓏏 𓎛 𓀜	𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 			
135	to push 	հրել, բրթել 	hrel, brdel 	həˈɾɛl, bəɾˈtʰɛl	hurl++ push~-bəɾˈtʰ birdle	<<++!	𓄿 𓅱 𓅯	𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  			
136	to throw 	նետել 	netel 	nɛˈtɛl	<> net  𓌙 -ant ?	<!?	𓌙 ??	𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 			
137	to tie 	կապել 	kapel 	kɑˈpɛl	keep cap? •ćarpotsir  <>  𓎡 𓎛 𓎸 𓊃 𓍢 𓂡	≈!≈	𓎛 𓃀 𓅱 𓃒	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 		rabba	
138	to sew 	կարել 	karel 	kɑˈɾɛl	carve			ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    			
139	to count 	հաշվել 	hašvel 	hɑʃˈvɛl	hash? počítat  <> posten палічы́ць paličýc 	<<!!!!	𓎛 𓋴 𓃀 𓐎 𓏛	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 		tiri	
140	to say 	ասել 	asel 	ɑˈsɛl	esel essay a’say sell tell	ok?		𓆓 𓂧 	𒌅𒊒,𒈾?	tu-ru, na-	
141	to sing 	երգել 	ʲergel 	jɛɾˈkʰɛl	jerk << jogul  gurgel? 𓋴 𓎛 𓎿 𓊃 𓏮 𓀁 / 𓋴 𓎛 𓇗 𓂝 𓅂 ?	-	<>?	𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁, 𓇗 𓂝 𓅂 			
142	to play 	խաղալ 	xałal 	χɑˈʁɑl	jouer + ɛl  kalol	-	𓆼 𓄿 𓂝 𓂡	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  			
143	to float 	լողալ 	lołal 	lɔˈʁɑl	swim aller (f)loa’r –			<>			
144	to flow 	հոսել 	hosel 	hɔˈsɛl	hose! < flows	ok?	𓄿 𓋴 𓍬 𓂻	𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛			
145	to freeze 	սառչել 	saṙčʿel 	sɑrˈt͡ʃʰɛl	sꜣrꜣq 𓐠 𓏤 𓂋 𓏤 𓏘 𓅱 𓇲 𓏤𓏤𓏤 snow čarc karg @ Sarg	<+++	𓐠 𓏤 𓂋 𓏤 𓏘 𓅱 𓇲 𓏤𓏤𓏤 				
146	to swell 	ուռել 	uṙel 	uˈrɛl	a’rize <<<< @Ural 𓅱 𓇳	<++	𓇋 𓂝 𓌘𓍞𓍟 𓁼 𓁼  ⲉϩⲣⲏⲓ	𓈙 𓆑 𓐎 			
147	sun 	արեւ 	arew 	ɑˈɾɛv	Jahre a'Re  𓇳 𒌗 ʸaraḥ	+++ 𓇳𓇳𓇳	𓆄 𓅱 𓇳	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳	𒈾𒄷𒋼;𒈾?𒄷𒌦𒋼;𒈾𒄭𒋾	na-hu-te; na-ˢh-hu-un-te; na-hi-ti	
148	moon 	լուսին 	lusin 	luˈsin	𒌗  Le'sîn Luˈsin 𓀭 shine senior?	+++	𒌗 𓀭	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭	?;𒈾𒀊𒅕;𒈾𒎕;	itud?; na-ap-ir; na-pir;	
149	star 	աստղ 	astł 	ˈɑstəʁ	ˈɑstəʁ < aspᵗer 	+++	𓋴 𓃀 𓄿 𓇼 𓇳	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼	𒀯™	MUL.lg	
150	water 	ջուր 	ǰur 	d͡ʒuɾ	aqjuar ++ 𒀀𒎌 dual	!!!	𓍇 𓏌 𓇋 𓇋 𓈘	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗	𒀀𒎌,𒂄	A.MEŠ, zul	
151	rain 	անձրեւ 	anjrew 	ɑnd͡zˈɾɛv	ʰandrain 𓇳 !!! <<< Andro Andrew vs Peter Hunta !?	!?!?!	𓎛 𓀜 𓏷 𓀜 𓈗 ??	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 	𒋼𒅁	te-ip	
152	river 	գետ 	get 	ɡɛt	Guß <> Gotha getaeʳ! 𒂷𒍑𒁕 > jeter	<<	𓇋 𓏏 𓂋 𓈘 𓈗	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …	𒁕,𒀀𒎌	da, A.MEŠ	
