 No. 	English 	Southern Quechua runa simi	PIE / PERU		
92	to drink 	upyay	-ay -uy = (I?)do 		
93	to eat 	mikhuy			
94	to bite 	kaniy	kaun		
95	to suck 	chunqay	chunk		
96	to spit 	tuqay	Tuq ~ spuck	-	
97	to vomit 	aqtuy	kotz	-+	
98	to blow 	phukuy, wayray (wind)	pust		
99	to breathe 	samay			
100	to laugh 	asiy			
101	to see 	rikuy	recon		
102	to hear 	uyariy	hör.iy	+-	
103	to know 	yachay	yach yad vyd wiss	+- SEM	
104	to think 	yuyay			+
105	to smell 	mutkiy			
106	to fear 	manchay	m’angst		++
107	to sleep 	puñuy/sirikuy		sleep!	+++
108	to live 	kawsay			
109	to die 	wañuy	Vanish @ Vana™		++
110	to kill 	wañuchiy	Vinci vanquish vanish		++
111	to fight 	awqay		a'fqayt	
112	to hunt 	chakuy, kasachiy			
113	to hit 	maqay	machete™		
114	to cut 	p'itiy, kuchuy	kuch~cut		
115	to split 	laray			
116	to stab 	chusyay			
117	to scratch 	aspiy			
118	to dig 	allay			
119	to swim 	wayt'ay	water	++	
120	to fly 	phaway	phlay away @ Sem	+++<	
121	to walk 	puriy	𓂾uriy	+?	
122	to come 	hamuy	cham come	++	
123	to lie (as in a bed) 	sirikuy (action), waqtapay (state)	slip sleep	- 	
124	to sit 	tiyakuy (action)	tisch?	-	
125	to stand 	sayariy (action)	s…	-	
126	to turn (intransitive) 	muyuy			
127	to fall 	urmay			
128	to give 	quy	Quy ~ give	+-	
129	to hold 	tiyaway	Tiya ~ take	-	
130	to squeeze 	qapiy			
131	to rub 	kituy			
132	to wash 	maqchiy, taqsay			
133	to wipe 	chakichiy			
134	to pull 	aysay			
135	to push 	tanqay	tank		
136	to throw 	wichuy, chamqay			
137	to tie 	watay			
138	to sew 	siray	~	+ 	
139	to count 	yupay	yuppie 	;)	
140	to say 	niy	nounce	+-	
141	to sing 	takiy			
142	to play 	pukllay	Puklay ~ play	++<!?	
143	to float 	tuytuy			
144	to flow 	tinkukuy			
145	to freeze 	qasay	√q’ice kalt	++	
146	to swell 	punkiy			
147	sun 	inti	hindi? Sinti?	<	
148	moon 	killa	killer moon KiLilith ⚸	++	
149	star 	quyllur	⚸ ≠ colour		
150	water 	unu, yaku	run, wakur	--<	
151	rain 	para	parain plluvia@Peru,latin	++<	
152	river 	mayu	mayim מים	+++	
153	lake 	qucha	Kuhle кӳлĕ 	+?	
154	sea 	mama qucha	Marmara Meer	++	
155	salt 	kachi			
156	stone 	rumi	rome?		
157	sand 	t'iyu			
158	dust 	hallp'a			
159	earth 	allpa		<<	
160	cloud 	puyu	Phuyag ~ fog  *pew blow, billow	++<	
161	fog 	phuya	Phuyag ~ fog  *pew blow, billow	+++	
162	sky 	hawa	heaven	+++	
163	wind 	wayra	win’ra	<	
164	snow 	rit'i		--	
165	ice 	qasa	q’ice 雪糕 xuěgāo 	++	
166	smoke 	qusñi			
167	fire 	nina		--	
168	ash 	uchpa	ashpa aspen!	+?	
169	to burn 	rawray		--	
170	road 	ñan			
171	mountain 	urqu	Urqu < kurkur	++++	
172	red 	puka			
173	green 	qumir			
174	yellow 	qillu	qyellow	++	
175	white 	yuraq	Iraq < fire?	<	
176	black 	yana	Iah’nax 🌒 negro	+++	
177	night 	tuta			
178	day 	p'unchaw			
179	year 	wata	warte@Wende	+?	
180	warm 	illi	≠chilli	>>	
181	cold 	chiri	chryo chilly	++	
182	full 	hunt'a			
183	new 	musuq	𓌳 	+++	
184	old 	machu, tanta	macha, senil	+/	
185	good 	kusa (things), sumaq (persons)	Khudh : good / kuss		
186	bad 	mana allin	mean		
187	rotten 	ismusqa			
188	dirty 	qanra			
189	straight 	chiqa			
190	round 	muyu			
191	sharp (as a knife) 	kachi			
192	dull (as a knife) 	ruqu			
193	smooth 	lluspi			
194	wet 	huq'u			
195	dry 	chaki			
196	correct 	chanin			
197	near 	sichpa			
198	far 	karu		<	
199	right 	paña			
200	left 	lluqi	levko	++	
201	at 	-pi	Bei @ sem	++	
202	in 	-pi	Bei @ sem	++	
203	with 	-yuq	Y @ sem	++	
204	and 	-wan	wand	+++	
205	if 	-pti-, sichus, manapiqa	𓇋 !  si… sei…	+?	
206	because 	-rayku			
207	name 	suti			
