No. 	English 			Sumerian 𒅴𒂠 (EME.ĜIR15)	Egyptian	Akkadian SEM-PIE	Akkadian 	who
100	to laugh 			išiš2,3			amāru 	
101	to see 	eye	~🗸	igi			šemû 	
102	to hear 			ngeštug			idû 	
103	to know 	zava, zai	🗸	zu				
104	to think 	^ hear!	!	ngeštug			ešēnu 	
105	to smell 			hab2, ir10			palāxu, šaxātu 	
106	to fear 			ní			šalālu 	
107	to sleep 			ù			balāṭu 	
108	to live 	ziege, sangh!	<<🗸	sig7			mâtu 	
109	to die 		!-	ug4,5,7,8			dâku 	
110	to kill 			ug4,5,7,8				
111	to fight 			du14			ṣâdu 	
112	to hunt 			taka			naṭû 	
113	to hit 			ra			nakāsu 	
114	to cut 		.🗸🗸	kud, tar, ša5			nesû, šalātu 	
115	to split 			dar			dakāšu 	
116	to stab 			ra			xarāsu 	
117	to scratch 		~	hur			napālu, xerû 	
118	to dig 	buddel	?🗸	bal				
119	to swim 							
120	to fly 			dal			akāšu 	
121	to walk 			du			ṭexû 	
122	to come 			du			utulu 	
123	to lie (as in a bed) 	nick	~-	ku, nud			wašābu 	
124	to sit 	siss, cess	~🗸🗸	suš			izuzzu 	
125	to stand 			gub			saxāru 	
126	to turn (intransitive) 	chur[n]	~🗸🗸	gur			maqātu 	
127	to fall 			šub			nadānu 	
128	to give 	ruich, reich	🗸	ba, ru			naṣāru 	
129	to hold 			da			mazû 	
130	to squeeze 			hir[KEŠDA]			lapātu 	
131	to rub 	sauber, süpürmek, shrub+++	~🗸🗸	sub			ramāku 	
132	to wash 			tu5,17			kapāru 	
133	to wipe 	sauber, süpürmek	~🗸🗸	sub				
134	to pull 	reiss	~🗸🗸	rig				
135	to push 			taka			nadû 	
136	to throw 			ri			kaṣāru, rakāsu, ṣamādu 	
137	to tie 		~	dab2,4,5			kubbû 	
138	to sew 						manû 	
139	to count 	∑nT	~🗸	šita5			qabû 	
140	to say 		<<<<<	ég, bi			zamāru 	
141	to sing 	mudhe, tusch™	~🗸	mud6, tuš			mēlelu 	
142	to play 			ešemen2,3				
143	to float 			dirig			alāku 	
144	to flow 			zal				
145	to freeze 			halba2,3				
146	to swell 	<> maha!	🗸	mah			šamšu 	
147	sun 			ud			sîn, warxu 	
148	moon 			iti, itud			kakkabu 	
149	star 	multi		ul, mul			mû 	
150	water 		🗸	a			zunnu 	
151	rain 	<> mwu		im			nāru 	
152	river 	𓇋 𓏏 𓏲 𓂋 𓈗  vidhar 	🗸🗸🗸 !!	id, ída			tāmtu 	
153	lake 		🗸	ab, aba			tâmtu 	
154	sea 	apa=🌢	🗸	ab, aba, nab			𒁵 (ṭabtu) 	
155	salt 			mun			abnu 	
156	stone 			na4			bāṣu 	
157	sand 	*saharand	~🗸	sahar			eperu 	
158	dust 			ukum			erṣetu 	
159	earth 	kir.de	™🗸	ki			erpetu 	
160	cloud 			imi, muru9, dugud			imbāru 	
161	fog 			muru9			šamû 	
162	SKY		™	an			šāru 	
163	wind 			líl			šalgu 	
164	snow 	shagel?		šeg,8,9				
165	ice 			šeg8,9			qutru 	
166	smoke 			i-bí			išātu 	
167	fire 	heiss	~	izi			didallu, ṭikmēnu 	
168	ash 			dé			napāxu 	
169	to burn 	bil~bur(n) @Ural	~🗸🗸	tab, bil			xūlu 	
170	road 		~🗸	a-rá, sila3			šadû 	
171	mountain 		™🗸🗸	kur, iši			ruššû, pēlu 	
172	red 			sa-sa			warqu 	
173	green 			sig7			warqu 	
174	yellow 			sig7			peṣû 	
175	white 			kug			ṣalmu 	
176	black 			gíg			mūšu 	
177	night 		~🗸🗸	ngi6			ūmu 	
178	day 	uhr, houra	~🗸	u4			šattu 	
179	year 		<<	mu			kaṣû 	
180	warm 	charm	~🗸	kúm			malû 	
181	cold 			ten			𒉋 (eššu) 	
182	full 			éšša			labru, 𒋗𒄄 (šību) 	
183	new 			gibil			𒄭 (ṭābu) 	
184	old 	ol’	~🗸	ul, libir			𒅆𒌨 (lemnu) 	
185	good 	dug|gud	~🗸🗸	dùg			𒅆𒌨𒁶 (masku) 	
186	bad 	foul	~🗸🗸	hul			𒈬𒁍 ((w)aršu) 	
187	rotten 			hab2, sungin			ešru 	
188	dirty 			pe-el-lá			kippatu 	
189	straight 						šēlu 	
190	round 	wind,round,nind	~🗸	ninda				
191	sharp (as a knife) 							
192	dull (as a knife) 						raṭbu 	
193	smooth 						ablu 	
194	wet 		? 	lah			damqu 	
195	dry 			háda			𒋼 (ṭexû) 	
196	correct 	genau!	🗸	gi-na			nešû 	
197	near 	da, dort	🗸	da			𒍠 (imittu) 	
198	far 			ta, sud			𒆏𒁍 (šumēlu) 	
199	right 			zi-da				
200	left 			gùb-bu			ina 	
201	at 	ada, da, dort	🗸	da				
202	in 	à, ə! Into!	~🗸🗸	a, andan			u 	
203	with 	  					šumma 	
204	and 	gam, com	~🗸	ga			aššum 	
205	if 						𒈬 (šumu) 	
206	because 	nämlich!!	~🗸🗸	mu				
207	name 	(na)mu	~🗸🗸	mu				
