No. 	English 	𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections	Egyptian many variants	Akkadian SEM-PIE	Akkadian 
94	to bite 	𒅗𒁺	zú-gub	Ab-kau;)  𓊃 𓎛 𓄑 𓀁	𓊪 𓊃 𓎛 𓄑 𓀁 		našāku 
95	to suck 	𒅢	sub	sauf sip  < شَرَاب šarāb  𓋴𓅨𓂋𓇋𓈗𓀁 	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘 2. 𓎡 𓆑 𓆑 𓂐 		enēqu 
96	to spit 	𒅲	zug4	𓊃 𓎼 𓄑 𓀁 zpug !	𓃀 𓈙 𓂐, 𓊪 𓋴 𓎼 𓂐, 𓊪 𓊃 𓎼 𓄑 𓀁 2. 𓏏 𓈙 𓂐 		
97	to vomit 	𒄬	buru8	√part,break braak 𓃀 𓈙 𓅱 𓂐 𓏥 breche- botaka egin, pota bota	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  		arû 
98	to blow 	𒊒	ru	𒉺𒊏𒀀𒄿 (parāi) phaurx <<<	𓋴 𓐍 𓏏 𓀜  2. 𓈖 𓆑 		napāxu 
99	to breathe 	𒍥	zi	ziehen 𓊃 𓈖 𓆑 𓏮 𓊡  / zphi 𓍿 𓊪 𓇋 𓂉   շնչել šnčʻel schnarch schnorchel!	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 		napāšu 
100	to laugh 	𒄿𒋛𒅖;𒀅	išiš2,3	'spass 𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 	𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 		ṣuxxu 
101	to see 	𒅆	si/igi	s'eye	𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺 		amāru 
102	to hear 	𒄑𒌇	ngeš.tug	𓄔 𓄕 𓂈  <> ear take(up)   dangar @ Malay <> denk☑  t'ακούω t'acustic 𒌇 acquire	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔 2. 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 		šemû 
103	to know 	𒅗	zu	zava, zai, zhi(dao) 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜	𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲		idû 
104	to think 	𒄑𒌇	ngeš.tug	tug think 𓋴 𓐍 𓆼 𓄿 𓀁 suk ^ hear!  dangar @ Malay <> denk☑  𓄔 𓄕 𓂈	𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁		
105	to smell 	𒇥 , 𒄯 	hab2, ir10 (ur₅)	erë < ḪAR < הריח < heríakh < cheirar < 嗅 xiùʳ odor?  ¦ ريحة rīḥa רֵיחַ réakh riech  | ha.bu₄ ha.PÚ  बू bū بو bu бӯй feel bau вуд <> hear? ≠ 𒀴 𒀵 ir11?  ≠ 𒅕 𒇥 kala₃ <> rot	𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 		ešēnu 
106	to fear 	𒅎 𒉎 	ní	𒉎𒊑 ni₂RI 𓈖 𓂋 𓅱 𓆂 𓂡 𓏥  нгэлэ- ŋele- @ Manchuria 	𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾		palāxu, šaxātu 
107	to sleep 	𒅇	ù	•au 𓂝 𓂝 𓅱 𓏮 𓁺 aaw wey < iph အိပ် yup  фи fi a@Tungus <>  יָשֵׁן  𐎊𐎌𐎐 удуур  sheep 	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  		šalālu 
108	to live 	𒅊	sig7	√Zeugung ziege, sieg, sangh 生 shēng	𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍		balāṭu 
109	to die 	?, 𒂦 , 𒁁 𒌀 , ?	ug4,5,7,8	𒂦 #Dūr tuer BAD3 𓀐 𓏏  ⚠️  1/til 𒋾 ≈ 𒌀  	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  		mâtu 
110	to kill 	?, 𒂦 , 𒁁 𒌀 , ?	ug4,5,7,8	𒂦 BAD3 𓀐 𓏏 patay 𓅓 𓏱 𓏏 mipatay!  уби́я ubíja abi	𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 		dâku 
111	to fight 		du14	斗 dou duell  𓂚 𓀜	𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜		
112	to hunt 	𒋺	taka	take(down)(animals)  𒁆 takaₓ 𓍿 𓉔 𓅓 țaħaim <> approach	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 		ṣâdu 
113	to hit 	𒊏	ra	"𒊏𒄴 ra-ah rrah ῥυθμός rhythm ""beat"" ရိုက် ruik reach@right 𓀝 𓂝 ضَرَبَ ḍaraba  <> to stab "	𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡		naṭû 
114	to cut 	𒋻, 𒋻, 𒀝	kud, tar, ša5	cut, tear ☑ 𒀝 shear, sever	𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 		nakāsu 
115	to split 	𒁯	dar	<> 𒋻 tear	𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 		nesû, šalātu 
116	to stab 	𒊏	ra	"rap #rapāsu Irish: rop <> to hit 𒊏𒄴 ra-ah rrah ῥυθμός rhythm ""beat"""	𓋴 𓂧 𓃀 𓉽 𓏴 		dakāšu 
117	to scratch 	𒄯	hur	할 @ 𓅃 𓄿 < আঁচোৰ ãsür 𓎗 𓌗 𓂋  ξύω xúō®  ӽарпть خراشیدن xarâšidan גֵּרֵד  	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 		xarāsu 
118	to dig 	𒁄	bal	buddel @ Beil^2 𒁅  palu@Welsh փորել pʻorel	𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 		napālu, xerû 
119	to swim 				𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 		
120	to fly 	𒊑	dal	𓇋 𓏏 𓏏 𓅯 @ dal.ri 𓅂 tyw طير ṭīr <> 𓂧 𓂋 𓄛  <> 𓋴 𓁷 𓂋 𓇯 	𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 		
121	to walk 	𒁺	du …	dugaⁿ 𓂧 𓎼 𓄿 𓂾 𓁺 take to	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 		akāšu 
122	to come 	𒁺	du …	<> stand ⚠️	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 		ṭexû 
123	to lie (as in a bed) 	𒆪, 𒈿	ku, nud	kuschel-koje nick,nod@night 𓎛 𓈖 𓎡 𓏏 𓋳	𓋴 𓇥 𓂋 𓁀		utulu 
124	to sit 	"𒅖	sušₓ(IŠ)"	suš	"siss, cess 𒍩	ziz₂ 𒉪 šid₃ 𒂉 tuš "	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  		wašābu 
125	to stand 	𒁺	gub	⚠️ …	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 		izuzzu 
126	to turn (intransitive) 	𒄥	gur	chur[n] gyro curve 𓄲 𓂋 𓂻	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  		saxāru 
127	to fall 	𒊒 ⚠️?	šub	sub- <> blow	𓀒 , 𓐍𓂋𓀒  		maqātu 
128	to give 	𒁀, 𒊒	ba, ru	bar, put, ruich, reich	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 		nadānu 
129	to hold 	𒁕	da	take touch / don… 	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 		naṣāru 
130	to squeeze 	𒂡𒂡	hir[KEŠDA]	quetsch 𒂡 KESH 𒆟 KEŠDA 	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 		mazû 
131	to rub 	𒅢?	sub	sauber, süpürmek, shrub+++ <> wipe	𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 		lapātu 
132	to wash 	𒋗𒉀, 𒀀𒋗𒉀	tu5,17	två @ Swedish 𒀀𒋗wash 𒉀 ধোৱা dhüa धोना  ܣܚܐ sħā	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 		ramāku 
133	to wipe 	𒅢?	sub	sauber, süpürmek <> rub	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 		kapāru 
134	to pull 	𒍮	rig	rig, reiss  𓄞 𓂧 𓀜 ?	𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 		
135	to push 	𒋺	taka	take-on زق tsaq шту́рхаць 推 татта <  турка turka drück	𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  		
136	to throw 	𒊑	ri	⚠️	𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 		nadû 
137	to tie 	𒋰, 𒁾, 𒆪	dab2,4,5	TAB tie bind 𓋭  𒆪 •ÇUR zerr @ 𒁳 dib √dieb	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 		kaṣāru, rakāsu, ṣamādu 
138	to sew 	𒁑	bulug	Balg bulk	ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    		kubbû 
139	to count 	𒋖?	šita5	∑nT	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 		manû 
140	to say 	"𒂊, 𒁉
"	ég, bi	𓆓 𓂧  edge ক @ 𒅗 λέγω légō	𓆓 𓂧 		qabû 
141	to sing 	𒊬,𒆪	mud6, tuš	mudhe, muse, tusch™ <<<	𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁 		zamāru 
142	to play 	𒆠𒂊𒉈𒁲𒀭𒈹, 𒂠𒄾?	ešemen2,3	⚠️	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  		mēlelu 
143	to float 	𒋛𒀀	dirig	si'a  צָף ṣāf <> sauf / swim <> drink	<>		
144	to flow 	𒉌	zal	⚠️ zal ≈ écoule  sileadh <> slide  урсгал	𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛		alāku 
145	to freeze 	𒍝𒈹𒁲	halba2,3	"𒁇𒈹𒁲	bar.šed₁₀ freezed"			
146	to swell 	𒈤	mah	<> maha!  mooadee	𓈙 𓆑 𓐎 		
147	sun 	𒌓	ud	ydon 𓇋 𓏏 𓈖 𓇳 adon < radiant 	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳		šamšu 
148	moon 	𒌗	iti, itud	𓇋 𓂝 𓎛 •iathr	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭		sîn, warxu 
149	star 	𒌌,𒀯	ul, mul	multi	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼		kakkabu 
150	water 	𒀀	a,bu / mu	eau, ob / 𓈗 mar	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗		mû 
151	rain 	𒅎	im!	vihm @ Estonian!  imvula ama umun @ Malay ! <> mwu mvula umul mulo מִטְרָא miṭrā  雨 yǔmen	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 		zunnu 
152	river 	𒀉,?	id, ída	𓇋 𓏏 𓏲 𓂋 𓈗  vidhar Ida Eider waters :	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …		nāru 
153	lake 	𒀊	ab, aba	Ob, ibón, ypa  *h₂ep- @ PIE / Romance ≠ йӓр <> AP [[𒀖]] 	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇		tāmtu 
154	sea 	𒀊	ab, aba, nab	abyss! apa=🌢  𒀀𒁀𒈠𒌅 abamātu !	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇		tâmtu 
155	salt 	𒁵	mun	ⲁⲙⲙⲟⲛⲓ ammonia 盐 皿 mǐn @ mine <> 𓎛 𓋴 𓏠 𓍖 𓈒 𓏥	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥		𒁵 (ṭabtu)  𒋰𒌅 ṭab-tu
156	stone 	𒎎	na4	natrium gneiss inar 𓇋 𓈖 𓂋 𓊌  ha.nat 𓎛 𓌴 𓏏𓈒 𓏥 ?	𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 		abnu 
157	sand 	𒅖	sahar	*saharaⁿᵗ	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥		bāṣu 
158	dust 	𒅖	ukum	𓐍 𓅓 𓅱 𓊡 𓏪  ^^ 𒅖 !   Krume?  χοῦς шаң sand 尘 can4 / epru‹m› 𐎓𐎔𐎗 ʿpr прах  бурэхи burexi	𓐍 𓅓 𓅱 𓊡 𓏪		eperu 
159	earth 	𒆠	ki	Geo kir.de	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥		erṣetu 
160	cloud 	𒅎𒄿,𒅎𒂂,𒂂	imi, muru9, dugud	ʿaymā ܥܝܡܐ!  xomv merawan @ Malay!   … മേഘം mēghaṁ മുകിൽ mukil	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?		erpetu 
161	fog 	𒅎𒂂	muru9	𓈗 murky <> Mohr  мурк murk			imbāru 
162	SKY	𒀭	an	𒀭 𓄿 Arn 𓇯 < Heron	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯, 𓄿  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 		šamû 
163	wind 	𒆤	líl 	ел yel! @Turkic  Gewind KID	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲		šāru 
164	snow 	𒍋, 𒊾	šeg,8,9	shegnow sñow shagel? 💡			šalgu 
165	ice 	𒍋, 𒊾	šeg8,9	ᓯᑯ siko дюкэ ʒukə ϫⲁϥ čaq > čaf  ша šaᵍ giaç jaço jég یَخ  yax @ Ural <  ទឹកកក tɨk  تلج talg  Tungusic 	<<<		
166	smoke 	𒄿𒉈	i-bí	"obol, bel @ Malay  <  𒉈 bar₇ burn ""fire"""	𓎛 𓏏 𓏮 𓊮		qutru 
167	fire 	𒉈	izi	"heiss 𒉈 bar₇ burn pyro ""fire"""	𓊮 2. 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮		išātu 
168	ash 	𒀭𒂍	dé	•idén 𓇋 𓏏 𓈖 𓏌 𓍢 𓂊  @ 𓇋 𓏏 𓈖 𓇳	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 		didallu, ṭikmēnu 
169	to burn 	𒋰,𒉈	tab, bil	bil~bur(n) @Ural	𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 		napāxu 
170	road 	𒀀𒁺,𒋡	a-rá, sila3	a.ra.du a'road, calla	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇		xūlu 
171	mountain 	𒆳,?	kur, iši	ጋራ gara გორა góra ಗಿರಿ кайа کۄہ cairn	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌		šadû 
172	red 	𒊓𒊓	sa-sa	"<> 𒃻𒊓𒊓 niĝ₂sa-sa	šásasa niĝsasa (sic) burning"	1. 𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞 1b. 𓍿 𓅓 𓋴 𓏞 1c. 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟		ruššû, pēlu 
173	green 	𒅊	sig7	zarǧun! زرغون  sgrün  ଶାଗୁଆ śāguā  ਸਾਵਾ sāvā zöldᵍ	𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛		warqu 
174	yellow 	𒅊	sig7	sárga! shine სინი̆ sinĭ jaune ⲁⲟⲩⲓⲛ  𓈎 𓈖 𓇋 𓇋 𓐏 grünit ^^ صُفْر ṣufr sarı زرد zardᵍ	𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊		warqu 
175	white 	𒆬	kug	KUG χαλκός khalkós chalk! <> 𒆬𒌓 KU₃.UD  چاندی cá̃dí  🌕/🌞 	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶		peṣû 
176	black 	𒈪;𒈪𒈪	ñíg, gíg	negro 𓐍𓐍 gray	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍𓐍		ṣalmu 
177	night 	𒈪	ñíg, ngi6	night ^^	𓎡𓎡𓇰, 𓉸, 𓇰,  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰   𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰		mūšu 
178	day 	𒌓	u4, DAG₂ 	uhr, houra, 𒌓 DAG₂ utug Tag!	𓋴 𓅱 𓇳 𓏥, 𓇳 𓏤, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥  2. 𓉔 𓂋 𓅱 𓇳 𓏤  3.  𓊄 𓅱 𓇳 𓏥		ūmu 
179	year 	𒈬	mu	Monat	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳		šattu 
180	warm 	𒉈	kúm	𓐍 𓅓 𓊮 charm 	𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮		
181	cold 	𒋼	ten	ठंड ṭhaṇḍ 𑀞𑀡𑁆𑀠 ṭhaṇḍha  thunder 凍 / 冻 dung3 dunkel? צוֹנֵן tzonén <<<	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡		kaṣû 
