No. 	English 	𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections	Egyptian many variants	Akkadian SEM-PIE	Akkadian 
23	two 	𒈫  𒌋𒌋	mina	mene, minute 𓈖 𓏌 𓏲 𓏮 ?  门 門 mén Menge ☾☾  𐀗𐀗	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮		šinā m, šittā f 
24	three 	𒐈 eš₅ 𒉾!	eš5,6,16,21 peš	mis / ečir™	𓐍 𓂸 𓏏		šalāš m, šalāšat f 
25	four 	𒇹 𒐼	limmu2,4,5	𒇹 le'MI 𔖻 mi 𔗘 mi 𒾻 MA  𐀗 moⁿ manu- 𔑿 mu 𔖻	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤, 𓇋 𓆑 𓂧 𓏏 𓏥, 𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤		erbe m, erbet f 
26	five 	𒄿, 𒅀	ya ia2,7,9	fiaⁿ ≈ fünf	𓏥 𓏮 𓏏𓅱𓂻		xamiš m, xamšat f 
27	big 	𒃲	gal	gr*  great 𓋴𓂋𓃱	𓅨 𓂋 𓈉		𒃲 (rabûm) 
28	long 	𒁍 	sud4, gíd[BU]	gíd great 𓋴𓂋𓃱 suř 𒋤	𓄫 𓅱, 𓍯 𓄿 𓈐, 𓈐, 𓇥 𓂋 𓂝 𓏤		arku 
29	wide 	"𒉾 𒆒 𒆓 PEŠ2 PEŠ6
PEŠ3	𒈠
PEŠ4	𒊯
PEŠ13	𒊴"	peš, dangal	𐌱𐍂𐌰𐌹𐌸𐍃 braiþs plots پان pan বহল bahala, “wide”   𓊪 ≈ 𓎺 𓎸 𓏛 pots	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,	  واسع wāseʕ	rupšu ≠ רָחָב rakháv
30	thick 	𒆰	kul	калың kalıŋ قېلىن qëlin  घन	𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛 ~ ϧⲑⲏ		
31	heavy 	𒂂	dugud, kul	dick dank √dangle dense, 𒆰 ağır قورس 𓋴𓂋𓃱	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥		kabtu 
32	small 	𒍼, 𒌉𒁹, 𒌉	gi17, genna, tur	giˡ,giˡⁿ gyne 𓀔 𓏥 𓈖𓂣 genna  giutur cute, 𒌉 ṣeḫru short	𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣		ṭexru 
33	short 	𒈟? 𒌉𒁹 	gud8, ṣeḫru, şehru, šerru	gurt, giutur, cute 𓎡 𓏏 𓏏 𓅪, short	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪		karû 
34	narrow 	𒋝	sig	ضَيِّق ḍayyiq •dank thin,eng narrow ≠ thick => 𓎛 𓆰 𓈖 𓋴 𓅪 ᵋeng 	𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪		qatnu 
35	thin 	𒍼	gi17 <> genna	gin~thin 𓆁 𓈎 𓏗	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂		qatnu 
36	woman 	𒊩	mu10, munus, géme	w’mun, gyman *gwoman, gamete	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑		𒊩 (sinništu) 
37	man (adult male) 	𒈾, 𒇽	na, lú	nan, er  𒈾!!!	𓊃 𓀀		zikaru 
38	man (human being) 	𒂟, 𒇽	erim, lú	Er(man) er(him)™ 𓂋 𓐝 𓀀 𓁐 !	𓂋 𓐝 𓍿 𓀀 𓁐,  𓂋 𓍃 𓀀 𓏥 2. 𓂋 𓏏 𓀀 𓏥 𓁐  3. 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓄊 𓂋 𓀀		awīlu 
39	child 	𒌉	dumu, tur	Däumling Dämel Sohn @ domu	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔 2. 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔   2. 𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏  3. 𓇋 𓈖 𓊪 𓅂		ṣexru, māru 
40	wife 	𒁮	dam	Dame	𓌢 𓈖 𓏏 𓁐 2. 𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤		aššatu 
41	husband 	𒁮	dam, ngitlam	Dom, Don, domest	𓉔 𓂸, 𓉔 𓇋𓂸𓀀 2. 𓎟 𓀀 3. 𓌢𓈖𓀀		mutu 
42	mother 	𒂼 	ama	(m)ama gynma	𓅐 𓏏 𓁐, 𓂠 𓏏 𓁐, 1b 𓄟 𓋴 𓏏 𓁒 2. 𓂸 𓏏 𓁐 3. 𓂠 𓏏 𓁐 4. 𓅐 𓂋 𓏏 𓁐?		ummu 
43	father 	𒀜𒁕,𒀊,	ada, abba, pab, pabilga	ᶠada, paba ++  ᶠἄττα (átta eide), Gothic 𐌰𐍄𐍄𐌰   <> 𒉽𒉋, 𒉺𒉋 partner	𓇋 𓏏 𓆑 𓀀		abu 
44	animal 	𒊩𒌨𒌫𒇹	ning-úr-limmu (quadruped)	animalimun	𓄛   <>  𓂧 𓂋 𓄛 		būlu, emāmu 
45	fish 	𒄩	ku6	cod @ kuhl/kaul-	𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟		𒄩 (nūnu) 
46	bird 	𒄷	mušen, hu	Meisen, Musen, Huhn, Hero(n)	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬 2. 𓊪 𓅮 𓅯 3. 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿		𒄷 (iṣṣūru) 
47	dog 	𒌨 	ur	< pero	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛		𒌨𒌆 (kalbu) 
48	louse 	𒄴	uh3	"𒌨 UKU₅/UKUŠ ?  Vieh, Fiech <> 𒈥 mar,Made  𒌒𒇻 	ᶜup-luˢ"	𓎡 𓏏 𓏏 𓆨		𒄴 (uplu) 
