 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
88 	back 	ظَهْر‎ (ẓahr) 	גַּב‎ (gav) 	ܚܨܐ‎ (ħaṣṣâ) 	šašallu 	ድኅር (dəḫr) 	jise 	aʕrua 	báayáa 	dugda 	dhabar, duud
89 	breast 	صَدْر‎ (ṣadr) 	חָזֶה‎ (ħâze) 	ܬܕܐ‎ (tðâ), ܚܕܝܐ‎ (ħaðyâ) 	irtu 	እንግደኣ (əngədaʾā) 	t-ekive 	ibbəš 	nóonòo 	harma 	naas
90 	heart 	لُبّ‎ (lubb), قَلْب‎ (qalb) 	לֵב‎ (lêv), לֵבָב‎ (lêvâv) 	ܠܒܐ‎ (lebbâ) 	libbu 	ልብ (ləbb) 	p-hēt, htē 	uř 	zúucìyáa 	onnee 	laab, wadne
91 	liver 	كَبِد‎ (kabid) 	כָּבֵד‎ (kâvêð) 	ܟܒܕܐ‎ (kavdâ) 	kabattu 	ከብድ (kabd) 		ŧsa 	hántàa 	tiruu 	tiro, beer
92 	to drink 	شَرِبَ‎ (šariba) 	שָׁתָה‎ (šâθâ) 	ܫܬܐ‎ (štâ) 	šatû 	ሰትየ (satya), ሠረበ (śaraba) 	ⲥⲱ (sō) 	su, ħřu 	sháa 	dhug- 	cab, dhan
93 	to eat 	أَكَلَ‎ (ʾakala) 	אָכַל‎ (ʾâxal) 	ܐܟܠ‎ (ʾexal) 	akālu 	በልዐ (balʿa) 	ⲟⲩⲱⲙ (wōm) 	šš 	cí 		cun
94 	to bite 	عَضَّ‎ (ʿaḍḍa) 	נָשַׁךְ‎ (nâšax) 	ܢܟܬ‎ (nxaθ) 	našāku 	ነከሰ (nakasa) 		mmā’məš 	cìizáa 		qaniin
95 	to suck 	مَصَّ‎ (maṣṣa) 	מָצַץ‎ (mâṣaṣ) 	ܡܨ‎ (mâṣ) 	enēqu 	መጸ (maṣṣa), ጠበወ (ṭabawa (breast)) 		t’t’əđ’, z’əmm 	láasàa, tsóotsàa 	hod'a, t'uut'a 	nuug, dhuuq
96 	to spit 	بَصَقَ‎ (baṣaqa) 	יָרַק‎ (yâraq) 	ܪܩ‎ (râq) 		ተፍአ (tafʾa), ወረቀ (waraqa) 		ssusəf 	tóofàa 	tuf 	tuf
97 	to vomit 	تَقَيَّأَ‎ (taqayyaʾa) 	הֵקִיא‎ (hêqīʾ) 	ܓܥܛ‎ (gʿaṭ) 	arû 	ቄአ (qeʾa) 		arr 	yí ámái 		matag, hunqaac
98 	to blow 	نَفَخَ‎ (nafaḵa) 	נָפַח‎ (nâfaħ) 	ܢܦܚ‎ (nfaħ) 	napāxu 	ነፍኀ (nafḫa) 		ssuđ’ 	búusàa, húuràa 	afuufa, buufa 	afuuf, buufi
99 	to breathe 	تَنَفَّسَ‎ (tanaffasa) 	נָשַׁם‎ (nâšam) 	ܢܦܫ‎ (nfaš), ܢܫܡ‎ (nšam) 	napāšu 	አንፈሰ (ʾanfasa) 		arr nnəfs 	yí númfáashíi 		neefsi
100 	to laugh 	ضَحِكَ‎ (ḍaḥika) 	צָחַק‎ (ṣâħaq) 	ܓܚܟ‎ (għex) 	ṣuxxu 	ጸሐቀ (ṣaħaqa) 	ⲥⲱⲃⲉ (sōvə) 	đ’ħəš (< Ar.) 	dàaríyáa 	kolfa 	qosol
101 	to see 	رَأَى‎ (raʾā) 	רָאָה‎ (râʿâ) 	ܚܙܐ‎ (ħzâ) 	amāru 	ርእየ (rəʾya) 	ⲛⲁⲩ (nau) 	z’ā 	gáníi 	arga 	arag
102 	to hear 	سَمِعَ‎ (samiʿa) 	שָׁמַע‎ (šâmaʿ) 	ܫܡܥ‎ (šmaʿ) 	šemû 	ሰምዐ (samʿa) 	ⲥⲱⲧⲙ (sōtᵊm) 	səř 	jí 	dhaga'a 	maqal
103 	to know 	عَرَفَ‎ (ʿarafa) 	יָדַע‎ (yâðaʿ) 	ܝܕܥ‎ (yðaʿ) 	idû 	የድዐ (yadʿa), አእመረ (ʾaʾmara) 	eime 	ssən 	sánìi 	beek- 	garasho, ogaal, aqoon
104 	to think 	فَكَرَ‎ (fakara) 	חָשַׁב‎ (ħâšav) 	ܚܫܒ‎ (ħšav) 		ሐሸበ (ħašaba), ሐለየ (ħalaya) 	ⲙⲉⲉⲩⲉ (me'ewe) 	tɣiř 	yo tunaanii 		male, feker
105 	to smell 	شَمَّ‎ (šamma) 	הֵרִיחַ‎ (hêrīaħ) 	ܡܚ‎ (maħ), ܣܩ‎ (saq) 	ešēnu 	ጼነው (ṣénaw) 		gg arriħŧ 	jí 		ur
106 	to fear 	خَافَ‎ (ḵāfa) 	יָרֵא‎ (yârêʾ), פָּחַד‎ (pâħað) 	ܕܚܠ‎ (dħel), ܟܘܪ‎ (kwar) 	palāxu, šaxātu 	ፈርሀ (farha) 	ᵊr hote 	ŧiggwđi 	tsòoróo 	na'a 	nax, baqdin, cabsi
107 	to sleep 	نَامَ‎ (nāma) 	יָשֵׁן‎ (yâšén), נָם‎ (nâm) 	ܕܡܟ‎ (dmex), ܢܡ‎ (nâm) 	šalālu 	ኖመ (noma) 	hinēv 	t’t’əs 	yí bárcíi 	rafa 	hurdo
108 	to live 	عَاشَ‎ (ʿāša) 	חַי‎ (ħay) 	ܚܝܐ‎ (ħyâ) 	balāṭu 	ሐይወ (ħaywa) 	ou- 	zđəɣ 	dà râi 	raaga 	nool
109 	to die 	مَاتَ‎ (māta) 	מֵת‎ (mêθ) 	ܡܝܬ‎ (mêθ) 	mâtu 		ⲙⲟⲩ (mu) 	mməŧ 	mútù 	du'a 	dhimo, amuud
110 	to kill 	قَتَلَ‎ (qatala) 	הָרַג‎ (hârağ), קָטַל‎ (qâṭal) 	ܩܛܠ‎ (qṭal) 	dâku 	ቀተለ (qatala) 	mouout 	nəɣ 	káshèe 	qooma, ajjeesa, qala 	dil
111 	to fight 	قَاتَلَ‎ (qātala) 	רָב‎ (râv) 	ܟܬܫ‎ (kθaš) 		ተበአሰ (tabaʾasa) 		mmnəɣ 	yí fáɗàa 		dagaal, dirir
112 	to hunt 	صَادَ‎ (ṣāda) 	צָד‎ (ṣâð) 	ܨܝܕ‎ (ṣêð) 	ṣâdu 			ymā 	fàráutàa 	adama 	ugaarsi
113 	to hit 	ضَرَبَ‎ (ḍaraba) 	הִכָּה‎ (hikkâ) 	ܡܚܐ‎ (mħâ), ܢܩܫ‎ (nqaš) 	naṭû 			wwəŧ, ssqəř 	búgàa 		dhufo
114 	to cut 	قَطَعَ‎ (qaṭaʿa) 	כָרַת‎ (kâraθ), חָתַך‎ (ħâθax) 	ܓܕܡ‎ (gðam), ܩܛܥ‎ (qṭaʿ) 	nakāsu 			qqəs, fři 	yánkèe 		goy, jar
115 	to split 	شَقَّ‎ (šaqqa) 	בָּקַע‎ (bâqaʿ), קָרַע‎ (qâraʿ), חִלֵּק‎ (ħillêq) 	ܫܪܩ‎ (šraq), ܦܕܥ‎ (paddaʿ), ܦܪܬ‎ (parreθ) 	nesû, šalātu 	ሸጸረ (šaṣara) 		ƀđ’a 	fáskàráa 		jeex, tariiq
116 	to stab 	طَعَنَ‎ (ṭaʿana) 	דָּקַר‎ (dâqar) 	ܕܓܫ‎ (dğaš) 	dakāšu 	ደጐጸ (dagwaṣa) 		qqəs 	sòokáa 		toorey
117 	to scratch 	خَدَشَ‎ (ḵadaša) 	שָׂרַט‎ (śâraṭ) 	ܚܟ‎ (ħax), ܣܪܛ‎ (sraṭ) 	xarāsu 	ሐንፈጠ (ħanfaṭa) 		šməz 	sóosàa 		xoq
118 	to dig 	حَفَرَ‎ (ḥafara) 	חָפַר‎ (ħâfar) 	ܚܦܪ‎ (ħfar) 	napālu, xerû 			ɣəz 	háƙàa, tóonàa 		qod
119 	to swim 	سَبَحَ‎ (sabaḥa) 	שָׂחָה‎ (śâħâ) 	ܣܚܐ‎ (sħâ) 		ጸበተ (ṣabata), ጸበየ (ṣabaya) 		fđəħ 	yí íyóo 	daaka 	dabaal
120 	to fly 	طَارَ‎ (ṭāra) 	עָף‎ (ʿâf) 	ܦܪܚ‎ (praħ) 				đ’u, fāfā (< Ar.?) 	táashì 	barara, barrisa 	duul, buub
121 	to walk 	مَشَى‎ (mašā) 	הָלַךְ‎ (hâlax) 	ܗܠܟ‎ (hallex) 	akāšu 	ሖረ (ħora) 	moošeⲙⲟⲟϣⲉ (mo'oše) 	uyua 	tàfí 	adeema 	dareer, socod
122 	to come 	جَاءَ‎ (jāʾa), بَاءَ‎ (bāʾa), أَتَى‎ (ʾatā) 	בָּא‎ (bâ) 	ܐܬܐ‎ (ʾeθâ) 	ṭexû 	መጽአ (maṣʾa) 	ⲉⲓ (i) 	as 	zóo 	dhuf- 	imaansho
123 	to lie (recline) 	رَقَدَ‎ (raqada) 	שָׁכַב‎ (šâxav) 	ܫܟܒ‎ (šxev), ܡܟ‎ (max) 	utulu 	ሰከበ (sakaba) 	ⲛⲕⲟⲧⲕ (ᵊnkotᵊk) 	zzəř, bbuzzəř 	kwántàa 	c'iisa 	seexo, jiif
124 	to sit 	جَلَسَ‎ (jalasa) 	יָשַׁב‎ (yâšav) 	ܝܬܒ‎ (yθev) 	wašābu 	ነበረ (nabara) 	ϩⲙⲟⲟⲥ (hmo'os) 	qqim 	záunàa 		fadhi
125 	to stand 	وَقَفَ‎ (waqafa) 	עָמַד‎ (ʿâmað) 	ܬܪܨ‎ (traṣ) 	izuzzu 		ōhe ahe, aherat 	ƀədd 	táashì 	ijaaja, d'aabad'd'a 	joogsi, istaag
126 	to turn 	دَارَ‎ (dāra) 	פָּנָה‎ (pânâ) 	ܦܢܐ‎ (pnâ), ܥܛܦ‎ (ʿṭaf) 	saxāru 	ሜጠ (méṭa) 	pōōne, peene, kto 	qřəƀ (< Ar.) 	máyár̃ dà 	taaya 	wareeg, jeed
127 	to fall 	وَقَعَ‎ (waqaʿa) 	נָפַל‎ (nâfal) 	ܢܦܠ‎ (nfal) 	maqātu 	ወድቀ (wadqa) 	ϩⲉ (he) 	wđ’a 	fáaɗì 		dhac
128 	to give 	أَعْطَى‎ (ʾaʿṭā) 	נָתַן‎ (nâθan) 	ܝܗܒ‎ (y(h)av), ܢܬܠ‎ (nettel) 	nadānu 		ϯ (ti) 	əwš 	báa 	kenna 	siin
129 	to hold 	أَخَذَ‎ (ʾaḵaḏa) 	אָחַז‎ (ʾâħaz) 	ܐܚܕ‎ (ʾeħað) 	naṣāru 	አኸዘ (ʾaxaza) 		šəbbā 			qabo
130 	to squeeze 	عَصَرَ‎ (ʿaṣara) 	לָחַץ‎ (lâħaṣ) 	ܩܡܛ‎ (qmaṭ), ܥܨܪ‎ (ʿṣar) 	mazû 			z’əmm 			tuuji, marooji
131 	to rub 	حَكَّ‎ (ḥakka) 	שִׁפְשֵׁף‎ (šifšêf), מָרַח‎ (mâraħ) 	ܫܦ‎ (šaf), ܚܟ‎ (ħax) 	lapātu 			nħəđ 			mar, xoq
132 	to wash 	غَسَلَ‎ (ḡasala) 	רָחַץ‎ (râħaṣ), שָׁטַף‎ (šâṭap) 	ܚܠܠ‎ (ħallel), ܦܝܥ‎ (payyaʿ) 	ramāku 		ⲣⲱϩⲉ (rōhə), ⲉⲓⲱ (iō) 	ssiađ, ssřiř 	wánkèe 		dhaq
133 	to wipe 	مَحَا‎ (maḥā) 	מָחָה‎ (mâħâ), נִגֵּב‎ (niggêv) 	ܟܦܪ‎ (kfar) 	kapāru 			msəħ (< Ar.) 			tirtir
134 	to pull 	جَرَّ‎ (jarra) 	מָשַׁךְ‎ (mâšax) 	ܓܪܫ‎ (graš) 			sōk, sek 	žar’r’ (< Ar.) 	jáa 	harkisa 	jiid
135 	to push 	دَفَعَ‎ (dafaʿa) 	דָּחַף‎ (dâħaf) 	ܙܥܦ‎ (zʿaf) 				ʕān 	túuràa 	dhiib- 	riix
136 	to throw 	رَمَى‎ (ramā) 	רָמָה‎ (râmâ), הִשְׁלִיךְ‎ (hišlīx) 	ܪܡܐ‎ (rmâ) 	nadû 			nd’ā 			tuur, xoor, gan
137 	to tie 	رَبَطَ‎ (rabaṭa) 	קָשַׁר‎ (qâšar) 	ܐܣܪ‎ (ʾesar), ܩܛܪ‎ (qṭar) 	kaṣāru, rakāsu, ṣamādu 			qqən 			xir
138 	to sew 	خَاطَ‎ (ḵāṭa) 	תָּפַר‎ (tâfar) 	ܚܛ‎ (ħâṭ) 	kubbû 		torp, ōth, jōlk 	xəyyəđ’ (< Ar.) 	ɗínkàa 	erba 	tol
139 	to count 	عَدَّ‎ (ʿadda) 	מָנָה‎ (mânâ), סָפַר‎ (sâfar) 	ܡܢܐ‎ (mnâ) 	manû 	ቀመር (qamar) 	ⲱⲡ (ōp) 	ħsəƀ (< Ar.) 			tiri
140 	to say 	قَالَ‎ (qāla) 	אָמַר‎ (ʾâmar) 	ܐܡܪ‎ (ʾemar) 	qabû 		ϣⲁϫⲉ (šajə), ϫⲱ (jō) 	ini 	cêe, fáɗìi 	jedh- 	dheh, oro
141 	to sing 	غَنَّى‎ (ḡannā) 	שָׁר‎ (šâr), רַן‎ (rân), זִמֵּר‎ (zimmêr) 	ܙܡܪ‎ (zmar) 	zamāru 		ϭⲛϭⲛ (kʲənkʲən), ϩⲱⲥ (hōs) 	ɣənnəž 			hees
142 	to play 	لَعِبَ‎ (laʿiba) 	שִׂחֵק‎ (śiħêq) 	ܫܥܐ‎ (šaʿʿê) 	mēlelu 		ⲥⲱⲃⲉ (sōvə) 	irā 			ciyaar, dheel
143 	to float 	عَامَ‎ (ʿāma), طَفَا‎ (ṭafā) 	שָׁט‎ (šâṭ), צָף‎ (ṣâf) 	ܛܦ‎ (ṭaf) 			ⲛⲏⲏⲃⲉ (nē'ēvə), ϩⲗⲟⲉⲓⲗⲉ (hloile) 	fđəħ 			sabbey
144 	to flow 	تَدَفَّقَ‎ (tadaffaqa) 	זָרַם‎ (zâram) 	ܪܕܐ‎ (rðâ), ܫܚܠ‎ (šħal) 	alāku 		ϣⲱⲗ (šōl) 	azzəř 			qulqul
145 	to freeze 	جَمَدَ‎ (jamada) 	קָפָא‎ (qâfa) 	ܓܠܕ‎ (gleð), ܩܪܫ‎ (qraš) 			ⲱϭⲣ (ōkʲᵊr) 	žās 			barafey
146 	to swell 	وَرِمَ‎ (warima) 	הִתְנַפֵּחַ‎ (hiθnappêaħ) 	ܙܘܐ‎ (zwâ), ܥܒܐ‎ (ʿvâ) 			ⲛⲟⲩϥⲧ (nufᵊt) 				barar
147 	sun 	شَمْس‎ (šams) 	שֶׁמֶשׁ‎ (šemeš) 	ܫܡܫܐ‎ (šemšâ) 	šamšu 		ⲣⲏ (rē) 	ŧfušŧ 	ráanáa 	aduu, biiftuu 	qorrax, cadceed
148 	moon 	قَمَر‎ (qamar) 	יָרֵחַ‎ (yârêaħ) 	ܣܗܪܐ‎ (sahrâ) 	sîn, warxu 	ወርሕ (wärḥ) 	ⲟⲟϩ (o'oh) 	yua, ŧaziri 	wátàa 	baatii, ji'a 	dayax
149 	star 	نَجْم‎ (najm), كَوْكَب‎ (kawkab) 	כּוֹכָב‎ (kōxâv) 	ܟܘܟܒܐ‎ (kawkvâ) 	kakkabu 	ኮከብ (kokab) 	ⲥⲓⲟⲩ (siu) 	iŧri 	tàuràaróo 	urjii 	xiddig
150 	water 	مَاء‎ (māʾ) 	מַיִם‎ (mayim) 	ܡܝܐ‎ (mayyâ) 	mû 		ⲙⲟⲟⲩ (mou) 	aman 	rúwáa 	bisaan, madda 	biyo
151 	rain 	مَطَر‎ (maṭar) 	מָטָר‎ (mâṭâr), גֶּשֶׁם‎ (gešem) 	ܡܛܪܐ‎ (meṭrâ) 	zunnu 		ϩⲱⲟⲩ (hōu) 	anz’ā 	rúwán sámàa 		roob
152 	river 	نَهْر‎ (nahr), نَهَر‎ (nahar) 	נָהָר‎ (nâhâr) 	ܢܗܪܐ‎ (nahrâ) 	nāru 	ተከዚ (takazi) 	ⲉⲓⲉⲣⲟ (iero) 	iɣzā 	kòogíi 	laga 	webi
153 	lake 	بُحَيْرَة‎ (buḥayra) 	אֲגַם‎ (ʾağam) 	ܝܡܬܐ‎ (yammθâ) 	tāmtu 	ባሕር (baḥr) 		ařimam, ŧanda 	táfkìi 		haro, yamays
154 	sea 	بَحْر‎ (baḥr), يَمّ‎ (yamm) 	יָם‎ (yâm) 	ܝܡܐ‎ (yammâ) 	tâmtu 	ባሕር (bāħr) 	ⲉⲓⲟⲙ (iom) 	řəƀħā (< Ar.) 	tèekú (< Songhay) 	galaana 	bad
155 	salt 	مِلْح‎ (milḥ) 	מֶלַח‎ (melaħ) 	ܡܠܚܐ‎ (melħâ) 	𒁵 (ṭabtu) 	ጸው (ṣaw) 	ⲙⲗϩ (mᵊlh), ϩⲙⲟⲩ (hᵊmu) 	ŧaməǧǧaħŧ (< Ar.) 	gíshíríi 	aššaboo, soogidda 	cusbo
156 	stone 	حَجَر‎ (ḥajar) 	אֶבֶן‎ (ʾeven) 	ܟܐܦܐ‎ (kêfâ), ܐܒܢܐ‎ (ʾavnâ), ܫܘܥܐ‎ (šōʿâ) 	abnu 	እብን (ʾəbn) 	ⲱⲛⲉ (ōnə) 	az’r’u 	dúutsèe 	d'agaa 	dhagax, shiid
157 	sand 	رَمْل‎ (raml) 	חוֹל‎ (ħōl) 	ܚܠܐ‎ (ħâlâ) 	bāṣu 	ኾጻ (xoṣā) 	ϣⲱ (šō) 	ižđi 	yàashíi, ƙásáa 		ciid, bacaad
158 	dust 	غُبَار‎ (ḡubār) 	אָבָק‎ (ʾâvâq) 	ܐܒܩܐ‎ (ʾavqâ), ܕܩܬܐ‎ (deqtâ) 	eperu 	መሬት (marét) 	ϣⲟⲉⲓϣ (šoiš) 	ŧaɣəbbā’ŧ (< Ar.) 	ƙùuráa 	awaara 	bus, boor
159 	earth 	أَرْض‎ (ʾarḍ) 	אֶרֶץ‎ (ʾereṣ) 	ܐܪܥܐ‎ (ʾarʿâ) 	erṣetu 	ምድር (mədr) 	ⲉⲓⲧⲛ (itᵊn), ⲕⲁϩ (kah), ⲧⲟ (to) 	šař 	ƙásáa 	biyyoo 	dhul
160 	cloud 	سَحَابَة‎ (saḥāba) 	עָנָן‎ (ʿânân) 	ܥܢܢܐ‎ (ʿnânâ), ܥܝܡܐ‎ (ʿaymâ), ܥܝܒܐ‎ (ʿaybâ) 	erpetu 	ደመና (damanā) 	ⲕⲗⲟⲟⲗⲉ (klo'olə), ϭⲏⲡⲉ (kʲēpə) 	asiynu, ŧažnawŧ 	gàajìmàarée 	duumessa 	hogol, daruur
161 	fog 	ضَبَاب‎ (ḍabāb) 	עֲרָפֶל‎ (ʿarâfel) 	ܥܪܦܠܐ‎ (ʿarpellâ) 	imbāru 	ጊሜ (gimé) 	ⲧⲙⲧⲙ (tᵊmtᵊm) 	ŧayyuŧ 	házóo 		ciiryaamo
162 	sky 	سَمَاء‎ (samāʾ) 	שָׁמַיִם‎ (šâmayim) 	ܫܡܝܐ‎ (šmayyâ) 	šamû 		ⲡⲉ (pe), pl.ⲡⲏⲩⲉ (pēuə) 	ažənna 	sámà (< Ar.) 	waaqa 	cir
163 	wind 	رِيح‎ (rīḥ) 	רוּחַ‎ (rūaħ) 	ܪܘܚܐ‎ (rūħâ) 	šāru 		ⲧⲏⲩ (tēu) 	asəmmiđ’ 	ískàa 	qilleensa 	dabayl
164 	snow 	ثَلْج‎ (ṯalj) 	שֶׁלֶג‎ (šeleğ) 	ܬܠܓܐ‎ (talgâ) 	šalgu 	ሐመዳ (ħamadā) 		ađfəř 	ƙànƙáráa 	c'abbii 	baraf (< Persian)
165 	ice 	ثَلْج‎ (ṯalj), جَلِيد‎ (jalīd) 	קֶרַח‎ (qeraħ) 	ܓܠܝܕܐ‎ (glīðâ) 		አስሐትያ (ʾäsḥätya) 		ažris 	ƙànƙáráa 	c'abbii 	baraf
166 	smoke 	دُخَان‎ (duḵān), دُخَّان‎ (duḵḵān) 	עָשָׁן‎ (ʿâšân) 	ܬܢܢܐ‎ (tennânâ) 	qutru 	ጢስ (ṭis) 	ⲕⲣⲙⲧⲥ (krᵊmtᵊs), ⲧⲙⲧⲙ (tᵊmtᵊm) 	ddəxxan (< Ar.) 	háyáaûíi 	aara 	uun, qaac, qiiq
167 	fire 	نَار‎ (nār) 	אֵשׁ‎ (ʾêš) 	ܢܘܪܐ‎ (nūrâ), ܐܫܬܐ‎ (ʾeššâθâ) 	išātu 	እሳት (ʾəsāt) 	ⲕⲱϩⲧ (kōhᵊt), ⲕⲣⲱⲛ (krōn) 	ŧiməssi 	wútáa 	bobaa, giimii, ibidda 	dab, oog
168 	ash 	رَمَاد‎ (ramād) 	אֵפֶר‎ (ʾêfer) 	ܩܛܡܐ‎ (qeṭmâ) 	didallu, ṭikmēnu 	ሐመድ (ħamad) 	ⲕⲣⲙⲉⲥ (kᵊrməs) 	iɣɣəđ 	tòokáa 	barbadaa 	dambas
169 	burn (intrans.) 	حَرَقَ‎ (ḥaraqa) 	בָּעַר‎ (bâʿar) 	ܝܩܕ‎ (yqað) 	napāxu 		ⲣⲱⲕϩ (rōkᵊh) 	šməđ’ 	ƙóonèe 		gub
170 	road 	طَرِيق‎ (ṭarīq) 	דֶּרֶךְ‎ (derex) 	ܐܘܪܚܐ‎ (ʾurħâ) 	xūlu 		ϩⲓⲏ (hiē), pl. ϩⲓⲟⲟⲩⲉ (hiowə) 	aƀriđ 	hányàa 		waddo, jid, surin, tub, wadiiqo, dhabbe, marin
171 	mountain 	جَبَل‎ (jabal) 	‎הַר‎‎ (har) 	ܛܘܪܐ‎ (ṭūrâ) 	šadû 	ደብር (dabr) 	ⲧⲟⲟⲩ (tou) 	ađrā, ađmā 	tsáunìi, dúutsèe, túdùu 	gaara 	buur
172 	red (adj.) 	أَحْمَر‎ m (ʾaḥmar), حَمْرَاء‎‎ f (ḥamrāʾ) 	אָדֹם‎ m (ʾâðōm), אֲדֻמָּה‎ f (ʾaðummâ) 	ܣܘܡܩܐ‎ m (summâqâ), ܣܘܡܩܬܐ‎ f (summâqtâ) 	ruššû, pēlu 	ቀይሕ (qayħ) 	ⲧⲱⲣϣ (tōrš) 	azəggwaɣ 	jáa 	diimaa 	casaan, gaduud
173 	green (adj.) 	أَخْضَر‎ m (ʾaḵḍar), خَضْرَاء‎‎ f (ḵaḍrāʾ) 	יָרֹק‎ m (yârōq), יְרֻקָּה‎ f (y'ruqqâ) 	ܝܘܪܩܐ‎ m (yurrâqâ), ܝܘܪܩܬܐ‎ f (yurrâqtâ) 	warqu 	ሐመልሚል (ħamalmil) 	ⲟⲩⲟⲧ (wōt) 	aziyza 	tsánwáa, kóor̃èe 	bifa margaa 	cagaar
174 	yellow (adj.) 	أَصْفَر‎ m (ʾaṣfar), صَفْرَاء‎‎ f (ṣafrāʾ) 	צָהֹב‎ m (ṣâhōv), צְהֻבָּה‎ f (ṣ'hubbâ) 	ܫܥܘܬܢܝܐ‎ m (šâʿūθânâyâ), ܫܥܘܬܢܝܬܐ‎ f (šâʿūθânâytâ) 	warqu 	ዘፍራ (zafrā) 		awr’aɣ 	ràawáyàa 	boora 	huruud, cawl, jaalle (< Italian)
175 	white (adj.) 	أَبْيَض‎ m (ʾabyaḍ), بَيْضَاء‎‎ f (bayḍāʾ) 	לָבָן‎ m (lâvân), לְבָנָה‎‎ f (l'vânâ) 	ܚܘܪܐ‎ m (ħewwârâ), ܚܘܪܬܐ‎ f (ħewwârtâ) 	peṣû 	ጸዐዳ (ṣaʿadā), ጻዕዳ (ṣāʿdā) 	ⲟⲩⲟⲃϣ (ouovᵊš) 	ašəmřař 	fáríi 	adii 	caddaan
176 	black (adj.) 	أَسْوَد‎ m (ʾaswad), سَوْدَاء‎‎ f (sawdāʾ) 	שָׁחֹר‎ m (šâħōr), שְׁחֹרָה‎ f (š'ħōrâ) 	ܐܘܟܡܐ‎ m (ʾukkâmâ), ܐܘܟܡܬܐ‎ m (ʾukkâmtâ) 	ṣalmu 	ጸሊም (ṣalim) 	ⲕⲏⲙ (kēm) 	aƀāršan 	báƙíi 	gur'aaccaa 	madow
177 	night 	لَيْل‎ (layl) 	לַיְלָה‎ (laylâ) 	ܠܠܝܐ‎ (lêlyâ) 	mūšu 	ሌሊት (lélit) 	ⲟⲩϣⲏ (ušē) 	ǧǧiřəŧ (< Ar.) 	dárée 	halkan 	habeen
178 	day 	يَوْم‎ (yawm) 	יוֹם‎ (yōm) 	ܝܘܡܐ‎ (yawmâ) 	ūmu 	ዕለት (ʿəlat) 	ϩⲟⲟⲩ (hou) 	nhā (< Ar.) 	ráanáa 	guyyaa 	maalin, dharaar
179 	year 	سَنَة‎ (sana), عَام‎ (ʿām) 	שָׁנָה‎ (šânâ) 	ܫܢܬܐ‎ (ša(n)tâ) 	šattu 	ዓም (ʿām), ዓመት (ʿāmat) 	ⲣⲟⲙⲡⲉ (rompe), pl. ⲣⲙⲡⲟⲟⲩⲉ (rᵊmpowe) 	asəggwas 	shèeƙáràa, shèekáràa 	bara, waggaa 	sannad (< Ar.), kal, shin, gu'180 	warm 	دَافِئ‎ (dāfiʾ) 	חַם‎ (ħam) 	ܫܚܝܢܐ‎ (šaħħīnâ) 	šaḫnu 	ምውቅ (məwq) 		ħma (< Ar.) 		buluqaa, o'aa 	qandac, diiran
181 	cold 	بَارِد‎ (bārid) 	קַר‎ (qar) 	ܩܪܝܪܐ‎ (qarrīrâ) 	kaṣû 	ቍር (qwər) 	ⲟⲣϣ (orš) 	asəmmađ’ 	mài ɗáaríi, mài sányíi 	qorraa 	qabow
182 	full 	مُمْتَلِئ‎ (mumtaliʾ) 	מָלֵא‎ (mâlē) 	ܡܠܝܐ‎ (malyâ) 	malû 	ምሉእ (məluʾ) 	ⲙⲏϩ (meh) 	ššua 			buux
183 	new 	جَدِيد‎ (jadīd), حَدِيث‎ (ḥadīṯ) 	חָדָשׁ‎ (ħâðâš) 	ܚܕܬܐ‎ (ħa(ð)θâ) 	𒉋 (eššu) 		ⲃⲣⲣⲉ (vᵊrre) 	žžđiđ (< Ar.) 	sáabóo 	haaraa 	cusub
184 	old 	قَدِيم‎ (qadīm) 	יָשָׁן‎ (yâšân) 	ܥܬܝܩܐ‎ (ʿattīqâ) (thing), ܣܒܐ‎ (sâvâ) (person) 	labru, 𒋗𒄄 (šību) 		ⲁⲥ (as) 	aməqqr’an, awəssā 	tsóohóo 	moofaa 	duug
185 	good 	طَيِّب‎ (ṭayyib) 	טוֹב‎ (ṭōv) 	ܛܒܐ‎ (ṭâvâ) 	𒄭 (ṭābu) 	ኼር (xér) 	ⲛⲟⲩϥⲉ (nufe) 	šən 			fiican, wanaagsan
186 	bad 	سَيِّئ‎ (sayyiʾ) 	רַע‎ (raʿ) 	ܒܝܫܐ‎ (bīšâ) 	𒅆𒌨 (lemnu) 	እኩይ (ʾəkuy) 	ϩⲟⲟⲩ (hou), ⲃⲱⲱⲛ (bo'on) 	wā yəħři 			xun
187 	rotten 	مُتَعَفِّن‎ (mutaʿaffin) 	רָקוּב‎ (râqūv) 	ܒܩܝܩܐ‎ (bqīqâ) 	𒅆𒌨𒁶 (masku) 			xs’ā ( < Ar.) 		bud'uq jed'a 	qurun
188 	dirty 	قَذِر‎ (qaḏir), وَسِخ‎ (wasiḵ) 	מְלֻכְלָךְ‎ (m'luxlâx) 	ܫܘܚܬܢܐ‎ (šuħtânâ) 	𒈬𒁍 ((w)aršu) 			marrəɣ 			dhusukh, uskag
