 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
19 	some 	بَعْض‎ (baʿḍ), كَمْ‎ (kam) 	כַּמָּה‎ (kammâ) 	ܟܡܐ‎ (kmâ) 		ስፍን (səfn) 	ϩⲟⲉⲓⲛⲉ (hoinə) 	ša 	want 	gar(i) 	qaar
20 	few 	قَلِيل‎ (qalīl) 	מְעַט‎ (m'ʿaṭ) 	ܒܨܝܪܐ‎ (bṣīrâ) 	ēṣu 	ኅዳጥ (ḫədāṭ) 		đrus 	kàɗán 		dhowr, waxyar
21 	other 	آخَر‎ m (ʾāḵar), أُخْرَى‎ f (ʾuḵrā), آخَرُون‎‎ m pl (ʾāḵarūn), أُخَر‎ f pl (ʾuḵar), أُخْرَيَات‎ f pl (ʾuḵrayāt) 	אַחֵר‎ m (ʾaħêr), אַחֶרֶת‎ f (ʾaħeret), אַחֵרִים‎ m pl (ʾaħêrīm), אַחֵרוֹת‎ f pl (ʾaħêrōθ) 	ܐܚܪܢܐ‎ m ((ʾa)ħrênâ), ܐܚܪܬܐ‎ f ((ʾa)ħrêtâ), ܐܚܪܢܐ‎ m pl ((ʾa)ħrânê), ܐܚܪܢܝܬܐ‎ f pl ((ʾa)ħrânyâθâ) 	šanû 	ካልእ (kāləʾ) 	ⲕⲉ (ke) 	nnəɣni 	wasu 	biraa 	kale
22 	one 	وَاحِد‎ m (wāḥid), وَاحِدَة‎‎ f (wāḥida) 	אֶחָד‎ m (ʾeħâd), אַחַת‎ f (ʾaħaθ) 	ܚܕ‎ m (ħað), ܚܕܐ‎ f (ħðâ) 	ištēn m, ištēt f 	አሐዱ (ʾaħadu) 	ⲟⲩⲁ (wa) 	ižžən, ištən 	ɗáyá 	tokko 	kow, hal
23 	two 	اِثْنَان‎ m (iṯnān), اِثْنَتَان‎ f (iṯnatān) 	שְׁנִַים‎ m (š'nayim), שְׁתַּיִם‎ f (š'tayim) 	ܬܪܝܢ‎ m (trên), ܬܪܬܝܢ‎ f (tartên) 	šinā m, šittā f 	ክልኤቱ (kəlʾetu) 	ⲥⲛⲁⲩ (ᵊsnau) 	ŧnayən (< Ar.) 	bíyú 	lama 	labo
24 	three 	ثَلَاثَة‎ m (ṯalāṯa), ثَلَاث‎ f (ṯalāṯ) 	שְׁלֹשָׁה‎ m (š'lōšâ), שָׁלֹשׁ‎‎ f (šâlōš) 	ܬܠܬܐ‎ m (tlâθâ), ܬܠܬ‎ m (tlâθ) 	šalāš m, šalāšat f 	ሠለስቱ (śalastu) 	ϣⲟⲙⲧ (šomt) 	ŧřaŧa (< Ar.) 	úkù 	sadii 	saddex
25 	four 	أَرْبَعَة‎ m (ʾarbaʿa), أَرْبَع‎ f (ʾarbaʿ) 	אַרְבָּעָה‎ m (ʾarbâʿâ), אַרְבַּע‎ f (ʾarbaʿ) 	ܐܪܒܥܐ‎ m (ʾarbʿâ), ܐܪܒܥ‎ f (ʾarbaʿ) 	erbe m, erbet f 	አርበዕቱ (ʾarbaʿtu) 	ϥⲧⲟⲩ (ᵊftu) 	āƀʕa (< Ar.) 	húɗú 	afur 	afar
26 	five 	خَمْسَة‎ m (ḵamsa), خَمْس‎ f (ḵams) 	חֲמִשָּׁה‎ m (ħamiššâ), חָמֵשׁ‎ f (ħâméš) 	ܚܡܫܐ‎ m (ħamšâ), ܚܡܫ‎ f (ħammeš) 	xamiš m, xamšat f 	ኀመስቱ (ḫamastu) 	ϯⲟⲩ (ᵊtiu) 	xəmsa (< Ar.) 	bìyár̃ 	šan 	shan
27 	big 	كَبِير‎ (kabīr) 	גָּדוֹל‎ (gâðōl) 	ܪܒܐ‎ (rabbâ), ܟܒܝܪܐ‎ (kabbīrâ) 	𒃲 (rabûm) 	ዐቢይ (ʿabiyy) 	ⲛⲟϭ (nokʲ) 	aməqqr’an 	bàbbá 		weyn
28 	long 	طَوِيل‎ (ṭawīl) 	אָרֹךְ‎ (ʾârōx) 	ܐܪܝܟܐ‎ (ʾarīxâ) 	arku 	ነዋኅ (nawwāḫ) 	ϣⲓⲁⲓ (šiai) 	aziyrā 	mài tsáwóo 		dheer
