See SLAVIC.csv Romance 
Source 	Source word 	Meaning 	Albanian 	Aromanian 	Bulgarian 	Greek 	Romanian 	Macedonian 	Serbo-Croatian 	Turkish
Spanish/Ladino 	mesa 	table 	mësallë ‘dinner table; tablecloth’ 	measã 	маса (masa) 	— 	masă 	маса (masa) 	— 	masa
Thracian 	romphea,
rumpīa 	polearm 	colloq. rrufe ‘lightning bolt’ 	rofélja 	dial. руфия (rufiya) ‘thunderbolt’ 	anc. ρομφαία (rhomphaía) 	— 	colloq. ровја (rovja) and dial. рофја (rofja) ‘thunder’ 	— 	—
Byzantine Greek 	λιβάδιον (livádion) 	meadow 	colloq. livadh 	livadhi 	ливада (livada) 	λιβάδι 	livadă 	ливада (livada) 	livada
ливада (livada) 	—
Byzantine Greek 	διδάσκαλος (didáskalos) 	teacher 	dhaskal/icë (not in use anymore) 	dascal 	colloq. даскал (daskal) 	δάσκαλος 	dascăl (rarely used nowadays) 	colloq. даскал (daskal) 	colloq. даскал (daskal) 	—
Byzantine Greek 	κουτίον
(koutíon) 	box 	kuti 	cutii 	кутия (kutiya) 	κουτί 	cutie 	кутија (kutija) 	kutija
кутија (kutija) 	kutu
Slavic 	*vydra 	otter 	vidër 	vidrã 	видра (vidra) 	βίδρα (vídra) 	vidră 	видра (vidra) 	видра (vidra) 	—
Slavic 	*kosa 	scythe 	kosë 	coasã 	коса (kosa) 	κόσα (kósa) 	coasă 	коса (kosa) 	коса (kosa) 	—
Turkish 	boya 	paint, color 	colloq. bojë 	boi 	боя (boya) 	μπογιά (boyá) 	boia 	боја (boja) 	boja
боја (boja) 	boya
Calques
