№ 	English 	PIE		Sanskrit 	Pali 	Hindi 	Urdu 	Nepali 	Punjabi 	Gujarati 	Marathi 	Assamese 	Bengali 	Kashmiri 	Sindhi 	Sinhalese 	Romani 
39	child 	Balg! Boys bitch siss		bā́la, śíśu 		baccā 			bāl, baccā 	bāḷka, chokrũ 	bālak, mūl, śiśu 	soli 	bacca 				shavoro 
40	wife 	part		pátnī, bhāryā́ 		patnī 			gharvālī, tīvīṃ, vahṭī 	patnī 	patnī 	ghoini 	bu 				romnyi 
41	husband 	vati! Part		páti 		pati 			gharvālā, kant, xāvand 	pati 	patī 	giri 	jamai 				rom 
42	mother 	mā́tṛ 		mā́tṛ 		mātā 			mātā 	mātā 	āī 	ma, ai 	ma, আম্মা (amma 				dej 
43	father 	pitṛ́ 		pitṛ́ 		pitā 			pitā 	pitā 	vaḍīl 	deuta, pitai as 	baba, abba 				dad 
44	animal 	Jānvar janival@jungle <<		páśu 		jānvar 			jānvar 	prāṇī, janvar 	prāṇī, paśu 	ziwo-zontu 	jôntu 				pedo 
45	fish 	mares		mátsya 		māchlī 			macchī 	māchlī 	māsā 	mas 	mach 				masho 
46	bird 	Papakṣī  +		ví, pakṣin 		ciṛiyā, pakṣī 			pañchī 	paṅkhī, pakṣī 	pakṣī 	sorai 	pakhi 				chiriklyi 
47	dog 	kvuo.Da.ckuan		śván, kukkura 		kuttā 			kuttā 	kutro 	kutrā 	kukur 	kukur 				zhukel 
48	louse 	;) juck/yum		yūkā 		jūṃ 			lehā 	jū 	ū 	ükoni 	uṁkun 				zhuv 
49	snake 	serpent	++	sarpá 		sāṃp 			sappa 	sāp 	sāp 	xap 	sap 				sap 
50	worm 	krumm!! kwrm	++	kṛmi 		kīṛā 			kīṛā 	kīḍo 	kīḍā 	pelu 	krim 				kermo 
51	tree 	Tarú, ??? 	++	vṛkṣá, tarú 		peṛ 			rukkha 	jhāḍ, vrukṣ 	jhāḍ, vrukṣ 	gos 	gach 				kasht 
52	forest 	jangal 	++	vána 		jangal 			jaṅgal 	jaṅgal, van 	van 	habi, zongghol, bon 	bôn 				vesh 
53	stick 	Do'in 𓂡 	++	daṇḍá 		daṇdā 			soṭī 	lākḍī 	kāṭhī 	bari, kathi 	laṭhi 				kopal 
54	fruit 	phárat 	++	phála 		phal 			phal 	phaḷ 	phaḷ 	phol as 	phôl 				frukto 
55	seed 	<<< bin, bir(th)		bī́ja 		bīj 			bīj 	bīj 	bī, bīj 	guti 	bici 				sumburo 
56	leaf 	platt!	+?	páttra 		pattā 			patā 	pā̃dḍũ 	pān 	pat 	pata 				patrin 
57	root 	<<<		mū́la 		jaṛ 			jaṛh 	mūḷ 	mūḷ 	xipa 	śikôr 				rikita 
58	bark (of a tree) 	char/kork@slaw	++	tvác 		chāl 			chāl 	chāl 	jhāḍācī sāl 	bakoli 	chal 				korca 
59	flower 	Phūlawer ++	++	púṣpa 		phūl 			phulla 	phūl 	phūl 	phul 	phul 				luludyi 
60	grass 	ghās 	++	tṛ́ṇa 		ghās 			ghāh 	ghās 	gavat 	ghãh 	gas 				char 
61	rope 	ropje rose!	++	rájju 		rassī 			rassī 	dorḍũ 	dorī 	rosi 	dôṛi 				shelo 
62	skin 	carne++  χρώ	++	cárman, tvác 		tvacā 			camṛī 	cāmḍī 	carma 	sal 	camṛa 				morchi 
63	meat 	mange mā̃s mongo	<<	māṃsá 		mā̃s 			mās 	mā̃s 	māns 	mongoh, mangxo 	mangs, gośt 				mas 
64	blood 	redkt rakt lacku(t) !	+~	rakta, ásṛj 		khūn, lahū, rakt 			lahū, rakt, ਖ਼ੂਨ (xūn), 	lohī 	rakt 	tez as 	rôkt 				rat 
65	bone 	osteo, horn, hāḍ ?	++	ásthi 		haḍḍī 			haḍḍī 	hāḍkũ 	hāḍ 	har 	haṛi 				kokalo 
66	fat (noun) 	<> carbon burn? Calore		pī́vas, médas 		carbī 			carbī 	carbī 	carbī 	sorbi, tel 	côrbi 				thulo 
67	egg 	ant/ente/dan <<	<<	aṇḍa 		aṇḍā 			iṅgā 	ī̃ḍũ 	aṇḍī 	koni 	ḍim 				anro 
68	horn 	Śṛṅg ~ <<<	~+	śṛṅgá 		sīng 			siṅg 	śī̃gḍũ 	śiṅg 	xing 	śing 				shing 
69	tail 	nez! Seputch <<		púccha 		pū̃ch 			pūch 	pū̃chḍī 	śepūṭ 	nez 	lej 				pori 
