№ 	English 	PIE		Sanskrit 	Pali 	Hindi 	Urdu 	Nepali 	Punjabi 	Gujarati 	Marathi 	Assamese 	Bengali 	Kashmiri 	Sindhi 	Sinhalese 	Romani 
190	round 	gol 		vṛttá, vartula 		gol 			gol 	goḷ 	pherī 	ghuronia 	gol 				oblo 
191	sharp (as a knife) 			tīkṣṇá 		tīkhā 			tez 	dhārdār 	tīkṣṇ 	suka, dhar 	cokkha 				kucime 
192	dull (as a knife) 			kuṇṭha 		kund 			susat 	buṭhṭhũ 	bothaṭ 	bhuta 	bhoṁta 				bikucime 
193	smooth 			ślakṣṇá, snigdhá 		ciknā 			nirvighan 	līsũ 	maū 	mihi, sikun 	môsriṇ 				samtalo 
194	wet 			ārdrá, klinná 		gīlā 			bhijja 	bhīnũ 	ole 	tita, bhiza 	bheja 				kindyilo 
195	dry 	secco		śúṣka 		sūkh 			sukke 	sukũ, korũ 	korḍe 	xukan 	śukna 				shuko 
196	correct 	c’est-ja sahī 		śuddhá, satyá 		sahī 			sahī 	sācũ 	barobar 	xuddho 	ṭhik 				uchito 
197	near 	neṛe nazdik!		neda (adj.), prati (prep.) 		nazdik 			neṛe 	najīk, pāse 	j̈avaḷ) 	usor as 	kache 				pashe 
198	far 	dura		dūrá 		dūr 			dūrõ 	dūr 	ātāparyant 	dur 	dur 				dur 
199	right 			dákṣiṇa 		dāyāṃ 			sajje 	jamṇũ 	ujvā 	xu 	ḍan 				chacho 
200	left 			savyá 		bāyāṃ 			khabbe 	ḍābũ 	ḍāvā 	bau 	baṁ 				stungo 
201	at 	at/ bei / to				pe 			te 	-e 	yethe 	-t 	-e 				kaj 
202	in 	À, ante, in-dar, mm! Vicinity,				meṃ 			vicca 	andar 	-madhye 	-t 	-e 				ando 
203	with 	Sahán <<		sahá 		ke sāth 			de nāl 	sāthe 	sah 	xoite 	-rô sathe 				-ca 
204	and 	Ane + ate = and(e)															
	ca(n)			aur 			ate 	ane 	āṇi 	aru 	ar, o, ebông 				thaj 		
205	if 	Gar jar 𓇋𓂋  agar… ++++		yádi 		agar 			je 	jo 	jar 	zodi 	jôdi 				te 
206	because 	car++		hí 		kyonki 			kiuṅki 	kāraṇke, kemke 	kāraṇ 	karon 	karôṇ 				ke 
207	name 	nā́man 		nā́man 		nām 			nām 	nām 	nāv 	nam as 	nam 				anav Swadesh lists
