№ 	English 	Arabic 	Romanized Arabic 	Tarifiyt Berber 		Hebrew 	Romanized Hebrew 	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 	Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
23	two 	اثنان‎, اثنين‎, اثنتان‎, اثنتين‎ 	ʾiθnān, ʾiθnáyn m, ʾiθnatān, ʾiθnatáyn f 	ŧnayən (< Ar.) 	Tweien > Ar	שנים‎, שתים‎ 	š'nayim m, š'tayim f 	ܬܪܝܢ‎ m, ܬܪܬܝܢ‎ f 	trén m, tartén f 	šinā m, šittā f 	ክልኤቱ 	kəlʾetu 	tnejn 	ᵊsnau 	ŧnayən (< Ar.) 	bíyú 	lama 	laba
24	three 	ثلاثة‎, ثلاث‎ 	θalāθa m, θalāθ f 	ŧřaŧa (< Ar.) 	Dritte > Ar!	שלשה‎, שלש‎ 	š'lóšâ m, šâlóš f 	ܬܠܬܐ‎ m, ܬܠܬ‎ f 	tlāθā m, tlāθ f 	šalāš m, šalāšat f 	ሠለስቱ 	śalastu 	tlieta 	šomt 	ŧřaŧa (< Ar.) 	úkù 	sadii 	saddex
25	four 	أربعة‎, اربع‎ 	ʾárbaʿa m, ʾárbaʿ f 	āƀʕa (< Ar.) 		ארבעה‎, ארבע‎ 	ʾarbâʿâ m, ʾarbaʿ f 	ܐܪܒܥܐ‎ m, ܐܪܒܥ‎ f 	ʾarbʿā m, ʾarbaʿ f 	erbe m, erbet f 	አርበዕቱ 	ʾarbaʿtu 	erbgħa 	ᵊftou 	āƀʕa (< Ar.) 	húɗú 	afur 	afar
26	five 	خمسة‎, خمس‎ 	xámsa m, xams f 	xəmsa (< Ar.) 		חמשה‎, חמש‎ 	ħamiššâ m, ħâméš f 	ܚܡܫܐ‎ m, ܚܡܫ‎ f 	ħamšā m, ħammeš f 	xamiš m, xamšat f 	ኀመስቱ 	ḫamastu 	ħamsa 	ᵊtiou 	xəmsa (< Ar.) 	bìyár̃ 	šan 	shan
27	big 	كبير‎ 	kabīr 	aməqqr’an 	macro	גדול‎ 	gâðól 	ܪܒܐ‎, ܟܒܝܪܐ‎ 	rabbā, kabbīrā 	rabûm 	ዐቢይ 	ʿabiyy 	kbir 	noc 	aməqqr’an 	bàbbá 		wayn
28	long 	طويل‎ 	ṭawīl 	aziyrā 		אָרֹךְ‎ 	âróx 	ܐܪܝܟܐ‎ 	ʾarrīxā 		ነዋኅ 	nawwāḫ 	twil 	šoi 	aziyrā 	mài tsáwóo 		dheer
29	wide 	رحب‎, واسع‎ 	raħb, wāsiʿ 			רחב‎ 	râħâv 	ܪܘܝܚܐ‎, ܦܬܝܐ‎ 	rwīxā, paθyā 		ርሑብ 	rəħub 	wiesa' 				bal'aa, booccoo 	ballaadhan
30	thick 	سميك‎ 	samīk 			עב‎ 	ʿâv 	ܥܒܝܛܐ‎ 	ʿvīṭā 		ገዙፍ 	gazuf 	oħxon 					balaadhan
31	heavy 	ثقيل‎ 	θaqīl 	đqəř (< Ar.) 	dicker	כבד‎ 	kâvéð 	ܢܛܝܠܐ‎, ܝܩܘܪܐ‎ 	nṭīlā, yaqqurā 	kabtu 	ከቡድ 	kabud 	tqil 	horš 	đqəř (< Ar.) 	mài náuyíi 		culus
32	small 	صغير‎ 	ṣağīr 			קטן‎ 	qâṭân 	ܙܥܘܪܐ‎ 	zʿōrā 	ṭexru 	ንኡስ 	nəʾus 	żgħir 			k'arami 		yar
