№ 	English 	Arabic 	Romanized Arabic 	Tarifiyt Berber 		Hebrew 	Romanized Hebrew 	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 	Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
99	breathe 	تنفس‎ 	tanáffasa 	arr nnəfs 	Arr @ nofse	נשם‎ 	nâšam 	ܢܦܫ‎, ܢܫܡ‎ 	nfaš, nšam 	napāšu 	አንፈሰ 	ʾanfasa 			arr nnəfs 	yí númfáashíi 		neefso
100	laugh 	ضحك‎ 	ḍáħika 	đ’ħəš (< Ar.) 		צחק‎ 	ṣâħaq 	ܓܚܟ‎ 	għex 	ṣuxxu 	ጸሐቀ 	ṣaħaqa 	daħak, daħaq 		đ’ħəš (< Ar.) 	dàaríyáa 	kolfa 	qosol
101	see 	رأى‎ 	raʿā 	z’ā 	See ++	ראה‎ 	râʿâ 	ܚܙܐ‎ 	ħzā 	amāru 	ርእየ 	rəʾya 	ra 	nau e 	z’ā 	gáníi 	arga 	arag
102	hear 	سمع‎ 	sámiʿa 	səř 	Shear ++	שמע‎ 	šâmaʿ 	ܫܡܥ‎ 	šmaʿ 	šemû 	ሰምዐ 	samʿa 	sema', sama' 	sōtᵊm e 	səř 	jí 	dhaga'a 	dhagayso
103	know 	عرف‎ 	ʿárifa 	ssən 	Wissen ++	ידע‎ 	yâðaʿ 	ܝܕܥ‎ 	yðaʿ 	idû 	የድዐ, አእመረ 	yadʿa, ʾaʾmara 	jaf, għaraf 	eime 	ssən 	sánìi 	beek- 	iqiin
104	think 	فكر‎ 	fákkara 			חשב‎ 	ħâšav 	ܚܫܒ‎ 	ħšav 		ሐሸበ, ሐለየ 	ħašaba, ħalaya 	ħaseb 	meeue 		yo tunaanii 		malee, fakar
105	smell 	شم‎ 	šámma 			הריח‎ 	hériaħ 	ܡܚ‎, ܣܩ‎ 	maħ, saq 		ጼነው 	ṣénaw 	xamm 					ur
106	fear 	خاف‎ 	xāfa 	ŧiggwđi 		ירא‎, פחד‎ 	yâréʾ, pâħað 	ܕܚܠ‎, ܟܘܪ‎ 	kwar, dħel 	palāxu, šaxātu 	ፈርሀ 	farha 	beża' 	ᵊr hote 	ŧiggwđi 	tsòoróo 	na'a 	nax
107	sleep 	نام‎ 	nāma 	t’t’əs 		ישן‎, נם‎ 	yâšén, nâm 	ܕܡܟ‎ 	dmex 	šalālu 	ኖመ 	noma 	raqad 	hinēv 	t’t’əs 	yí bárcíi 	rafa 	hurdo
108	live 	عاش‎ 	ʿāša 	zđəɣ 	<<	חי‎ 	ħay 	ܚܝܐ‎ 	ħyā 	balāṭu 	ሐይወ 	ħaywa 	għex 	ou- 	zđəɣ 	dà râi 	raaga 	nool
109	die 	مات‎ 	māta 	mməŧ 	met	מת‎ 	méθ 	ܡܝܬ‎ 	méθ 	mâtu 			miet 	moout 	mməŧ 	mútù 	du'a 	dimo
110	kill 	قتل‎ 	qátala 	nəɣ 	nock	הרג‎, קטל‎ 	hârağ, qâṭal 	ܩܛܠ‎ 	qṭal 	dâku 	ቀተለ 	qatala 	qatel 	mouout 	nəɣ 	káshèe 	qooma, ajjeesa, qala 	dil
111	fight 	قاتل‎ 	qātala 	mmnəɣ 	nock	רב‎ 	râv 	ܟܬܫ‎ 	kθaš 		ተበአሰ 	tabaʾasa 	iġġieled 		mmnəɣ 	yí fáɗàa 		dagaal
112	hunt 	صاد‎ 	ṣāda 			צד‎ 	ṣâð 	ܨܝܕ‎ 	ṣeð 	ṣâdu 							adama 	wiid
113	hit 	ضرب‎ 	ḍaraba 			הכה‎ 	hikkâ 	ܡܚܐ‎, ܢܩܫ‎ 	mħā, nqaš 									
114	cut 	قطع‎ 	qáṭaʿa 			כרת‎, חתך‎ 	kâraθ, ħâθax 	ܓܕܡ‎, ܩܛܥ‎ 	qṭaʿ, gðam 	nakāsu 			qata' 					
115	split 	شق‎ 	šáqqa 			בקע‎, קרע‎, חלק‎ 	bâqaʿ, qâraʿ, ħilléq 	ܫܪܩ‎, ܦܕܥ‎, ܦܪܬ‎ 	šraq, paddaʿ, parreθ 		ሸጸረ 	šaṣara 	qasam 					
116	stab 	طعن‎ 	ṭáʿana 			דקר‎ 	dâqar 	ܕܓܫ‎ 	dğaš 		ደጐጸ 	dagwaṣa 						daqar
117	scratch 	خدش‎ 	xadaša 			שרט‎ 	sâraṭ 	ܚܟ‎, ܣܪܛ‎ 	ħax, sraṭ 	xarāsu 	ሐንፈጠ 	ħanfaṭa 	giref 					
118	dig 	حفر‎ 	ħáfara 			חפר‎ 	ħâfar 	ܚܦܪ‎ 	ħfar 	napālu, xerû 			ħaffer 					qodid
119	swim 	سبح‎ 	sábaħa 	fđəħ 	@water	שחה‎ 	sâħâ 	ܣܚܐ‎ 	sħā 		ጸበተ, ጸበየ 	ṣabata, ṣabaya 	għam 		fđəħ 	yí íyóo 	daaka 	
120	fly (v.) 	طار‎ 	ṭāra 	đ’u, fāfā (< Ar.?) 	fly!	עף‎ 	ʿâf 	ܦܪܚ‎ 	praħ 				tar 		đ’u, fāfā (< Ar.?) 	táashì 	barara, barrisa 	duul
121	walk 	مشى‎ 	mašā 	uyua 	~ir	הלך‎ 	hâlax 	ܗܠܟ‎ 	hallex 		ሖረ 	ħora 	mexa 	mooše 	uyua 	tàfí 	adeema 	
122	come 	جاء‎, باء‎, أتى‎ 	jāʾa, ʾatā, bāʾa 	as 		בא‎ 	bâ 	ܐܬܐ‎ 	ʾeθā 	ṭexû 	መጽአ 	maṣʾa 	ġie 	ei 	as 	zóo 	dhuf- 	
123	lie 	رقد‎ 	ráqada 	zzəř, bbuzzəř 		שכב‎ 	šâxav 	ܫܟܒ‎, ܡܟ‎ 	šxev, max 		ሰከበ 	sakaba 	gideb 	ᵊnkotk 	zzəř, bbuzzəř 	kwántàa 	c'iisa 	
124	sit 	جلس‎ 	jálisa 	qqim 		ישב‎ 	yâšav 	ܝܬܒ‎ 	yθev 	wašābu 	ነበረ 	nabara 	qagħad, qiegħed 	hmoos 	qqim 	záunàa 		fadhiiso
125	stand 	وقف‎ 	wáqafa 	ƀədd 	pod!	עמד‎ 	ʿâmað 	ܬܪܨ‎ 	traṣ 	izuzzu 			waqaf 	ōhe ahe, aherat 	ƀədd 	táashì 	ijaaja, d'aabad'd'a 	
126	turn 	دار‎ 	dāra 	qřəƀ (< Ar.) 	churneb	פנה‎ 	pânâ 	ܦܢܐ‎, ܥܛܦ‎ 	pnā, ʿṭaf 	saxāru 	ሜጠ 	méṭa 	dar 	pōōne, peene, kto 	qřəƀ (< Ar.) 	máyár̃ dà 	taaya 	
127	fall 	وقع‎ 	wáqaʿa 	wđ’a 	fatal	נפל‎ 	nâfal 	ܢܦܠ‎ 	nfal 	maqātu 	ወድቀ 	wadqa 	waqa' 	he hēu 	wđ’a 	fáaɗì 		
128	give 	اعطى‎ 	ʿaṭā 	əwš 	owes	נתן‎ 	nâθan 	ܝܗܒ‎, ܢܬܠ‎ 	 (h)av, nettel 	nadānu 			ta 	taa, to, ti 	əwš 	báa 	kenna 	
129	hold 	أخذ‎ 	ʾaxaða 			אחז‎ 	ʾâħaz 	ܐܚܕ‎ 	ʾeħað 	naṣāru 	አኸዘ 	ʾaxaza 	żamm 					
130	squeeze 	عصر‎ 	ʿáṣara 			לחץ‎ 	lâħaṣ 	ܩܡܛ‎, ܥܨܪ‎ 	ʿṣar, qmaṭ 				għafas 					
131	rub 	حك‎ 	ħákka 			שפשף מרח‎ 	šifšéf, mâraħ 	ܫܦ‎, ܚܟ‎ 	ħax, šaf 	lapātu 			għorok 					
132	wash 	غسل‎ 	ğásala 	ssiađ, ssřiř 	soap?	רחץ שטף‎ 	râħaṣ, šâṭap 	ܚܠܠ‎, ܦܝܥ‎ 	ħallel, payyaʿ 	ramāku 			ħasel 	ei- 	ssiađ, ssřiř 	wánkèe 		
133	wipe 	محا‎ 	máħâ 			מחה‎ נגב 	mâħâ, niggév 	ܟܦܪ‎ 	kfar 				għorok 					
134	pull 	جر‎ 	járra 	žar’r’ (< Ar.) 	zieher!!	משך‎ 	mâšax 	ܓܪܫ‎ 	graš 				ġibed 	sōk, sek 	žar’r’ (< Ar.) 	jáa 	harkisa 	jiid
135	push 	دفع‎ 	dáfaʿa 	ʕān 		דחף‎ 	dâħaf 	ܙܥܦ‎ 	zʿaf 				imbotta 		ʕān 	túuràa 	dhiib- 	
136	throw 	رمى‎ 	ramā 			רמה‎, השליך‎ 	hišlix, râmâ 	ܪܡܐ‎ 	rmā 	nadû 			tefa', xeħet 					
137	tie 	ربط‎ 	rabaṭa 			קשר‎ 	qâšar 	ܐܣܪ‎, ܩܛܪ‎ 	ʾesar, qṭar 	kaṣāru, rakāsu, ṣamādu 			rabat 					
138	sew 	خيط‎ 	xáyyaṭa 	xəyyəđ’ (< Ar.) 	~~sew	תפר‎ 	tâfar 	ܚܝܛ‎ 	ħyaṭ 				ħiet 	torp, ōth, jōlk 	xəyyəđ’ (< Ar.) 	ɗínkàa 	erba 	tolid
139	count 	عد‎ 	ʿádda 			מנה‎, ספר‎ 	mânâ, sâfar 	ܡܢܐ‎ 	mnā 	manû 	ቀመር 	qamar 	għadd 					
140	say 	قال‎ 	qāla 	ini 	---	אמר‎ 	ʾâmar 	ܐܡܪ‎ 	ʾemar 	qabû 			qal 	šaje 	ini 	cêe, fáɗìi 	jedh- 	dheh, yedh
141	sing 	غنى‎ 	ğannā 			שר‎, רן‎, זמר‎ 	šâr, rân, zimmér 	ܙܡܪ‎ 	zmar 	zamāru 			għanna 					
142	play 	لعب‎ 	laʿiba 			שחק‎ 	siħéq 	ܫܥܐ‎ 	šaʿʿé 	mēlelu 			lagħab 					
143	float 	عام‎ 	ʿāma 			שט‎ ,צף 	šâṭ, ṣâf 	ܛܦ‎ 	ṭaf 				għam 					
144	flow 	تدفق‎ 	tadáffaqa 			זרם‎ 	zâram 	ܪܣܡ‎, ܫܚܠ‎ 	šħal, rsam 									
145	freeze 	جمد‎ 	jámada 			קפא‎ 	qâfa 	ܓܠܕ‎, ܩܪܫ‎ 	gleð, qraš 									
146	swell 	ورم‎ 	wárima 			התנפח‎ 	hiθnappéaħ 	ܙܘܐ‎, ܥܒܐ‎ 	zwā, ʿvā 									
147	sun 	شمس‎ 	šams 	ŧfušŧ 	---	שמש‎ 	šemeš 	ܫܡܫܐ‎ 	šemšā 	šamšu 			xemx 	p-rē 	ŧfušŧ 	ráanáa 	aduu, biiftuu 	qorax
148	moon 	قمر‎ 	qámar 	yua, ŧaziri 	yue!!	ירח‎ 	yâréaħ 	ܣܗܪܐ‎ 	sahrā 	sîn, warxu 	ወርሕ 		qamar 	p-ooh 	yua, ŧaziri 	wátàa 	baatii, ji'a 	dayax
149	star 	نجم‎, كوكب‎ 	nájm, kawkab 	iŧri 	Astra +++	כוכב‎ 	kóxâv 	ܟܘܟܒܐ‎ 	kawkva 	kakkabu 	ኮከብ 	kokab 	kewkba 	p-siou 	iŧri 	tàuràaróo 	urjii 	xiddig
150	water 	ماء‎ 	māʾ 	aman 	@Semit !! > mnaumn!!!	מים‎ 	mayim 	ܡܝܐ‎ 	mayyā 	mû 			ilma 	p-moou 	aman 	rúwáa 	bisaan, madda 	biyo
151	rain 	مطر‎ 	máṭar 	anz’ā 	Mwater !!!	מטר‎ ,גשם 	mâṭâr, gešem 	ܡܛܪܐ‎ 	meṭrā 	zunnu 			xita 	p-hōou, p-mouᵊnhōou; hi moou (v.) 	anz’ā 	rúwán sámàa 		roob
152	river 	نهر‎ 	nahr 	iɣzā 	Iter ++	נהר‎ 	nâhâr 	ܢܗܪܐ‎ 	nahrā 	nāru 	ተከዚ 	takazi 	xmara 	p-eiero (ierōou) 	iɣzā 	kòogíi 	laga 	webi
153	lake 	بحيرة‎ 	buħayra 	ařimam, ŧanda 		אגם‎ 	ʾağam 	ܝܡܬܐ‎ 	yammθā 		ባሕር 		għadira 		ařimam, ŧanda 	táfkìi 		haro, yamays
154	sea 	بحر‎, يم‎ 	baħr, yamm 	řəƀħā (< Ar.) 		ים‎ 	yam 	ܝܡܐ‎ 	yammā 	tâmtu 	ባሕር 	bāħr 	baħar 	θalassa (< Greek) 	řəƀħā (< Ar.) 	tèekú (< Songhay) 	galaana 	bad
155	salt 	ملح‎ 	milħ 	ŧaməǧǧaħŧ (< Ar.) 		מלח‎ 	melaħ 	ܡܠܚܐ‎ 	melħā 	ṭabtu 	ጸው 	ṣaw 	melħ 	pe-hmou 	ŧaməǧǧaħŧ (< Ar.) 	gíshíríi 	aššaboo, soogidda 	cusbo, mlix (< Ar.)
156	stone 	حجر‎ 	ħájar 	az’r’u 	Dasher? <<<	אבן‎ 	ʾeven 	ܟܐܦܐ‎, ܐܒܢܐ‎, ܫܘܥܐ‎, 	kefā, ʾavnā, šoʿā 	abnu 	እብን 	ʾəbn 	ġebla, ħaġra 	p-ōne 	az’r’u 	dúutsèe 	d'agaa 	dhagax
157	sand 	رمل‎ 	raml 	ižđi 	a stone~sand	חול‎ 	ħól 	ܚܠܐ‎ 	ħālā 		ኾጻ 	xoṣā 	ramel 	šō 	ižđi 	yàashíi, ƙásáa 		ciid
158	dust 	غبار‎ 	ğubār 	ŧaɣəbbā’ŧ (< Ar.) 	~dust bad;)	אבק‎ 	ʾâvâq 	ܐܒܩܐ‎, ܕܩܬܐ‎ 	ʾavqā, deqtā 	eperu 	መሬት 	marét 	trab 	šoeiš, šic 	ŧaɣəbbā’ŧ (< Ar.) 	ƙùuráa 	awaara 	carro
159	earth 	أرض‎ 	ʾarḍ 	šař 	!!	ארץ‎ 	ʾereṣ 	ܐܪܥܐ‎ 	ʾarʿā 	erṣetu 	ምድር 	mədr 	art 	p-kah 	šař 	ƙásáa 	biyyoo 	dhul
160	cloud 	سحابة‎ 	saħāba 	asiynu, ŧažnawŧ 		ענן‎ 	ʿânân 	ܥܢܢܐ‎, ܥܝܡܐ‎, ܥܝܒܐ‎ 	ʿnānā, ʿaymā, ʿaybā 	erpetu 	ደመና 	damanā 	sħaba 	te-kloole 	asiynu, ŧažnawŧ 	gàajìmàarée 	duumessa 	daruur
161	fog 	ضباب‎ 	ḍabāb 	ŧayyuŧ 		ערפל‎ 	ʿarâfel 	ܥܪܦܠܐ‎ 	ʿarpellā 		ጊሜ 	gimé 	żrinġ 	hlostᵊn 	ŧayyuŧ 	házóo 		ciiro
162	sky 	سماء‎ 	samāʾ 	ažənna 	<<	שמים‎ 	šâmayim 	ܫܡܝܐ‎ 	šmayyā 	šamû 			sema 	t-pe (pēue) 	ažənna 	sámà (< Ar.) 	waaqa 	cir
163	wind 	ريح‎ 	rīħ 	asəmmiđ’ 	Semit @	רוח‎ 	ruaħ 	ܪܘܚܐ‎ 	ruħā 	šāru 			riħ 	p-tēu 	asəmmiđ’ 	ískàa 	qilleensa 	dabayl
164	snow 	ثلج‎ 	θalj 	ađfəř 		שלג‎ 	šeleg 	ܬܠܓܐ‎ 	talgā 	šalgu 	ሐመዳ 	ħamadā 	borra, silġ 		ađfəř 	ƙànƙáráa 	c'abbii 	baraf (< Persian)
165	ice 	ثلج‎ 	θalj 	ažris 	ice’ris	קרח‎ 	qeraħ 	ܓܠܝܕܐ‎ 	gliðā 		አስሐትያ 		silġ 		ažris 	ƙànƙáráa 	c'abbii 	baraf
166	smoke 	دخان‎ 	duxān 	ddəxxan (< Ar.) 		עשן‎ 	ʿâšân 	ܬܢܢܐ‎ 	tennānā 	qutru 	ጢስ 	ṭis 	duħħan 	lᵊhōv 	ddəxxan (< Ar.) 	háyáaûíi 	aara 	qiiq
167	fire 	نار‎ 	nār 	ŧiməssi 	timbers?	אש‎ 	ʾéš 	ܢܘܪܐ‎, ܐܫܬܐ‎ 	nurā, ʾeššāθā 	išātu 	እሳት 	ʾəsāt 	nar 	p-kōhᵊt 	ŧiməssi 	wútáa 	bobaa, giimii, ibidda 	dab, oog
168	ash 	رماد‎ 	ramād 	iɣɣəđ 	Asche ++	אפר‎ 	ʾéfer 	ܩܛܡܐ‎ 	qeṭmā 	didallu, ṭikmēnu 	ሐመድ 	ħamad 		kᵊrmes 	iɣɣəđ 	tòokáa 	barbadaa 	dambas
169	burn 	حرق‎ 	ħáriqa 	šməđ’ 	schmor? Smelt?	בער‎ 	bâʿar 	ܝܩܕ‎ 	yqað 	napāxu 			ħaraq 	tᵊmho 	šməđ’ 	ƙóonèe 		
170	road 	طريق‎ 	ṭarīq 	aƀriđ 	ab’road <<	דרך‎ 	derex 	ܐܘܪܚܐ‎ 	ʾurħā 	xūlu 			triq 	te-hiē (hiooue) 	aƀriđ 	hányàa 		waddo
171	mountain 	جبل‎ 	jábal 	ađrā, ađmā 	a’dura, ad mount	הר‎ 	har 	ܛܘܪܐ‎ 	ṭūrā 	šadû 	ደብር 	dabr 	muntanja 	toou 	ađrā, ađmā 	tsáunìi, dúutsèe, túdùu 	gaara 	buur
172	red 	أحمر‎, حمراء‎ 	ʾáħmar m, ħamrāʾ f 	azəggwaɣ 	??	אדם‎ ,אדמה 	ʾâðóm m, ʾaðummâ f 	ܣܘܡܩܐ‎ 	summāqā 	ruššû, pēlu 	ቀይሕ 	qayħ 	aħmar m, ħamra f, ħomor pl 	torš 	azəggwaɣ 	jáa 	diimaa 	casaan, gaduud
173	green 	أخضر‎, خضراء‎ 	ʾáxḍar m, xaḍrāʾ f 	aziyza 		ירק‎ 	yâróq 	ܝܘܪܩܐ‎ 	yurrāqā 	warqu 	ሐመልሚል 	ħamalmil 	aħdar m, ħadra f, ħodor pl 	ouōt, ouet 	aziyza 	tsánwáa, kóor̃èe 	bifa margaa 	agaar
174	yellow 	أصفر‎, صفراء‎ 	ʾáṣfar m, ṣafrāʾ f 	awr’aɣ 		צהב‎ 	ṣâhóv 	ܫܥܘܬܐ‎ 	šaʿuθā 	warqu 	ዘፍራ 	zafrā 	isfar m, safra f, sofor pl 		awr’aɣ 	ràawáyàa 	boora 	cawl, jaalle (< Italian)
175	white 	أبيض‎, بيضاء‎ 	ʾábyaḍ m, bayḍāʾ f 	ašəmřař 		לבן‎ 	lâvân 	ܚܘܪܐ‎ 	ħwārā 	peṣû 	ጸዐዳ, ጻዕዳ 	ṣaʿadā, ṣāʿdā 	abjad m, bajda f, bojod pl 	ouovš 	ašəmřař 	fáríi 	adii 	caddaan
176	black 	أسود‎, سوداء‎ 	ʾaswad m, sawdāʾ f 	aƀāršan 	Barc > black !!	שחר‎, שחורה‎ 	šâħór m, š'ħórâ f 	ܐܘܟܡܐ‎ 	ʾukkāmā 	ṣalmu 	ጸሊም 	ṣalim 	iswed m, sewda f, suwed pl 	kēm 	aƀāršan 	báƙíi 	gur'aaccaa 	madow
177	night 	ليل‎ 	layl 	ǧǧiřəŧ (< Ar.) 	<<	לילה‎ 	laylâ 	ܠܠܝܐ‎ 	lēlyā 	mūšu 	ሌሊት 	lélit 	lejl 	te (o)ušē 	ǧǧiřəŧ (< Ar.) 	dárée 	halkan 	habeen
178	day 	يوم‎ 	yawm 	nhā (< Ar.) 		יום‎ 	yóm 	ܝܘܡܐ‎ 	yawmā 	ūmu 	ዕለት 	ʿəlat 	jum 	pe-hoou 	nhā (< Ar.) 	ráanáa 	guyyaa 	maalin
179	year 	سنة‎ 	sana 	asəggwas 	<<	שנה‎ 	šânâ 	ܫܢܬܐ‎ 	š (n)ta 	šattu 	ዓም, ዓመት 	ʿām, ʿāmat 	sena 	te-rompe (rᵊmpooue) 	asəggwas 	shèeƙáràa, shèekáràa 	bara, waggaa 	sannad (< Ar.)
180	warm 	دافئ‎ 	dāfiʾ 			חם‎ 	ħâm 	ܫܚܝܢܐ‎ 	šaħħinā 		ምውቅ 	məwq 	sħun 				buluqaa, o'aa 	kuulayl
181	cold 	بارد‎ 	bārid 	asəmmađ’ 		קר‎ 	qar 	ܩܪܝܪܐ‎ 	qarrirā 	kaṣû 	ቍር 	qwər 	kiesaħ 	orš 	asəmmađ’ 	mài ɗáaríi, mài sányíi 	qorraa 	qabow
182	full 	ممتلئ‎ 	mumtáliʾ 			מלא‎ 	mâlé 	ܡܠܝܐ‎ 	malyā 	malû 	ምሉእ 	məluʾ 	mimli 					buux
183	new 	جديد‎, حديث‎ 	jadīd, ħadīth 	žžđiđ (< Ar.) 		חדש‎ 	ħâðâš 	ܚܕܬܐ‎ 	ħ (ð)θā 	eššu 			ġdid 	vᵊrre 	žžđiđ (< Ar.) 	sáabóo 	haaraa 	cusub
184	old 	قديم‎ 	qadīm 	aməqqr’an, awəssā 	<<	ישן‎ 	yâšân 	ܥܬܝܩܐ‎ 	ʿattīqā 	labru, šību 			qadim (things), xiħ (people) 	as 	aməqqr’an, awəssā 	tsóohóo 	moofaa 	duq
185	good 	طيب‎ 	ṭáyyib 			טוב‎ 	ṭóv 	ܛܒܐ‎ 	ṭāvā 	ṭābu 	ኼር 	xér 	tajjeb 	nanou 				fiican, wanaagsan
186	bad 	سيء‎ 	sayyiʾ 			רע‎ 	raʿ 	ܒܝܫܐ‎ 	bīšā 	lemnu 	እኩይ 	ʾəkuy 	ħażin 	hoou 				xun
187	rotten 	متعفن‎ 	mutáʿaffin 			רקוב‎ 	râquv 	ܒܩܝܩܐ‎ ܚܪܝܒܐ‎ 	bqīqā, ħrīvā 	masku 							bud'uq jed'a 	qurun
188	dirty 	قذر‎, وسخ‎ 	qáðir, wásix 			מלכלך‎ 	m'luxlax 	ܫܘܚܬܢܐ‎ 	šuħtānā 	waršu 			maħmuġ 					wasakh
189	straight 	مستقيم‎ 	mustaqīm 			ישר‎ 	yâšâr 	ܬܪܝܨܐ‎ 	trīṣā 	ešru 								
190	round 	مستدير‎ 	mustadīr 			עגל‎ 	ʿâğul 	ܚܘܕܪܢܝܐ‎ 	ħuðrānāyā 				tond 					
191	sharp 	حاد‎ 	ħadd 			חד‎ 	ħað 	ܚܪܝܦܐ‎ 	ħarrifā 									
192	dull 	ثلم‎ 	thalim 			עמום‎ 	ʿâmum 	ܩܗܝܐ‎ 	qahyā 									
193	smooth 	ناعم‎ 	nāʿim 			חלק‎ 	ħâlâq 	ܦܫܝܩܐ‎ 	pšīqā 				artab 					
194	wet 	رطب‎ 	raṭb 			רטב‎, 	râṭóv, râṭuv 	ܪܛܝܒܐ‎, ܬܠܝܠܐ‎ 	raṭṭivā, tallilā 	raṭbu 			mxarrab 				jiid'aa 	qoyan
195	dry 	جاف‎, يابس‎ 	jaff, yâbis 			יבש‎ 	yâvéš 	ܝܒܝܫܐ‎ 	yvīšā 	ablu 			niexef 					qallal
196	correct 	صحيح‎ 	ṣaħīħ 			נכון‎ 	nâxón 	ܬܪܝܨܐ‎ 	triṣā 	damqu 	ራትዕ 		sewwa 					saxan
197	near 	قريب‎ 	qarīb 	ađəs 		קרוב‎ 	qâróv 	ܩܪܝܒܐ‎ 	qarrīvā 	ṭexû 			qrib, ħdejn 	hōn, hēn 	ađəs 	kúsá 	d'i'oo 	dhow
198	far 	بعيد‎ 	baʿīd 	ggwəž 		רחוק‎ 	râħóq 	ܪܚܝܩܐ‎ 	raħħīqā 	nešû 	ርሑቅ 	rəħuq 	bogħod 	oue 	ggwəž 	níisá 	fagoo 	fag
199	right 	يمين‎ 	yamīn 	afusi, yəffus 		ימין‎ 	yâmin 	ܝܡܝܢܐ‎ 	yammīnā 	imittu 	የመን 	yaman 	lemin 	te (o)unam 	afusi, yəffus 	dáamá 	mirga 	midig
200	left 	شمال‎ 	šimāl 	az’əřmađ’, z’əřməđ’ 		שמאל‎ 	s'mól 	ܣܡܠܐ‎ 	semmālā 	šumēlu 	ጸጋም 	ṣagām 	xellug 	te-hvour 	az’əřmađ’, z’əřməđ’ 	hágú 	bitaa 	bidix
201	at 	عند‎ 	ʿinda 			ב־‎ 	b'- 	ܒ-‎, ܠܘܬ‎ 	b-/ba-, lwāθ 				għand 					
202	in 	في‎, ب‎ 	fī, bi- 			ב־‎ 	b'- 	ܒ-‎ 	b-/ba- 	ina 	በ 	ba- 	fi 					
203	with 	مع‎, ب‎ 	máʿa, bi- 			את‎ ב עם 	ʿim, b'-, éθ 	ܥܡ‎, ܒ-‎ 	ʿam, b-/ba- 				ma' 					
204	and 	و‎ 	wa 			ו־‎ 	w'- 	ܘ-‎ 	w-/wa- 	u 			u 	nem 				oo, iyo
205	if 	لو‎, اذا‎, ان‎ 	law, ʾíðā, ʾinn 			אם‎ 	ʾim 	ܐܢ‎ 	ʾen 	šumma 			jekk 					
206	because 	بسبب‎, لأنّ‎ 	bi-sábab, liʾánna 			בגלל‎, מפני‎ 	biğlal, mipp'né 	-ܡܛܠ ܕ‎, ܒܥܠܬ‎ 	meṭṭol d-/da-, bʿellaθ 	aššum 			għax 					
207	name 	اسم‎ 	ʾism 	isəm (< Ar.) 		שם‎ 	šém 	ܫܡܐ‎ 	šmā 	šumu 	ስም 	səm 	isem 	p-ran 	isəm (< Ar.) 	súunáa 	maqaa 	magac, isin
