No. 	English 	Romani rromani ćhib	Tajik	IE		Kurdish (Central) 	Romani(Gypsie) 
68	horn 	śing	shing	𒋛 SI® 𓄃	🗸X	шох 	শিং shing 
69	tail 	pori	pori	pony? ≠ pre <>		дум 	লেজ lej 
70	feather 	por	por		🗸	пар 	পর pôr 
71	hair 	bal	bal		<~	мӯ 	চুল cul 
72	head 	śero	shero	"√ḱerh₂ sere	𐭫𐭥𐭩𐭱𐭤  سر sar	"	🗸!	сар 	মাথা matha 
73	ear 	kan	kan	kohrn@ural,turk		гӯш 	কান kān 
74	eye 	jakh	jakh	eyakhe ayge	🗸🗸	чашм 	চোখ cokh 
75	nose 	nakh	nakh		🗸🗸	[[]] 	নাক nak 
76	mouth 	muj	muj		🗸🗸	даҳон 	মুখ mukh 
77	tooth 	dand	dand	dent	🗸🗸	дандон 	দাঁত dãt 
78	tongue (organ) 	ćhib	shib	<> speech / yap ?		забон 	জীভ/জিহবা jibh/jibba 
79	fingernail 	vundya	vundya	𓂝 𓈖 𓏏 | nail (of finger or toe) | 	🗸X	нохун 	নখ nôkh 
80	foot 	punro	punro	bein	🗸;)	по 	পা pa 
81	leg 	fujeri	fujeri	fuß	🗸;)	линг 	পা pa 
82	knee 	chang	chang	gkañie	🗸	зону 	হাঁটু hãṭu 
83	hand 	vast	vast	hast? dvst? 𓆱 	<<<	даст 	হাত hat 
84	wing 	phakh	phak	flugk	🗸	бол 	পাখা pakha 
85	belly 	per	per		~<	шикам 	পেট peṭ 
86	guts 	porr	porr	^^		рӯда 	ভুড়ী bhuṛi 
87	neck 	korr	korr	𓐍𓐍𓄈 кърга gurgel	🗸	гардан 	গলা gôla 
88	back 	dumo	dumo	𓏏 𓂋 𓄩 𓄻 𓄦  	<?	пушт 	পীঠ piṭh 
89	breast 	ćući	chuchi	tcitce	🗸	сина 	বুক buk 
90	heart 	ilo	jilo	дил djil < jar(dio)	<?	дил 	মন/হৃদয় 
91	liver 	puko	puko			ҷигар 	কলজে kolje 
92	to drink 	pijel	pijel	El,al,lel == .en	pij.en	нӯшидан 	পান pana 
93	to eat 	xal	xal	khol!	esx.en	хӯрдан 	খাওয়া khaoa 
94	to bite 	dindalel	dindalel	@dendro	ok?	газидан 	কামড়ানো kamṛano 
95	to suck 	chuchi pel	chuchi pel	shucki	~	макидан 	চোষা cosha 
96	to spit 	shungardel	shungardel		~	туф кардан 	ছ্যাপ/থুতু sêp/thutu 
97	to vomit 	shandel	shandel		;)	қай кардан 	বমি bomi 
98	to blow 	phurdel	phurdel	Pust < !	<~	вазидан 	ফুঁ দেত্তয়া phũ dêoa 
99	to breathe 	sufla lel	sufla lel	≠suffocate!		нафас кашидан 	শ্বাস নেওয়া shash neoa 
100	to laugh 	asal	assal	ass: Esel	!	хандидан 	হাসা hasha 
101	to see 	dikhel	dikhel	diäykh.el		дидан 	দেখা dêkha 
102	to hear 	śunel	ashunel	sDn sense		шунидан 	শোনা shona 
103	to know 	ʒanel	zhanel	zhavan ʒnow		донистан 	জানা jana 
104	to think 	gindil	gindil	count 𓎡 𓄿 𓀁 kindl 𓋴 𓐍 𓆼 𓄿 𓀁  ϫⲓⲛⲙⲉⲩⲓ	~~	андешидан 	ভাবা bhaba 
105	to smell 	sungal	sungal	𓌢 𓈖 𓂉 	🗸🗸X	бӯидан 	শোঁকা shonka 
106	to fear 	daral	daral	𓆓 𓅾 𓀁  dread ≠ dare		тарсидан 	ভয় করা/ডরা bhôe kôra/dôra 
107	to sleep 	sovel	sovel		~	хобидан 	ঘুমা ghuma 
108	to live 	zhuvel	zhuvel	zoov	🗸🗸	зистан 	বাঁচা bãca 
109	to die 	merel	merel	mor[t]	🗸🗸	мурдан 	মরা môra 
110	to kill 	mudarel	mudarel	murder	🗸🗸	куштан 	মারা/মেরে ফেলা mara/mere phêla 
111	to fight 	marel	marel	mars!! qvarrel	🗸🗸	ҷангидан 	লড়া lôṛa 
112	to hunt 	mudarel	mudarel	^^	🗸	шикор кардан 	সীকার করা/মৃগয়া করা shikar kôra/mrigoea kôra 
113	to hit 	chalavel	chalavel			задан 	মারা mara 
114	to cut 	shinel	shinel	schneid.en	🗸	буридан 	কাটা kaṭa 
115	to split 	pharravel	pharravel	para™	🗸	ҷудо кардан 	ভাগ bhag 
116	to stab 	pusavel	pusavel	push	🗸	захм задан 	ছোরা মারা chora mara(v) 
117	to scratch 	xarundel	xarundel		~	харошидан 	খামচানো khamcano (v) 
118	to dig 	hunavel	hunavel	Hühner;)	🗸?	ҳафр задан 	খোঁড়া khõṛa 
119	to swim 	plemel	plemel	plummet	~?	шино кардан 	সাঁতরানো shãtrano 
120	to fly 	ural	ural	viral? <> fur aura?	<<!	паридан 	ওড়া oṛa 
121	to walk 	phirel	phirel	vire faire!	🗸🗸 <!	роҳ рафтан 	হাঁটা hãta 
122	to come 	avel	avel		<	омадан 	আসা asha 
123	to lie (as in a bed) 	pashlyol	pashlyol	pasha;)		хобидан/дароз кашидан 	শোয়া shoa 
124	to sit 	beśel	beshel	𓈞 𓋴 𓀔 	<<X!?	нишастан 	বসা bôsha 
125	to stand 	tordyol	tordyol	@Tor?		истодан 	দাঁড়ানো dãṛano 
126	to turn (intransitive) 	boldel	boldel			гардидан 	ঘোরা ghora 
127	to fall 	perel	perel	purzel per~fall	🗸	афтидан 	পড়া pôṛa 
128	to give 	del	del	dar don	🗸	додан 	দেত্তয়া dêoa 
129	to hold 	xutyilel	xutyilel		~	нигоҳ доштан 	ধরা dhôra 
130	to squeeze 	kikidel	kikidel			фишурдан 	চেপ chep- 
131	to rub 	morel	morel			молидан 	ঘষা ghosha 
132	to wash 	thovel	thovel	≠ towel		шустан 	ধোয়া dhoa 
133	to wipe 	khosel	khosel	koscher	<	пок кардан 	মোছা mocha 
134	to pull 	cirdel	cirdel	Kordel!?	<	кашидан 	টানা ṭana 
135	to push 	pizdel	pizdel	puzhd	🗸	фишор додан 	ঠেলা ṭhêla 
136	to throw 	shudel	shudel	shuttle?	🗸!?	андохтан 	ফেলা phêla 
137	to tie 	phandel	phandel	Band bündel	🗸🗸	гиреҳ задан 	বাঁধা bãdha 
138	to sew 	suvel	suvel	suw.el	🗸🗸	дӯхтан 	টাঁকা ṭanka 
139	to count 	ginavel	ginavel	<> think 	~<🗸	шумурдан 	গোনা gona 
140	to say 	phenel	phenel	Phon <> pheme	🗸🗸	гуфтан 	বলা bôla 
141	to sing 	gilyabel	gilyabel	ge.jubel	<3	хондан 	গাওয়া gaoa 
142	to play 	khelel	khelel	cpel	~-	бозӣ кардан 	খেলা khêla 
143	to float 	urnel	urnel	𓏌𓏌𓏌	!?	истодан 	ভাসা bhasha 
144	to flow 	shordyol	shordyol	@shore?		шӯридан 	বহা bôha 
145	to freeze 	pahosajvel	pahosajvel		~?	ях шудан 	জমা jôma 
146	to swell 	shulyol	shulyol		🗸	бод кардан 	ফাঁপা phãpa 
147	sun 	kham	kham	Komet @ Himmel? 𓋉  𓆎𓏏𓊖	!!	офтоб 	সূর্য shurjo 
148	moon 	ćhon	shon	shine@	~<🗸	моҳ 	চাঁদ cãd 
