No. 	English 	Tocharian B kuśiññe		
177	night 	yṣiye		
178	day 	kauṃ	Jaum güm:sun!	
179	year 	pikul		
180	warm 	emalle		
181	cold 	krośce	!	
182	full 	ite		
183	new 	ñuwe	🗸🗸 	
184	old 	ktsaitstse (?)		
185	good 	kartse	gort~good.sei	
186	bad 	yolo, pakwāre	<<	
187	rotten 	āmpau		
188	dirty 	sal, kraketstse		
189	straight 	-		
190	round 	-		
191	sharp (as a knife) 	mātre, akwatse		
192	dull (as a knife) 	mālle (?)	mal vs dull	
193	smooth 	ṣmare	~+	
194	wet 	karītstse	<<	
195	dry 	asāre		
196	correct 	-		
197	near 	akartte, ysape, etsuwai		
198	far 	lau, lauke	<> raudi	
199	right 	saiwai (adverb)		
200	left 	śwālyai (adverb)		
201	at 	-ne	an 	
202	in 	-ne	in	
203	with 	śle	zu?	
204	and 	ṣp	<<	
205	if 	krui, ente		
206	because 	kuce, mäkte		
207	name 	ñem	🗸🗸 	
