 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
173	green 	tʃuturin 	tt… ʃreen	niowanggiyan	~--	ýaşyl 	YeSAR >> shil shar.un=green@SEM	✓	zöld 	Zöld / vihrie	zart / verd <> vir <> sar:
174	yellow 	ʃɪŋarɪn 	🌞 shine jaune 	suwayan	+++	sary 	sarı™ sar=green 	✓	sárga 	Sárga	Sára™ 🌞 Sem,Turk   keldaine~geld,gold
175	white 	bagdarɪn 	bei bright	šanyan	ok?	ak 	(w)ash!	✓✓	fehér 	vai…	feh≠heir:black  valkea<>balkan/alban
176	black 	kɔŋnɔrɪn 	kugnar 𓎡𓎡𓇰 noir negro	sahaliyan	Turk	gara 	Chara <> kalla™	✓✓	fekete 		fekal kakar mist
177	night 	dɔlbɔ 		dobori	--	gije 	gEve 夜 yven 晚 <> gök!  𓎡𓎡𓅱𓐍𓆼𓇰	<	éj éjszaka 	yö	!
178	day 	inəŋ 	yün(en) 年?	inenggi		gün 	Journ <> sun	✓	nap (nappal *napaiva) 		<> nobel : sun!
179	year 	aŋŋanɪ 	anno! 年nián ein.jahr 	aniya	!! CN	ýyl 	Year <> yeal ++	✓	év esztendő = this time	jahki *ikä age	Vuosi<?>ven  idő=weather
180	warm 	ɲama 	vulkan! వెచ్చని veccani  bake@Dravid	bulukan, halukan	!!?	ýyly 	schwühl++	~	meleg, langyos 	meleg 	*hlūm GERMAN lau, luke, mild, linger, mini <> wärm
181	cold 	iŋin 	Ein~eis <kahur	šahūrun	--	sowuk 	soak	~	hideg, hűs 	kylmä 	kühl.ma calm   hűs vs tűz
182	full 	dʒalʊm 		jaluka	--	doly; dok (satisfied) 	Doll ~ voll < dval, schwell ++	~	tele 	tele	Tell total!!
183	new 	irkəkin 		ice	--	täze (Pers.) 	Yenew ++	<!	új 	uusi	news  cut.új kadesh
184	old 	ʃagdɪ 	sack;)	fe, sakda	<<	köne (things) , garry (people) 	gero 古	✓✓	ven	vanha	vienna~vielle venus  van fahn 
185	good 	aya 	EU! sane	sain	++	ýagşy, gowy 	JA,SI, gowyde ++	✓✓	jó 	jóde, пара	eu:good (su)per hyvä hyper para …
186	bad 	əru 	ra!	ehe	HEB	(er)bet; pis; ýaman (badly) 	bad, piss, jammern™, ia.ment	✓! ✓?	rossz rot!		pah.de!
187	rotten 	nukuntʃa 	ungut;)	niyaha, ibtenehe	--	çüýrük 	sauerig chirik ++	✓	korhadt: corrode, rot	mäda 	Madig ^^
188	dirty 	bʊdʒar 	<> putz Butze	nantuhūn langse	--	kirli, hapa 	<> khir=black	✓	mocskos, piszkos koszos 	reduhiine 	Mucos, murky, rotten ^^ … lika+inen
189	straight 	tʃitʃur 	tʃitʃur™	sijirhūn	~~?	göni; dogry 	s’тура.de ++ <>¬gon	<	Egyenes  ~ oikoinen	sirge	Sure <> right = oiko
190	round 	boŋbəlin 	bon.ball mball	muheliyen	--	togalak, öwre 	çаврака~circ, togar.as, wrun.de	~?	Kerek <> circ!	каря pyöreä	Circ/fahrend/rad pirouette <> fire?
191	sharp 	əmər 	sliceing Degen	šulihun, šolonggo, dacun	--	ýiti; ötgür 			éles él “edge” (Keil/Teil)		Terä <> tear ýitir@turk ħað cutter 
192	dull 	mampa 	moot	modo	ok?	kütek 	cut¬ac	✓<!	tompa 	tylppä	Dumb dull Tölpel!
193	smooth 	burtʃurin 	pürüzsüz@TURK	necin, bišun	TURK	tekiz 	teyig~ silk!	✓ ½ 	sima 	sima.de	Smooth, ~
194	wet 	wʊlapkʊn 	welp •hep	derbehun, usihin	!? --	çygly; öl (damp, wet) 	Lak <> aqua, öl!!	✓<!	Nedves 	Nedves / märkä	Nass @ meer  nautic nawäss
195	dry 	ɔlgɔkin, iləŋ 	gɔkin <> gün, gan	olhon 	--	qury 	кургак karg qry dry 	✓~	Száraz 		Száraz < sun
196	correct 	tədʒə: 	top tout dogry 	acanaha, tob giyangga	HEB <>	dogry 	derechia, drtha << d’agree ++	✓ <<	helyes 	helyes, oikea	Hell-yes okey ;)
197	near 	daga 	𓏏 𓎡 𓂻 దగ్గర daggara	hanci, hamika	--	ýakyn 	<<		Közel : kurz	Közel 	kurz
198	far 	gɔrɔ 	𓎛 𓁷 𓂋 𓈐 gɔrɔ |  𒊑𒄣 ri-qu rig ~ ride	goro	+?	uzak, alyş 	kozak? Iraq;)  farac ерак 	~	messze	𓈝 	Marsch @ Messe!
199	right 	a:n 	arm? Ici?	ici	+?	sag 	sax 石右  shíyou 手 <> thai (facing pole)	<<!!	jobb 	jobb, oigie	又 you 右  job JA ok oikea 𓁹 Eugen 
200	left 	dʒəyin 		'has''hū'		çep 	左 zuǒp ‘job’ syr(i) sol	<!	bal 		falsch? Ballen? Fassen 
201	at 			-de	++	[[]] 	++	✓✓	-nál/-nél 		nah an / al ל! < à-la < 𓂋
202	because 	dʒa:lin 	be [cause] da …	be dahame, ...jalin (+ de), ... ...turgunde, adarame seci, ...	ok?	[[]] 	𓏏	✓	-ban/-ben 	-ban -ssä	bei/in *ben=ב / 边 zu 在 ++
203	in 		dal!	dolo	++<	bilen 	Pei 陪 bei 被 by bi.de with along belong!	✓✓!?	-val/-vel 	kanssa kera  -vel	VE! ו con! Care Full-with
204	with 		y zusam	...i emgi, ...i sasa	+-	we 	wa و to With y+n con~жана  	✓✓	és s 	Da / ja / és	Da / ja / és / si / et y/a ++ (an)da
205	if 		𓇋 𓂋 अगर agar … either	aika, aikabade	++	eger 	𓇋 𓂋 either	✓✓!!!?	ha 	Kuin > ku > ha	Que, quan ~ when
206	and 		y yay;)	jai	+ ;)	çünki 	since++	✓✓	Mert < merit (of)	koska, sest	cause, c’est +++
207	name 	gərbi 	geb gar garon 	gebu	+?-	at 	(m)ot, ad@res address	✓	név 	nimi 	name
	Tungusic				-------						
					BAD LANG						
