 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
30	thick 	dɪram 	duram gira.ment	jiramin	™ Turk	galyň 	gyr>gal:big≠klein,lang	✓≠!	hosszú 	vastag, paksu	vast, va’thick, packed? Thĩcka
31	heavy 	urgə 	agyr 	ujen	Turk	agyr 	gyr® ǧvr schwer	<<	szél(es)	painai	^^mega pende=weigh, ?
32	small 	nitʃukun 	nitʃ.con	ajige	+++	kiçi, kiçijik 	küchiculn! 𓅱 nietsh!	✓;)	vastag	pikku 	pico, kücki kurz
33	short 	nəktəkun, wurumkun 	furlong	foholon (of length) fangkala (of height)	++?	gysga 	Kurz++ 𓅱  chiculn!	✓✓	nehéz 	lyhyt 	lütt, little, rapid!
34	narrow 	ʃiləmkun 	slim.con	'hafirahūn, is''heliyen'		dar 	dürr!! <> door! Darben	✓✓??	kis kicsi 	keskeny 	quetsch? Cut, capped, skinny
35	thin 	nəmkun 	𓂜 neglect? <> eng	nekeliyen	inçe~eng	inçe 	inçe~eng Thin ~! winz 	✓	rövid 		*tvnhokun ~ тьнъкъ (tĭnŭkŭ) 
36	woman 	aʃɪ 	ische	hehe	;)	heleý, aýal 	girly, katrin,kardin:work, ische, amne	✓	keskeny 	nő, naine 	Nonne 女 nǚnú nina
37	man (male) 	ɲɪray 		haha	;)	erkek (adam) 	ER! < vir san~sir kek<>gök	✓	Vékony ~ vacant?	Férfi, mies 	VIR wir=miz@turk Mr?
38	man (human being) 	bəyə 	boy	niyalma		ynsan, adam, kişi 	<< insane, kysir, adam	✓ <	nő asszony 	ihminen 	human, andro=an’bro ;)
39	child 	kɔ:kan 	kücken 𓅱	jui	+++	çaga 	chiculn! 𓅱 Balg	✓	férfi 	gyermek 	Göre Chird ^ short lad@lab phil Klopsi-
40	wife 	atɪrkan 	sir.con	sargan	++?	aýal 	girl, kardin/kathrin, care	✓	Ember ~ andro?	nej~nő 	fel~fru vaimo~wife nő 
41	husband 	ətirkən 	Eigen ^^	eigen	;)	är, adam 	ER, HusHer?	✓	gyerek gyermek 	férj	VIR
42	mother 	ənin 	Emma	eme, eniye	++	eje 	ana, ama, inge, egen?	✓	feleség nej 	muamo, anja	mama, anne
43	father 	amɪn 	'a''man! Amma@Georg'	ama	+-	kaka 	papa, vata ! VS AMA! Köka	✓	férj 	Apa, tuatto, ižä 	papa, daddy, sir?
44	animal 	bəyiŋə 	banya>anja	aššara jaka, ergengge (living things)	<<< Ural	haýwan 	! hurvan™ хайван (Pers.)	✓	anya 	rasha, raca <<	Raccoon ration ;)
45	fish 	ɔlɔ 	oil?	nimaha		balyk 	bei.lake (l’aqua) !! uralic!	✓	apa 	kala 	Kala-maris=halis Kaul¬quap HAYUL
46	bird 	tʃinəkə  schnecke;) 	gross.HUHN / Kücken 𓅱 chicken	'gas''ha (''large bird'') cecike (''small bird, songbird'')'	+++<<	guş 	kück! 𓅱 goose!	!	állat 	madár, lindu	Musen!! Lieder! ma.tyr@SEM
47	dog 	ŋanakin 	n.kuona.chien² hünda.hun 	indahūn	++!	it; köpek (male); güýük 	Hunt : ит ! Köter 	✓	hal 	kutya	Köter κύλος
48	louse 	kuŋkə: 	यूक (yūka)@cocoon? 𓎡 𓏏 𓏏 𓆨 | cootie	cihe	+	bit 	bit ~ beetle!	✓	madár, lúd (goose) 	--	
49	snake 	kʊlɪn 	kuri cylange musu	meihe	++	ýylan 	schlange!! kʊlɪn  curlen	✓	kutya eb 	кый kiärmis 	KAR! MUS! 𓎛 𓆑 𓄿 𓅂 ! <> Kiefer? Ge-Ziefer
50	worm 	kʊlikan 	kuri	umiyaha	++	gurt, gurçuk 	Curled !	✓	tetű 	madoine 	Ver.1 Made
51	tree 	mɔ: 	mu	moo, hailan	CN	bag, agaç 	Mwood ++, borke	✓	kígyó 	puu 	wood, fig, Fichte
52	forest 	mɔ:ʃa 	mus bush	bujan, weji	CN +	tokaý 	mùs 木 turkee tree	✓	féreg 	mets 	mùs 木 ™  вирь~bor*
53	stick 	lata 	latte	mukšan	++	çöp; taýak (stick, cane) 	мод 木 stick~sтаяк ++ 	✓	fa(k)	bot 	Botanic bat, klopp, pod@Dravid
54	fruit 	tubiɣə 	Traube	tubihe	++?	miwe 	Malve Mus ≠ kveret ~ guord gvruit	✓✓ ½ 	Erdő  !?	Имож , puuvili	Gemüse, Mus! Malve, puuvili~
