 № 	English 	Chuvash 	Aryan		Turkmen 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 	Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
17	all 	пĕтĕм, пур, пурте 	Panta ~ petem, parrey <> alle?	pears?	bary, hemme, ähli, her 	бары, бүтүн 	бүгү, хамык, шупту, дөгере 	прай, тикci, тооза 	кöндӱрe, ончо, ӱзе,бары 	бөтен, бары, һәммә 	бөтә 	бары, бютеу, битеу 	бәрi, бүкiл 	баары, бардык, бүткүл (the whole) 	barcha, hamma, butun, bari, borliq 	ھەممە‎ (hemme), بارچە‎ (barche), پۈتۈن‎ (pütün), بارلىق‎ (barliq) 	bary, hemme, ähli, her 	bütün, hamısı 	tüm; bütün; hep (Pers.) 	bütün, ep, episi 	قَمُغْ‎ (qamuɣ), بَرْجا‎ (barčā)
18	many 	нумай 	Many köppan?		çox 	элбэх, үгүс 	хөй; көвей (noun, rare) 	кöп 	кöп 	күп 	күп 	кёб 	көп 	көп 	koʻp 	كۆپ‎ (köp), köp 	çox 	çok 	çoq 	كُبْ‎ (köp), اُكُوشْ‎ (üküš)	
19	some 	темиçе 	some, kac 𓅱 		birnäçe, berentak 	хас да, ханнык эрэ; аҕыйах (a few) 	каш (a few) ; бир каш, шала, кашкыйна 	нинӌе-де, кöп нимес (a few) ; сала 	бир канча (a few) 	берничә 	бер нисә 	талай, бир талай, бир ненча, бираз, бир кесек 	бiрнеше 	бир нече 	bir necha, bir qancha, ba'zi, ayrim 	بىر قانچە‎ (bir qanche) (a few) ; ئازراق‎ (azraq) (a little) ; بەزى‎ (bezi) 	birnäçe, berentak 	bəzi (some of the) ; bir neçə (a few) 	bazı, (Ar.) kimi; birkaç (a few) , biraz (a little) 	bazı (some of the) ; bir qaç (a few)	
20	few 	сахал 	kac 𓅱  az~1ige		az 	аҕыйах 	эвээш, бичии; ас (almost, a little) 	ас 	ас 	аз 	аҙ 	аз 	аз 	аз 	oz, kam, picha 	ئاز‎ (az) 	az 	az 	az 	az 	اازْ‎ (āz)
21	other 	урăх 	othern атын   b’othca	🗸	başqa, digər 	атын 	өске, ыынды; башка (separate) 	пасха 	башка 	башка 	башҡа 	башха 	басқа 	башка 	boshqa, o'zga 	باشقا‎ (bashqa), ئۆزگە‎ (özge), ئارتۇق‎ (artuq), başga 	başqa, digər 	başka, öbür, diğer (Per.) 	başqa, diger 	اَذِنْ‎ (aδïn), اَذْرُقْ‎ (aδruq), اُنْكٖى‎ (öŋī)	
22	one 	пĕрре 	first, pro(to)	🗸	bir 	биир 	бир 	пир 	бир 	бер 	бер 	бир 	бiр 	бир 	bir 	بىر‎ (bir) 	bir 	bir 	bir 	bir 	بٖيرْ‎ (bīr)
23	two 	иккĕ 	secon’	🗸	iki 	икки 	ийи 	iкi 	эки 	ике 	ике 	эки 	екi 	эки 	ikki 	ئىككى‎ (ikki), ikki 	iki 	iki 	eki 	اِكّٖى‎ (ikkī)	
24	three 	виççĕ 	(bth)yrs, thres үшsan		üç 	үс 	үш 	ӱс 	ӱч 	өч 	өс 	юч 	үш 	үч 	uch 	ئۈچ‎ (üch) 	üç 	üç 	üç 	üç 	اُجْ‎ (üč)
25	four 	тăваттă 	Tetra ✔	🗸🗸	dört 	түөрт 	дөрт 	тöрт 	тöрт 	дүрт 	дүрт 	тёрт 	төрт 	төрт 	toʻrt 	tört 	dört 	dörd 	dört 	dört 	تُورْتْ‎ (tȫrt)
26	five 	пиллĕк 	pent, peth ✔	🗸	bäş, kelle 	биэс 	беш 	пис 	беш 	биш 	биш 	беш 	бес 	беш 	besh 	besh 	bäş, kelle 	beş 	beş 	beş 	بٖيشْ‎ (bḗš)
