№	English	Ossetian<Skythian<PIE (Iron) Ирон (Iron)	Ossetian (Digor) Дигорон (Digoron) 	PIE +++
61	rope	бæндæн (bændæn)	рæвæйнæ (rævæjnæ)	bind, rope
62	skin	царм (carm)	дзар (ʒar)	!
63	meat	фыд (fyd)		food
64	blood	туг (tug)		<<<
65	bone	стæг (stæg )		<<<
66	fat (noun)	сой (soj)		
67	egg	айк (ajk)		айк (ajk)
68	horn	сыкъа (syk’a)		
69	tail	дымæг (dymæg)		dommel
70	feather	сис (sis)		𓆄 𒋙
71	hair	хъуын (qwyn), хъис (qis)		
72	head	сæр (sær)		!
73	ear	хъус (qus)		quiz
74	eye	цæст (cæst)		!
75	nose	фындз (fynʒ), бырынкъ (byrynk’)		ƒnoz, __
76	mouth	дзых (ʒyx)		<<<
77	tooth	дæндаг (dændag)		dent
78	tongue (organ)	æвзаг (ævzag)		
79	fingernail	ных (nyx)		nailx
80	foot	фад (fad)		фад (fad)
81	leg	къах (k’ax)		<<<
82	knee	зоныг (zonyg)		gon, kink
83	hand	къух (k’ux)		<<<
84	wing	базыр (bazyr)	<> πτερόν pterón	 𓃀 𓆄 𓏏 𓏤 [[𓆃]] 
85	belly	гуыбын (g°ybyn)	хъæстæ (qæstæ)	
86	guts	тъанг (t’ang)	хæлорæ (xæloræ)	
87	neck	æфцæг (æfcæg)	æвгæрдæн (ævgærdæn)	
88	back	фæсонтæ (fæsontæ)		≠ front
89	breast	риу (riw), дзидзи (ʒiʒi)*		tits, Zitze / риу riw??
90	heart	зæрдæ (zærdæ)		cardio
91	liver	игæр (igær)		
92	to drink	нуазын (nwazyn)		en-wasser.en?
93	to eat	хæрын (xæryn)		zähren
94	to bite	хæцын (xæcyn)		kau'en
95	to suck	дæйын (dæjyn)		drag'en ?
96	to spit	ту кæнын (tu kænyn)		
97	to vomit	омын (omyn)		vomi'en
98	to blow	дымын (dymyn)		<< 𓅱 𓏏 𓊡
99	to breathe	улæфын (ulæfyn)		alife'n
100	to laugh	худын (xudyn)		
101	to see	уынын (wynyn)		videon vi'en
102	to hear	хъусын (qusyn)		𓆓 𓄔
103	to know	зонын (zonyn)	фæсмæрун (fæsmærun)	seeing < sapien 2. wissmern
104	to think	хъуыды кæнын (qwydy kænyn)		
105	to smell	æмбудын (æmbudyn)		
106	to fear	тæрсын (tærsyn )		tearse dread 𓅾 𓏏 𓏤 <> 𓅂 𓄛
107	to sleep	хуыссын (x°yssyn)		
108	to live	цæрын (cæryn)		<<
109	to die	мæлын (mælyn)		𓏱 muerlin
110	to kill	марын (maryn)		𓏱
111	to fight	тох кæнын (tox kænyn)		tox kardin!
112	to hunt	цуан кæнын (cwan kænyn)		kuon kardin!
113	to hit	цæвын (cævyn)		cave ;)
114	to cut	кæрдын (kærdyn)		card <<
115	to split	уарын (waryn)		par'en
116	to stab	садзын (saʒyn)		~
117	to scratch	хыртт-хыртт кæнын (xyrtt-xyrtt kænyn)		scrat-scratching
118	to dig	къахын (k’axyn)	æзгелун (æzgelun)	<<
119	to swim	ленк кæнын (lenk kænyn)	накæ кæнун (nakæ kænun)	𓈖 nager/nadar
120	to fly	тæхын (tæxyn)		𓅂
121	to walk	цæуын (cæwyn)		gehen
122	to come	æрцæуын (ærcæwyn), цæуын (cæwyn)		gehen, arriveco
123	to lie (as in a bed)	хуыссын (x°yssyn)		<> sleep
124	to sit	бадын (badyn)		bottom
125	to stand	лæууын (læuwyn)	истун (istun)	истун (istun) 2. ??
126	to turn (intransitive)	здахын (zdaxyn)		??
127	to fall	хауын (xawyn)		𓐍 𓂋 𓀒
128	to give	дæттын (dættyn)		𓂞 dota
129	to hold	дарын (daryn)		𓂞 dar
130	to squeeze	æлхъивын (ælqivyn)		
131	to rub	хафын (xafyn)		
132	to wash	æхсын (æxsyn)		wäshen
133	to wipe	сæрфын (særfyn)		serve?
134	to pull	ивазын (ivazyn)		…syn
135	to push	схойын (sxojyn)		
136	to throw	æппарын (æpparyn)	гæлдзун (gælʒun)	over… ?
137	to tie	баттын (battyn)		𓃀 bind
138	to sew	хуийын (xwijyn )		~
139	to count	нымайын (nymajyn)		numbern!
