No. 	English 	IE		Greek ελληνικά (elliniká) 	IPA pronunciation		Ancient Greek ἑλληνική (hellēnikḗ) 
56	leaf 	🗸 phylon phyt		φύλλο (fýllo) 	ˈfilo	~	φύλλον (phúllon)
57	root 	🗸 rooitz		ρίζα (ríza) 	ˈriza		ῥίζα (rhíza)
58	bark (of a tree) 			φλοιός (floiós) 	fliˈos		φλοιός (phloiós)
59	flower 	lailaidh		λουλούδι (louloúdi) 	luˈluði		ἄνθος (ánthos)
60	grass 	™ >>		χορτάρι (chortári) 	xorˈtari		χλόη (khlóē)
61	rope 	🗸? seilnn Schoner?		σχοινί (schoiní) 	sçiˈni		δεσμός (desmós), σχοινίον (skhoiníon)
62	skin 	🗸		δέρμα (dérma) 	ˈðerma		δέρμα (dérma)
63	meat 	🗸 carcas, carnas		κρέας (kréas) 	ˈkreas		κρέας (kréas)
64	blood 	🗸 häm >>		αίμα (aíma) 	ˈema		αἷμα (haîma)
65	bone 	🗸 osteon, <<		κόκαλο (kókalo) 	ˈkokalo		ὀστοῦν (ostoûn)
66	fat (noun) 	🗸 lipo, dermo?		λίπος (lípos) 	ˈlipos		δημός (dēmós)
67	egg 	🗸 Eien, Auge!!		αυγό (avgó) 	avˈɣo		ᾠόν (ōión)
68	horn 	🗸		κέρατο (kérato) 	ˈcerato		κέρας (kéras)
69	tail 	<		ουρά (ourá) 	uˈra		οὐρά (ourá), κέρκος (kérkos)
70	feather 	🗸		πούπουλο (poúpoulo), φτερό (fteró) 	ˈpupulo, fteˈro		πτερόν (pterón)
71	hair 	🗸! 3-hair !?! trachae, kamm!		τρίχα (trícha) (single), μαλλιά (malliá) (collective) 	ˈtrixa, maˈʎa		θρίξ (thríx), κόμη (kómē)
72	head 	🗸 kopfal		κεφάλι (kefáli) 	ceˈfali		κεφαλή (kephalḗ)
73	ear 			αυτί (aftí) 	afˈti		οὖς (oûs)
74	eye 	🗸 mvidio !!! opti…		μάτι (máti) 	ˈmati	!!	ὀφθαλμός (ophthalmós)
75	nose 	🗸 mnoyse  Riechs!		μύτη (mýti) 	ˈmiti		ῥίς (rhís)
76	mouth 	<<<		στόμα (stóma) 	ˈstoma		στόμα (stóma)
77	tooth 	🗸		δόντι (dónti) 	ˈðondi		ὀδούς (odoús)   ύ=vny!!!  
78	tongue 	🗸		γλώσσα (glóssa) 	ˈɣlosa		γλῶσσα (glôssa)
79	fingernail 	🗸 naichil!!!		νύχι (nýchi) 	ˈniçi		ὄνυξ (ónux)
