 № 	English 	Kusunda	Connection	
117	to scratch (an itch) 	yibiu ə-g-ən 		
118	to dig 	myaqə-t-n̩, myaqə-d-i; myaqə-g-ən (3rd); myaqə-go (imp) 	mykh.tun?	
119	to swim 			
120	to fly 	huː-dzi; huː-do (imp), huː-in (proh) 	flhuː (do)	
121	to walk 	bibi-dzi, bibi-to 	𓃀𓃀 bipedi	+++?
122	to come 	t-ug-un; əga (imp), n-ug-in (proh) 	to.goin	
123	to lie (as on one's side) 	yuŋ-tsi-n, yuŋ-tsi-du; yuŋ-to (imp) 	<>young?	
124	to sit 	s-aɴʕ-an; haɴʕ-no (imp) 	haɴʕ hinsit	++?
125	to stand 	dʰũ-tsi-n; dʰuŋ-to (imp) 		
126	to turn (change direction) 	muruŋ-to, mərəŋ əgo 		???
127	to fall (as in drop) 	bemə-g-ən 	boom(goin')  ;)	
128	to give 	e-d-n̩, e-d-i; e-go (imp), e-yin (proh) 	a'don a'gei	++?
129	to hold (in one's hand) 	həbə-o (imp) 	help	
130	to squeeze 	ərdzo ə-g-ən 		
131	to rub 	lə a-d-n̩, lə ə-g-ən / lãhãgo 	leach?	
132	to wash 	pʰya ə-go (imp), sowa-d-n̩, sowa-d-i, sowa-go 	pʰyash, showa	OK?
133	to wipe 			
134	to pull 	ruːə-d-i; ruːə-go (imp) 	row	OK?
135	to push 	dusə ə-d-i; dusə ə-go (imp) 	dush @ 	
136	to throw 	hurə-d-i / hurra ə-g-ən (3rd) 	hurl	++
137	to tie 	tsʰãːn, tsʰãː-d-i, tsʰãː ə-g-ən 	ziehn	++
138	to sew 	toba ə-d-i; toba ə-go (imp) 	tube?	
139	to count 	pimba ə-go (imp) 	pimp;) 5𓂭? 🖐	<?
140	to say 	-it- : at-to …, ts-oɴʕ-on; 	chat/dito	OK? -
141	to sing 	məŋ ə-g-ən 	🌗 mudh@Sumer 𒌇 	--
142	to play 	libũ-dzi, libũ-tsi-n; libũ-to (imp), libũ-nin (proh) 	lieb <3	--
143	to float 			
144	to flow 			
145	to freeze 			
146	to swell 	hyo-da-d-n̩, hyo-da-d-i 		
147	sun 	iŋ 	shyn 𓇳 giŋ gün 𓁹 augün	<<++++!!
148	moon 	niku, nigu 	"🌒 nekro? 𓇷 𓈖𓅂 𓏒	 new"	
149	star 	sa.am / sam 	some *	
150	water 	gidaŋ, gitaŋ, taŋ 	gießen	OK???
151	to rain 	taŋ 		
152	river 	tsʰut?		
153	lake 			
154	sea (as in ocean) 			
155	salt 	huki / hukki 		
156	stone 	yeŋgu / yiŋgu 	Jenga™ stoneggu	™
157	sand 	dum 	dune, Ton	OK??
158	dust 	dum?	dunst	^^
159	earth (as in soil) 	dum	mud	<<!
160	cloud 	bəm pãːyi / pãi 		
161	fog 	dʰundi 		
162	sky 	bəm 	Boheme	--
163	wind (as in breeze) 	qaːi / kai 	qair	
164	snow 	yaq 	<> cold	
165	ice 			
166	smoke 	dimi 	dunst ^^	^^
167	fire 	dza 	tyssa Tűz@HUN <> torch	!!
168	ash 			
169	to burn (intransitive) 	dza hõː-d-i 	Tűza huǒ 火 do	
170	road 	un, uŋ 		
171	mountain 	dibaŋ 		
172	red 	kʰərgun pʰurluŋ 	kir™ purpearl	
173	green 	hərgun 	hə.grün	++!?
174	yellow 	kəpaŋ bəyo 	… beige ~ 白 bái	
175	white 	kasi, kasige / kasigi 	????	
176	black 	soksogərəm, soksodi 	𓎡𓎡𓇰	<<<
