 No. 	English 	Thai ภาษาไทย 	Transliteration	PIE? Few CH? some		
114	to cut 	ตัด, บาด, หั่น 	tàt, bàat, hàn	cut > tat part, haun		
115	to split 	ผ่า 	phàa	part		
116	to stab 	แทง, เสียบ 	thaeaeŋ, sìap	Siap ~ stab		
117	to scratch 	เกา 	kao			
118	to dig 	ขุด 	khùt			
119	to swim 	ว่ายน้ำ 	wâay.náam	swai.men		
120	to fly 	บิน 	bin	^^ bi=wing/bird		
121	to walk 	เดิน 	dəən			
122	to come 	มา 	maa	komma		
123	to lie 	นอน 	nɔɔn	<> sleep /snake		
124	to sit 	นั่ง 	nâŋ	^^ –		
125	to stand 	ยืน 	yʉʉn			
126	to turn 	หัน, พลิก 	hǎn, phlík	(t)uhan, flick		
127	to fall 	ตก, หล่น 	tòk, lòn	lang		
128	to give 	ให้ 	hây	hier;)		
129	to hold 	อุ้ม 	ûm			
130	to squeeze 	บีบ, คั้น 	bìip, khán			
131	to rub 	ถู, นวด 	thǔu, nûat			
132	to wash 	ล้าง, ซัก 	láaŋ, sák	laugen, soak	!?	
133	to wipe 	เช็ด 	chét			
134	to pull 	ดึง, ลาก 	dʉŋ, lâak			
135	to push 	ผลัก, ดัน, กด 	phlàk, dan, kòt			
136	to throw 	ขว้าง, ปา 	khwâaŋ, paa			
137	to tie 	ผูก, มัด, ล่าม 	phùuk, mát, lâam			
138	to sew 	เย็บ 	yép			
139	to count 	นับ 	náp			
140	to say 	พูด, บอก 	phûut, bɔ̀ɔk	word, (s)peak		
141	to sing 	ร้อง(เพลง) 	rɔ́ɔŋ, khàp	ring, chapel		
142	to play 	เล่น 	lên	(p)layn		
143	to float 	ลอย 	lɔɔy	(f)loay		
144	to flow 	ไหล 	lǎy	(f)loay		
145	to freeze 	แช่แข็ง 	châeae.khǎeŋ	kringe@kar		
146	to swell 	พอง 	phɔɔŋ			
147	sun 	ตะวัน;อาทิตย์ 	tawan,aathít	--		
148	moon 	เดือน;จันทร์ 	dʉan,can	--		
149	star 	ดาว; ดารา 	daaw, daaraa	stara		
150	water 	น้ำ 	náam	Naum ~ maim		
151	rain 	ฝน 	fǒn	phoon	TM	<> wind
152	river 	แม่น้ำ 	mâenáam	mender	!!!	<<
153	lake 	ทะเลสาบ 	thalee.sàap	thalasship		
154	sea 	ทะเล; มหาสมุทร 	thalee, mahǎa.samùt	thalassea	!!	
155	salt 	เกลือ 	klʉa			
156	stone 	หิน 	hǐn	hinkel!		
157	sand 	ทราย 	saay	saaynd		
158	dust 	ฝุ่น 	fùn	fǒn		<> wind
159	earth 	ดิน 	din	adam don	!?< 	
160	cloud 	เมฆ 	mêek	smog		
161	fog 	หมอก 	mɔ̀ɔk	smog		
162	sky 	ฟ้า 	fáa			
163	wind 	ลม 	lom			
164	snow 	หิมะ 	himá	@himálaya	ok	
165	ice 	น้ำแข็ง 	nám.khǎeŋ	kringe@kar		
166	smoke 	ควัน 	khwan			
167	fire 	ไฟ 	fay	fayr	++	
168	ash 	เถ้า, ขี้เถ้า 	thâo, khîi.thâo			
169	to burn 	เผา, ไหม้ 	phǎo, mây	Phǎorn > hǎo	!+	
170	road 	ทาง, ถนน 	thaaŋ, hǒn	--		
171	mountain 	เขา, ภูเขา, ดอย, ดอน 	khǎo, phuu.khǎo, dɔɔy, dɔɔn	khaor! Dag Don		
