 № 	English 	Aryan		Telugu 	Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
18	many 	c’alle!	~+	చాలా (cālā) 	பல (pala) 	ഒത്തിരി (/ot̪t̪iɾi/) (a lot), ഏറെ (/eːre/), പല (/pala/) (various) 	ಹಲ (bahaLa) 	 	 	 	
19	some 	some, khumen…	~+	కొందరు (koMdaru) (humans), కొన్ని (konni) (countable nouns), కొంత (koMta) (uncountable nouns) 	சில (cila) 	ചില (/t͡ʃila/) 	ಕೆಲ (kela) 	 	 	 	
20	few 	!	!+	కొన్ని (/konːi/) 	கொஞ்சம் (koñcam) 	കുറച്ച് (/kurat͡ʃt͡ʃɨ̆/), ഇത്തിരി (/it̪t̪iɾi/) 	ಕೊಂಚ (kelavu) 	 	 	 	 (macciT)
21	other 	Othera ++	++	వేరే (vērē) ఇతర (itara) 	மற்ற (maṟṟa) 	മറ്റ് (/marrɨ̆/), ഇതര (/it̪aɾa/) 	ಬೇರೆ (bērē) 	 	 	 	
22	one 	Ek ++ einer erst	~+	ఒకటి (okaṭi) 	ஒன்று (oṉṟu) 	ഒന്ന് (/on̪n̪ɨ̆/), ഒരു (/oɾu/) 	ಒಂದು (ondu) 	 	 	 	 (asiT)
23	two 	…Du !	-+	రెండు (reMḍu) 	இரண்டு (iraṇṭu) 	രണ്ട് (/ɾaɳʈɨ̆/), ഇരു- (/iɾu-/) 	ಎರಡು (eraDu) 	 	 	 	 (iraT)
24	three 			మూడు (mūḍu) 	மூன்று (mūṉṟu) 	മൂന്ന് (/muːn̪n̪ɨ̆/), മു- (/mu-/) 	ಮೂರು (mooru) 	 	 	 	 (musiT)
25	four 	nailu!	++	నాలుగు (nālugu) 	நான்கு (nāṉku) 	നാല് (/n̪aːlɨ̆/), നാൽ- (/n̪aːl-/) 	ನಾಲ್ಕು (nālku) 	 	 	 	
26	five 	(p)aintu!	++	ఐదు (aidu) 	ஐந்து (aintu) 	അഞ്ച് (/aɲt͡ʃɨ̆/), അൻ- (/an-/) 	ಐದು (aidu) 	 	 	 	
27	big 	super?		పెద్ద (pedda) 	பெரிய (periya) 	വലിയ (/ʋalija/), പെരും- (/peɾum-/) 	ದೊಡ್ಡ (doDDa) 	 	 	 	
