No. 	English	PIE	Hindi	Bengali 	Farsi/Persian	Romani 	PIE 2		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki @ Turk	PIE 3			
23	two 	dvoi	✓	दो dō 	دو do 	দুই dui 	dui	✓✓	duj 	ду 	dû 	دِ de 	ਦੋ 	دو dō 	दुई 	dı	di	✓		
24	three 	the3	✓	तीन tīn 	سه se 	তিন tin 	tri	✓✓	trin 	се 	sê 	سه se 	ਤਿੰਨ 	تین tīn 	तिन 	hri, Hirê	thri	✓		
25	four 	cvhart	✓	चार chār 	چهار chahår 	চার car 	qtar	✓	shtar 	чаҳор 	çwar 	چار char 	ਚਾਰ 	چار chār 	चार 	çehar, çahar	qvor	✓		
26	five 	pentj	✓	पाँच pā̃c 	پنج panj 	পাঁচ pãc 	panj	✓✓	panzh 	панҷ 	pênc 	پنج panj 	ਪੰਜ 	پانچ pā̃c 	पाँच 	ponc, panc, phonç	phünc	✓		
27	big 	Bary / Berg! Bezerk:)	✓	बड़ा baṛā 	بزرگ bozorg 	বড় bôṛo 	Bary Berg!	✓	baro 	бузург 	gewre 	گَت gat 	ਵੱਡਾ 	بڑا baṛā 	ठुलो 	gırd, pil	great pile	✓		
28	long 	bo’lanɠ’ba	✓	लम्बा lambā 	بلند boland 	লম্বা lômba 	lamda/longo	✓✓	lungo 	дароз 	drêj 	بِلِند belend 	ਲੰਮਾ 	لمبا lambā 	लामो 	derg	track!	✓ <		
29	wide 	𓀠 great quer pane ^	✓	चौड़ा chauṛā 	پهن pahn 	চওরা côora 	plane, bulk 	✓	bulyho 	васеъ 	pan 	پَن pan 	ਮੋਕਲਾ, ਚੌੜਾ 	چوڑا chauṛā 	फराकिलो,चौडा 	hera	hehr, pan!	<<		
30	thick 	Gāṛhā ^ mutja mutch groß	✓ ?	गाढ़ा gāṛhā 	کلفت koloft 	মোটা moṭa 	tall	~	thulo 	ғафс 	estûr 	کالفت kaleft 	ਮੋਟਾ, ਗਾੜ੍ਹਾ 	گاڑھا gāṛhā 	मोटो 	dik	dick	✓ +		
31	heavy 	bary	✓	भारी bhārī 	سنگین sangin 	ভারী bhari 	baryo	✓✓	pharo 	вазнин 	qurs 	سنگین sangin 	ਭਾਰਾ, ਬੋਝਲ 	بھاری bhārī 	गह्रौं,भारी 	hedi	Heftig > heavy	✓		
32	small 	cute	✓	छोटा choṭā 	کوچک kuchak 	ছোট choṭo 	picino, cleino	✓?	cino 	хурд 	biçûk 	پچوک pechuk 	ਛੋਟਾ 	چھوٹا choṭā 	सानो 	qıtek	cute	✓		
33	short 	cut, skort, kurtx	✓	संक्षिप्त sankshipt 	کوتاه kutåh 	বেঠে beṭhe 	Short, kurtx	✓✓	skurto 	кӯтоҳ 	kurt 	کال kal 	ਮਧਰਾ 	مختصر mukhtsar 	छोटो 	kılm	kleinm	✓		
34	narrow 	d’Eng	✓	तंग tang 	تنگ tang 	চিপা cipa 	d’eng	✓!	tang 	танг 	tesk, teng 	تنگ tang 	ਭੀੜਾ, ਤੰਗ 	تنگ tang 	साँघुरो 	nık	Next ~ nik ~ narro’	<		
35	thin 	platt	✓!	पतला patlā 	نازک nåzok 	পাতলা patla 	thino ~ sano	✓✓	sano 	нозук 	nasik 	نازک nazek 	ਪਤਲਾ 	پتلا patlā 	पातलो,दुब्लो 	tenik	thin.ig	✓		
36	woman 	hore, gyne san さん, ma	✓	औरत aurat 	زن zan 	মহিলা mohila 	joli;)	??	zhulyi 	зан 	jin 	زن zan 	ਜ਼ਨਾਨੀ/ਇਸਤਰੀ 	عورت aurat 	महिला,स्त्री, आइमाई 	cênık, cên	queen < gyn	✓		
37	man 	mortal™ admir.al Mr.	~✓?	आदमी/मर्द ādmī/mard 	مرد mard 	পুরুষ purush 	Mr.	✓	mursh 	мард 	pyaw 	مردی mardi 	ਬੰਦਾ, ਆਦਮੀ 	آدمی/مرد ādmī/mard 	पुरुष 	camerd, cuwamerd	Coward ;)	<<		
38	person 	Manusch! <> um.Ensi	✓	मनुष्य/इंसान manuṣya/insān 	نفر/کس/انسان ensån/kas/nafar 	মানুষ/লোক manush/lok 	Manusch!	✓✓	manush 	нафар 	kes 	آدِم adem 	ਬੰਦਾ, ਮਨੁੱਖ, ਇਨਸਾਨ 	شخص shaks 	व्यक्ति 	ten	-tan! Don	✓		
39	child 	Bursche, Buck < puer	✓	बच्चा bachchā 	بچه bachche 	বাচ্চা bacca 	chard→cavord	!	shavoro 	бача 	minall 	وَچه vache 	ਬਾਲ, ਬੱਚਾ 	بچه bachchā 	बच्चा,बालक 	kidek, doman, leyr	kind.ek, lair	<<		
40	wife 	Partner女 bivi>wifee Beau	✓	पत्नी/बीवी patnī/bīvī 	زن zan 	বউ bou 	Zan xan syn gyne nû! 	!	romnyi 	зан 	jin 	زنا zena 	ਘਰਵਾਲੀ, ਤੀਵੀਂ, ਵਹੁਟੀ 	بیوی bīvī 	श्रीमती,पत्नी 	cênık	queen < gyn Schnecke	✓		
41	husband 	part(ner), szameit! SIR	✓!	पती patī 	شوهر showhar 	জামাই jamai 	Sirom™ > Shah	!	rom 	шавҳар 	şû, mêrd 	شی shi 	ਘਰਵਾਲਾ, ਕੰਤ, ਖ਼ਾਵੰਦ 	شوہر shauhar 	श्रीमान,पति 	Cüwamerd	Coward ;)	✓		
42	mother 	matar	✓	माँ/माता mā̃/mātā 	مادر mâdar 	মা/আম্মা ma/amma 	2. daisy duck?	✓✓ ?	dej 	модар 	dayk 	مار mar 	ਬੇਬੇ/ਮਾਂ/ਮਾਤਾ 	ماں mā̃ 	आमा,माता 	Marde, Maye	madre	✓		
