 No. 	English 	Southern Quechua runa simi	Basic PIE / PERU, NOT verbs/adjectives…	++---	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	5-20% PIE creole? Almost random, BUT look numbers!			
103	to know 	yachay	yach yad vyd wiss	+- SEM	𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲				
104	to think 	yuyay	jew<jud<idea	+?	𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁				
105	to smell 	mutkiy			𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 				
106	to fear 	manchay	m’angst	++	𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾				
107	to sleep 	puñuy/sirikuy	be.nicker / sleep! 	++	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  				
108	to live 	kawsay	cause		𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍				
109	to die 	wañuy	vanish @ Vana™	++	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  				
110	to kill 	wañuchiy	Vinci vanquish vanish	++	𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 				
111	to fight 	awqay	a’guer angreif--	--	𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜		a'fqayt		
112	to hunt 	chakuy, kasachiy	jackal, catch, kasach!?	<<<	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 				
113	to hit 	maqay	mace, machete™ 𓄟 𓄠 𓋤		𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡				
114	to cut 	p'itiy, kuchuy	Part / cuts	+++	𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 				
115	to split 	laray			𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 				
116	to stab 	chusyay			𓋴 𓂧 𓃀 𓉽 𓏴 				
117	to scratch 	aspiy	𓋴 𓂧 𓃀 𓉽 𓏴 	!!<<	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 				
118	to dig 	allay	lay (road …?)		𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 				
119	to swim 	wayt'ay	water	++	𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 				
120	to fly 	phaway	phlay away @ Sem	+++<	𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 				
121	to walk 	puriy	𓃀 por-  𓉐 𓂋 𓂻  𓂾uriy	+++?	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 				
122	to come 	hamuy	cham come	++	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 				
123	to lie (as in a bed) 	sirikuy (action), waqtapay (state)	slip streck sleep ≠ wacht	- 	𓋴 𓇥 𓂋 𓁀				
124	to sit 	tiyakuy (action)	take-a-[seat] tisch?	-	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  				
125	to stand 	sayariy (action)	s…	-	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 				
126	to turn (intransitive) 	muyuy		--	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  				
127	to fall 	urmay	urmel@Ei -mak?	-	𓀒 , 𓐍𓂋𓀒  				
128	to give 	quy	Quy ~ give <> care	+-	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 				
129	to hold 	tiyaway	Tiya ~ take-away	-	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 				
130	to squeeze 	qapiy			𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 				
131	to rub 	kituy	kitt~fix -		𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 				
132	to wash 	maqchiy, taqsay	mwash* 沐 mu4		𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 				
133	to wipe 	chakichiy	wisch²  𓇋 𓎛 𓌤 :  𓋴 𓎝 𓎡 𓂝 		𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 				
134	to pull 	aysay	reisse*		𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 				
135	to push 	tanqay	tank		𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  				
136	to throw 	wichuy, chamqay	Werf? 𓆌?		𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 				
137	to tie 	watay	wind/tie	+-	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 				
138	to sew 	siray	~	+ 	ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    				
139	to count 	yupay	yuppie  you pay ;)	;)	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 				
140	to say 	niy	nounce	+-	𓆓 𓂧 				
141	to sing 	takiy			𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁, 𓇗 𓂝 𓅂 				
142	to play 	pukllay	Puklay ~ play	++<!?	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  				
143	to float 	tuytuy			<>				
144	to flow 	tinkukuy			𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛				
145	to freeze 	qasay	√qar’ice kalt	++					
146	to swell 	punkiy	punk<		𓈙 𓆑 𓐎 				
147	sun 	inti	Sinti > hindi > IndiRa 𓊹𓇳	<	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳				
148	moon 	killa	killer moon KiLilith ⚸	++	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭				
149	star 	quyllur	⚸ ≠ colour •kukub.lar 𒀯		𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼				
150	water 	unu, yaku 	1 𓈖𓈗 umu 𒀀 mû ماء‎ māʾ > nau yaqua	<<<	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗	pu.nau पानीय pānīya / do.NAU da.NUM ᜧᜨᜳᜫ᜴ danúm νερό neró Dravidian *nīr Golin: nil Gondi: 	एर (ēr)  1,2,3	 पानी,	𒀀 a~eau/yu 1
151	rain 	para	parain plörre plluvia@Peru 'river' π.ra 𓇶 @ 𓊪 𓏏 𓇯 𓀭  Pere	++<	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 				
152	river 	mayu	𓈗 mayim מים 𓈖	+++	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …				
153	lake 	qucha	Kuhle кӳлĕ 	+?	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇				
154	sea 	mama qucha	Marmara Meer coasta	++	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇				
155	salt 	kachi	𓎛 𓌳 𓄿 𓈒 𓏥 ™		𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥				
156	stone 	rumi	𓂋 𓈖 𓇋  𓊌  <> rune @ rome?  		𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 				
157	sand 	t'iyu	thaiyu.ant	-	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥				
158	dust 	hallp'a			𓐍 𓅓 𓅱 𓊡 𓏪				
159	earth 	allpa	𓅭 Erpel 𒌉 ablu  	<<	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥				
160	cloud 	puyu	phuyag ~ fog  *pew blow, billow	++<	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?				
161	fog 	phuya	phuyag ~ fog  *pew blow, billow	+++					
162	sky 	hawa	heaven	+++	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯, 𓄿  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 				
163	wind 	wayra	win’ra / weher^^	<	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲				
164	snow 	rit'i		--					
165	ice 	qasa	q’ice 雪糕 xuěgāo 	++					
166	smoke 	qusñi			𓎛 𓏏 𓏮 𓊮				
167	fire 	nina		---	𓊮 2. 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮				
168	ash 	uchpa	ashpa aspen!	+?	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 				
169	to burn 	rawray	rè.ran 热	--	𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 				
170	road 	ñan	… 𓈖 𓌙 𓈐 𓂻 / 𓈖 𓈐 𓈇 line / gehn	-	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇				
171	mountain 	urqu	Urqu < kurkur	++?	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌				
172	red 	puka	<> pyro		1. 𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞 1b. 𓍿 𓅓 𓋴 𓏞 1c. 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟				
173	green 	qumir	𓎡 𓄿 𓅱		𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛				
174	yellow 	qillu	qyellow	++	𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊				
175	white 	yuraq	Iraq < fire < pyurak 𓃀 𓅡 𓄿 𓈎 𓆭	<<	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶				
176	black 	yana	阴 yina Iah’nax 🌒 negro  	+--	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍  𓐍				
177	night 	tuta	𓎡 𓎡 𓇰		𓎡𓎡𓇰, 𓉸, 𓇰,  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰   𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰				
178	day 	p'unchaw	𓆶 𒌓 ᵖũtu		𓋴 𓅱 𓇳 𓏥, 𓇳 𓏤, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥  2. 𓉔 𓂋 𓅱 𓇳 𓏤  3.  𓊄 𓅱 𓇳 𓏥				
179	year 	wata	warte@Wende	+?	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳				
180	warm 	illi	≠chilli		𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮				
181	cold 	chiri	chryo chilly	++	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡				
182	full 	hunt'a	Hand		𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜  2. 𓎔 𓏛 𓅓				
183	new 	musuq	𓌳 	+++	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛				
184	old 	machu, tanta	macha, senil	+/	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍𓐍				
185	good 	kusa (things), sumaq (persons)	Khudh : good / kuss		𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋				
186	bad 	mana allin	mean		𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛				
187	rotten 	ismusqa	smutq		𓂝 𓍯 𓄿 𓐎 2. 𓎛 𓍯 𓄿 𓐎 				
188	dirty 	qanra			?				
189	straight 	chiqa	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜 χ	~	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜				
190	round 	muyu	𓐪 <> 𓏇 𓇋 𓐪 𓏥 		𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛				
191	sharp (as a knife) 	kachi	𓂧 𓐝 𓌪 𓂡 χ		𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜				
192	dull (as a knife) 	ruqu	<> rock?		𓈖𓆓 𓋴 𓅪, 𓅪				
193	smooth 	lluspi	fluss?		𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝 2. 𓇋 𓂧 𓄿, 𓏞 𓏛				
194	wet 	huq'u	haqua <> heb 		𓈖 𓊪 𓅯 𓈗				
195	dry 	chaki	secco		𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳 2. 𓇶 3. 𓅱𓈙 𓂋 𓇳 4. 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡				
196	correct 	chanin		;)	𓂝 𓈎 𓄿 𓇋 𓇋 𓏏 𓂭 𓂭 𓏜 2. 𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥				
197	near 	sichpa	𓍚 sicher?		𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖𓂻				
198	far 	karu		<<	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐				
199	right 	paña	punch? 𓂬 𔐨 #pugnus πυγμή pugmḗ 'fist'		𓇋 𓏠 𓈖𓊿,  𓋀 𓂢  2. 𓊿  3.  𓋀 𓂢,  𓅆 𓏏𓏮				
200	left 	lluqi	levko	++	𓋁, 𓋁 𓃀, 𓋁 𓃀 𓏏𓏮 𓈇,  𓋁 𓃀 𓏮 𓂢, 𓍋 𓃀 𓏮 𓂢  2. 𓏏 𓋁 𓏮				
201	at 	-pi	ב By Bei @ sem	++	𓂋, 𓁷 𓏤, 𓌨 𓂋				
202	in 	-pi	ב By Bei @ sem	++	𓈖				
203	with 	-yuq	Y -que @ sem 	+++	𓎛 𓈖𓂝  2. 𓐍 𓂋, 𓁷 𓏤, 𓐍 𓏏 𓆑				
204	and 	-wan	wand whana	+++	𓎛 𓈖𓂝  2. 𓐍 𓂋 𓀒				
205	if 	-pti-, sichus, manapiqa	𓇋 !  si… sei…	+?	𓇋𓂋				
206	because 	-rayku	𓂋 𓁻 !! reason 1/car		𓁷, 𓁷 𓏤, 𓂋 𓁻, 𓈖𓈖𓏏𓏏, 𓈖𓏮				
207	name 	suti	title		𓂋𓈖𓀁, 𓂋𓈖𓍷				
					Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
					(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 				
					(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥				
					(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖				
					(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥				
	six	suxta	𓋴𓇋𓋴 6 six	+++					
	seven	qant’is	𓋴𓆑𓎛𓅱  svhn < Gvan < quantities	++?		Sambes? 1+6?			
	eight	Pusax / kimsa.qalqo	Pus?Acht 𓎛𓏠𓈖𓅱 pushaman 5+3 3+5						
	nine	'aa-tunka	1 to 10 	+:		8+1 Acht+unk			
	ten	tunka	𓎆 10 TEN < dent	+++					
									
