 No. 	English 	Southern Quechua runa simi	Basic PIE / PERU, NOT verbs/adjectives…	++---	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	5-20% PIE creole? Almost random, BUT look numbers!			
29	wide 	kimra, luqhu, llapha, phanlli, sakha	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛 sakha®		𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,				
30	thick 	raku	ries	+-	𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛 ~ ϧⲑⲏ				
31	heavy 	llasa	qnasa 𓂧𓈖𓋴𓍖 dnasa	<>	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥				
32	small 	uchuy	cute:		𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣				
33	short 	chutu, kuru	Cut, cute, short 𓎡 𓏏 𓏏 𓅪 छोटा choṭā	++++	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪				
34	narrow 	k'ichki	𓎼 𓄿 𓎣 𓅪 ^^		𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪				
35	thin 	ñañu	n’eng!	++	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂				
36	woman 	warmi	~	+++	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑	warm < √born ?			
37	man (adult male) 	qhari	Kerl!	+++	𓊃 𓀀				
38	man (human being) 	runa	𐀪 ri 󲀀 𒊒𒄴 ruh 𒊒𒌑 ruú rénmín 人民  rom@coptic	++	𓂋 𓐝 𓍿 𓀀 𓁐,  𓂋 𓍃 𓀀 𓏥 2. 𓂋 𓏏 𓀀 𓏥 𓁐  3. 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓄊 𓂋 𓀀				
39	child 	irqi	lurki@Hindi  𓄡 𓂋 𓂧 𓀀 Schurke χ	<<	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔 2. 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔   2. 𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏  3. 𓇋 𓈖 𓊪 𓅂				
40	wife 	warmi	~ woman	^^	𓌢 𓈖 𓏏 𓁐 2. 𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤				
41	husband 	qusa	qhusband @ cosa 𓉔 𓂸 	+ 	𓉔 𓂸, 𓉔 𓇋𓂸𓀀 2. 𓎟 𓀀 3. 𓌢𓈖𓀀				
42	mother 	mama	mama 𓅐𓄟	+++	𓅐 𓏏 𓁐, 𓂠 𓏏 𓁐, 1b 𓄟 𓋴 𓏏 𓁒 2. 𓂸 𓏏 𓁐 3. 𓂠 𓏏 𓁐 4. 𓅐 𓂋 𓏏 𓁐?				
43	father 	tayta, yaya	daddy 𓏏 𓇋 𓆑 𓀀	+++	𓇋 𓏏 𓆑 𓀀				
44	animal 	uywa	ħayawān  حيوان‎  gyanwar@pers	+++	𓄛   <>  𓂧 𓂋 𓄛 				
45	fish 	challwa	𓅱 𓎛 𓂝 𓆟 ≠ Qualle Schwall		𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟				
46	bird 	lluta	le Tar 𓅂 tyw طير ṭīr FlugTier? <> flute <> Leute?	<<	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬 2. 𓊪 𓅮 𓅯 3. 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿				
47	dog 	allqu	al gǒu 狗   	+?	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛				
48	louse 	usa	la'usa	++!-	𓎡 𓏏 𓏏 𓆨				
49	snake 	mach'aqway, katari, amaru	mus@Sumer		𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙  2. 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙	<<<<<			
50	worm 	kuru	Krumm kwurm™	++	አርዌ ምድር/ተመን 				
51	tree 	sacha	s’Esche <> Saxen!?	++<<	𓆑 𓈖 𓍿 𓆙 2. 𓎡 𓄿 𓂓 𓏤 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙				
52	forest 	sachakuna	^^ 𓍲 𓈖 𓆭		1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭				
53	stick 	kaspi	𓆮 <> 𓋞 ≈ 𒆬 ≈ 𒌋𒍝 ≈ 𒄒 'Barren' ? 	<<	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮				
54	fruit 	ruru	fruru	~+	𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓌚				
55	seed 	muhu	<> mehret Euch@Bible		𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎 4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥				
56	leaf 	laqi	~ gh=f	~++	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏				
57	root 	sapi	Sap(ling) <> saft 𓋴 𓐟 𓄿 𓊪 𓏏 𓆰		𓇥 𓂋 𓆓 𓄔 2. 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤  3. 𓋴 𓐟 𓄿 𓊪𓏏𓆰				
58	bark (of a tree) 	qara	kara@slavic ርፍት  qərəft@Sem	+++	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 				
59	flower 	wayta	~ vlayta flower/blühte	++?					
60	grass 	qura	quras grass @ court?	+++	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 				
61	rope 	waska	όριον	-<	𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 	<< 			
62	skin 	qara	carne care χρώς	+++	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 	> ‘rot’			
63	meat 	aycha	Fleischa		𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  				
64	blood 	yawar	𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹, 𓇋 𓃀 𓃔 𓎛 jawa® jaƒa®, jabar	!!! <<	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹	vs 𓊃 𓈖 𓆑 𓂐 𓏥  血 xuèn 衅 خون (xun)			
65	bone 	tullu	Teil?	--	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐				
66	fat (noun) 	wira	ဝ wa 肥 féi	--	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤	VIR?	 գեր (hy) (ger)  crass gross		
